date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024-03-28,745445,Strikeout,strikeout,True,666703,669062,Eguy Rosario,Erik Miller,0,4ecd895a-b7c5-4833-8114-3ef95fba48a1,669062.0,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.35,3.05,43.0,97.0,109.0,99.0,0.715,10.05,4.6,6.28,1.26,1.59,0.163,0.519,0.202,0.317,0.393,,,,96.0,96.0,92.0,,,,130.0,99.0,109.0,,,,,,,,,,,0.474,,,0.175,0.001,,0.26,,,,-1.79,3.88,,96.8,,,,82.6,81.1,,0.219,0.406,0.293,0.25,0.5,0.341,,,,,,,,,,,,,116.0,98.0,105.0,0.35,1.88,85.1,0.159,0.238,0.31,,,,,,,,,,,,,,,
2024-03-29,745435,Lineout,field_out,True,666703,690986,Eguy Rosario,Kyle Harrison,0,b2eacd12-4978-44b3-a526-8cbaa166b45e,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,,,,,,,0.61,,,0.004,0.186,,0.69,,,,-11.76,-0.51,,92.7,,,,88.2,81.3,,0.237,0.377,0.212,0.333,0.667,0.5,,,,,,,,,,,,,73.0,94.0,89.0,0.2,-2.37,85.4,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,
2024-03-29,745435,Double,double,True,666703,690986,Eguy Rosario,Kyle Harrison,1,76f666bd-4dd3-4b40-9f83-408dc656f7f6,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,,,,,,,0.61,,,0.004,0.186,,0.69,,,,-11.76,-0.51,,92.7,,,,88.2,81.3,,0.237,0.377,0.212,0.333,0.667,0.5,,,,,,,,,,,,,73.0,94.0,89.0,0.2,-2.37,85.4,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,
2024-03-30,745436,Strikeout,strikeout,True,666703,573124,Eguy Rosario,Taylor Rogers,0,db299173-c21f-456f-8832-d3c20b54497d,573124.0,taylorrogers,"Rogers, Ta",Left,Taylor Rogers,SFG,2.15,3.15,37.2,96.0,94.0,96.0,0.763,9.8,3.11,7.88,0.96,1.05,0.19,0.39,0.25,0.28,0.453,,,,,,,79.0,96.0,90.0,109.0,95.0,101.0,,,,,,,,,,0.495,,,,0.505,,,,,,1.7,-1.03,,,,,,93.3,79.5,,,,,,0.306,0.569,0.333,0.159,0.232,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Home Run,home_run,False,666703,669062,Eguy Rosario,Erik Miller,1,2a4e5c11-3d6f-43fb-b030-a2403664666b,669062.0,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.35,3.05,43.0,97.0,109.0,99.0,0.715,10.05,4.6,6.28,1.26,1.59,0.163,0.519,0.202,0.317,0.393,,,,96.0,96.0,92.0,,,,130.0,99.0,109.0,,,,,,,,,,,0.474,,,0.175,0.001,,0.26,,,,-1.79,3.88,,96.8,,,,82.6,81.1,,0.219,0.406,0.293,0.25,0.5,0.341,,,,,,,,,,,,,116.0,98.0,105.0,0.35,1.88,85.1,0.159,0.238,0.31,,,,,,,,,,,,,,,
2024-03-31,745438,Lineout,field_out,True,666703,694738,Eguy Rosario,Landen Roupp,0,e5eab361-9b7b-408c-9600-84bbe5e9b43e,694738.0,landenroupp,Roupp,Right,Landen Roupp,SFG,6.06,6.38,16.1,92.0,132.0,102.0,0.748,8.27,5.51,9.37,0.55,1.4,0.2,0.32,0.22,0.26,0.394,156.0,100.0,117.0,65.0,61.0,62.0,110.0,88.0,91.0,114.0,71.0,82.0,,,,,,,,,,0.369,0.03,,,0.039,0.502,,-2.98,,,-1.31,-1.64,0.38,,93.4,,,94.4,83.5,77.0,,,,,,,,0.316,0.474,0.098,0.238,0.381,0.296,,,,,,,92.0,73.0,65.0,0.06,-1.22,88.5,0.25,0.25,0.6,,,,,,,,,,,,,,,
2024-04-01,745437,Strikeout,strikeout,True,666703,668941,Eguy Rosario,JoJo Romero,0,f79061cd-ff95-4971-96b4-934c06b03740,668941.0,jojoromero,"Romero, J",Left,JoJo Romero,STL,2.43,4.86,40.2,97.0,85.0,96.0,0.767,7.52,1.99,7.3,0.89,1.7,0.284,0.448,0.155,0.31,0.415,,,,67.0,98.0,92.0,73.0,98.0,94.0,114.0,94.0,101.0,,,,,,,,,,0.373,0.119,,,0.326,,,-2.34,,,1.52,3.5,,,95.0,,,93.7,83.9,,,0.357,0.429,0.132,0.059,0.118,0.448,0.259,0.315,0.098,,,,,,,,,,69.0,103.0,92.0,0.182,-4.01,85.9,0.379,0.759,0.27,,,,,,,,,,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,666703,668868,Eguy Rosario,Zack Thompson,0,0463ed97-6a8d-48f0-95ce-1db8d7f0be31,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,59.0,102.0,101.0,15.0,94.0,72.0,,,,64.0,102.0,96.0,,,,,,,,,,,0.36,,,0.278,0.142,,-2.98,,,,-3.08,-6.64,,90.7,,,,82.9,73.5,,0.346,0.654,0.212,0.333,0.81,0.191,,,,0.455,0.818,0.188,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8
2024-04-03,745440,Strikeout,strikeout,True,666703,668868,Eguy Rosario,Zack Thompson,0,d7a15695-9601-4b29-add6-6d6b71f215c2,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,59.0,102.0,101.0,15.0,94.0,72.0,,,,64.0,102.0,96.0,,,,,,,,,,,0.36,,,0.278,0.142,,-2.98,,,,-3.08,-6.64,,90.7,,,,82.9,73.5,,0.346,0.654,0.212,0.333,0.81,0.191,,,,0.455,0.818,0.188,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8
2024-04-03,745440,Double,double,False,666703,669461,Eguy Rosario,Matthew Liberatore,0,93137441-2c7e-4a8e-8119-4773bc68a10b,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,128.0,97.0,102.0,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,101.0,111.0,110.0,,,,0.196,0.26,0.106,,0.302,0.073,,0.24,-1.7,,-2.85,3.84,0.19,,94.4,91.9,,95.2,87.5,77.8,,0.212,0.485,0.14,0.132,0.162,0.431,0.362,0.596,0.116,0.154,0.154,0.238,,,,0.474,0.684,0.228,46.0,89.0,90.0,0.063,-0.49,87.7,0.143,0.571,0.227,,,,,,,,,,,,,,,
