date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-06-15,746381,Double,double,False,663967,669438,César Salazar,Mason Englert,1,9bab96b0-a4c8-4655-99d0-2b79a8ac9d87,669438.0,masonenglert,Englert,Right,Mason Englert,DET,5.95,5.22,19.2,101.0,94.0,102.0,0.74,6.41,1.83,10.07,1.83,0.83,0.242,0.485,0.106,0.303,0.373,123.0,110.0,114.0,83.0,111.0,119.0,75.0,96.0,88.0,103.0,104.0,116.0,,,,0.274,0.148,0.127,0.048,0.292,-1.7,-1.66,2.82,2.47,-0.87,92.7,88.5,86.0,84.5,81.5,0.292,0.667,0.085,0.3,0.7,0.261,0.167,0.333,0.3,0.214,0.214,0.52,0.278,0.5,0.36,79.0,91.0,89.0,,,,0.111,,-7.72,,91.1,,0.375,1.0,0.167,,,,,,,,,,,,,,,,,,
2024-06-15,746381,Strikeout,strikeout,True,663967,666214,César Salazar,Joey Wentz,0,4cd8d2ca-bb04-4036-b885-144081e6cfb3,666214.0,joeywentz,Wentz,Left,Joey Wentz,DET,5.22,4.57,39.2,99.0,91.0,97.0,0.741,9.98,4.99,10.21,1.13,1.5,0.218,0.496,0.101,0.345,0.383,101.0,95.0,99.0,94.0,110.0,105.0,84.0,96.0,92.0,,,,88.0,99.0,95.0,0.373,0.299,0.001,0.131,0.196,-1.7,-0.74,-2.43,1.03,-1.05,94.0,86.1,85.8,80.4,79.4,0.345,0.5,0.186,0.231,0.423,0.336,0.211,0.211,0.289,,,,0.29,0.387,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,746781,Single,single,False,663967,676979,César Salazar,Garrett Crochet,1,01cf3663-da40-40fb-8a59-a4a5a1e4b81d,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,,0.061,1.77,2.05,-2.87,,-0.38,97.0,91.4,90.8,84.1,,0.188,0.274,0.31,0.213,0.283,0.351,,,,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,746781,Single,single,False,663967,676979,César Salazar,Garrett Crochet,1,b3d236f6-9e39-4e92-b77c-358a697e0ec0,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,,0.061,1.77,2.05,-2.87,,-0.38,97.0,91.4,90.8,84.1,,0.188,0.274,0.31,0.213,0.283,0.351,,,,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,746781,Sac Bunt,sac_bunt,True,663967,621051,César Salazar,Steven Wilson,1,95cfd632-6faf-41e9-93d4-b7feb681f8bf,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,126.0,96.0,103.0,43.0,69.0,67.0,0.411,0.013,0.472,,0.104,-0.48,-1.41,-0.09,,-0.37,93.4,86.6,81.5,82.7,,0.205,0.385,0.147,,,,,,,0.196,0.413,0.327,0.143,0.143,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,746373,Flyout,field_out,True,663967,544150,César Salazar,Albert Suárez,0,05752bc7-ae3a-4e71-bd42-b361e81595f3,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,93.0,97.0,97.0,92.0,101.0,95.0,,,,73.0,101.0,91.0,0.529,0.2,,0.092,0.178,0.49,-0.22,,-0.29,1.03,95.1,86.4,85.9,,78.5,0.241,0.38,0.214,0.283,0.413,0.302,0.238,0.333,0.205,,,,0.19,0.293,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,746373,Single,single,False,663967,544150,César Salazar,Albert Suárez,0,d3de599f-b2d5-43e9-ad06-fe5480e0cf20,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,93.0,97.0,97.0,92.0,101.0,95.0,,,,73.0,101.0,91.0,0.529,0.2,,0.092,0.178,0.49,-0.22,,-0.29,1.03,95.1,86.4,85.9,,78.5,0.241,0.38,0.214,0.283,0.413,0.302,0.238,0.333,0.205,,,,0.19,0.293,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,746373,Lineout,field_out,True,663967,544150,César Salazar,Albert Suárez,0,0ad8d436-635b-417d-aee6-8b99950ed4d0,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,93.0,97.0,97.0,92.0,101.0,95.0,,,,73.0,101.0,91.0,0.529,0.2,,0.092,0.178,0.49,-0.22,,-0.29,1.03,95.1,86.4,85.9,,78.5,0.241,0.38,0.214,0.283,0.413,0.302,0.238,0.333,0.205,,,,0.19,0.293,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,746373,Groundout,field_out,True,663967,669211,César Salazar,Keegan Akin,0,daa04fec-31d2-4c71-b25e-7c73791df42f,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,106.0,98.0,99.0,,,,110.0,101.0,104.0,115.0,105.0,110.0,,,,0.572,,0.331,,0.097,0.72,,0.67,,1.7,93.8,,85.1,85.2,,0.216,0.414,0.308,,,,,,,0.163,0.306,0.324,0.174,0.174,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746374,Groundout,field_out,True,663967,663372,César Salazar,Ryan Feltner,0,a989b1ff-953e-41ed-bfa7-4fc2587c9328,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,104.0,110.0,116.0,83.0,102.0,97.0,110.0,99.0,104.0,,,,0.34,,0.291,0.083,0.147,-0.09,,-1.06,-0.09,-1.33,94.9,,85.4,88.1,79.2,0.257,0.405,0.182,,,,0.2,0.333,0.299,0.182,0.545,0.235,0.321,0.5,0.422,91.0,91.0,87.0,,,,0.14,,0.41,,94.4,,0.286,0.375,0.164,,,,,,,,,,,,,,,,,,
