date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2024-06-24,746696,Groundout,field_out,True,682119,663559,Levi Jordan,Bailey Falter,0,575c293b-348c-43b9-8fda-2cf0dd94d792,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
2024-06-24,746696,Sac Fly,sac_fly,True,682119,663559,Levi Jordan,Bailey Falter,1,8d9083af-258b-4bf3-9aa1-3a89b5202a83,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,,,,0.144,0.511,,0.161,,1.03,,1.24,-0.06,,91.7,,,91.9,85.6,0.229,0.36,0.167,0.262,0.492,0.144,0.245,0.286,0.32,,,,,,,100.0,100.0,99.0,37.0,97.0,75.0,0.01,0.174,-6.89,-0.34,87.0,77.0,0.256,0.488,0.197,0.333,1.333,0.125,,,,,,
2024-06-24,746696,Double,double,False,682119,641726,Levi Jordan,Daulton Jefferies,0,2679efdd-d6eb-4631-a791-b67a414828d7,641726.0,daultonjefferies,Jefferies,Right,Daulton Jefferies,- - -,9.82,4.27,14.2,104.0,84.0,98.0,0.827,7.36,2.45,14.73,2.45,0.88,0.196,0.518,0.179,0.321,0.431,59.0,97.0,92.0,104.0,117.0,105.0,82.0,101.0,96.0,112.0,103.0,105.0,65.0,111.0,94.0,0.374,0.085,0.146,0.246,0.149,6.59,-10.27,-1.87,-2.66,-6.56,93.3,90.5,87.5,93.0,82.2,0.0,0.0,0.0,0.333,0.583,0.125,0.316,0.526,0.417,0.333,0.75,0.056,0.75,1.75,0.24,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,746696,Groundout,field_out,True,682119,676596,Levi Jordan,Josh Fleming,0,9ad0f403-b2b0-4d3f-abb0-71a3bd37f002,676596.0,joshfleming,Fleming,Left,Josh Fleming,PIT,3.99,3.72,29.1,96.0,68.0,89.0,0.833,5.22,3.99,9.51,0.61,2.08,0.219,0.375,0.177,0.271,0.339,71.0,98.0,89.0,142.0,135.0,123.0,51.0,91.0,86.0,,,,82.0,101.0,93.0,0.389,0.004,0.264,,0.286,1.94,1.27,-2.07,,1.63,89.8,87.2,83.2,90.4,,,,,0.381,0.571,0.226,,,,0.171,0.22,0.178,0.261,0.304,0.172,97.0,87.0,89.0,,,,,0.057,,-2.56,,78.1,0.286,0.429,0.308,,,,,,,,,
2024-06-25,746697,Strikeout,strikeout,True,682119,676596,Levi Jordan,Josh Fleming,0,185d7092-70c7-4f73-8ec6-9761161570de,676596.0,joshfleming,Fleming,Left,Josh Fleming,PIT,3.99,3.72,29.1,96.0,68.0,89.0,0.833,5.22,3.99,9.51,0.61,2.08,0.219,0.375,0.177,0.271,0.339,71.0,98.0,89.0,142.0,135.0,123.0,51.0,91.0,86.0,,,,82.0,101.0,93.0,0.389,0.004,0.264,,0.286,1.94,1.27,-2.07,,1.63,89.8,87.2,83.2,90.4,,,,,0.381,0.571,0.226,,,,0.171,0.22,0.178,0.261,0.304,0.172,97.0,87.0,89.0,,,,,0.057,,-2.56,,78.1,0.286,0.429,0.308,,,,,,,,,
2024-06-26,746695,Strikeout,strikeout,True,682119,682847,Levi Jordan,Luis L. Ortiz,0,41124e1f-dac0-4c41-8c3f-b23ba6ec1b13,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,0.297,0.268,0.25,0.353,0.134,0.21,0.346,0.293,,,,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746695,Groundout,field_out,True,682119,682847,Levi Jordan,Luis L. Ortiz,0,6cfa2a25-7c92-4e8e-8c3c-96b00269ca7b,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,0.297,0.268,0.25,0.353,0.134,0.21,0.346,0.293,,,,0.286,0.343,0.187,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746695,Lineout,field_out,True,682119,693312,Levi Jordan,Kyle Nicolas,0,7df15a99-7287-412e-a28b-09efdeebd705,693312.0,kylenicolas,Nicolas,Right,Kyle Nicolas,PIT,3.82,2.92,30.2,92.0,128.0,94.0,0.739,10.86,4.99,6.46,0.29,1.38,0.307,0.333,0.12,0.293,0.37,,,,124.0,88.0,88.0,,,,138.0,107.0,110.0,,,,0.005,0.571,,0.244,,1.21,,-6.82,0.68,,97.7,,,94.8,91.1,0.193,0.246,0.222,,,,0.189,0.243,0.369,,,,,,,128.0,87.0,92.0,,,,,0.179,,-0.99,,85.3,0.25,0.313,0.485,,,,,,,,,
2024-06-27,745162,Strikeout,strikeout,True,682119,606149,Levi Jordan,Giovanny Gallegos,0,bcac2a80-6e82-4be1-a520-611860df813b,606149.0,giovannygallegos,Gallegos,Right,Giovanny Gallegos,STL,7.41,5.33,17.0,96.0,91.0,97.0,0.738,9.0,5.29,11.12,3.18,1.63,0.245,0.491,0.17,0.302,0.379,58.0,89.0,82.0,73.0,95.0,88.0,,,,109.0,98.0,106.0,,,,,0.435,,0.515,0.05,-4.77,,,-1.36,7.53,92.2,,86.4,,83.5,0.357,0.929,0.053,,,,0.282,0.538,0.396,0.0,0.0,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28,745161,Flyout,field_out,True,682119,668941,Levi Jordan,JoJo Romero,1,0562ddda-5a62-4d9e-8b3e-2b01b517811d,668941.0,jojoromero,"Romero, J",Left,JoJo Romero,STL,2.43,4.86,40.2,97.0,85.0,96.0,0.767,7.52,1.99,7.3,0.89,1.7,0.284,0.448,0.155,0.31,0.415,69.0,103.0,92.0,67.0,98.0,92.0,73.0,98.0,94.0,114.0,94.0,101.0,,,,0.373,0.119,,0.326,0.182,-2.34,,1.52,3.5,-4.01,95.0,,85.9,93.7,83.9,0.357,0.429,0.132,0.259,0.315,0.098,0.059,0.118,0.448,0.379,0.759,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
