date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-03-28,745445,Strikeout,strikeout,True,640492,657277,José Azocar,Logan Webb,1,745f55ae-dd0a-425d-ad9f-aae01a28b6e8,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,,,,59.0,115.0,105.0,,,,0.388,0.048,0.011,,0.223,,,1.24,5.55,,1.02,0.18,,,92.3,90.3,,92.2,83.5,,,0.1,0.15,0.39,0.247,0.323,0.227,0.276,0.346,0.15,,,,,,,,,,132.0,105.0,115.0,0.329,0.28,87.4,0.283,0.405,0.197,,,,,,,,,,,,,,,
2024-03-28,745445,Groundout,field_out,True,640492,669062,José Azocar,Erik Miller,0,b8e7700b-5f00-4e5b-8425-057dcbd486d9,669062.0,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.35,3.05,43.0,97.0,109.0,99.0,0.715,10.05,4.6,6.28,1.26,1.59,0.163,0.519,0.202,0.317,0.393,,,,96.0,96.0,92.0,,,,130.0,99.0,109.0,,,,,,,,,,,0.474,,,0.175,0.001,,0.26,,,,-1.79,3.88,,96.8,,,,82.6,81.1,,0.219,0.406,0.293,0.25,0.5,0.341,,,,,,,,,,,,,116.0,98.0,105.0,0.35,1.88,85.1,0.159,0.238,0.31,,,,,,,,,,,,,,,
2024-03-29,745435,Single,single,False,640492,690986,José Azocar,Kyle Harrison,0,be21cc3a-b028-4fd5-9398-a36532bc2ac1,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,,,,,,,0.61,,,0.004,0.186,,0.69,,,,-11.76,-0.51,,92.7,,,,88.2,81.3,,0.237,0.377,0.212,0.333,0.667,0.5,,,,,,,,,,,,,73.0,94.0,89.0,0.2,-2.37,85.4,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,
2024-03-29,745435,Strikeout,strikeout,True,640492,690986,José Azocar,Kyle Harrison,0,5a766882-8ae3-4ef7-8d40-d65bdc0f1f02,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,,,,,,,0.61,,,0.004,0.186,,0.69,,,,-11.76,-0.51,,92.7,,,,88.2,81.3,,0.237,0.377,0.212,0.333,0.667,0.5,,,,,,,,,,,,,73.0,94.0,89.0,0.2,-2.37,85.4,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,
2024-03-30,745436,Walk,walk,False,640492,666808,José Azocar,Camilo Doval,1,de3cd796-77ce-438d-b468-b9928021a12d,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,71.0,91.0,80.0,140.0,94.0,106.0,,,,94.0,102.0,95.0,,,,0.14,,0.373,,0.487,,,,-0.42,,-1.95,0.2,,,,99.6,,98.0,88.7,,,,,,0.216,0.311,0.468,0.333,0.476,0.175,,,,,,,0.26,0.5,0.241,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745438,Groundout,field_out,True,640492,694738,José Azocar,Landen Roupp,1,8dfb28dc-890d-4c20-9d46-cd55eaf33ffe,694738.0,landenroupp,Roupp,Right,Landen Roupp,SFG,6.06,6.38,16.1,92.0,132.0,102.0,0.748,8.27,5.51,9.37,0.55,1.4,0.2,0.32,0.22,0.26,0.394,156.0,100.0,117.0,65.0,61.0,62.0,110.0,88.0,91.0,114.0,71.0,82.0,,,,,,,,,,0.369,0.03,,,0.039,0.502,,-2.98,,,-1.31,-1.64,0.38,,93.4,,,94.4,83.5,77.0,,,,,,,,0.316,0.474,0.098,0.238,0.381,0.296,,,,,,,92.0,73.0,65.0,0.06,-1.22,88.5,0.25,0.25,0.6,,,,,,,,,,,,,,,
2024-04-03,745440,Single,single,False,640492,668868,José Azocar,Zack Thompson,0,4b3e1955-c034-422d-8b40-e5f402d56eee,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,59.0,102.0,101.0,15.0,94.0,72.0,,,,64.0,102.0,96.0,,,,,,,,,,,0.36,,,0.278,0.142,,-2.98,,,,-3.08,-6.64,,90.7,,,,82.9,73.5,,0.346,0.654,0.212,0.333,0.81,0.191,,,,0.455,0.818,0.188,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,640492,668868,José Azocar,Zack Thompson,0,4bf7b0bb-8ddd-43ae-b771-ade70cc7e8d2,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,59.0,102.0,101.0,15.0,94.0,72.0,,,,64.0,102.0,96.0,,,,,,,,,,,0.36,,,0.278,0.142,,-2.98,,,,-3.08,-6.64,,90.7,,,,82.9,73.5,,0.346,0.654,0.212,0.333,0.81,0.191,,,,0.455,0.818,0.188,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8,,,,,,
2024-04-03,745440,Sac Bunt,sac_bunt,True,640492,669461,José Azocar,Matthew Liberatore,1,f0bd0509-2b8d-4600-b06e-f4a732426657,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,128.0,97.0,102.0,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,101.0,111.0,110.0,,,,0.196,0.26,0.106,,0.302,0.073,,0.24,-1.7,,-2.85,3.84,0.19,,94.4,91.9,,95.2,87.5,77.8,,0.212,0.485,0.14,0.132,0.162,0.431,0.362,0.596,0.116,0.154,0.154,0.238,,,,0.474,0.684,0.228,46.0,89.0,90.0,0.063,-0.49,87.7,0.143,0.571,0.227,,,,,,,,,,,,,,,
2024-04-06,745359,Groundout,field_out,True,640492,687014,José Azocar,Nick Avila,0,a919ff03-794d-4aa7-8c00-b500e049e937,687014.0,nickavila,Avila,Right,Nick Avila,SFG,8.49,7.23,11.2,101.0,90.0,98.0,0.789,10.8,2.31,13.11,1.54,0.56,0.237,0.368,0.053,0.526,0.391,,,,93.0,111.0,107.0,85.0,99.0,86.0,102.0,118.0,117.0,83.0,103.0,98.0,90.0,88.0,88.0,,,,0.129,0.347,0.311,,0.04,,0.173,0.51,-5.12,,4.45,-13.31,,-4.51,94.5,87.4,,93.5,83.0,,79.7,0.2,0.467,0.333,0.333,1.333,0.333,0.182,0.364,0.111,0.5,0.75,0.278,,,,0.538,0.846,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745429,Single,single,False,640492,694037,José Azocar,Daniel Palencia,1,911ce037-c7e7-4bab-8672-0a6968ff8cc9,694037.0,danielpalencia,Palencia,Right,Daniel Palencia,CHC,6.55,4.3,11.0,94.0,114.0,99.0,0.767,9.82,6.55,9.0,0.0,2.11,0.194,0.29,0.161,0.355,0.49,82.0,91.0,89.0,113.0,93.0,103.0,110.0,69.0,66.0,114.0,106.0,108.0,,,,,,,127.0,72.0,87.0,0.1,0.535,,0.08,0.27,0.015,,-2.51,,-0.25,-0.97,3.94,3.33,,97.6,,90.1,97.4,89.6,84.1,,0.375,0.542,0.216,0.133,0.133,0.28,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,746164,Walk,walk,False,640492,598286,José Azocar,Nick Ramirez,1,121e4d87-645a-42cc-8ad2-91322dc5e691,598286.0,nickramirez,"Ramirez, N",Left,Nick Ramirez,LAD,6.35,7.6,11.1,92.0,80.0,94.0,0.817,3.18,5.56,11.12,0.0,1.83,0.195,0.512,0.098,0.439,0.408,,,,69.0,71.0,73.0,80.0,90.0,86.0,66.0,88.0,95.0,,,,,,,,,,0.471,0.013,,,0.248,,,-3.7,,,1.14,3.1,,,88.3,,,87.5,79.1,,,,,,0.1,0.1,0.222,0.261,0.304,0.094,,,,,,,,,,92.0,102.0,108.0,0.268,-8.53,78.4,0.583,0.833,0.273,,,,,,,,,,,,,,,
2024-04-16,746004,Strikeout,strikeout,True,640492,489119,José Azocar,Wade Miley,0,c0f8adb8-a4eb-4d81-8bb8-28e5a6a8255b,489119.0,wademiley,Miley,Left,Wade Miley,MIL,6.43,8.44,7.0,100.0,93.0,93.0,0.904,2.57,5.14,7.71,1.29,1.83,0.174,0.522,0.174,0.261,0.407,89.0,90.0,99.0,81.0,97.0,86.0,75.0,105.0,86.0,127.0,92.0,83.0,,,,93.0,104.0,99.0,,,,0.153,0.212,0.381,,0.025,0.025,,-0.24,0.54,,-1.79,-3.64,7.4,,90.1,86.9,,89.6,78.9,75.2,,0.286,0.286,0.077,,,,0.5,0.5,0.111,,,,,,,0.1,0.4,0.087,115.0,94.0,97.0,0.203,-1.97,83.4,0.5,0.5,0.167,,,,,,,,,,,,,,,
2024-04-16,746004,Single,single,False,640492,682842,José Azocar,Abner Uribe,0,0cc99f4f-d48c-47dd-a7d5-a047652679a2,682842.0,abneruribe,Uribe,Right,Abner Uribe,MIL,6.91,4.7,14.1,94.0,138.0,102.0,0.781,8.79,7.53,9.42,0.63,2.56,0.15,0.4,0.2,0.225,0.43,,,,95.0,57.0,54.0,128.0,93.0,98.0,159.0,97.0,113.0,,,,,,,,,,0.647,0.008,,,0.345,,,-3.7,,,0.02,-0.32,,,100.1,,,98.7,87.9,,,,,,0.267,0.267,0.423,0.282,0.436,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,746004,Strikeout,strikeout,True,640492,571948,José Azocar,Hoby Milner,0,6e006e62-5470-4628-b46a-366b35420efe,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,,,,,,,0.346,0.178,,,0.346,,,1.4,,,-2.37,1.03,,,88.7,,,88.4,79.4,,,0.1,0.233,0.242,0.22,0.36,0.271,0.418,0.597,0.044,,,,,,,,,,86.0,106.0,95.0,0.131,1.39,81.2,0.158,0.368,0.3,,,,,,,,,,,,,,,
2024-04-16,746004,Flyout,field_out,True,640492,657649,José Azocar,Jared Koenig,0,5a3a1e97-fec8-4a96-be0e-c508398484a3,657649.0,jaredkoenig,Koenig,Left,Jared Koenig,MIL,1.66,3.08,38.0,102.0,89.0,99.0,0.763,8.53,2.61,6.39,0.71,1.35,0.223,0.427,0.223,0.282,0.488,95.0,109.0,104.0,81.0,117.0,116.0,89.0,100.0,97.0,,,,,,,91.0,101.0,99.0,,,,0.586,0.002,0.238,,,0.154,,-3.7,1.4,,1.64,,1.05,,95.0,90.4,,94.5,,80.8,,,,,,,,0.2,0.282,0.178,0.19,0.19,0.471,,,,0.194,0.323,0.278,66.0,87.0,87.0,0.02,3.47,84.8,,,,,,,,,,,,,,,,,,
2024-04-20,745431,Single,single,False,640492,621244,José Azocar,José Berríos,1,415490c7-d7c7-4938-a9c8-803c2419f75c,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,0.301,,-1.98,-2.81,,0.53,,0.16,,94.0,91.7,,93.5,,83.0,,0.333,0.648,0.183,,,,0.288,0.378,0.124,,,,,,,0.375,0.438,0.03,89.0,103.0,101.0,0.163,1.45,84.5,0.153,0.376,0.241,0.202,0.403,0.286,,,,,,,,,,,,
