date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff
2024-08-10,747164,Groundout,field_out,True,670276,543518,Cal Stevenson,Scott McGough,0,ffa3968f-9af4-4e4a-a760-4be30783c448,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,6.83,5.97,29.0,95.0,88.0,92.0,0.754,6.21,5.9,8.69,1.55,0.97,0.275,0.275,0.132,0.363,0.417,,,,99.0,94.0,92.0,83.0,114.0,99.0,118.0,102.0,108.0,,,,,,,0.041,0.504,,0.129,0.002,,-2.83,,7.02,1.26,4.99,,93.1,,,93.4,87.3,78.6,0.345,0.69,0.186,,,,,,,0.267,0.4,0.2,,,,0.0,0.0,0.111,,,,,,,61.0,93.0,86.0,0.324,-0.29,85.0,0.129,0.258,0.402,,,,,,,,,,,,
2024-08-11,747166,Groundout,field_out,True,670276,518876,Cal Stevenson,Merrill Kelly,0,692c45ca-6595-465b-b777-ac6acf1625b5,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.98,5.18,40.2,104.0,100.0,100.0,0.802,7.08,2.88,7.75,1.33,1.09,0.25,0.491,0.155,0.293,0.376,123.0,109.0,105.0,76.0,103.0,95.0,82.0,96.0,88.0,119.0,111.0,111.0,,,,94.0,101.0,97.0,0.126,0.207,0.257,0.146,,0.202,1.27,0.74,-6.9,0.75,,3.77,91.7,90.1,88.3,91.9,85.4,,0.154,0.346,0.241,0.25,0.625,0.118,0.132,0.132,0.303,0.28,0.36,0.412,0.25,0.469,0.093,0.474,1.0,0.098,125.0,108.0,105.0,0.062,-3.02,81.6,,,,,,,,,,,,,,,,,,,,,
2024-08-11,747166,Strikeout,strikeout,True,670276,518876,Cal Stevenson,Merrill Kelly,0,db46637b-f5ac-4b74-83cf-7b467b38d8bb,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.98,5.18,40.2,104.0,100.0,100.0,0.802,7.08,2.88,7.75,1.33,1.09,0.25,0.491,0.155,0.293,0.376,123.0,109.0,105.0,76.0,103.0,95.0,82.0,96.0,88.0,119.0,111.0,111.0,,,,94.0,101.0,97.0,0.126,0.207,0.257,0.146,,0.202,1.27,0.74,-6.9,0.75,,3.77,91.7,90.1,88.3,91.9,85.4,,0.154,0.346,0.241,0.25,0.625,0.118,0.132,0.132,0.303,0.28,0.36,0.412,0.25,0.469,0.093,0.474,1.0,0.098,125.0,108.0,105.0,0.062,-3.02,81.6,,,,,,,,,,,,,,,,,,,,,
2024-08-11,747166,Single,single,False,670276,571670,Cal Stevenson,Dylan Floro,1,2645ea7f-da71-40e3-ad32-a99445ffb121,571670.0,dylanfloro,Floro,Right,Dylan Floro,- - -,2.63,3.22,61.2,105.0,75.0,95.0,0.825,6.28,2.04,7.74,0.29,1.43,0.297,0.357,0.13,0.303,0.443,62.0,108.0,93.0,83.0,107.0,97.0,77.0,107.0,97.0,73.0,99.0,91.0,,,,,,,0.464,0.17,,0.282,,0.084,2.56,,2.24,1.22,,-1.62,89.9,,83.9,90.1,83.5,,0.175,0.175,0.197,,,,0.35,0.35,0.229,0.204,0.278,0.324,,,,0.252,0.333,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,747166,Walk,walk,False,670276,623149,Cal Stevenson,Paul Sewald,0,32082af1-c80d-4700-a3f3-c6a5f5876bb2,623149.0,paulsewald,Sewald,Right,Paul Sewald,ARI,4.15,4.17,34.2,100.0,117.0,103.0,0.788,9.61,2.6,8.05,1.04,0.57,0.302,0.365,0.219,0.375,0.489,88.0,62.0,70.0,118.0,101.0,99.0,,,,115.0,99.0,110.0,,,,,,,,0.601,,0.391,,0.007,-0.53,,,1.03,,1.37,91.3,,84.2,,83.0,,0.253,0.446,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,0.367,0.257,,,,,,,,,
2024-08-13,745548,Flyout,field_out,True,670276,622786,Cal Stevenson,Jesus Tinoco,0,d59e4550-9d86-4612-bcf4-4c80a706536b,622786.0,jesustinoco,Tinoco,Right,Jesus Tinoco,- - -,3.38,3.27,29.1,104.0,121.0,107.0,0.754,9.82,3.38,6.14,0.61,1.17,0.284,0.311,0.203,0.378,0.406,96.0,86.0,85.0,105.0,100.0,100.0,96.0,98.0,100.0,139.0,108.0,114.0,,,,115.0,136.0,96.0,0.32,0.136,0.002,0.527,,0.015,-2.19,21.36,1.59,2.08,,-2.04,96.2,92.4,90.3,96.2,86.7,,0.267,0.533,0.211,,,,0.333,0.333,0.5,0.118,0.176,0.382,,,,0.25,0.306,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,745542,Single,single,False,670276,640448,Cal Stevenson,Kyle Finnegan,1,5237fdf9-1100-4030-8f06-2377f26ceaf6,640448.0,kylefinnegan,Finnegan,Right,Kyle Finnegan,WSN,3.52,4.44,53.2,106.0,99.0,103.0,0.786,8.55,3.19,8.05,1.51,1.26,0.295,0.34,0.154,0.372,0.517,,,,97.0,108.0,103.0,,,,110.0,109.0,109.0,,,,,,,,0.676,,0.056,,,0.11,,,0.9,,,97.2,,,,85.3,,0.272,0.426,0.201,,,,,,,0.167,0.167,0.4,,,,,,,,,,,,,104.0,101.0,102.0,0.268,0.58,88.6,0.172,0.414,0.306,,,,,,,,,,,,
2024-08-18,745539,Flyout,field_out,True,670276,663623,Cal Stevenson,Jake Irvin,0,20344d58-455f-4ff9-9f07-35c104d126a4,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,,,,78.0,103.0,93.0,0.184,0.375,0.076,0.004,,0.033,0.61,-0.21,-0.78,-14.36,,0.77,94.0,89.9,88.4,93.2,85.9,,0.204,0.376,0.243,0.215,0.419,0.249,0.182,0.182,0.303,,,,0.295,0.545,0.202,0.333,0.492,0.124,111.0,105.0,106.0,0.328,0.43,81.1,,,,,,,,,,,,,,,,,,,,,
2024-08-18,745539,Flyout,field_out,True,670276,663623,Cal Stevenson,Jake Irvin,0,c61b9cef-5209-4476-8383-f101a996984e,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,,,,78.0,103.0,93.0,0.184,0.375,0.076,0.004,,0.033,0.61,-0.21,-0.78,-14.36,,0.77,94.0,89.9,88.4,93.2,85.9,,0.204,0.376,0.243,0.215,0.419,0.249,0.182,0.182,0.303,,,,0.295,0.545,0.202,0.333,0.492,0.124,111.0,105.0,106.0,0.328,0.43,81.1,,,,,,,,,,,,,,,,,,,,,
2024-08-18,745539,Groundout,field_out,True,670276,663623,Cal Stevenson,Jake Irvin,0,882e2482-45e9-4330-9b03-89e3bfe5307f,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,,,,78.0,103.0,93.0,0.184,0.375,0.076,0.004,,0.033,0.61,-0.21,-0.78,-14.36,,0.77,94.0,89.9,88.4,93.2,85.9,,0.204,0.376,0.243,0.215,0.419,0.249,0.182,0.182,0.303,,,,0.295,0.545,0.202,0.333,0.492,0.124,111.0,105.0,106.0,0.328,0.43,81.1,,,,,,,,,,,,,,,,,,,,,
2024-08-18,745539,Grounded Into DP,grounded_into_double_play,True,670276,640448,Cal Stevenson,Kyle Finnegan,1,960b43ea-fd7e-4b42-a2ce-9d5bb0ba4efe,640448.0,kylefinnegan,Finnegan,Right,Kyle Finnegan,WSN,3.52,4.44,53.2,106.0,99.0,103.0,0.786,8.55,3.19,8.05,1.51,1.26,0.295,0.34,0.154,0.372,0.517,,,,97.0,108.0,103.0,,,,110.0,109.0,109.0,,,,,,,,0.676,,0.056,,,0.11,,,0.9,,,97.2,,,,85.3,,0.272,0.426,0.201,,,,,,,0.167,0.167,0.4,,,,,,,,,,,,,104.0,101.0,102.0,0.268,0.58,88.6,0.172,0.414,0.306,,,,,,,,,,,,
