date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-04-10,745429,Strikeout,strikeout,True,664954,621016,Brett Sullivan,Jose Cuas,0,ebd56ef6-4bda-46b3-a6ea-a8b697c72d9c,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,144.0,105.0,101.0,110.0,66.0,80.0,,,,,,,0.314,,0.248,,0.038,-0.13,,-6.51,,-5.51,91.5,,87.4,82.6,,0.333,0.833,0.435,0.273,0.455,0.333,,,,,,,,,,,,,88.0,93.0,89.0,0.4,,-0.59,,92.3,,0.286,0.464,0.186,,,,,,,,,,,,,,,
2024-04-13,746161,Strikeout,strikeout,True,664954,543339,Brett Sullivan,Daniel Hudson,0,c9055afd-ccc8-4848-90bb-5d49441490ac,543339.0,danielhudson,"Hudson, Dan",Right,Daniel Hudson,LAD,1.59,2.68,39.2,105.0,101.0,105.0,0.692,9.76,1.59,5.67,1.13,0.8,0.26,0.42,0.13,0.28,0.416,73.0,98.0,105.0,112.0,105.0,105.0,91.0,104.0,104.0,,,,,,,0.514,,0.395,,0.039,2.0,,1.08,,0.92,95.3,,89.0,88.1,,0.119,0.254,0.44,0.191,0.353,0.287,,,,,,,,,,,,,88.0,109.0,117.0,0.052,,-1.15,,95.3,,0.385,0.385,0.15,,,,,,,,,,,,,,,
2024-06-23,745396,Flyout,field_out,True,664954,668964,Brett Sullivan,Tobias Myers,0,b08da504-9291-4191-9774-46af85730895,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,85.0,106.0,102.0,93.0,106.0,104.0,,,,96.0,101.0,91.0,0.4,0.229,0.192,,0.12,1.01,-1.06,2.07,,0.93,92.7,89.4,81.2,85.4,,0.18,0.2,0.324,0.207,0.413,0.174,0.5,0.7,0.1,0.333,0.509,0.152,0.091,0.091,0.431,72.0,100.0,102.0,75.0,91.0,71.0,0.007,0.051,13.69,-3.98,91.2,77.7,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-06-23,745396,Single,single,False,664954,668964,Brett Sullivan,Tobias Myers,1,15b19293-925c-4774-a3d6-a3b7a85bbc4c,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,85.0,106.0,102.0,93.0,106.0,104.0,,,,96.0,101.0,91.0,0.4,0.229,0.192,,0.12,1.01,-1.06,2.07,,0.93,92.7,89.4,81.2,85.4,,0.18,0.2,0.324,0.207,0.413,0.174,0.5,0.7,0.1,0.333,0.509,0.152,0.091,0.091,0.431,72.0,100.0,102.0,75.0,91.0,71.0,0.007,0.051,13.69,-3.98,91.2,77.7,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-06-23,745396,Pop Out,field_out,True,664954,663542,Brett Sullivan,Bryan Hudson,0,b5cd2389-2b70-4c5e-8ab8-c042d23b4fe8,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,,,,84.0,106.0,103.0,113.0,105.0,107.0,,,,50.0,97.0,98.0,0.526,0.221,0.253,,,1.88,-0.05,2.78,,,91.7,86.7,,81.9,,0.039,0.078,0.359,0.185,0.346,0.197,,,,0.219,0.531,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-29,746940,Strikeout,strikeout,True,664954,656557,Brett Sullivan,Tanner Houck,0,adb18e63-9138-434f-b56b-600845411034,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,115.0,102.0,113.0,,,,95.0,93.0,93.0,,0.022,0.423,,,,-0.99,1.85,,,,87.1,,83.1,,0.191,0.275,0.294,,,,,,,0.2,0.4,0.235,,,,,,,96.0,103.0,97.0,0.299,,0.49,,93.4,,0.275,0.344,0.129,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,
2024-06-29,746940,Groundout,field_out,True,664954,656557,Brett Sullivan,Tanner Houck,0,a73e3a1f-6f20-4bcf-935d-0711b61b996c,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,115.0,102.0,113.0,,,,95.0,93.0,93.0,,0.022,0.423,,,,-0.99,1.85,,,,87.1,,83.1,,0.191,0.275,0.294,,,,,,,0.2,0.4,0.235,,,,,,,96.0,103.0,97.0,0.299,,0.49,,93.4,,0.275,0.344,0.129,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,
2024-06-29,746940,Home Run,home_run,False,664954,690544,Brett Sullivan,Bailey Horn,1,549ce0b3-03f1-4ebd-b40d-d2369db8fcce,690544.0,baileyhorn,Horn,Left,Bailey Horn,BOS,2.45,2.62,7.1,97.0,114.0,106.0,0.765,7.36,2.45,8.59,1.23,3.5,0.13,0.391,0.304,0.13,0.547,,,,84.0,97.0,89.0,131.0,96.0,114.0,,,,83.0,80.0,78.0,0.196,0.093,0.617,,,-6.36,0.07,1.98,,,94.6,87.8,,81.7,,0.227,0.273,0.233,0.5,1.25,0.083,,,,,,,,,,99.0,115.0,110.0,,,,,0.093,,3.63,,77.0,,,,,,,,,,,,,,,,,,
2024-06-29,746940,Single,single,False,664954,690544,Brett Sullivan,Bailey Horn,1,8b33778d-c380-49e5-b3d4-0e8c3e7cee40,690544.0,baileyhorn,Horn,Left,Bailey Horn,BOS,2.45,2.62,7.1,97.0,114.0,106.0,0.765,7.36,2.45,8.59,1.23,3.5,0.13,0.391,0.304,0.13,0.547,,,,84.0,97.0,89.0,131.0,96.0,114.0,,,,83.0,80.0,78.0,0.196,0.093,0.617,,,-6.36,0.07,1.98,,,94.6,87.8,,81.7,,0.227,0.273,0.233,0.5,1.25,0.083,,,,,,,,,,99.0,115.0,110.0,,,,,0.093,,3.63,,77.0,,,,,,,,,,,,,,,,,,
2024-06-29,746940,Flyout,field_out,True,664954,642086,Brett Sullivan,Dominic Smith,0,2a5287ea-7282-46f0-ac60-1321d61e620b,642086.0,dominicsmith,"Smith, Do",Left,Dominic Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
