date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff
2024-03-30,746736,Single,single,False,702358,668881,Trey Lipscomb,Hunter Greene,0,e051b514-0a45-480c-aeea-5904d3212251,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,117.0,97.0,101.0,124.0,100.0,103.0,127.0,95.0,103.0,118.0,91.0,104.0,0.556,0.083,0.34,0.021,1.2,-0.91,0.09,-1.96,97.7,86.8,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Groundout,field_out,True,702358,668881,Trey Lipscomb,Hunter Greene,0,c9f97d90-618f-4177-acfc-88c125386893,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,117.0,97.0,101.0,124.0,100.0,103.0,127.0,95.0,103.0,118.0,91.0,104.0,0.556,0.083,0.34,0.021,1.2,-0.91,0.09,-1.96,97.7,86.8,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Strikeout,strikeout,True,702358,518585,Trey Lipscomb,Fernando Cruz,0,92b27bf0-7155-4fe9-876c-b1cd0ee9b0d5,518585.0,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.65,3.82,40.2,95.0,118.0,101.0,0.618,14.39,4.65,6.64,0.89,0.81,0.188,0.412,0.165,0.365,0.375,,,,90.0,95.0,89.0,,,,159.0,95.0,113.0,0.301,0.431,,,-0.28,2.35,,,94.7,81.7,,,0.316,0.553,0.178,,,,0.09,0.128,0.573,,,,,,,,,,82.0,94.0,95.0,,0.268,,-1.25,,,88.8,,,,,,0.344,0.719,0.317,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Groundout,field_out,True,702358,608371,Trey Lipscomb,Lucas Sims,0,0963a532-f21a-4d23-b896-6764690520da,608371.0,lucassims,Sims,Right,Lucas Sims,CIN,3.38,4.51,32.0,95.0,131.0,105.0,0.762,9.84,5.34,7.88,1.69,0.52,0.256,0.36,0.326,0.267,0.403,105.0,98.0,101.0,114.0,90.0,94.0,151.0,96.0,114.0,29.0,81.0,73.0,0.379,0.003,0.492,0.06,-2.13,9.84,0.59,-1.85,94.2,88.3,84.1,79.9,0.265,0.551,0.248,0.214,0.375,0.244,,,,0.4,0.4,0.364,,,,,,,120.0,109.0,105.0,,0.065,,3.57,,,91.6,,,,,,0.143,0.143,0.478,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746739,Groundout,field_out,True,702358,607259,Trey Lipscomb,Nick Martinez,0,2662fb27-6908-4cad-91e3-2b04ccdd13fa,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,109.0,102.0,103.0,90.0,109.0,107.0,101.0,109.0,111.0,,,,0.219,,0.083,0.131,0.96,,0.29,-2.24,92.6,,84.7,81.1,0.206,0.317,0.188,0.235,0.294,0.432,,,,0.381,0.714,0.37,118.0,115.0,119.0,84.0,106.0,97.0,101.0,108.0,104.0,0.152,0.199,0.217,0.21,1.08,0.75,88.5,80.0,91.9,0.24,0.34,0.053,0.345,0.5,0.145,0.211,0.38,0.384,,,,,,,,,,,,,,,,,,
2024-03-31,746739,Single,single,False,702358,607259,Trey Lipscomb,Nick Martinez,1,a5cf5d89-7928-42ba-9c33-dbc8a36aec52,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,109.0,102.0,103.0,90.0,109.0,107.0,101.0,109.0,111.0,,,,0.219,,0.083,0.131,0.96,,0.29,-2.24,92.6,,84.7,81.1,0.206,0.317,0.188,0.235,0.294,0.432,,,,0.381,0.714,0.37,118.0,115.0,119.0,84.0,106.0,97.0,101.0,108.0,104.0,0.152,0.199,0.217,0.21,1.08,0.75,88.5,80.0,91.9,0.24,0.34,0.053,0.345,0.5,0.145,0.211,0.38,0.384,,,,,,,,,,,,,,,,,,
2024-03-31,746739,Home Run,home_run,False,702358,571656,Trey Lipscomb,Buck Farmer,0,3f333469-8d2c-4e11-8ea9-da79f3ad1a69,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.8,4.36,45.0,97.0,90.0,98.0,0.777,7.8,3.6,7.2,0.8,0.81,0.24,0.388,0.178,0.279,0.387,,,,53.0,94.0,81.0,117.0,100.0,111.0,,,,0.244,,0.33,,0.58,,1.87,,92.7,,82.1,,0.2,0.4,0.153,0.125,0.271,0.374,,,,,,,110.0,102.0,106.0,70.0,90.0,89.0,,,,0.21,,0.216,,0.81,-0.98,,86.6,92.3,0.282,0.436,0.182,,,,0.297,0.351,0.259,,,,,,,,,,,,,,,,,,
2024-03-31,746739,Walk,walk,False,702358,622088,Trey Lipscomb,Tejay Antone,1,eda7d3d7-0a56-4aef-a6c8-69614d49c787,622088.0,tejayantone,Antone,Right,Tejay Antone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Single,single,False,702358,594835,Trey Lipscomb,Marco Gonzales,0,c82c24b4-e005-4a50-adc7-8a27644c73ff,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,PIT,2.45,4.89,22.0,104.0,73.0,95.0,0.819,6.14,2.05,9.0,0.41,1.35,0.188,0.391,0.203,0.319,0.385,82.0,92.0,84.0,61.0,97.0,89.0,,,,,,,0.237,,,0.069,-1.73,,,-8.61,90.1,,,79.5,0.375,0.438,0.188,,,,,,,0.364,0.818,0.0,89.0,118.0,109.0,60.0,108.0,92.0,79.0,105.0,98.0,0.161,0.289,0.243,3.41,1.25,3.68,85.8,80.5,90.1,0.267,0.4,0.0,0.214,0.214,0.146,0.179,0.214,0.395,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Grounded Into DP,grounded_into_double_play,True,702358,594835,Trey Lipscomb,Marco Gonzales,1,92edbb91-906e-4ed6-b40b-e3091332a805,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,PIT,2.45,4.89,22.0,104.0,73.0,95.0,0.819,6.14,2.05,9.0,0.41,1.35,0.188,0.391,0.203,0.319,0.385,82.0,92.0,84.0,61.0,97.0,89.0,,,,,,,0.237,,,0.069,-1.73,,,-8.61,90.1,,,79.5,0.375,0.438,0.188,,,,,,,0.364,0.818,0.0,89.0,118.0,109.0,60.0,108.0,92.0,79.0,105.0,98.0,0.161,0.289,0.243,3.41,1.25,3.68,85.8,80.5,90.1,0.267,0.4,0.0,0.214,0.214,0.146,0.179,0.214,0.395,,,,,,,,,,,,,,,,,,
