date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,vSC (sc),SC%,wSC/C,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-09-16,745130,Groundout,field_out,True,694377,669467,Nick Yorke,Andre Pallante,0,8ddfc787-4bba-45b8-bad6-09c4a458926a,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,3.87,3.55,109.1,96.0,91.0,96.0,0.818,7.08,3.79,8.4,0.66,2.77,0.239,0.414,0.181,0.269,0.432,87.0,90.0,92.0,86.0,98.0,89.0,111.0,104.0,110.0,88.0,100.0,109.0,0.198,0.503,0.173,0.125,1.08,-0.09,-0.29,-0.27,94.6,94.9,87.7,79.7,0.243,0.317,0.172,0.253,0.354,0.133,0.28,0.413,0.28,0.175,0.286,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,745130,Strikeout,strikeout,True,694377,669467,Nick Yorke,Andre Pallante,0,9dcb0fd0-aa30-42aa-a9d6-d3e0d5afd2d5,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,3.87,3.55,109.1,96.0,91.0,96.0,0.818,7.08,3.79,8.4,0.66,2.77,0.239,0.414,0.181,0.269,0.432,87.0,90.0,92.0,86.0,98.0,89.0,111.0,104.0,110.0,88.0,100.0,109.0,0.198,0.503,0.173,0.125,1.08,-0.09,-0.29,-0.27,94.6,94.9,87.7,79.7,0.243,0.317,0.172,0.253,0.354,0.133,0.28,0.413,0.28,0.175,0.286,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,745130,Forceout,force_out,True,694377,669467,Nick Yorke,Andre Pallante,1,94e81e4e-e3f2-4c0f-9e7b-8ff4d26fe656,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,3.87,3.55,109.1,96.0,91.0,96.0,0.818,7.08,3.79,8.4,0.66,2.77,0.239,0.414,0.181,0.269,0.432,87.0,90.0,92.0,86.0,98.0,89.0,111.0,104.0,110.0,88.0,100.0,109.0,0.198,0.503,0.173,0.125,1.08,-0.09,-0.29,-0.27,94.6,94.9,87.7,79.7,0.243,0.317,0.172,0.253,0.354,0.133,0.28,0.413,0.28,0.175,0.286,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,745122,Groundout,field_out,True,694377,458681,Nick Yorke,Lance Lynn,0,507dd15b-b413-4fb5-98e7-70caabb7c440,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.98,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,,,,0.167,0.472,0.013,,0.87,-0.46,-1.62,,92.3,91.2,82.0,,0.199,0.393,0.287,0.284,0.469,0.11,,,,0.211,0.342,0.203,61.0,88.0,82.0,112.0,97.0,99.0,0.062,0.063,-1.97,-2.46,84.8,80.4,0.25,0.25,0.0,0.292,0.292,0.225,91.0,101.0,94.0,0.223,-1.02,88.1,0.317,0.426,0.262,,,,,,,,,,,,
2024-09-17,745122,Single,single,False,694377,458681,Nick Yorke,Lance Lynn,0,c3674f90-467e-4b9d-9da5-5ad3f875e257,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.98,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,,,,0.167,0.472,0.013,,0.87,-0.46,-1.62,,92.3,91.2,82.0,,0.199,0.393,0.287,0.284,0.469,0.11,,,,0.211,0.342,0.203,61.0,88.0,82.0,112.0,97.0,99.0,0.062,0.063,-1.97,-2.46,84.8,80.4,0.25,0.25,0.0,0.292,0.292,0.225,91.0,101.0,94.0,0.223,-1.02,88.1,0.317,0.426,0.262,,,,,,,,,,,,
2024-09-17,745122,Single,single,False,694377,681676,Nick Yorke,Ryan Fernandez,0,7f50a21f-c726-4000-8db3-ed147e6f9701,681676.0,ryanfernandez,Fernandez,Right,Ryan Fernandez,STL,3.06,3.52,64.2,100.0,104.0,100.0,0.708,9.32,4.31,7.52,0.56,1.36,0.218,0.46,0.109,0.305,0.372,109.0,89.0,85.0,79.0,92.0,97.0,114.0,106.0,109.0,,,,0.013,0.402,0.478,,0.33,1.56,1.26,,95.4,95.6,87.3,,0.293,0.341,0.204,,,,0.175,0.286,0.403,,,,,,,,,,,,,,,,,,,,,,96.0,100.0,96.0,0.107,-0.16,90.1,0.308,0.462,0.184,,,,,,,,,,,,
2024-09-17,745122,Single,single,False,694377,664854,Nick Yorke,Ryan Helsley,0,5ef60c9f-b7f6-4201-894d-fc1bc6ea083e,664854.0,ryanhelsley,Helsley,Right,Ryan Helsley,STL,2.09,2.71,64.2,100.0,147.0,111.0,0.672,10.72,3.2,6.82,0.42,0.89,0.28,0.329,0.161,0.298,0.462,134.0,99.0,105.0,,,,164.0,102.0,117.0,,,,,0.455,0.483,,0.57,,2.85,,99.6,,89.2,,0.278,0.371,0.187,,,,0.167,0.192,0.508,0.133,0.333,0.438,,,,105.0,97.0,114.0,0.062,,1.23,,,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745121,Flyout,field_out,True,694377,543243,Nick Yorke,Sonny Gray,1,9c7b927b-2022-4421-98d2-c51ede6db6b3,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.7,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,,,,0.178,0.239,0.201,0.0,-0.05,1.64,0.95,-2.38,92.4,92.7,84.8,75.4,0.333,0.567,0.178,0.2,0.385,0.208,,,,0.21,0.452,0.331,69.0,91.0,86.0,118.0,96.0,97.0,0.139,0.064,0.7,-2.24,88.3,80.0,0.142,0.205,0.444,0.357,0.714,0.328,92.0,98.0,96.0,0.178,0.2,87.7,0.287,0.494,0.299,,,,,,,,,,,,
2024-09-18,745121,Single,single,False,694377,543243,Nick Yorke,Sonny Gray,1,69d66187-5d97-4894-8497-44f5821749da,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.7,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,,,,0.178,0.239,0.201,0.0,-0.05,1.64,0.95,-2.38,92.4,92.7,84.8,75.4,0.333,0.567,0.178,0.2,0.385,0.208,,,,0.21,0.452,0.331,69.0,91.0,86.0,118.0,96.0,97.0,0.139,0.064,0.7,-2.24,88.3,80.0,0.142,0.205,0.444,0.357,0.714,0.328,92.0,98.0,96.0,0.178,0.2,87.7,0.287,0.494,0.299,,,,,,,,,,,,
2024-09-18,745121,Single,single,False,694377,543243,Nick Yorke,Sonny Gray,0,6e8da706-efee-4d79-b8cf-5a1ca028cc94,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.7,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,,,,0.178,0.239,0.201,0.0,-0.05,1.64,0.95,-2.38,92.4,92.7,84.8,75.4,0.333,0.567,0.178,0.2,0.385,0.208,,,,0.21,0.452,0.331,69.0,91.0,86.0,118.0,96.0,97.0,0.139,0.064,0.7,-2.24,88.3,80.0,0.142,0.205,0.444,0.357,0.714,0.328,92.0,98.0,96.0,0.178,0.2,87.7,0.287,0.494,0.299,,,,,,,,,,,,
