date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP,vSC (sc),SC%,wSC/C
2024-03-30,746736,Groundout,field_out,True,571912,571578,Luke Maile,Patrick Corbin,0,4f070cf7-337b-4847-8d07-b5a5f5aec01b,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,85.0,96.0,96.0,,,,0.103,,0.316,,-1.09,,0.02,,91.3,,79.7,,0.324,0.541,0.117,0.25,0.384,0.352,,,,,,,88.0,95.0,96.0,71.0,102.0,92.0,79.0,106.0,99.0,0.352,0.179,0.05,0.23,-1.8,-4.62,84.5,81.2,91.4,0.326,0.578,0.089,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Home Run,home_run,False,571912,571578,Luke Maile,Patrick Corbin,1,f7c24557-ad2c-4b8e-8c49-c023b7759567,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,85.0,96.0,96.0,,,,0.103,,0.316,,-1.09,,0.02,,91.3,,79.7,,0.324,0.541,0.117,0.25,0.384,0.352,,,,,,,88.0,95.0,96.0,71.0,102.0,92.0,79.0,106.0,99.0,0.352,0.179,0.05,0.23,-1.8,-4.62,84.5,81.2,91.4,0.326,0.578,0.089,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Strikeout,strikeout,True,571912,607179,Luke Maile,Jordan Weems,0,304e8df6-7b98-43de-af13-ee89283d4a70,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,144.0,94.0,115.0,100.0,94.0,90.0,122.0,99.0,103.0,,,,0.605,,0.358,0.009,0.22,,-0.74,-8.86,96.1,,87.7,79.7,0.247,0.371,0.173,0.241,0.466,0.289,,,,,,,104.0,82.0,96.0,,,,,,,,,0.028,,,-14.18,,87.4,,,,,,,,0.8,1.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746736,Walk,walk,False,571912,640448,Luke Maile,Kyle Finnegan,0,7b4b3d8f-0b06-4495-8bc8-6ec4c14be186,640448.0,kylefinnegan,Finnegan,Right,Kyle Finnegan,WSN,2.43,4.27,40.2,106.0,101.0,102.0,0.78,9.3,3.1,6.2,1.33,1.22,0.29,0.346,0.168,0.374,0.513,,,,99.0,107.0,102.0,110.0,108.0,110.0,104.0,104.0,102.0,0.686,0.257,0.057,,1.45,-0.04,1.89,,97.2,89.0,85.3,,0.2,0.316,0.197,0.125,0.125,0.438,0.182,0.432,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746739,Lineout,field_out,True,571912,640448,Luke Maile,Kyle Finnegan,0,89f486f3-111b-49db-8683-916e199bf69c,640448.0,kylefinnegan,Finnegan,Right,Kyle Finnegan,WSN,2.43,4.27,40.2,106.0,101.0,102.0,0.78,9.3,3.1,6.2,1.33,1.22,0.29,0.346,0.168,0.374,0.513,,,,99.0,107.0,102.0,110.0,108.0,110.0,104.0,104.0,102.0,0.686,0.257,0.057,,1.45,-0.04,1.89,,97.2,89.0,85.3,,0.2,0.316,0.197,0.125,0.125,0.438,0.182,0.432,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745600,Strikeout,strikeout,True,571912,650911,Luke Maile,Cristopher Sánchez,1,220b66ad-fcf5-4cef-a43a-a8429a089bbf,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,,,,,,,95.0,100.0,104.0,,,,,,0.184,,,,1.12,,,,84.1,,,,,0.217,0.319,0.292,,,,,,,84.0,104.0,113.0,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,0.337,2.59,-0.18,2.05,86.5,85.2,94.4,0.343,0.436,0.1,,,,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745600,Strikeout,strikeout,True,571912,650911,Luke Maile,Cristopher Sánchez,0,bad9934f-8510-4d60-bb56-75adfdf3905a,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,,,,,,,95.0,100.0,104.0,,,,,,0.184,,,,1.12,,,,84.1,,,,,0.217,0.319,0.292,,,,,,,84.0,104.0,113.0,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,0.337,2.59,-0.18,2.05,86.5,85.2,94.4,0.343,0.436,0.1,,,,0.166,0.185,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745600,Groundout,field_out,True,571912,621381,Luke Maile,Matt Strahm,0,e053a58e-e429-41e8-879a-2f0968f77f31,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,118.0,111.0,113.0,,,,0.554,,0.192,,1.87,,1.74,,93.4,,81.4,,0.195,0.312,0.26,0.091,0.182,0.372,,,,,,,,,,103.0,104.0,99.0,99.0,104.0,97.0,0.149,0.104,,4.44,-0.14,,88.0,,93.4,0.333,0.389,0.184,0.1,0.2,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745600,Strikeout,strikeout,True,571912,621237,Luke Maile,José Alvarado,1,bd479806-a51f-4a9c-b6c6-9c57822aeb1a,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.0,95.0,69.0,97.0,94.0,0.597,0.403,,1.06,0.58,,92.6,,97.8,0.27,0.416,0.132,0.14,0.158,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,746733,Groundout,field_out,True,571912,500779,Luke Maile,Jose Quintana,0,56d48d51-2eb1-4d78-a9f4-7af101fa0d7e,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,108.0,104.0,101.0,69.0,93.0,86.0,,,,,,,0.207,,,0.277,-1.6,,,0.72,90.5,,,77.8,0.281,0.579,0.149,,,,,,,0.255,0.415,0.247,71.0,101.0,97.0,75.0,97.0,91.0,,,,0.318,,0.199,,-0.01,0.78,,85.8,90.7,0.271,0.504,0.137,,,,0.188,0.263,0.314,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,
