date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff
2024-05-10,745506,Single,single,False,693304,665871,Nick Gonzales,Javier Assad,1,ba75ed96-b3e6-4569-b40a-925d354fd1be,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,121.0,99.0,106.0,0.185,0.096,0.11,0.037,-0.69,-3.1,0.3,-1.03,91.9,84.3,80.2,76.7,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,0.163,0.245,0.31,78.0,99.0,91.0,98.0,97.0,94.0,0.37,0.202,-1.88,1.32,87.9,91.7,0.213,0.309,0.097,0.333,0.737,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745506,Flyout,field_out,True,693304,665871,Nick Gonzales,Javier Assad,1,45f8cf47-3267-4f3d-967e-ac706aea01cc,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,121.0,99.0,106.0,0.185,0.096,0.11,0.037,-0.69,-3.1,0.3,-1.03,91.9,84.3,80.2,76.7,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,0.163,0.245,0.31,78.0,99.0,91.0,98.0,97.0,94.0,0.37,0.202,-1.88,1.32,87.9,91.7,0.213,0.309,0.097,0.333,0.737,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745506,Strikeout,strikeout,True,693304,676962,Nick Gonzales,Ben Brown,0,0d46bc31-f5ad-4231-be09-989c9b619255,676962.0,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.16,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,112.0,95.0,87.0,,,,98.0,98.0,96.0,,,,0.627,,,0.016,0.78,,,-3.6,96.4,90.6,,,0.25,0.352,0.185,,,,0.5,0.5,0.25,0.141,0.294,0.51,,,,,,,,,,,,,,,,,,,130.0,92.0,108.0,0.357,1.4,86.5,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745506,Strikeout,strikeout,True,693304,676962,Nick Gonzales,Ben Brown,0,b16e5b40-9cae-421d-8fd1-18d03fcc8024,676962.0,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.16,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,112.0,95.0,87.0,,,,98.0,98.0,96.0,,,,0.627,,,0.016,0.78,,,-3.6,96.4,90.6,,,0.25,0.352,0.185,,,,0.5,0.5,0.25,0.141,0.294,0.51,,,,,,,,,,,,,,,,,,,130.0,92.0,108.0,0.357,1.4,86.5,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745505,Pop Out,field_out,True,693304,657006,Nick Gonzales,Justin Steele,0,47738686-d53c-49e6-83bf-8f021eaabafc,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,132.0,104.0,109.0,0.598,0.298,0.027,0.027,0.43,1.39,3.31,3.98,91.7,86.6,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.133,0.133,0.111,0.0,0.0,0.214,66.0,103.0,93.0,,,,0.05,,,2.99,,92.0,0.188,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745505,Forceout,force_out,True,693304,657006,Nick Gonzales,Justin Steele,1,e782bf81-e4a4-42a6-820f-be847633e27d,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,132.0,104.0,109.0,0.598,0.298,0.027,0.027,0.43,1.39,3.31,3.98,91.7,86.6,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.133,0.133,0.111,0.0,0.0,0.214,66.0,103.0,93.0,,,,0.05,,,2.99,,92.0,0.188,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745505,Walk,walk,False,693304,624522,Nick Gonzales,Keegan Thompson,0,c42f5ba7-5a73-4129-8d7a-b5a9d83a753e,624522.0,keeganthompson,"Thompson, K",Right,Keegan Thompson,CHC,3.5,3.8,18.0,100.0,97.0,100.0,0.721,13.0,5.0,6.0,1.0,1.0,0.275,0.35,0.125,0.225,0.429,,,,93.0,107.0,108.0,75.0,99.0,99.0,129.0,106.0,111.0,0.454,0.148,0.127,,0.15,2.41,-2.78,,93.7,,84.3,81.8,0.194,0.516,0.311,0.083,0.083,0.65,,,,0.25,0.375,0.25,69.0,95.0,86.0,120.0,101.0,100.0,0.019,0.253,1.06,-1.05,89.4,93.0,,,,0.214,0.214,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745505,Lineout,field_out,True,693304,621016,Nick Gonzales,Jose Cuas,0,374672ff-37f8-4cbe-8ce6-7a93b9378240,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,0.314,0.248,,0.038,-0.13,-6.51,,-5.51,91.5,87.4,82.6,,0.273,0.455,0.333,0.333,0.833,0.435,,,,,,,88.0,93.0,89.0,,,,0.4,,,-0.59,,92.3,0.286,0.464,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,745991,Single,single,False,693304,607067,Nick Gonzales,Colin Rea,0,1d2e1697-81a8-4ede-8916-6eeb3794ab0d,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,0.172,0.171,0.043,,-0.12,3.37,-5.02,,92.7,,82.1,78.3,0.23,0.365,0.239,0.062,0.077,0.227,,,,0.444,0.833,0.111,85.0,101.0,95.0,76.0,95.0,89.0,0.306,0.226,-0.36,-0.27,87.8,92.3,0.276,0.44,0.109,0.277,0.553,0.159,,,,,,,78.0,98.0,100.0,0.082,-0.32,86.4,0.243,0.297,0.26,,,,,,,,,,,,
2024-05-13,745991,Flyout,field_out,True,693304,607067,Nick Gonzales,Colin Rea,0,4a397754-c0f1-4415-9133-bb6d9a488c2f,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,0.172,0.171,0.043,,-0.12,3.37,-5.02,,92.7,,82.1,78.3,0.23,0.365,0.239,0.062,0.077,0.227,,,,0.444,0.833,0.111,85.0,101.0,95.0,76.0,95.0,89.0,0.306,0.226,-0.36,-0.27,87.8,92.3,0.276,0.44,0.109,0.277,0.553,0.159,,,,,,,78.0,98.0,100.0,0.082,-0.32,86.4,0.243,0.297,0.26,,,,,,,,,,,,
