date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP
2024-04-16,746004,Strikeout,strikeout,True,680911,670970,Owen Miller,Adrian Morejon,0,668207dd-7e56-4647-a86e-e19a4c6d256c,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.23,2.72,40.1,107.0,122.0,113.0,0.736,9.6,2.68,8.03,0.22,1.54,0.306,0.369,0.243,0.306,0.468,,,,,,,126.0,102.0,108.0,124.0,103.0,110.0,122.0,112.0,119.0,,,,0.294,0.288,,0.377,,,-0.51,,2.34,0.27,,,96.9,,,97.5,85.6,,,,,0.3,0.45,0.26,,,,0.261,0.304,0.159,,,,,,,0.375,0.75,0.167,,,,77.0,102.0,106.0,0.041,3.79,86.5,0.0,0.0,0.75,,,,,,,,,
2024-04-16,746004,Strikeout,strikeout,True,680911,666745,Owen Miller,Jhony Brito,0,432c6c9a-3ced-4fcd-ad8a-f2e52068cae8,666745.0,jhonybrito,Brito,Right,Jhony Brito,SDP,4.35,4.02,41.1,99.0,89.0,98.0,0.841,5.66,1.96,10.45,0.87,1.31,0.275,0.303,0.183,0.303,0.446,89.0,104.0,105.0,,,,76.0,99.0,90.0,98.0,99.0,99.0,94.0,89.0,97.0,,,,0.242,0.265,,0.119,,0.351,0.62,,-1.03,-2.91,,1.47,96.3,,89.8,96.2,86.0,,,,,0.216,0.405,0.164,0.234,0.328,0.271,0.375,0.458,0.088,123.0,82.0,110.0,0.023,-0.28,81.4,0.6,0.6,0.143,0.333,0.333,0.0,,,,,,,,,,,,,,,,,,
2024-04-21,745192,Flyout,field_out,True,680911,543243,Owen Miller,Sonny Gray,0,c9b7ffd4-ec3e-45db-bd26-dae4343d0d17,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.237,0.407,0.303,0.31,0.479,0.147,0.385,0.769,0.345,0.197,0.316,0.181,,,,,,,0.162,0.216,0.422,0.184,0.342,0.299,,,,,,,,,,,,,,,,,,
2024-04-21,745192,Strikeout,strikeout,True,680911,543243,Owen Miller,Sonny Gray,0,69327569-c463-4d81-9851-424d57f71ddb,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.237,0.407,0.303,0.31,0.479,0.147,0.385,0.769,0.345,0.197,0.316,0.181,,,,,,,0.162,0.216,0.422,0.184,0.342,0.299,,,,,,,,,,,,,,,,,,
2024-04-21,745192,Single,single,False,680911,543243,Owen Miller,Sonny Gray,1,7aca0b06-1fd1-4b66-98c9-5187ffd4d864,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.237,0.407,0.303,0.31,0.479,0.147,0.385,0.769,0.345,0.197,0.316,0.181,,,,,,,0.162,0.216,0.422,0.184,0.342,0.299,,,,,,,,,,,,,,,,,,
2024-04-21,745192,Flyout,field_out,True,680911,669461,Owen Miller,Matthew Liberatore,0,1ed50201-be1d-45c2-b810-b0ff645a10be,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,46.0,89.0,90.0,128.0,97.0,102.0,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,101.0,111.0,110.0,0.196,0.26,0.106,0.302,0.073,0.063,0.24,-1.7,-2.85,3.84,0.19,-0.49,94.4,91.9,87.7,95.2,87.5,77.8,0.474,0.684,0.228,0.212,0.485,0.14,0.143,0.571,0.227,0.362,0.596,0.116,,,,,,,0.132,0.162,0.431,0.154,0.154,0.238,,,,,,,,,,,,,,,,,,
2024-04-24,745513,Flyout,field_out,True,680911,676596,Owen Miller,Josh Fleming,0,8d95e171-7fd7-400e-b639-1c83fee594b7,676596.0,joshfleming,Fleming,Left,Josh Fleming,PIT,3.99,3.72,29.1,96.0,68.0,89.0,0.833,5.22,3.99,9.51,0.61,2.08,0.219,0.375,0.177,0.271,0.339,71.0,98.0,89.0,97.0,87.0,89.0,142.0,135.0,123.0,51.0,91.0,86.0,,,,82.0,101.0,93.0,0.389,0.004,0.264,,0.057,0.286,1.94,1.27,-2.07,,-2.56,1.63,89.8,87.2,83.2,90.4,,78.1,0.261,0.304,0.172,,,,0.171,0.22,0.178,0.381,0.571,0.226,,,,,,,,,,0.286,0.429,0.308,,,,,,,,,,,,,,,,,,
2024-04-27,745998,Lineout,field_out,True,680911,607074,Owen Miller,Carlos Rodón,0,bb473271-b521-4e9f-be23-edc7c0be77f4,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,,,,143.0,103.0,112.0,100.0,83.0,83.0,,0.496,0.056,0.265,0.07,0.114,0.17,-3.1,,-1.56,-1.37,1.54,95.5,91.8,85.3,,86.8,81.0,0.353,0.647,0.255,0.261,0.531,0.202,0.171,0.195,0.49,,,,,,,,,,0.237,0.43,0.388,0.333,0.4,0.35,,,,,,,,,,,,,,,,,,
2024-04-27,745998,Strikeout,strikeout,True,680911,607074,Owen Miller,Carlos Rodón,0,3a308fb2-401e-437c-a7f4-033bb1a16739,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,,,,143.0,103.0,112.0,100.0,83.0,83.0,,0.496,0.056,0.265,0.07,0.114,0.17,-3.1,,-1.56,-1.37,1.54,95.5,91.8,85.3,,86.8,81.0,0.353,0.647,0.255,0.261,0.531,0.202,0.171,0.195,0.49,,,,,,,,,,0.237,0.43,0.388,0.333,0.4,0.35,,,,,,,,,,,,,,,,,,
2024-04-27,745998,Groundout,field_out,True,680911,596133,Owen Miller,Luke Weaver,0,ba54f401-782b-4390-a697-86f7ac927f02,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,107.0,103.0,104.0,,,,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,0.444,0.28,,,0.264,1.14,1.38,,,,1.5,95.4,91.2,88.4,,,,0.18,0.443,0.194,0.171,0.3,0.28,0.138,0.241,0.44,,,,119.0,75.0,96.0,0.012,2.43,83.3,,,,,,,,,,,,,,,,,,,,,,,,
