date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-08-02,746605,Walk,walk,False,691723,471911,Coby Mayo,Carlos Carrasco,1,339c5ec4-0041-4d8f-909f-42eb953e712e,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.65,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.319,0.392,101.0,108.0,105.0,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,90.0,96.0,104.0,108.0,0.165,0.26,0.278,0.067,0.23,-0.81,-1.93,-0.94,1.52,-1.06,91.6,86.8,91.1,83.5,80.4,0.241,0.472,0.285,0.284,0.52,0.286,0.337,0.554,0.145,0.304,0.609,0.122,0.053,0.158,0.217,0.25,0.313,0.357,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746605,Strikeout,strikeout,True,691723,471911,Coby Mayo,Carlos Carrasco,0,a8a0afff-bca5-4790-81e8-5b0f3194dc80,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.65,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.319,0.392,101.0,108.0,105.0,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,90.0,96.0,104.0,108.0,0.165,0.26,0.278,0.067,0.23,-0.81,-1.93,-0.94,1.52,-1.06,91.6,86.8,91.1,83.5,80.4,0.241,0.472,0.285,0.284,0.52,0.286,0.337,0.554,0.145,0.304,0.609,0.122,0.053,0.158,0.217,0.25,0.313,0.357,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746605,Walk,walk,False,691723,605130,Coby Mayo,Scott Barlow,1,49e7e47d-c213-4993-b2be-4b392bf41fcc,605130.0,scottbarlow,"Barlow, S",Right,Scott Barlow,CLE,4.3,4.17,52.1,91.0,112.0,92.0,0.68,11.35,5.33,7.39,0.86,1.49,0.198,0.489,0.198,0.252,0.353,,,,143.0,100.0,106.0,80.0,92.0,84.0,84.0,97.0,94.0,122.0,86.0,90.0,0.13,0.206,0.452,0.212,,-0.02,1.22,0.42,-1.46,,91.5,,91.1,81.0,77.3,,,,0.181,0.265,0.405,0.333,0.444,0.183,0.296,0.37,0.2,0.163,0.429,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746605,Strikeout,strikeout,True,691723,661403,Coby Mayo,Emmanuel Clase,0,5240718f-12d5-48a8-9332-bd95d470c922,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.58,2.48,62.1,106.0,147.0,114.0,0.762,7.8,1.16,4.91,0.14,2.85,0.256,0.366,0.177,0.213,0.449,,,,,,,301.0,121.0,130.0,,,,143.0,114.0,128.0,,0.002,0.187,,,0.81,,2.57,,,100.2,,,90.7,,,,,0.143,0.163,0.326,,,,,,,,,,,,,147.0,104.0,111.0,,,,0.811,,3.21,,99.5,,0.165,0.213,0.244,,,,,,,,,
2024-08-03,746608,Lineout,field_out,True,691723,676282,Coby Mayo,Joey Cantillo,0,4ecda7fb-fe70-419c-bd43-609dbea1c141,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,7.71,6.13,18.2,93.0,97.0,92.0,0.737,7.23,4.34,10.13,2.89,1.13,0.254,0.39,0.186,0.356,0.423,85.0,78.0,92.0,91.0,110.0,98.0,99.0,92.0,89.0,,,,122.0,100.0,98.0,,0.476,0.113,0.172,0.239,-4.26,,2.04,1.51,-0.77,92.3,78.2,,82.2,76.0,0.167,0.25,0.457,0.167,0.417,0.429,0.438,0.938,0.203,,,,0.167,0.333,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,746608,Groundout,field_out,True,691723,676282,Coby Mayo,Joey Cantillo,1,fe223f4f-3d6e-479f-9e37-f82864058ad7,676282.0,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,7.71,6.13,18.2,93.0,97.0,92.0,0.737,7.23,4.34,10.13,2.89,1.13,0.254,0.39,0.186,0.356,0.423,85.0,78.0,92.0,91.0,110.0,98.0,99.0,92.0,89.0,,,,122.0,100.0,98.0,,0.476,0.113,0.172,0.239,-4.26,,2.04,1.51,-0.77,92.3,78.2,,82.2,76.0,0.167,0.25,0.457,0.167,0.417,0.429,0.438,0.938,0.203,,,,0.167,0.333,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,746608,Grounded Into DP,grounded_into_double_play,True,691723,658648,Coby Mayo,Pedro Avila,1,02c9512d-0c1e-40ad-8446-bf81904f3a2b,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,3.99,4.47,70.0,96.0,89.0,95.0,0.769,9.39,3.99,7.46,0.9,1.31,0.27,0.344,0.127,0.307,0.39,118.0,99.0,114.0,83.0,98.0,95.0,72.0,95.0,88.0,85.0,96.0,86.0,104.0,94.0,97.0,0.136,0.384,0.089,0.17,0.22,0.36,-1.17,-0.35,0.45,1.6,93.6,83.4,93.2,80.7,77.6,0.195,0.329,0.361,0.571,0.714,0.429,0.226,0.387,0.198,0.333,0.5,0.066,0.176,0.235,0.321,0.111,0.111,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746606,Strikeout,strikeout,True,691723,668909,Coby Mayo,Gavin Williams,0,f87a5f21-6c53-4a12-96cd-c5bf65c91988,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,,,,110.0,62.0,89.0,,0.531,0.096,0.204,0.064,0.15,,-1.16,-0.46,-5.66,96.8,89.2,,88.5,79.6,0.5,1.0,0.091,0.353,0.529,0.295,0.288,0.413,0.237,,,,0.167,0.352,0.274,,,,92.0,98.0,90.0,,,,0.105,,1.25,,91.7,,0.136,0.318,0.298,,,,,,,,,
2024-08-04,746606,Strikeout,strikeout,True,691723,668909,Coby Mayo,Gavin Williams,0,32461ba9-397b-4a65-be51-1f3247852b8b,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,,,,110.0,62.0,89.0,,0.531,0.096,0.204,0.064,0.15,,-1.16,-0.46,-5.66,96.8,89.2,,88.5,79.6,0.5,1.0,0.091,0.353,0.529,0.295,0.288,0.413,0.237,,,,0.167,0.352,0.274,,,,92.0,98.0,90.0,,,,0.105,,1.25,,91.7,,0.136,0.318,0.298,,,,,,,,,
2024-08-04,746606,Strikeout,strikeout,True,691723,669212,Coby Mayo,Eli Morgan,0,c5cee745-d0c9-4f90-9776-fc3062bd6ca4,669212.0,elimorgan,Morgan,Right,Eli Morgan,CLE,2.36,2.08,26.2,104.0,84.0,101.0,0.772,7.43,2.03,6.75,0.68,0.51,0.346,0.333,0.218,0.179,0.444,94.0,114.0,114.0,,,,65.0,104.0,94.0,,,,104.0,100.0,101.0,,0.43,0.348,,0.222,0.09,,0.81,,3.03,92.1,78.7,,86.7,,0.143,0.214,0.25,0.212,0.333,0.355,0.243,0.432,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
