date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-03-30,747063,Single,single,False,543510,643256,James McCann,Adam Cimber,0,bac2c93e-b78c-4771-822d-2ad31c8a170f,643256.0,adamcimber,Cimber,Right,Adam Cimber,LAA,7.03,5.47,24.1,92.0,88.0,97.0,0.853,7.03,5.18,7.4,0.37,1.43,0.176,0.412,0.132,0.353,0.438,,,,,,,109.0,97.0,102.0,110.0,98.0,95.0,44.0,84.0,95.0,0.358,0.315,0.327,,,-0.71,-0.13,1.56,,,85.0,,85.3,73.4,,0.292,0.375,0.127,,,,0.071,0.071,0.192,,,,0.333,0.455,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,747062,Strikeout,strikeout,True,543510,672282,James McCann,Reid Detmers,0,f6ecb4f2-8472-46a9-a8fb-4034bb3d97f8,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,93.0,97.0,97.0,90.0,102.0,104.0,90.0,95.0,92.0,,,,116.0,102.0,106.0,,0.458,0.235,0.149,0.158,-0.61,,-0.84,-2.14,1.15,94.0,84.6,,86.0,75.4,0.253,0.483,0.276,0.289,0.356,0.33,0.247,0.383,0.343,0.344,0.719,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,747062,Flyout,field_out,True,543510,672282,James McCann,Reid Detmers,0,deede861-fce3-47a1-8c87-1eb0179f8d85,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,93.0,97.0,97.0,90.0,102.0,104.0,90.0,95.0,92.0,,,,116.0,102.0,106.0,,0.458,0.235,0.149,0.158,-0.61,,-0.84,-2.14,1.15,94.0,84.6,,86.0,75.4,0.253,0.483,0.276,0.289,0.356,0.33,0.247,0.383,0.343,0.344,0.719,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,747062,Single,single,False,543510,667755,James McCann,José Soriano,0,735001a7-756d-4909-8ed8-b5c59b80e5a0,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,,,,,,,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,0.426,0.165,0.054,,,-1.88,1.84,0.95,,,98.9,,97.8,91.6,,0.342,0.605,0.122,,,,0.091,0.182,0.484,0.205,0.397,0.403,0.237,0.288,0.148,,,,121.0,101.0,112.0,,0.09,,0.64,,93.0,0.143,0.314,0.323,99.0,97.0,108.0,0.265,-0.32,86.3,,,,,,,,,
2024-04-03,747059,Groundout,field_out,True,543510,666142,James McCann,Cole Ragans,0,89f837e7-e8ff-4b18-aaf7-3e6dc94a3771,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,,,,134.0,103.0,112.0,,0.406,0.12,,0.247,1.1,,-1.6,,1.11,95.8,85.3,,86.7,,0.206,0.351,0.239,0.205,0.286,0.493,0.242,0.387,0.368,0.158,0.158,0.354,,,,89.0,98.0,93.0,,,,0.128,,1.57,,91.3,,,,,99.0,94.0,100.0,0.099,1.27,81.1,0.304,0.326,0.224,,,,,,
2024-04-03,747059,Lineout,field_out,True,543510,666142,James McCann,Cole Ragans,0,603bd554-bc87-4cdd-b051-b14c33f3f6c2,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,,,,134.0,103.0,112.0,,0.406,0.12,,0.247,1.1,,-1.6,,1.11,95.8,85.3,,86.7,,0.206,0.351,0.239,0.205,0.286,0.493,0.242,0.387,0.368,0.158,0.158,0.354,,,,89.0,98.0,93.0,,,,0.128,,1.57,,91.3,,,,,99.0,94.0,100.0,0.099,1.27,81.1,0.304,0.326,0.224,,,,,,
2024-04-03,747059,Double,double,False,543510,663704,James McCann,James McArthur,1,471e98a3-9f30-4e2d-98aa-f1dc0fc99679,663704.0,jamesmcarthur,McArthur,Right,James McArthur,KCR,3.99,3.96,38.1,100.0,110.0,104.0,0.735,7.04,1.64,10.1,1.17,2.13,0.174,0.421,0.132,0.314,0.442,,,,138.0,108.0,119.0,80.0,95.0,89.0,98.0,97.0,97.0,100.0,91.0,99.0,0.378,0.059,0.225,0.338,,4.71,0.76,-0.64,-1.94,,94.9,,95.1,87.7,83.5,0.0,0.0,0.176,,,,0.304,0.522,0.431,0.308,0.462,0.333,0.299,0.448,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747059,Single,single,False,543510,519293,James McCann,Will Smith,1,fe16863a-6c13-48ba-aacb-75deda530972,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,71.0,93.0,98.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,0.322,0.445,0.097,0.136,-1.31,,0.85,-0.01,-0.65,91.3,85.8,,80.5,76.2,0.341,0.523,0.091,0.222,0.444,0.355,0.196,0.304,0.32,0.25,0.25,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,745522,Groundout,field_out,True,543510,663559,James McCann,Bailey Falter,0,ab816a9d-77c7-4ae3-95c3-4a3ca475b0f5,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,100.0,100.0,99.0,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,0.144,0.511,0.161,0.174,,1.03,1.24,-0.06,-0.34,,91.7,,91.9,85.6,77.0,0.229,0.36,0.167,,,,0.245,0.286,0.32,0.256,0.488,0.197,0.262,0.492,0.144,,,,37.0,97.0,75.0,,0.01,,-6.89,,87.0,0.333,1.333,0.125,,,,,,,,,,,,,,,
2024-04-06,745522,Groundout,field_out,True,543510,663559,James McCann,Bailey Falter,0,06f682ee-f13d-4173-87f6-55b25343a134,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.08,4.96,90.1,100.0,89.0,96.0,0.827,6.08,2.79,7.97,1.2,0.79,0.283,0.351,0.149,0.293,0.48,,,,100.0,100.0,99.0,84.0,101.0,95.0,99.0,102.0,98.0,88.0,95.0,94.0,0.144,0.511,0.161,0.174,,1.03,1.24,-0.06,-0.34,,91.7,,91.9,85.6,77.0,0.229,0.36,0.167,,,,0.245,0.286,0.32,0.256,0.488,0.197,0.262,0.492,0.144,,,,37.0,97.0,75.0,,0.01,,-6.89,,87.0,0.333,1.333,0.125,,,,,,,,,,,,,,,
