date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-07-31,745386,Flyout,field_out,True,676439,663773,Hunter Feduccia,Bryan Hoeing,0,c15b433b-a30a-45a5-8ab5-dad5c4122a24,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,- - -,2.15,4.94,46.0,101.0,108.0,101.0,0.799,7.43,2.54,7.63,0.59,1.75,0.211,0.451,0.135,0.308,0.448,,,,70.0,103.0,89.0,112.0,100.0,101.0,,,,,,,0.067,,0.244,,,-0.1,,0.52,,,94.3,,,83.0,,0.233,0.267,0.321,0.2,0.4,0.2,,,,,,,,,,,,,,,,136.0,103.0,107.0,0.496,0.193,,3.93,0.24,,86.8,93.8,,0.079,0.105,0.388,101.0,102.0,100.0,0.295,0.42,0.097,,,,,,
2024-08-25,746106,Walk,walk,False,676439,682052,Hunter Feduccia,Jacob Lopez,0,84022e0a-2478-4a6c-b7c0-88ade2713afc,682052.0,jacoblopez,"Lopez, Ja",Left,Jacob Lopez,TBR,5.23,3.62,10.1,89.0,86.0,86.0,0.768,6.97,6.1,4.35,1.74,0.3,0.345,0.379,0.172,0.31,0.393,80.0,83.0,88.0,93.0,101.0,109.0,80.0,94.0,89.0,,,,91.0,99.0,91.0,0.421,0.129,0.376,,0.073,-1.74,-3.44,3.46,,-1.16,90.6,87.0,83.0,77.9,,0.053,0.053,0.355,0.231,0.538,0.125,,,,,,,0.25,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,746106,Strikeout,strikeout,True,676439,682052,Hunter Feduccia,Jacob Lopez,0,22d750ab-2e5a-4888-b1d0-b2b235a3f25e,682052.0,jacoblopez,"Lopez, Ja",Left,Jacob Lopez,TBR,5.23,3.62,10.1,89.0,86.0,86.0,0.768,6.97,6.1,4.35,1.74,0.3,0.345,0.379,0.172,0.31,0.393,80.0,83.0,88.0,93.0,101.0,109.0,80.0,94.0,89.0,,,,91.0,99.0,91.0,0.421,0.129,0.376,,0.073,-1.74,-3.44,3.46,,-1.16,90.6,87.0,83.0,77.9,,0.053,0.053,0.355,0.231,0.538,0.125,,,,,,,0.25,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,746106,Single,single,False,676439,656876,Hunter Feduccia,Drew Rasmussen,0,c63ec5dc-50bf-4aae-9b08-d2dabb7e6727,656876.0,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.25,2.21,12.0,103.0,129.0,105.0,0.636,12.0,2.25,7.5,0.0,1.56,0.467,0.3,0.167,0.233,0.425,,,,134.0,111.0,117.0,143.0,112.0,102.0,,,,119.0,97.0,93.0,0.352,0.28,0.052,,,2.62,-1.05,8.62,,,97.3,90.0,,84.9,,,,,0.154,0.231,0.412,,,,0.125,0.125,0.375,0.375,0.375,0.385,,,,,,,,,,0.316,,,,-0.13,,,96.1,,,,,127.0,98.0,102.0,0.25,0.25,0.25,,,,,,
2024-09-17,746015,Single,single,False,676439,670766,Hunter Feduccia,Darren McCaughan,0,a4ccc3c2-74c7-4d4e-98ba-d0340bcc745d,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.05,6.29,37.0,97.0,87.0,94.0,0.869,5.84,3.41,12.41,2.19,0.65,0.211,0.459,0.135,0.323,0.456,68.0,88.0,76.0,46.0,93.0,80.0,119.0,99.0,108.0,,,,,,,0.19,,0.387,,0.112,-0.69,,-3.52,,-1.6,89.4,,81.0,81.8,,,,,0.265,0.441,0.179,,,,0.321,0.732,0.143,,,,0.333,0.389,0.351,,,,,,,0.31,,,,-2.32,,,88.9,,,,,80.0,98.0,90.0,0.391,0.565,0.076,,,,,,
2024-09-17,746015,Groundout,field_out,True,676439,670766,Hunter Feduccia,Darren McCaughan,0,4ccdfe6f-f7a5-46cc-94a3-b1720c469dcb,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.05,6.29,37.0,97.0,87.0,94.0,0.869,5.84,3.41,12.41,2.19,0.65,0.211,0.459,0.135,0.323,0.456,68.0,88.0,76.0,46.0,93.0,80.0,119.0,99.0,108.0,,,,,,,0.19,,0.387,,0.112,-0.69,,-3.52,,-1.6,89.4,,81.0,81.8,,,,,0.265,0.441,0.179,,,,0.321,0.732,0.143,,,,0.333,0.389,0.351,,,,,,,0.31,,,,-2.32,,,88.9,,,,,80.0,98.0,90.0,0.391,0.565,0.076,,,,,,
2024-09-17,746015,Single,single,False,676439,669199,Hunter Feduccia,Lake Bachar,1,53b3a620-a871-4b1d-8600-ef33307231f0,669199.0,lakebachar,Bachar,Right,Lake Bachar,MIA,6.75,9.7,5.1,104.0,116.0,104.0,0.674,11.81,5.06,11.81,3.38,0.83,0.333,0.467,0.2,0.4,0.42,114.0,107.0,104.0,104.0,101.0,102.0,134.0,105.0,106.0,,,,,,,0.47,,0.33,,0.2,-5.34,,1.9,,-0.69,94.1,,85.5,84.9,,0.222,0.222,0.333,0.417,1.0,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,746015,Groundout,field_out,True,676439,686539,Hunter Feduccia,Declan Cronin,0,020ce80d-0414-410e-94c2-e1f6a4784528,686539.0,declancronin,Cronin,Right,Declan Cronin,MIA,4.41,3.47,69.1,97.0,75.0,97.0,0.752,9.22,2.99,9.48,0.13,2.49,0.265,0.37,0.14,0.33,0.449,,,,120.0,106.0,106.0,75.0,91.0,99.0,,,,,,,0.069,,0.525,,0.001,4.08,,0.46,,-6.34,93.8,,95.9,87.0,,0.259,0.322,0.318,0.043,0.043,0.417,,,,,,,,,,,,,,,,,,,0.405,,,,-0.22,,,93.3,,,,,68.0,97.0,88.0,0.34,0.437,0.156,,,,,,
2024-09-19,746011,Strikeout,strikeout,True,676439,657508,Hunter Feduccia,Mike Baumann,0,feea5f73-a3f3-4d62-8e37-af209a8da571,657508.0,mikebaumann,Baumann,Right,Mike Baumann,- - -,5.68,4.38,57.0,97.0,118.0,102.0,0.781,9.0,3.95,9.32,1.42,0.96,0.298,0.363,0.117,0.316,0.444,90.0,110.0,107.0,125.0,97.0,101.0,101.0,90.0,93.0,126.0,101.0,109.0,,,,0.4,,0.241,0.336,0.019,-1.57,,0.19,-0.7,0.22,96.5,,89.1,92.1,87.8,0.255,0.455,0.277,0.297,0.635,0.188,0.225,0.303,0.291,,,,,,,0.2,0.2,0.25,,,,,,,0.004,,,,-39.59,,,95.7,,,,,,,,,,,,,,,,
2024-09-19,746011,Walk,walk,False,676439,660644,Hunter Feduccia,Vidal Bruján,1,4b5d8314-5e1e-4a59-9e98-a275c8ecadf0,660644.0,vidalbrujan,Bruján,Right,Vidal Bruján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
