date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FO%,SL%,KC%,CH%,wFA/C,wFC/C,wFO/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vFO,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,vSC (sc),Stf+ CU,Loc+ CU,Pit+ CU,CU%,SC%,wCU/C,wSC/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024-08-19,744976,Single,single,False,641856,641540,Billy McKinney,Dane Dunning,1,73f1eb67-0e4a-4091-a3ce-a02e3e0d881c,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,5.05,5.18,87.1,98.0,83.0,93.0,0.776,8.76,4.02,8.66,1.55,1.17,0.161,0.504,0.13,0.343,0.418,84.0,93.0,85.0,40.0,103.0,90.0,78.0,101.0,97.0,104.0,100.0,96.0,62.0,90.0,99.0,76.0,99.0,93.0,0.369,0.03,0.189,0.001,0.238,0.044,0.129,-2.8,-0.57,-6.36,0.61,-1.2,-0.14,-1.5,89.2,88.2,76.4,85.1,89.8,80.7,75.7,0.253,0.39,0.148,0.273,0.494,0.312,0.232,0.446,0.253,0.25,0.525,0.333,0.273,0.636,0.25,0.0,0.0,0.368,,,,,,,,,,,,,,,,,,,,,
2024-08-19,744976,Single,single,False,641856,641540,Billy McKinney,Dane Dunning,1,ac853ecc-b59c-4566-bce8-78af548f6d6d,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,5.05,5.18,87.1,98.0,83.0,93.0,0.776,8.76,4.02,8.66,1.55,1.17,0.161,0.504,0.13,0.343,0.418,84.0,93.0,85.0,40.0,103.0,90.0,78.0,101.0,97.0,104.0,100.0,96.0,62.0,90.0,99.0,76.0,99.0,93.0,0.369,0.03,0.189,0.001,0.238,0.044,0.129,-2.8,-0.57,-6.36,0.61,-1.2,-0.14,-1.5,89.2,88.2,76.4,85.1,89.8,80.7,75.7,0.253,0.39,0.148,0.273,0.494,0.312,0.232,0.446,0.253,0.25,0.525,0.333,0.273,0.636,0.25,0.0,0.0,0.368,,,,,,,,,,,,,,,,,,,,,
2024-08-19,744976,Groundout,field_out,True,641856,570632,Billy McKinney,José Ureña,0,2354f5e1-b689-4470-9254-c9cae3ee52b5,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.8,4.29,97.0,97.0,85.0,95.0,0.795,5.85,3.25,8.54,1.11,1.54,0.239,0.411,0.142,0.294,0.391,75.0,95.0,89.0,87.0,98.0,93.0,92.0,97.0,95.0,81.0,99.0,98.0,,,,,,,0.401,0.066,,,0.347,,0.186,-1.91,,,0.53,-0.07,,-0.07,96.5,,,88.7,96.0,86.9,,0.279,0.391,0.109,0.23,0.354,0.336,,,,0.19,0.444,0.304,0.333,0.667,0.176,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,744976,Groundout,field_out,True,641856,570632,Billy McKinney,José Ureña,0,94073584-3fb2-4393-95b7-3c450938b44b,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.8,4.29,97.0,97.0,85.0,95.0,0.795,5.85,3.25,8.54,1.11,1.54,0.239,0.411,0.142,0.294,0.391,75.0,95.0,89.0,87.0,98.0,93.0,92.0,97.0,95.0,81.0,99.0,98.0,,,,,,,0.401,0.066,,,0.347,,0.186,-1.91,,,0.53,-0.07,,-0.07,96.5,,,88.7,96.0,86.9,,0.279,0.391,0.109,0.23,0.354,0.336,,,,0.19,0.444,0.304,0.333,0.667,0.176,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,744973,Single,single,False,641856,605177,Billy McKinney,Andrew Chafin,1,085cba30-e2df-4eea-bd95-921202b6208a,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.4,3.35,47.2,91.0,87.0,94.0,0.658,12.08,4.53,8.31,0.94,0.73,0.283,0.308,0.125,0.258,0.291,,,,71.0,94.0,85.0,75.0,92.0,83.0,103.0,88.0,105.0,,,,,,,0.364,0.169,,,0.467,,,1.79,,,-0.98,1.12,,,91.8,,,,91.8,82.1,,0.433,0.567,0.137,0.144,0.211,0.554,,,,,,,0.161,0.355,0.211,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,744973,Strikeout,strikeout,True,641856,489446,Billy McKinney,Kirby Yates,0,16716bf1-2e6e-40eb-a404-909b1f9b8dcc,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.4,1.86,51.1,103.0,96.0,103.0,0.679,12.97,4.03,3.68,0.53,1.18,0.212,0.444,0.162,0.263,0.395,,,,89.0,104.0,103.0,,,,93.0,96.0,103.0,,,,,,,,0.603,,,0.007,,,2.12,,,,0.4,,,93.1,,,,,85.8,,,,,,,,,,,,,,0.135,0.25,0.378,,,,,,,,,,,,,109.0,100.0,104.0,0.39,1.78,86.4,0.106,0.136,0.313,,,
2024-08-23,745460,Strikeout,strikeout,True,641856,594580,Billy McKinney,Sam Moll,0,63bf0195-44b2-4c5c-a06e-3d483613ac6a,594580.0,sammoll,Moll,Left,Sam Moll,CIN,2.8,2.54,35.1,100.0,106.0,100.0,0.755,9.42,2.8,6.62,0.51,1.27,0.198,0.473,0.132,0.22,0.433,67.0,94.0,101.0,149.0,105.0,107.0,72.0,98.0,84.0,94.0,98.0,109.0,,,,,,,0.284,0.386,,,0.241,,0.089,-0.36,,,3.34,2.94,,-0.58,93.3,,,85.2,92.0,81.2,,0.2,0.3,0.097,,,,,,,0.3,0.3,0.375,0.25,0.404,0.261,,,,,,,,,,,,,,,,,,,,,,0.118,0.147,0.4
2024-08-23,745460,Groundout,field_out,True,641856,641427,Billy McKinney,Alan Busenitz,1,7bfe6996-d783-495a-b9bb-0d13a3cb92d6,641427.0,alanbusenitz,Busenitz,Right,Alan Busenitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,745460,Strikeout,strikeout,True,641856,458677,Billy McKinney,Justin Wilson,1,a5012b43-7c57-44e7-9441-95da4c6d3be7,458677.0,justinwilson,Wilson,Left,Justin Wilson,CIN,4.66,3.18,38.2,103.0,105.0,104.0,0.765,10.71,1.86,9.31,1.4,0.86,0.391,0.327,0.218,0.336,0.457,,,,102.0,104.0,104.0,,,,130.0,107.0,109.0,,,,88.0,103.0,102.0,,0.498,0.242,,0.248,,,-1.53,2.4,,,0.25,,,95.3,92.1,,,,88.3,,,,,0.2,0.289,0.392,0.25,0.375,0.151,,,,0.309,0.544,0.299,,,,,,,,,,,,,44.0,61.0,88.0,0.012,2.12,86.4,,,,,,
2024-08-23,745460,Strikeout,strikeout,True,641856,664747,Billy McKinney,Alexis Díaz,1,74c84f97-17e0-49e3-85d1-e0017adbdbc9,664747.0,alexisdiaz,"Díaz, A",Right,Alexis Díaz,CIN,4.86,4.23,46.1,97.0,115.0,103.0,0.77,8.94,5.44,7.38,1.17,0.74,0.246,0.46,0.159,0.238,0.422,,,,115.0,93.0,98.0,,,,115.0,101.0,110.0,,,,,,,,0.571,,,0.429,,,-0.1,,,,-0.51,,,93.9,,,,,87.4,,,,,0.24,0.438,0.29,,,,,,,0.2,0.307,0.223,,,,,,,,,,,,,,,,,,,,,,,,
