date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-06-22,745644,Groundout,field_out,True,669137,641927,Armando Alvarez,Bailey Ober,0,3c5d7f82-beab-44d5-a97c-d887da7c96f3,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.251,-1.08,,1.95,1.52,91.9,83.4,,80.5,0.307,0.606,0.247,0.098,0.196,0.319,0.173,0.337,0.37,,,,102.0,97.0,101.0,85.0,107.0,103.0,0.22,0.012,0.2,4.25,86.5,76.0,0.256,0.43,0.224,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,746213,Double,double,False,669137,542881,Armando Alvarez,Tyler Anderson,0,0bd10b38-1d21-4a52-a09c-588d58ad90b9,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,0.038,0.403,0.003,0.366,-0.19,-2.78,-4.61,1.6,89.2,78.7,88.1,77.9,0.239,0.472,0.163,,,,0.18,0.238,0.374,0.222,0.611,0.067,,,,100.0,102.0,98.0,0.19,,-0.14,,83.8,,0.221,0.39,0.244,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,746213,Single,single,False,669137,542881,Armando Alvarez,Tyler Anderson,0,cc1c588e-de68-41f6-adfb-6a9c9e2a10cb,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,0.038,0.403,0.003,0.366,-0.19,-2.78,-4.61,1.6,89.2,78.7,88.1,77.9,0.239,0.472,0.163,,,,0.18,0.238,0.374,0.222,0.611,0.067,,,,100.0,102.0,98.0,0.19,,-0.14,,83.8,,0.221,0.39,0.244,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,746213,Strikeout,strikeout,True,669137,519326,Armando Alvarez,Hunter Strickland,0,b4d451f5-d8d5-4ce4-9513-f462c974e739,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,80.0,101.0,99.0,69.0,104.0,93.0,133.0,103.0,115.0,0.105,0.282,0.549,0.061,-0.79,-1.13,2.24,3.81,94.2,87.6,92.7,84.0,0.27,0.486,0.186,0.158,0.284,0.283,0.077,0.077,0.333,0.375,0.5,0.103,,,,,,,0.003,,-71.24,,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,746213,Single,single,False,669137,665896,Armando Alvarez,José Marte,1,a37aa025-b26d-4127-8821-76d49183891f,665896.0,josemarte,"Marte, J",Right,José Marte,LAA,3.55,4.99,12.2,92.0,93.0,89.0,0.765,5.68,4.97,4.97,0.71,1.82,0.235,0.353,0.176,0.235,0.424,62.0,97.0,97.0,99.0,89.0,84.0,108.0,84.0,88.0,,,,0.293,0.251,,0.052,0.2,1.48,,-1.98,96.4,91.8,96.0,,0.25,0.625,0.24,,,,0.667,0.667,0.0,0.077,0.154,0.13,,,,82.0,99.0,91.0,0.403,,1.7,,84.9,,0.118,0.118,0.393,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746212,Single,single,False,669137,672710,Armando Alvarez,Roansy Contreras,0,de44814a-fb4c-4ee9-9914-40ccd405864b,672710.0,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.87,4.99,40.2,97.0,99.0,98.0,0.8,7.75,4.43,9.07,1.33,0.94,0.25,0.355,0.153,0.347,0.45,80.0,88.0,88.0,92.0,99.0,94.0,75.0,94.0,74.0,118.0,98.0,106.0,0.049,0.432,0.325,0.106,0.12,-2.07,-1.01,-2.57,94.8,89.2,94.5,83.5,0.274,0.384,0.189,0.1,0.25,0.302,0.263,0.474,0.182,0.571,0.571,0.056,86.0,92.0,98.0,,,,,0.088,,1.03,,78.0,,,,0.125,0.25,0.154,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746212,Lineout,field_out,True,669137,668968,Armando Alvarez,Hans Crouse,0,53f25825-2c08-46b5-a0c8-610c23b3b0e4,668968.0,hanscrouse,Crouse,Right,Hans Crouse,LAA,0.66,1.95,13.2,98.0,79.0,92.0,0.709,10.54,4.61,3.29,0.0,0.47,0.357,0.357,0.25,0.214,0.409,92.0,92.0,86.0,,,,94.0,102.0,91.0,52.0,97.0,95.0,0.498,,0.372,0.13,,4.64,-0.37,4.34,,87.2,92.5,83.8,,,,0.167,0.278,0.353,0.0,0.0,0.429,0.1,0.1,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746212,Groundout,field_out,True,669137,519326,Armando Alvarez,Hunter Strickland,0,ca83e149-9fda-42db-a5c0-21602bd12174,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,80.0,101.0,99.0,69.0,104.0,93.0,133.0,103.0,115.0,0.105,0.282,0.549,0.061,-0.79,-1.13,2.24,3.81,94.2,87.6,92.7,84.0,0.27,0.486,0.186,0.158,0.284,0.283,0.077,0.077,0.333,0.375,0.5,0.103,,,,,,,0.003,,-71.24,,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746212,Walk,walk,False,669137,670871,Armando Alvarez,Guillermo Zuñiga,0,ae149a69-2629-4e24-8b1d-5906076685b6,670871.0,guillermozuniga,Zuñiga,Right,Guillermo Zuñiga,LAA,6.43,6.18,7.0,94.0,101.0,93.0,0.852,3.86,6.43,9.0,1.29,1.13,0.167,0.417,0.042,0.333,0.451,120.0,75.0,87.0,86.0,100.0,88.0,107.0,85.0,86.0,113.0,107.0,115.0,0.295,0.402,0.197,0.107,3.08,-1.08,-0.3,-17.95,96.4,88.6,96.4,85.7,0.1,0.1,0.2,,,,0.4,1.4,0.333,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28,747183,Strikeout,strikeout,True,669137,677944,Armando Alvarez,Slade Cecconi,0,34b9770b-b7f5-41df-be4d-07ec1d4bb2ce,677944.0,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.14,4.16,66.0,105.0,99.0,104.0,0.82,7.23,1.91,9.95,1.64,0.7,0.302,0.349,0.175,0.33,0.486,101.0,99.0,101.0,92.0,108.0,104.0,,,,114.0,103.0,105.0,,0.546,0.221,0.145,-1.16,,-0.57,-0.62,94.1,81.9,,84.8,0.317,0.54,0.155,0.258,0.435,0.193,0.227,0.432,0.26,,,,103.0,101.0,108.0,,,,,0.087,,-0.78,,74.7,,,,0.188,0.438,0.289,,,,,,,,,,,,,,,,,,,,,
