date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,KC%,wFA/C,wFC/C,wKC/C,vFA,vFC,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,EP%,wEP/C,vEP,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-03-28,745687,Double,double,False,681807,622072,David Fry,Alex Wood,0,497fbb8e-aa2b-422b-b384-3674d6b9fc1c,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Single,single,False,681807,622072,David Fry,Alex Wood,1,717b773b-3733-4f12-8181-fb40cf24cf13,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,83.0,100.0,94.0,74.0,94.0,91.0,0.462,0.315,0.224,-1.94,-0.4,-2.72,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Single,single,False,681807,666205,David Fry,Kyle Muller,1,25a0f754-591b-48ce-bfd7-601eb720c5d5,666205.0,kylemuller,Muller,Left,Kyle Muller,OAK,3.44,3.82,36.2,104.0,88.0,105.0,0.794,7.12,1.72,8.59,1.47,1.17,0.223,0.402,0.098,0.313,0.509,80.0,82.0,80.0,,,,92.0,101.0,112.0,,0.262,0.059,,0.04,3.54,87.8,,85.4,,,,0.256,0.442,0.217,0.0,0.0,0.538,80.0,112.0,106.0,,,,,,,0.546,,,0.32,,,92.7,,,0.25,0.393,0.201,,,,0.333,1.111,0.136,116.0,90.0,102.0,0.132,-3.81,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Forceout,force_out,True,681807,547184,David Fry,Michael Kelly,1,8e61bd61-e276-4abd-a8e9-725984f80d9c,547184.0,michaelkelly,"Kelly, M",Right,Michael Kelly,OAK,2.59,3.51,31.1,97.0,120.0,100.0,0.801,6.32,2.87,7.76,0.57,0.88,0.312,0.355,0.183,0.226,0.417,,,,72.0,109.0,102.0,145.0,87.0,97.0,0.009,0.672,,-16.52,0.84,,,92.1,84.2,,,,0.444,1.222,0.167,,,,54.0,98.0,87.0,,,,,,,0.319,,,1.4,,,95.1,,,0.192,0.192,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Sac Fly,sac_fly,True,681807,547184,David Fry,Michael Kelly,1,1e2c2d08-d30e-4871-a511-d127b53450f9,547184.0,michaelkelly,"Kelly, M",Right,Michael Kelly,OAK,2.59,3.51,31.1,97.0,120.0,100.0,0.801,6.32,2.87,7.76,0.57,0.88,0.312,0.355,0.183,0.226,0.417,,,,72.0,109.0,102.0,145.0,87.0,97.0,0.009,0.672,,-16.52,0.84,,,92.1,84.2,,,,0.444,1.222,0.167,,,,54.0,98.0,87.0,,,,,,,0.319,,,1.4,,,95.1,,,0.192,0.192,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Flyout,field_out,True,681807,676664,David Fry,JP Sears,0,8f731161-29f9-4080-b121-dfac619ca580,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.382,0.182,0.67,0.08,0.69,84.3,90.1,78.9,0.298,0.447,0.132,0.242,0.636,0.257,0.304,0.354,0.219,81.0,100.0,95.0,,,,,,,0.321,,,-1.73,,,92.2,,,0.25,0.556,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Walk,walk,False,681807,676664,David Fry,JP Sears,0,c610b1d9-2b02-486f-93c7-639a1b307214,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.382,0.182,0.67,0.08,0.69,84.3,90.1,78.9,0.298,0.447,0.132,0.242,0.636,0.257,0.304,0.354,0.219,81.0,100.0,95.0,,,,,,,0.321,,,-1.73,,,92.2,,,0.25,0.556,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Walk,walk,False,681807,666204,David Fry,Dany Jiménez,0,b02f11b0-3d62-42ee-b41d-c84dd901a20e,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,,,,120.0,92.0,104.0,,0.588,0.038,,-0.02,-4.2,83.4,,81.9,,,,0.158,0.316,0.333,0.333,0.333,0.5,63.0,91.0,80.0,,,,,,,0.374,,,-0.36,,,92.5,,,0.25,0.583,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Sac Fly,sac_fly,True,681807,519008,David Fry,T.J. McFarland,1,8f9b0783-bc88-49bf-af74-6129025f2977,519008.0,tjmcfarland,McFarland,Left,T.J. McFarland,OAK,4.38,2.72,37.0,103.0,69.0,104.0,0.823,6.57,2.68,9.0,0.73,2.92,0.235,0.4,0.2,0.191,0.419,88.0,101.0,101.0,44.0,107.0,105.0,94.0,99.0,103.0,0.481,0.399,0.113,1.3,0.24,-2.63,81.2,87.9,78.1,0.275,0.362,0.085,0.256,0.419,0.299,0.235,0.412,0.294,-3.0,92.0,88.0,,,,62.0,114.0,74.0,0.005,0.002,,7.5,5.39,,88.2,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Hit By Pitch,hit_by_pitch,False,681807,668674,David Fry,Lucas Erceg,1,5a24dd39-30aa-4c0f-ace1-8e5f5a26f7dd,668674.0,lucaserceg,Erceg,Right,Lucas Erceg,OAK,2.94,3.34,33.2,103.0,111.0,105.0,0.713,10.16,3.21,7.49,0.8,1.76,0.33,0.284,0.193,0.227,0.402,91.0,100.0,104.0,110.0,110.0,108.0,125.0,110.0,115.0,0.23,0.246,0.218,2.53,3.75,-2.85,91.1,98.5,85.8,0.25,0.278,0.22,0.067,0.067,0.353,0.409,0.727,0.345,115.0,96.0,95.0,,,,,,,0.307,,,-0.99,,,98.5,,,0.211,0.447,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Single,single,False,681807,695243,David Fry,Mason Miller,1,cec53d12-3145-409a-9540-3d7774fc37b3,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,108.0,105.0,109.0,,,,163.0,107.0,113.0,,0.376,0.008,,2.1,5.68,92.7,,87.4,,,,0.14,0.193,0.461,,,,141.0,101.0,106.0,,,,,,,0.612,,,2.21,,,100.9,,,0.158,0.289,0.415,,,,,,,,,,,,,,,,0.003,-1.0,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745277,Lineout,field_out,True,681807,642048,David Fry,Tayler Saucedo,0,71d0d42b-be89-49aa-aeb8-27d257bfe104,642048.0,taylersaucedo,Saucedo,Left,Tayler Saucedo,SEA,2.13,2.5,25.1,95.0,93.0,95.0,0.73,9.59,3.91,7.11,0.36,2.33,0.197,0.5,0.152,0.136,0.346,88.0,97.0,96.0,88.0,100.0,96.0,103.0,93.0,103.0,0.458,0.239,0.236,3.61,-1.03,0.11,85.3,91.4,82.6,0.17,0.17,0.21,0.0,0.0,0.75,0.308,0.308,0.358,52.0,45.0,24.0,,,,,,,0.029,,,-3.21,,,91.9,,,0.0,0.0,0.25,,,,,,,117.0,71.0,72.0,0.039,-1.32,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745275,Flyout,field_out,True,681807,663423,David Fry,Trent Thornton,0,63190e7e-058f-4270-85f4-15f15d647a74,663423.0,trentthornton,Thornton,Right,Trent Thornton,SEA,3.77,3.54,43.0,100.0,113.0,109.0,0.755,9.42,2.3,6.49,0.84,1.03,0.2,0.427,0.191,0.309,0.434,108.0,143.0,138.0,87.0,91.0,85.0,116.0,100.0,111.0,0.128,0.595,0.027,2.1,1.33,-4.87,88.0,94.7,85.7,0.176,0.353,0.178,0.194,0.306,0.267,0.375,0.375,0.091,117.0,108.0,114.0,,,,,,,0.16,,,-0.04,,,95.6,,,0.273,0.545,0.302,,,,0.111,0.167,0.382,116.0,101.0,118.0,0.09,2.67,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04,745928,Walk,walk,False,681807,681892,David Fry,Kody Funderburk,0,243be1c0-73ee-402b-9dfa-10e862887024,681892.0,kodyfunderburk,Funderburk,Left,Kody Funderburk,MIN,5.61,5.19,33.2,95.0,102.0,95.0,0.756,8.29,4.01,9.62,1.07,2.29,0.284,0.343,0.167,0.343,0.428,76.0,96.0,95.0,98.0,95.0,94.0,122.0,88.0,95.0,0.203,0.326,0.029,-0.34,-2.42,1.2,88.6,93.3,82.7,0.286,0.381,0.091,0.25,0.462,0.337,0.333,0.667,0.0,,,,,,,93.0,102.0,98.0,,0.442,,,-0.69,,,92.2,,,,,0.302,0.491,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
