date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C
2024-03-31,746413,Strikeout,strikeout,True,542932,641585,Jon Berti,J.P. France,0,53323d40-6945-4d2f-a15e-86c0aafa95ee,641585.0,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.72,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,91.0,84.0,84.0,77.0,104.0,103.0,101.0,116.0,110.0,69.0,95.0,96.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.27,-1.88,2.38,-21.61,0.32,0.58,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.346,0.615,0.224,0.095,0.238,0.297,0.2,0.2,0.381,0.5,1.375,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746413,Single,single,False,542932,641585,Jon Berti,J.P. France,1,ad8b89b1-61ba-4d58-bf5f-6bb68ed97c77,641585.0,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.72,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,91.0,84.0,84.0,77.0,104.0,103.0,101.0,116.0,110.0,69.0,95.0,96.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.27,-1.88,2.38,-21.61,0.32,0.58,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.346,0.615,0.224,0.095,0.238,0.297,0.2,0.2,0.381,0.5,1.375,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746413,Strikeout,strikeout,True,542932,605463,Jon Berti,Tayler Scott,0,a58befc0-8307-492d-9b80-37d514f7f371,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,,,,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,0.073,0.433,,0.262,,0.232,2.65,,-0.27,0.86,,0.69,92.7,,85.5,92.6,84.0,,0.089,0.107,0.287,,,,0.143,0.214,0.329,,,,0.212,0.288,0.276,,,,,,,0.375,0.375,0.211,,,,,,,,,,,,,,,,,,
2024-03-31,746413,Groundout,field_out,True,542932,650556,Jon Berti,Bryan Abreu,0,05da9c62-37ed-4cf4-9e8d-8a3d8089d036,650556.0,bryanabreu,"Abreu, B",Right,Bryan Abreu,HOU,3.04,3.54,47.1,96.0,125.0,101.0,0.708,12.93,4.75,7.42,1.14,1.1,0.321,0.358,0.132,0.33,0.411,101.0,76.0,78.0,,,,125.0,95.0,97.0,,,,124.0,98.0,106.0,,,,,0.48,,0.513,,0.007,-0.78,,,1.09,,-4.48,96.6,,89.9,,86.0,,0.271,0.482,0.244,,,,,,,,,,0.18,0.236,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Strikeout,strikeout,True,542932,573009,Jon Berti,Joe Mantiply,0,b0e6c66d-63fe-4d5e-8617-0926a6854165,573009.0,joemantiply,Mantiply,Left,Joe Mantiply,ARI,4.21,3.49,36.1,103.0,78.0,97.0,0.766,7.43,2.48,8.42,0.0,1.33,0.273,0.391,0.155,0.327,0.39,62.0,105.0,102.0,87.0,101.0,102.0,103.0,85.0,78.0,80.0,104.0,93.0,,,,,,,0.435,0.036,,,0.254,0.275,1.25,,2.46,,-0.67,-0.83,89.3,,81.1,89.2,,79.5,0.0,0.0,0.6,,,,0.257,0.4,0.337,0.278,0.417,0.333,,,,,,,,,,0.227,0.348,0.154,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Groundout,field_out,True,542932,656464,Jon Berti,Kevin Ginkel,0,581ff092-6118-4e62-aea6-51ccfd12b2f4,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,,,,0.246,0.41,0.392,,,,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,,,,
2024-04-05,745764,Strikeout,strikeout,True,542932,579328,Jon Berti,Yusei Kikuchi,0,314ac93e-c90e-4ce4-aad4-c36e33df05ed,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,,,,110.0,100.0,107.0,,,,,0.491,,0.158,0.244,0.107,-0.31,,,-0.05,-0.17,0.45,95.6,,87.2,,89.2,82.9,0.302,0.55,0.269,,,,0.189,0.264,0.329,0.278,0.435,0.271,0.241,0.31,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,745764,Single,single,False,542932,579328,Jon Berti,Yusei Kikuchi,0,d61cb787-45dd-4f84-bf0d-4060cd9f0762,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,,,,110.0,100.0,107.0,,,,,0.491,,0.158,0.244,0.107,-0.31,,,-0.05,-0.17,0.45,95.6,,87.2,,89.2,82.9,0.302,0.55,0.269,,,,0.189,0.264,0.329,0.278,0.435,0.271,0.241,0.31,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,745764,Pop Out,field_out,True,542932,670950,Jon Berti,Trevor Richards,0,1ee625c1-d780-41e3-861e-a472a8add486,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,TOR,3.62,2.92,49.2,96.0,92.0,100.0,0.78,8.7,3.44,5.07,1.09,0.73,0.277,0.385,0.192,0.354,0.411,98.0,95.0,105.0,,,,83.0,96.0,92.0,,,,,,,,,,0.001,0.412,,,,0.587,1.05,,-3.42,,,0.94,92.1,,79.0,91.4,,,0.197,0.303,0.139,,,,0.131,0.293,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745761,Strikeout,strikeout,True,542932,666200,Jon Berti,Jesús Luzardo,0,d72095ff-cfde-4217-ae26-e040ec12cb73,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,97.0,98.0,108.0,,,,0.083,0.394,,0.292,0.002,0.229,-0.65,,-0.81,0.13,-3.42,1.56,95.2,,86.3,94.6,83.5,81.6,0.28,0.484,0.111,,,,0.207,0.328,0.407,,,,0.2,0.347,0.474,,,,,,,0.381,0.571,0.125,,,,,,,,,,,,,,,,,,
