date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,EP%,wEP/C,vEP,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-06-22,746048,Strikeout,strikeout,True,645305,660825,Ali Sánchez,Eduard Bazardo,0,1122ccea-62a1-4fd3-8128-344fd7268084,660825.0,eduardbazardo,Bazardo,Right,Eduard Bazardo,SEA,6.62,2.9,17.2,99.0,109.0,101.0,0.728,10.7,4.08,5.6,1.02,1.83,0.1,0.5,0.075,0.3,0.362,,,,87.0,91.0,90.0,96.0,95.0,91.0,127.0,105.0,112.0,0.198,0.276,0.447,,-0.31,1.73,1.24,,94.4,,94.1,83.0,0.207,0.31,0.328,0.25,0.5,0.257,,,,0.091,0.182,0.111,,,,,,,116.0,101.0,102.0,,0.078,,,2.36,,,90.9,,,,,0.125,0.125,0.545,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,746051,Groundout,field_out,True,645305,682243,Ali Sánchez,Bryce Miller,1,721f612d-9911-49b4-a6bd-dc3b040b6424,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,SEA,3.63,4.16,109.0,102.0,110.0,104.0,0.787,8.09,2.39,7.18,1.24,0.89,0.259,0.41,0.148,0.305,0.455,,,,122.0,103.0,106.0,99.0,100.0,98.0,120.0,95.0,99.0,0.189,0.439,0.169,,1.42,1.27,-1.33,,95.1,,94.6,83.8,0.333,0.593,0.118,0.197,0.349,0.276,,,,0.245,0.362,0.094,,,,92.0,78.0,84.0,88.0,107.0,108.0,0.015,0.174,,-3.96,0.84,,92.3,83.8,,0.5,0.75,0.1,0.181,0.266,0.256,0.0,0.0,0.25,,,,66.0,82.0,91.0,0.014,4.17,85.5,,,,,,,,,,,,
2024-06-23,746051,Strikeout,strikeout,True,645305,682243,Ali Sánchez,Bryce Miller,0,16f9b29d-82c2-407f-b6ba-e32ce9f8bb64,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,SEA,3.63,4.16,109.0,102.0,110.0,104.0,0.787,8.09,2.39,7.18,1.24,0.89,0.259,0.41,0.148,0.305,0.455,,,,122.0,103.0,106.0,99.0,100.0,98.0,120.0,95.0,99.0,0.189,0.439,0.169,,1.42,1.27,-1.33,,95.1,,94.6,83.8,0.333,0.593,0.118,0.197,0.349,0.276,,,,0.245,0.362,0.094,,,,92.0,78.0,84.0,88.0,107.0,108.0,0.015,0.174,,-3.96,0.84,,92.3,83.8,,0.5,0.75,0.1,0.181,0.266,0.256,0.0,0.0,0.25,,,,66.0,82.0,91.0,0.014,4.17,85.5,,,,,,,,,,,,
2024-06-23,746051,Sac Bunt,sac_bunt,True,645305,608723,Ali Sánchez,Austin Voth,1,f93e7f32-002f-43a0-afcc-d43f2b0cf6d2,608723.0,austinvoth,Voth,Right,Austin Voth,SEA,3.69,3.19,39.0,100.0,101.0,99.0,0.736,8.31,2.31,6.0,1.62,0.84,0.2,0.495,0.162,0.257,0.394,,,,89.0,102.0,99.0,,,,113.0,97.0,102.0,,0.243,0.28,,2.04,,-0.04,,93.6,,,81.2,0.171,0.488,0.256,0.156,0.25,0.227,,,,,,,95.0,98.0,99.0,101.0,102.0,95.0,,,,0.324,,0.153,0.62,,2.5,89.1,,75.4,0.256,0.465,0.307,,,,0.125,0.125,0.405,,,,,,,,,,,,,,,,,,,,,
2024-06-25,746293,Groundout,field_out,True,645305,607625,Ali Sánchez,Seth Lugo,0,225fd243-fc2a-4463-8922-28e432cb63fb,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,100.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,94.0,98.0,96.0,76.0,103.0,95.0,71.0,102.0,92.0,127.0,99.0,106.0,0.191,0.248,0.141,0.057,1.99,0.6,-0.63,0.16,92.4,87.5,92.3,85.3,0.278,0.556,0.172,0.183,0.275,0.159,0.2,0.25,0.321,0.278,0.426,0.124,124.0,103.0,112.0,105.0,95.0,94.0,,,,0.069,0.026,0.268,0.22,0.95,1.06,91.0,85.6,79.3,0.375,0.375,0.186,0.091,0.364,0.273,0.175,0.275,0.366,,,,,,,,,,0.269,0.365,0.326,,,,,,,,,
2024-06-25,746293,Walk,walk,False,645305,607625,Ali Sánchez,Seth Lugo,0,6898fe82-2334-4f3a-ab31-80d12857d220,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,100.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,94.0,98.0,96.0,76.0,103.0,95.0,71.0,102.0,92.0,127.0,99.0,106.0,0.191,0.248,0.141,0.057,1.99,0.6,-0.63,0.16,92.4,87.5,92.3,85.3,0.278,0.556,0.172,0.183,0.275,0.159,0.2,0.25,0.321,0.278,0.426,0.124,124.0,103.0,112.0,105.0,95.0,94.0,,,,0.069,0.026,0.268,0.22,0.95,1.06,91.0,85.6,79.3,0.375,0.375,0.186,0.091,0.364,0.273,0.175,0.275,0.366,,,,,,,,,,0.269,0.365,0.326,,,,,,,,,
2024-06-25,746293,Single,single,False,645305,672578,Ali Sánchez,Carlos Hernández,1,a3fbbf14-4b2a-4e3f-be69-e7cca710f593,672578.0,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,3.86,3.88,11.2,101.0,122.0,107.0,0.839,6.17,6.17,7.71,0.0,0.68,0.194,0.472,0.139,0.389,0.438,,,,131.0,103.0,107.0,,,,112.0,107.0,112.0,,0.574,0.2,,1.29,,0.03,,97.9,,,87.2,0.273,0.273,0.3,0.217,0.304,0.12,,,,,,,,,,,,,112.0,88.0,95.0,,0.085,,,-3.25,,,89.7,,,,,0.333,0.333,0.25,0.167,0.333,0.222,,,,106.0,94.0,100.0,0.14,-2.24,83.9,,,,,,,,,,,,
2024-06-25,746293,Strikeout,strikeout,True,645305,623433,Ali Sánchez,Nick Anderson,0,41c46be6-fa9c-4519-95de-ef2eef4f8cd4,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,0.269,0.223,,0.052,-4.03,0.61,,-0.82,94.7,87.9,94.8,,,,,0.4,0.8,0.19,,,,0.245,0.429,0.191,113.0,102.0,105.0,,,,,,,,,0.455,,,0.15,,,81.7,,,,,,,0.204,0.352,0.286,,,,,,,,,,,,,,,,,,,,,
2024-06-27,745565,Hit By Pitch,hit_by_pitch,False,645305,554430,Ali Sánchez,Zack Wheeler,0,58dac489-4e45-4e3d-8806-90c02a05ea44,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,0.187,0.416,0.116,,0.69,2.48,1.61,,95.1,,94.4,84.4,0.14,0.2,0.327,0.219,0.391,0.294,,,,0.173,0.24,0.149,114.0,99.0,107.0,95.0,98.0,98.0,96.0,106.0,107.0,0.104,0.078,0.099,-0.15,0.85,-0.34,90.9,86.1,81.5,0.244,0.439,0.184,0.171,0.257,0.385,0.179,0.333,0.357,,,,,,,,,,,,,,,,,,,,,
2024-06-27,745565,Single,single,False,645305,554430,Ali Sánchez,Zack Wheeler,0,6c2ff6fa-5977-4a50-8259-995c5a6b5234,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,0.187,0.416,0.116,,0.69,2.48,1.61,,95.1,,94.4,84.4,0.14,0.2,0.327,0.219,0.391,0.294,,,,0.173,0.24,0.149,114.0,99.0,107.0,95.0,98.0,98.0,96.0,106.0,107.0,0.104,0.078,0.099,-0.15,0.85,-0.34,90.9,86.1,81.5,0.244,0.439,0.184,0.171,0.257,0.385,0.179,0.333,0.357,,,,,,,,,,,,,,,,,,,,,
