date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-04-01,745675,Groundout,field_out,True,663527,502624,Tyler Nevin,Chase Anderson,1,5b96c61b-fa87-411a-829c-8f7ddfa291ce,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,0.132,0.237,0.273,83.0,91.0,82.0,101.0,100.0,98.0,,,,0.019,0.333,,-1.81,,4.28,88.7,,92.9,0.0,0.0,0.125,,,,0.333,0.667,0.178,122.0,107.0,111.0,0.3,1.79,83.9,,,,0.148,0.279,0.327,,,,,,,,,,,,,,,,,,
2024-04-03,745678,Forceout,force_out,True,663527,601713,Tyler Nevin,Nick Pivetta,1,f6a6b019-4243-4ab3-975b-11d8c3bd2c94,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,111.0,106.0,107.0,129.0,107.0,111.0,152.0,102.0,107.0,0.485,0.281,0.155,1.51,0.51,0.97,94.3,83.0,80.1,0.204,0.354,0.213,0.333,0.583,0.345,,,,111.0,100.0,87.0,,,,,0.078,,-6.7,,,88.4,,,,,,,,,0.414,0.966,0.19,,,,,,,0.172,0.31,0.229,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745678,Single,single,False,663527,601713,Tyler Nevin,Nick Pivetta,0,9826a207-73e5-406e-b5f5-590b4ca33551,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,111.0,106.0,107.0,129.0,107.0,111.0,152.0,102.0,107.0,0.485,0.281,0.155,1.51,0.51,0.97,94.3,83.0,80.1,0.204,0.354,0.213,0.333,0.583,0.345,,,,111.0,100.0,87.0,,,,,0.078,,-6.7,,,88.4,,,,,,,,,0.414,0.966,0.19,,,,,,,0.172,0.31,0.229,,,,,,,,,,,,,,,,,,,,,
2024-04-05,746497,Flyout,field_out,True,663527,669373,Tyler Nevin,Tarik Skubal,0,c41d6f49-358a-4b11-bff9-ce27741b5c79,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,,,,112.0,103.0,103.0,110.0,102.0,105.0,0.317,0.154,,1.19,1.72,,96.8,88.7,,0.195,0.333,0.264,0.16,0.26,0.386,97.0,107.0,106.0,,,,,,,0.21,,,,,1.96,,,96.7,0.17,0.27,0.171,,,,,,,98.0,105.0,117.0,0.272,0.42,86.0,0.143,0.143,0.214,0.217,0.37,0.468,99.0,90.0,100.0,0.047,2.55,78.6,,,,,,,,,,,,
2024-04-05,746497,Walk,walk,False,663527,669373,Tyler Nevin,Tarik Skubal,0,7396b85d-5910-4918-8d7d-eab769a88d2c,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,,,,112.0,103.0,103.0,110.0,102.0,105.0,0.317,0.154,,1.19,1.72,,96.8,88.7,,0.195,0.333,0.264,0.16,0.26,0.386,97.0,107.0,106.0,,,,,,,0.21,,,,,1.96,,,96.7,0.17,0.27,0.171,,,,,,,98.0,105.0,117.0,0.272,0.42,86.0,0.143,0.143,0.214,0.217,0.37,0.468,99.0,90.0,100.0,0.047,2.55,78.6,,,,,,,,,,,,
2024-04-05,746497,Flyout,field_out,True,663527,669373,Tyler Nevin,Tarik Skubal,0,be3908c1-b106-4ae7-935f-e87109371d2a,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,,,,112.0,103.0,103.0,110.0,102.0,105.0,0.317,0.154,,1.19,1.72,,96.8,88.7,,0.195,0.333,0.264,0.16,0.26,0.386,97.0,107.0,106.0,,,,,,,0.21,,,,,1.96,,,96.7,0.17,0.27,0.171,,,,,,,98.0,105.0,117.0,0.272,0.42,86.0,0.143,0.143,0.214,0.217,0.37,0.468,99.0,90.0,100.0,0.047,2.55,78.6,,,,,,,,,,,,
2024-04-09,745030,Lineout,field_out,True,663527,543135,Tyler Nevin,Nathan Eovaldi,0,937ead5d-2a5d-41ed-8a54-d8f3d83cd0b2,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,0.362,0.037,0.151,1.48,-4.54,-1.43,95.5,86.3,76.9,0.183,0.314,0.206,0.412,0.706,0.185,,,,92.0,104.0,97.0,126.0,104.0,112.0,,0.148,0.302,0.94,1.4,,91.7,88.7,,,,,0.202,0.327,0.361,0.264,0.396,0.161,,,,,,,0.27,0.541,0.357,,,,,,,,,,,,,,,,,,,,,
2024-04-09,745030,Flyout,field_out,True,663527,543135,Tyler Nevin,Nathan Eovaldi,0,e9cea4d2-4080-4fa0-9905-9686915895e5,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,0.362,0.037,0.151,1.48,-4.54,-1.43,95.5,86.3,76.9,0.183,0.314,0.206,0.412,0.706,0.185,,,,92.0,104.0,97.0,126.0,104.0,112.0,,0.148,0.302,0.94,1.4,,91.7,88.7,,,,,0.202,0.327,0.361,0.264,0.396,0.161,,,,,,,0.27,0.541,0.357,,,,,,,,,,,,,,,,,,,,,
2024-04-09,745030,Groundout,field_out,True,663527,502085,Tyler Nevin,David Robertson,0,600b7568-b22c-497e-a45b-8baac8b112d5,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,,,,,,,110.0,92.0,97.0,0.003,0.053,0.003,-2.5,-4.14,-4.1,94.1,83.6,80.9,,,,0.333,0.833,0.071,107.0,112.0,111.0,121.0,100.0,106.0,,,,0.026,0.595,,2.57,,1.88,93.6,,94.7,0.0,0.0,0.25,,,,0.137,0.205,0.346,105.0,89.0,65.0,0.026,6.62,88.2,0.233,0.283,0.267,0.0,0.0,0.2,121.0,95.0,103.0,0.295,0.22,84.7,,,,,,,,,,,,
2024-04-09,745030,Strikeout,strikeout,True,663527,600917,Tyler Nevin,José Leclerc,0,cbd548b6-adf2-40c4-93d7-1afd70a54d2f,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,119.0,103.0,104.0,0.352,0.33,,0.85,1.16,,95.1,81.9,,0.128,0.277,0.311,0.193,0.298,0.504,78.0,88.0,81.0,134.0,94.0,99.0,,,,0.046,0.167,,-0.6,,2.9,90.0,,94.8,0.2,0.2,0.143,,,,0.227,0.364,0.259,66.0,99.0,89.0,0.105,-0.04,88.1,,,,0.111,0.111,0.556,,,,,,,,,,,,,,,,,,
