date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2024-09-25,745607,Lineout,field_out,True,622110,669620,Matt Duffy,Brady Basso,0,6c06d06b-ec9f-4e5e-9434-39faccdd7eee,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,79.0,112.0,110.0,77.0,100.0,95.0,43.0,110.0,99.0,102.0,107.0,103.0,0.023,0.469,0.18,0.206,0.123,2.37,-2.37,-1.21,1.0,-3.63,92.2,88.1,86.4,92.0,76.4,0.225,0.325,0.165,0.2,0.2,0.385,0.385,0.615,0.308,0.357,0.571,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,745607,Pop Out,field_out,True,622110,671212,Matt Duffy,Joe Boyle,0,fba11786-e217-4852-ada0-73fb39be3b45,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,6.42,4.28,47.2,89.0,122.0,93.0,0.727,10.57,7.55,7.93,0.76,0.96,0.27,0.278,0.167,0.262,0.395,,,,110.0,75.0,87.0,108.0,85.0,86.0,,,,,,,,0.59,,0.037,,-0.77,,,0.56,,97.7,,,,80.4,0.27,0.39,0.253,,,,,,,,,,140.0,103.0,117.0,0.373,0.1,87.7,0.164,0.224,0.379,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,
2024-09-25,745607,Walk,walk,False,622110,671212,Matt Duffy,Joe Boyle,0,d3fa9066-b01b-46f0-bc0d-50605ec5bee4,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,6.42,4.28,47.2,89.0,122.0,93.0,0.727,10.57,7.55,7.93,0.76,0.96,0.27,0.278,0.167,0.262,0.395,,,,110.0,75.0,87.0,108.0,85.0,86.0,,,,,,,,0.59,,0.037,,-0.77,,,0.56,,97.7,,,,80.4,0.27,0.39,0.253,,,,,,,,,,140.0,103.0,117.0,0.373,0.1,87.7,0.164,0.224,0.379,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,
2024-09-25,745607,Walk,walk,False,622110,663687,Matt Duffy,Hogan Harris,0,75b797ed-6c88-4b40-919a-1ac13235b916,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,2.86,5.07,72.1,98.0,85.0,95.0,0.813,7.59,4.11,8.09,0.87,0.93,0.226,0.38,0.125,0.317,0.468,118.0,95.0,101.0,59.0,102.0,106.0,81.0,97.0,89.0,,,,,,,,0.563,,0.157,0.165,0.33,,,-0.41,1.22,92.9,,81.1,,72.4,0.261,0.408,0.169,0.244,0.311,0.338,,,,0.15,0.175,0.247,87.0,100.0,102.0,0.115,-3.23,78.8,0.282,0.641,0.197,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,746173,Strikeout,strikeout,True,622110,672282,Matt Duffy,Reid Detmers,0,9e8b09ad-e1bd-4d81-b1b8-3612e582f7a5,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,,,,,0.468,,0.146,0.142,-0.56,,,-3.5,-1.18,93.8,,84.7,,75.0,0.278,0.508,0.253,0.37,0.804,0.216,,,,0.351,0.544,0.319,117.0,106.0,114.0,0.244,-0.44,86.2,0.22,0.39,0.363,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,746173,Single,single,False,622110,672282,Matt Duffy,Reid Detmers,0,3f81286d-fd0e-40cf-9355-df827ad97e6d,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,,,,,0.468,,0.146,0.142,-0.56,,,-3.5,-1.18,93.8,,84.7,,75.0,0.278,0.508,0.253,0.37,0.804,0.216,,,,0.351,0.544,0.319,117.0,106.0,114.0,0.244,-0.44,86.2,0.22,0.39,0.363,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,746173,Groundout,field_out,True,622110,672710,Matt Duffy,Roansy Contreras,1,14dcefee-9a52-491d-9bba-27d5a72be553,672710.0,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.35,4.9,68.1,98.0,100.0,98.0,0.807,7.38,4.08,8.3,1.45,1.1,0.232,0.42,0.164,0.353,0.452,78.0,92.0,93.0,88.0,97.0,101.0,93.0,100.0,96.0,95.0,93.0,81.0,,,,0.101,0.376,,0.094,0.105,1.22,,-1.42,1.14,-1.83,94.7,,89.0,94.5,77.9,0.231,0.346,0.16,0.167,0.25,0.393,,,,0.235,0.441,0.231,118.0,102.0,107.0,0.324,-1.41,84.5,0.274,0.645,0.258,0.1,0.25,0.302,0.37,0.407,0.08,,,,,,,,,,,,,,,,,,
2024-09-27,746173,Groundout,field_out,True,622110,670871,Matt Duffy,Guillo Zuñiga,0,7fff5986-1e69-41bc-854a-8b4cd90b0877,670871.0,guillermozuniga,Zuñiga,Right,Guillo Zuñiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.292,0.174,,,,,,,0.2,0.7,0.563,,,,,,,0.333,0.333,0.357,,,,0.308,0.692,0.065,,,,,,,,,,,,,,,,,,
2024-09-28,746171,Single,single,False,622110,656271,Matt Duffy,Brock Burke,0,9f35f72d-441f-459b-ab47-d29d27330483,656271.0,brockburke,Burke,Left,Brock Burke,- - -,5.82,3.34,34.0,101.0,96.0,101.0,0.732,10.85,4.24,9.79,1.06,1.41,0.253,0.337,0.168,0.316,0.47,99.0,105.0,108.0,,,,97.0,103.0,100.0,99.0,91.0,91.0,,,,0.047,0.525,,,0.169,-1.89,,0.18,,1.21,95.7,,88.9,93.9,,0.284,0.612,0.215,,,,,,,0.25,0.281,0.414,91.0,96.0,100.0,0.259,0.16,87.0,0.25,0.321,0.379,,,,0.375,0.5,0.267,,,,,,,,,,,,,,,,,,
2024-09-28,746171,Hit By Pitch,hit_by_pitch,False,622110,650671,Matt Duffy,José Quijada,1,7da9534a-b66e-44b2-97dc-7e199e2d40da,650671.0,josequijada,Quijada,Left,José Quijada,LAA,3.26,4.97,19.1,92.0,99.0,91.0,0.697,11.17,7.91,5.59,0.47,0.36,0.244,0.22,0.122,0.341,0.356,71.0,88.0,82.0,,,,100.0,92.0,92.0,,,,,,,,0.945,,,0.042,1.08,,,,-2.9,93.9,,84.9,,,0.18,0.246,0.333,,,,,,,0.5,0.5,0.5,116.0,92.0,93.0,0.013,-2.71,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
