date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
2024-03-31,745279,Lineout,field_out,True,664874,676477,Seby Zavala,Garrett Whitlock,0,e5e751e7-64db-4d5a-b177-c1386a704af9,676477.0,garrettwhitlock,Whitlock,Right,Garrett Whitlock,BOS,1.96,4.33,18.1,101.0,104.0,102.0,0.837,8.35,3.44,6.87,0.49,1.47,0.22,0.42,0.14,0.28,0.449,,,,101.0,97.0,91.0,143.0,108.0,113.0,,,,77.0,96.0,93.0,,,,0.227,,0.193,,0.296,,,-1.85,,-0.26,2.3,,,86.6,,93.4,82.4,,,,,0.333,0.4,0.167,,,,0.0,0.0,0.125,,,,0.308,0.692,0.207,90.0,101.0,107.0,0.283,1.8,84.4,0.174,0.217,0.204,,,,,,
2024-03-31,745279,Strikeout,strikeout,True,664874,676477,Seby Zavala,Garrett Whitlock,0,d9bcb4ff-ae43-449d-a05f-d565cff3fe8c,676477.0,garrettwhitlock,Whitlock,Right,Garrett Whitlock,BOS,1.96,4.33,18.1,101.0,104.0,102.0,0.837,8.35,3.44,6.87,0.49,1.47,0.22,0.42,0.14,0.28,0.449,,,,101.0,97.0,91.0,143.0,108.0,113.0,,,,77.0,96.0,93.0,,,,0.227,,0.193,,0.296,,,-1.85,,-0.26,2.3,,,86.6,,93.4,82.4,,,,,0.333,0.4,0.167,,,,0.0,0.0,0.125,,,,0.308,0.692,0.207,90.0,101.0,107.0,0.283,1.8,84.4,0.174,0.217,0.204,,,,,,
2024-03-31,745279,Flyout,field_out,True,664874,686580,Seby Zavala,Justin Slaten,0,d3b6e3b9-8da3-41b3-a8f0-38c52b92a105,686580.0,justinslaten,Slaten,Right,Justin Slaten,BOS,3.38,2.96,42.2,100.0,105.0,101.0,0.716,9.49,1.9,7.38,0.42,1.58,0.181,0.44,0.181,0.328,0.415,111.0,100.0,105.0,,,,113.0,97.0,102.0,,,,89.0,100.0,95.0,,,,,0.275,0.392,,0.273,,1.62,2.42,,,-0.26,,96.3,91.2,,,83.9,,0.147,0.147,0.268,,,,,,,0.264,0.415,0.406,0.222,0.222,0.417,0.222,0.302,0.248,,,,,,,,,,153.0,107.0,116.0,0.06,-0.28,83.7
2024-04-03,745275,Groundout,field_out,True,664874,671106,Seby Zavala,Logan Allen,0,cb58932f-7239-4772-94c2-61ed77ab1cf5,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,61.0,98.0,88.0,,,,91.0,98.0,86.0,,,,92.0,99.0,97.0,,,,,0.483,0.15,,0.183,,-1.5,0.37,,,-2.18,,91.2,85.4,,,78.6,,0.329,0.593,0.159,,,,,,,0.263,0.509,0.355,,,,0.245,0.449,0.196,101.0,94.0,97.0,0.183,-1.11,81.6,0.254,0.479,0.278,,,,,,
2024-04-03,745275,Groundout,field_out,True,664874,671106,Seby Zavala,Logan Allen,0,1e503035-1a32-4f28-9092-b162f20055c5,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,61.0,98.0,88.0,,,,91.0,98.0,86.0,,,,92.0,99.0,97.0,,,,,0.483,0.15,,0.183,,-1.5,0.37,,,-2.18,,91.2,85.4,,,78.6,,0.329,0.593,0.159,,,,,,,0.263,0.509,0.355,,,,0.245,0.449,0.196,101.0,94.0,97.0,0.183,-1.11,81.6,0.254,0.479,0.278,,,,,,
2024-04-03,745275,Strikeout,strikeout,True,664874,680704,Seby Zavala,Nick Sandlin,0,6d94fa2b-f34e-48b0-b726-b73cb5092e44,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.63,3.77,34.2,93.0,89.0,92.0,0.646,9.87,3.89,5.71,1.3,0.71,0.198,0.407,0.163,0.349,0.374,89.0,97.0,94.0,86.0,83.0,79.0,111.0,90.0,99.0,,,,,,,51.0,97.0,84.0,0.112,0.282,,0.212,0.394,,0.62,,5.5,-4.63,-0.32,,92.5,,84.5,92.3,79.1,,0.188,0.313,0.197,0.333,0.722,0.074,0.034,0.034,0.538,0.214,0.429,0.452,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746003,Lineout,field_out,True,664874,607067,Seby Zavala,Colin Rea,0,a8cc9444-04d8-4147-9eea-df9cfe8cb95d,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,,,,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,,-0.12,-0.36,-0.32,-0.27,3.37,,92.7,87.8,86.4,92.3,82.1,,0.23,0.365,0.239,0.276,0.44,0.109,0.243,0.297,0.26,0.062,0.077,0.227,0.444,0.833,0.111,0.277,0.553,0.159,,,,,,,,,,107.0,106.0,103.0,0.043,-5.02,78.3
2024-04-07,746003,Flyout,field_out,True,664874,607067,Seby Zavala,Colin Rea,0,ffcad1c2-c121-47e3-9ad5-e044ec057dc9,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,,,,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,,-0.12,-0.36,-0.32,-0.27,3.37,,92.7,87.8,86.4,92.3,82.1,,0.23,0.365,0.239,0.276,0.44,0.109,0.243,0.297,0.26,0.062,0.077,0.227,0.444,0.833,0.111,0.277,0.553,0.159,,,,,,,,,,107.0,106.0,103.0,0.043,-5.02,78.3
2024-04-07,746003,Groundout,field_out,True,664874,600986,Seby Zavala,Thyago Vieira,0,53f7b87e-a8d9-47a3-9d50-904652b0dd85,600986.0,thyagovieira,Vieira,Right,Thyago Vieira,- - -,5.21,5.19,38.0,94.0,107.0,94.0,0.764,9.24,6.16,8.76,1.89,0.98,0.227,0.382,0.145,0.318,0.444,116.0,98.0,97.0,93.0,96.0,93.0,118.0,89.0,93.0,,,,,,,,,,0.404,0.227,,,0.361,,-0.66,,,-0.05,-2.14,,97.8,,,97.1,88.3,,0.211,0.5,0.25,0.281,0.386,0.172,,,,0.229,0.542,0.321,,,,,,,121.0,140.0,79.0,0.008,-12.58,91.9,0.5,0.5,0.5,,,,,,
2024-04-07,746003,Strikeout,strikeout,True,664874,600986,Seby Zavala,Thyago Vieira,0,e8bdbaac-4b7a-4f23-a912-ea5fa068674d,600986.0,thyagovieira,Vieira,Right,Thyago Vieira,- - -,5.21,5.19,38.0,94.0,107.0,94.0,0.764,9.24,6.16,8.76,1.89,0.98,0.227,0.382,0.145,0.318,0.444,116.0,98.0,97.0,93.0,96.0,93.0,118.0,89.0,93.0,,,,,,,,,,0.404,0.227,,,0.361,,-0.66,,,-0.05,-2.14,,97.8,,,97.1,88.3,,0.211,0.5,0.25,0.281,0.386,0.172,,,,0.229,0.542,0.321,,,,,,,121.0,140.0,79.0,0.008,-12.58,91.9,0.5,0.5,0.5,,,,,,
