date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-03-31,745602,Strikeout,strikeout,True,644433,624133,Chadwick Tromp,Ranger Suárez,0,1f501c0c-520a-4dc2-9956-25fb8235bb02,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.241,0.354,0.109,0.208,0.299,0.184,0.171,0.289,0.335,0.181,0.25,0.393,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745602,Flyout,field_out,True,644433,624133,Chadwick Tromp,Ranger Suárez,0,0192b454-d7d7-4524-9d90-4e02ccfd8e63,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.241,0.354,0.109,0.208,0.299,0.184,0.171,0.289,0.335,0.181,0.25,0.393,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,746814,Flyout,field_out,True,644433,676979,Chadwick Tromp,Garrett Crochet,0,7320d595-26ab-4cf1-928e-b408c4e40b77,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,0.114,,0.061,1.77,2.05,,-2.87,,-0.38,97.0,91.4,90.8,,84.1,,,,,0.188,0.274,0.31,,,,0.179,0.321,0.279,0.213,0.283,0.351,0.227,0.614,0.372,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,746814,Forceout,force_out,True,644433,676979,Chadwick Tromp,Garrett Crochet,1,5051a15b-85d5-4616-9505-ba0cfeee5195,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,0.114,,0.061,1.77,2.05,,-2.87,,-0.38,97.0,91.4,90.8,,84.1,,,,,0.188,0.274,0.31,,,,0.179,0.321,0.279,0.213,0.283,0.351,0.227,0.614,0.372,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,747141,Sac Fly,sac_fly,True,644433,669194,Chadwick Tromp,Ryne Nelson,1,147f282c-816b-4dc9-815c-2948f4a0f69e,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,76.0,103.0,92.0,,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,,-1.78,2.02,-4.16,95.0,91.4,83.4,,84.5,77.5,,,,0.261,0.415,0.217,0.16,0.24,0.116,0.368,0.737,0.208,0.341,0.518,0.124,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,747141,Strikeout,strikeout,True,644433,669194,Chadwick Tromp,Ryne Nelson,0,546e0043-606e-4145-9f42-982463eb4d0b,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,76.0,103.0,92.0,,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,,-1.78,2.02,-4.16,95.0,91.4,83.4,,84.5,77.5,,,,0.261,0.415,0.217,0.16,0.24,0.116,0.368,0.737,0.208,0.341,0.518,0.124,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,747141,Groundout,field_out,True,644433,612434,Chadwick Tromp,Miguel Castro,0,527f0db1-de8c-4d62-a4b7-ed801cf944db,612434.0,miguelcastro,Castro,Right,Miguel Castro,ARI,4.66,4.79,9.2,97.0,114.0,104.0,0.807,6.52,0.93,12.1,0.93,1.5,0.257,0.457,0.257,0.2,0.426,71.0,92.0,94.0,,,,,,,95.0,98.0,99.0,154.0,96.0,114.0,,,,0.485,,,0.391,,0.124,,,-1.11,0.66,,-8.21,,,90.0,95.0,81.7,,0.389,0.5,0.159,,,,,,,0.444,0.667,0.231,,,,0.143,0.5,0.259,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,747137,Groundout,field_out,True,644433,500779,Chadwick Tromp,Jose Quintana,0,e3afc33b-4b29-42a3-96f3-c573de796a63,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,,,,,,,0.318,0.207,,,0.277,0.199,-1.6,,-0.01,,0.72,0.78,90.5,,85.8,90.7,,77.8,0.271,0.504,0.137,0.281,0.579,0.149,0.255,0.415,0.247,0.188,0.263,0.314,,,,,,,,,,,,,,,,0.154,0.269,0.327,,,,,,,,,,,,
2024-04-11,747137,Double,double,False,644433,500779,Chadwick Tromp,Jose Quintana,1,eabe5a87-045d-4eee-921a-a119cff1c948,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,,,,,,,0.318,0.207,,,0.277,0.199,-1.6,,-0.01,,0.72,0.78,90.5,,85.8,90.7,,77.8,0.271,0.504,0.137,0.281,0.579,0.149,0.255,0.415,0.247,0.188,0.263,0.314,,,,,,,,,,,,,,,,0.154,0.269,0.327,,,,,,,,,,,,
2024-04-11,747137,Strikeout,strikeout,True,644433,622098,Chadwick Tromp,Drew Smith,0,4c9543a9-b42e-484e-bc9b-861290af7482,622098.0,drewsmith,"Smith, Dr",Right,Drew Smith,NYM,3.06,4.36,17.2,102.0,117.0,103.0,0.728,11.72,4.58,9.17,1.02,0.48,0.319,0.34,0.191,0.34,0.445,66.0,86.0,80.0,81.0,86.0,88.0,119.0,102.0,105.0,,,,101.0,119.0,113.0,150.0,99.0,108.0,0.027,0.436,0.268,0.14,0.076,0.052,-0.3,-2.33,4.01,1.34,2.65,-3.56,94.7,89.1,85.3,94.6,84.6,76.7,,,,0.226,0.452,0.26,,,,0.333,0.333,0.2,0.389,0.611,0.358,0.231,0.308,0.321,,,,,,,,,,,,,,,,,,,,,,,,
