date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,vSC (sc),SC%,wSC/C
2024-07-01,746535,Single,single,True,606992,596295,Eric Haase,Austin Gomber,1,7e39bd7f-846d-476f-a649-4ce4b4af2206,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.61,4.79,99.2,103.0,79.0,97.0,0.828,6.05,2.26,9.48,1.63,1.05,0.222,0.434,0.142,0.351,0.428,86.0,105.0,101.0,73.0,98.0,90.0,51.0,110.0,96.0,86.0,102.0,100.0,78.0,111.0,105.0,0.001,0.412,0.158,0.218,0.211,-1.25,-43.05,-0.33,0.82,-0.09,90.4,80.9,90.1,83.8,77.1,0.312,0.567,0.093,0.188,0.337,0.266,0.274,0.369,0.275,0.274,0.532,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,746535,Lineout,field_out,True,606992,596295,Eric Haase,Austin Gomber,0,7af99e87-639b-45da-8f35-40fcced91ad5,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.61,4.79,99.2,103.0,79.0,97.0,0.828,6.05,2.26,9.48,1.63,1.05,0.222,0.434,0.142,0.351,0.428,86.0,105.0,101.0,73.0,98.0,90.0,51.0,110.0,96.0,86.0,102.0,100.0,78.0,111.0,105.0,0.001,0.412,0.158,0.218,0.211,-1.25,-43.05,-0.33,0.82,-0.09,90.4,80.9,90.1,83.8,77.1,0.312,0.567,0.093,0.188,0.337,0.266,0.274,0.369,0.275,0.274,0.532,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,746535,Strikeout,strikeout,True,606992,683627,Eric Haase,Anthony Molina,0,4fda2721-8b88-471d-a85f-3edd12682295,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,94.0,91.0,92.0,76.0,98.0,92.0,,,,91.0,107.0,107.0,,,,,0.49,0.249,0.002,0.235,-1.66,,-1.65,3.88,0.35,94.6,84.9,,88.5,76.8,0.373,0.537,0.136,0.333,0.333,0.0,0.179,0.286,0.254,0.349,0.488,0.115,,,,,,,,,,121.0,110.0,112.0,0.024,-1.97,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,746535,Single,single,False,606992,664875,Eric Haase,Justin Lawrence,1,ff4a48a5-e53a-44c2-a7b0-f2f17041f9d1,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,5.86,5.22,35.1,96.0,109.0,104.0,0.788,7.39,5.09,10.44,1.02,2.11,0.245,0.409,0.118,0.309,0.403,,,,,,,75.0,96.0,96.0,156.0,95.0,116.0,,,,0.579,,0.421,,,,-1.67,0.0,,,,,94.9,84.0,,,,,,,,,,,0.204,0.296,0.303,,,,,,,,,,,,,,,,0.375,0.563,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-04,746532,Lineout,field_out,True,606992,615698,Eric Haase,Cal Quantrill,0,ed60e6df-6284-4ca0-8f56-d88defac4db5,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,,,,79.0,97.0,90.0,,,,,,,0.397,,,,0.025,,-1.66,,,1.78,,84.9,93.8,,,,,,0.242,0.424,0.267,0.222,0.222,0.167,,,,80.0,99.0,95.0,0.134,-1.43,87.7,0.347,0.571,0.173,96.0,101.0,104.0,0.107,0.34,79.9,0.322,0.573,0.2,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253,,,,,,,,,,,,,,,,,,
2024-07-04,746532,Pop Out,field_out,True,606992,615698,Eric Haase,Cal Quantrill,0,52ef05e3-a3b1-4494-82ef-19589ed1662b,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,,,,79.0,97.0,90.0,,,,,,,0.397,,,,0.025,,-1.66,,,1.78,,84.9,93.8,,,,,,0.242,0.424,0.267,0.222,0.222,0.167,,,,80.0,99.0,95.0,0.134,-1.43,87.7,0.347,0.571,0.173,96.0,101.0,104.0,0.107,0.34,79.9,0.322,0.573,0.2,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253,,,,,,,,,,,,,,,,,,
2024-07-04,746532,Single,single,False,606992,683627,Eric Haase,Anthony Molina,1,b827ec08-189e-4dc5-bbd5-83f3d89638ca,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,94.0,91.0,92.0,76.0,98.0,92.0,,,,91.0,107.0,107.0,,,,,0.49,0.249,0.002,0.235,-1.66,,-1.65,3.88,0.35,94.6,84.9,,88.5,76.8,0.373,0.537,0.136,0.333,0.333,0.0,0.179,0.286,0.254,0.349,0.488,0.115,,,,,,,,,,121.0,110.0,112.0,0.024,-1.97,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,746122,Strikeout,strikeout,True,606992,680736,Eric Haase,Justin Wrobleski,0,37fc0f71-802c-4d7e-af47-d9e3be1c0a79,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,,,,0.038,0.556,0.188,,0.063,0.68,-7.62,-7.93,,-0.28,95.1,82.8,92.7,84.5,,0.182,0.364,0.182,,,,,,,0.25,0.833,0.308,53.0,91.0,92.0,0.15,-6.77,88.1,0.667,2.0,0.154,49.0,121.0,132.0,0.006,3.88,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,746122,Home Run,home_run,False,606992,680736,Eric Haase,Justin Wrobleski,1,33516f94-f669-45fc-882f-b92507350e2a,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,99.0,99.0,101.0,53.0,87.0,76.0,99.0,115.0,109.0,,,,0.038,0.556,0.188,,0.063,0.68,-7.62,-7.93,,-0.28,95.1,82.8,92.7,84.5,,0.182,0.364,0.182,,,,,,,0.25,0.833,0.308,53.0,91.0,92.0,0.15,-6.77,88.1,0.667,2.0,0.154,49.0,121.0,132.0,0.006,3.88,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,746122,Strikeout,strikeout,True,606992,642232,Eric Haase,Ryan Yarbrough,1,d1a2ba3f-e701-4b50-b9ef-12d5ca57b6c1,642232.0,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,LAD,3.73,4.67,62.2,98.0,80.0,93.0,0.813,4.45,3.59,7.04,1.15,0.95,0.259,0.403,0.169,0.259,0.444,63.0,102.0,82.0,86.0,96.0,90.0,63.0,100.0,91.0,,,,,,,0.251,0.173,,,0.149,0.52,2.48,,,1.05,86.5,77.5,85.9,,,0.258,0.387,0.149,0.141,0.282,0.282,0.229,0.229,0.231,,,,95.0,83.0,77.0,0.142,-4.83,83.8,0.421,0.789,0.204,96.0,102.0,111.0,0.286,0.81,71.5,0.211,0.324,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,
