date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-04-21,745514,Flyout,field_out,True,623168,527048,Tyler Heineman,Martín Pérez,0,7415b438-c31a-46b1-8550-a5464f9c5b0e,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-21,745514,Hit By Pitch,hit_by_pitch,False,623168,527048,Tyler Heineman,Martín Pérez,0,6dccd361-f6e1-455f-ab29-2b729f386b27,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,746941,Strikeout,strikeout,True,623168,647315,Tyler Heineman,Zach Pop,0,3b106f2e-57c5-415d-8a91-3c1459e77b2c,647315.0,zachpop,Pop,Right,Zach Pop,TOR,5.9,4.57,29.0,98.0,101.0,100.0,0.811,5.9,3.72,9.0,2.17,1.69,0.221,0.484,0.2,0.347,0.37,,,,,,,,,,95.0,100.0,101.0,95.0,92.0,94.0,0.731,,0.119,0.002,0.002,,-3.48,-0.94,3.88,-3.7,,93.7,87.4,96.3,82.8,0.279,0.5,0.207,,,,0.273,0.818,0.25,,,,,,,140.0,93.0,103.0,0.145,0.31,86.3,0.143,0.214,0.24,,,,,,,,,,,,,,,,,,
2024-09-19,744962,Walk,walk,False,623168,677958,Tyler Heineman,Kumar Rocker,1,df9d7f99-8238-4fb9-8abd-e930dfc3261d,677958.0,kumarrocker,Rocker,Right,Kumar Rocker,TEX,2.57,3.13,7.0,99.0,93.0,102.0,0.636,15.43,7.71,6.43,1.29,1.17,0.267,0.267,0.0,0.467,0.379,135.0,79.0,74.0,48.0,43.0,56.0,76.0,101.0,93.0,111.0,103.0,104.0,,,,0.159,0.4,,0.007,0.021,-3.53,,0.46,-4.85,-0.84,96.1,,90.4,95.3,76.2,0.0,0.0,0.333,,,,,,,,,,0.364,0.636,0.2,103.0,98.0,111.0,0.414,1.93,84.5,0.091,0.091,0.536,,,,,,,,,,,,,,,,,,
2024-09-19,744962,Walk,walk,False,623168,679156,Tyler Heineman,Walter Pennington,0,de812966-1352-4765-8413-be0141656c0c,679156.0,walterpennington,Pennington,Left,Walter Pennington,- - -,3.0,5.35,18.0,94.0,79.0,88.0,0.773,8.5,5.5,9.5,0.5,1.41,0.185,0.5,0.074,0.278,0.406,,,,,,,47.0,99.0,76.0,61.0,91.0,77.0,93.0,95.0,93.0,0.297,0.024,0.27,,,1.22,-0.81,1.33,,,90.4,89.4,,91.5,,0.167,0.222,0.128,,,,0.333,0.444,0.143,,,,,,,86.0,96.0,92.0,0.409,-1.68,83.8,0.286,0.429,0.409,,,,,,,,,,,,,,,,,,
2024-09-19,744962,Strikeout,strikeout,True,623168,679156,Tyler Heineman,Walter Pennington,0,2d451aa6-4427-482e-bfb8-3bab6d6d94ac,679156.0,walterpennington,Pennington,Left,Walter Pennington,- - -,3.0,5.35,18.0,94.0,79.0,88.0,0.773,8.5,5.5,9.5,0.5,1.41,0.185,0.5,0.074,0.278,0.406,,,,,,,47.0,99.0,76.0,61.0,91.0,77.0,93.0,95.0,93.0,0.297,0.024,0.27,,,1.22,-0.81,1.33,,,90.4,89.4,,91.5,,0.167,0.222,0.128,,,,0.333,0.444,0.143,,,,,,,86.0,96.0,92.0,0.409,-1.68,83.8,0.286,0.429,0.409,,,,,,,,,,,,,,,,,,
2024-09-19,744962,Strikeout,strikeout,True,623168,605177,Tyler Heineman,Andrew Chafin,1,bf4b4ba7-5b30-4b20-92ed-85090fa91325,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.64,3.57,54.1,90.0,88.0,92.0,0.66,11.43,4.97,8.45,0.83,0.84,0.261,0.319,0.138,0.261,0.288,,,,,,,71.0,92.0,82.0,75.0,91.0,82.0,,,,0.372,0.165,,,,1.5,,-1.14,,,91.7,,,91.7,,0.451,0.563,0.147,,,,,,,,,,0.176,0.353,0.213,105.0,88.0,104.0,0.463,1.28,82.1,0.131,0.192,0.551,,,,,,,,,,,,,,,,,,
2024-09-22,745036,Strikeout,strikeout,True,623168,669358,Tyler Heineman,Shane Baz,0,16f00e52-065a-4e73-9b70-6d2a3ca32447,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.07,3.73,73.1,100.0,115.0,103.0,0.787,7.61,3.19,6.63,0.98,0.87,0.262,0.393,0.136,0.354,0.456,87.0,97.0,95.0,119.0,104.0,109.0,121.0,101.0,104.0,,,,,,,,0.483,,0.194,0.104,1.04,,,1.33,2.56,95.6,,88.1,,83.5,,,,0.125,0.125,0.283,,,,0.191,0.279,0.278,0.244,0.345,0.224,110.0,96.0,100.0,0.22,-0.11,87.3,0.167,0.407,0.215,,,,,,,,,,,,,,,,,,
2024-09-22,745036,Flyout,field_out,True,623168,669358,Tyler Heineman,Shane Baz,0,58c2f8ea-7eb7-4661-b47c-9186f66ad83f,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.07,3.73,73.1,100.0,115.0,103.0,0.787,7.61,3.19,6.63,0.98,0.87,0.262,0.393,0.136,0.354,0.456,87.0,97.0,95.0,119.0,104.0,109.0,121.0,101.0,104.0,,,,,,,,0.483,,0.194,0.104,1.04,,,1.33,2.56,95.6,,88.1,,83.5,,,,0.125,0.125,0.283,,,,0.191,0.279,0.278,0.244,0.345,0.224,110.0,96.0,100.0,0.22,-0.11,87.3,0.167,0.407,0.215,,,,,,,,,,,,,,,,,,
2024-09-22,745036,Single,single,False,623168,621363,Tyler Heineman,Colin Poche,1,fafbabbd-a1de-4319-b460-e981b87a92b0,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.82,3.87,35.1,93.0,87.0,96.0,0.803,8.41,3.31,7.13,1.78,0.67,0.184,0.49,0.143,0.327,0.426,,,,,,,97.0,89.0,93.0,,,,,,,,0.682,,,,0.62,,,,,91.2,,,,,,,,,,,,,,,,,0.229,0.422,0.163,66.0,101.0,102.0,0.318,0.53,83.1,0.191,0.362,0.383,,,,,,,,,,,,,,,,,,
