date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,EP%,wEP/C,vEP
2024-08-02,746679,Strikeout,strikeout,True,666464,671096,Jerar Encarnacion,Andrew Abbott,0,22617c8f-3ae3-43c5-af96-efd3f269daf5,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746679,Strikeout,strikeout,True,666464,671096,Jerar Encarnacion,Andrew Abbott,0,9570b4cf-751a-43e1-ba41-016a8aa705ea,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746679,Groundout,field_out,True,666464,571656,Jerar Encarnacion,Buck Farmer,0,6d5786f9-2531-4d1f-a845-322adc4f7341,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.52,3.97,60.2,98.0,92.0,99.0,0.769,8.46,3.71,6.53,0.89,0.84,0.224,0.442,0.194,0.279,0.391,108.0,104.0,109.0,,,,53.0,93.0,80.0,119.0,101.0,111.0,0.214,0.336,,0.216,0.75,1.47,,-1.02,92.7,86.7,82.2,,0.182,0.364,0.155,,,,0.275,0.392,0.319,,,,0.136,0.318,0.366,74.0,94.0,91.0,0.234,1.97,92.5,0.228,0.351,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,746679,Lineout,field_out,True,666464,594580,Jerar Encarnacion,Sam Moll,0,5adea3fb-5b46-4ab7-be48-009f03e1304c,594580.0,sammoll,Moll,Left,Sam Moll,CIN,2.8,2.54,35.1,100.0,106.0,100.0,0.755,9.42,2.8,6.62,0.51,1.27,0.198,0.473,0.132,0.22,0.433,67.0,94.0,101.0,,,,149.0,105.0,107.0,94.0,98.0,109.0,0.386,0.241,,0.089,-0.36,2.94,,-0.58,93.3,85.2,81.2,,0.25,0.404,0.261,0.118,0.147,0.4,0.3,0.3,0.375,,,,,,,72.0,98.0,84.0,0.284,3.34,92.0,0.2,0.3,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,746681,Home Run,home_run,False,666464,663574,Jerar Encarnacion,Tony Santillan,0,44e9c222-99bb-4211-8ec4-b11f74464308,663574.0,tonysantillan,Santillan,Right,Tony Santillan,CIN,2.55,2.14,17.2,110.0,113.0,109.0,0.748,13.75,2.55,5.09,1.53,1.06,0.4,0.25,0.125,0.275,0.505,76.0,156.0,148.0,,,,106.0,114.0,107.0,124.0,101.0,111.0,0.607,0.386,,0.007,1.48,1.25,,12.52,97.3,91.8,86.8,,0.146,0.366,0.327,,,,,,,,,,0.16,0.16,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746680,Strikeout,strikeout,True,666464,686730,Jerar Encarnacion,Carson Spiers,0,a55debed-b786-4f67-b4da-b3229e9e07cb,686730.0,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.13,4.2,73.2,104.0,87.0,100.0,0.803,7.94,2.08,10.38,1.71,0.86,0.236,0.422,0.186,0.346,0.459,70.0,102.0,90.0,,,,74.0,103.0,95.0,121.0,108.0,114.0,0.281,0.226,,0.136,-0.69,-1.29,,-5.15,92.2,86.5,81.3,,0.209,0.384,0.219,0.3,0.567,0.322,0.388,0.735,0.185,,,,0.0,0.0,0.167,76.0,109.0,101.0,0.174,1.2,92.0,0.286,0.518,0.14,82.0,103.0,98.0,0.183,-0.26,87.8,0.292,0.458,0.198,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746680,Groundout,field_out,True,666464,686730,Jerar Encarnacion,Carson Spiers,0,439ffb7a-6bc7-4875-b4a1-04a75f39f77f,686730.0,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.13,4.2,73.2,104.0,87.0,100.0,0.803,7.94,2.08,10.38,1.71,0.86,0.236,0.422,0.186,0.346,0.459,70.0,102.0,90.0,,,,74.0,103.0,95.0,121.0,108.0,114.0,0.281,0.226,,0.136,-0.69,-1.29,,-5.15,92.2,86.5,81.3,,0.209,0.384,0.219,0.3,0.567,0.322,0.388,0.735,0.185,,,,0.0,0.0,0.167,76.0,109.0,101.0,0.174,1.2,92.0,0.286,0.518,0.14,82.0,103.0,98.0,0.183,-0.26,87.8,0.292,0.458,0.198,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746680,Strikeout,strikeout,True,666464,663574,Jerar Encarnacion,Tony Santillan,0,c0dbbcc9-348c-4d19-b6f1-e2cd4ba2d215,663574.0,tonysantillan,Santillan,Right,Tony Santillan,CIN,2.55,2.14,17.2,110.0,113.0,109.0,0.748,13.75,2.55,5.09,1.53,1.06,0.4,0.25,0.125,0.275,0.505,76.0,156.0,148.0,,,,106.0,114.0,107.0,124.0,101.0,111.0,0.607,0.386,,0.007,1.48,1.25,,12.52,97.3,91.8,86.8,,0.146,0.366,0.327,,,,,,,,,,0.16,0.16,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746680,Double,double,False,666464,691172,Jerar Encarnacion,Yosver Zulueta,1,a5ed001d-656f-4d5b-8dd2-b071b29ca0e7,691172.0,yosverzulueta,Zulueta,Right,Yosver Zulueta,CIN,3.09,3.57,11.2,94.0,91.0,95.0,0.861,8.49,3.86,6.94,0.0,2.38,0.226,0.323,0.129,0.323,0.411,94.0,91.0,92.0,,,,95.0,96.0,70.0,117.0,108.0,125.0,0.016,0.308,,0.011,-2.75,0.52,,8.21,95.8,90.4,87.6,,,,,0.167,0.167,0.333,,,,,,,0.231,0.308,0.294,81.0,88.0,85.0,0.665,1.52,96.6,0.227,0.318,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,744821,Single,single,False,666464,571578,Jerar Encarnacion,Patrick Corbin,0,ac2d0073-dda1-416d-8075-edfa3c527cca,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,65.0,90.0,85.0,55.0,98.0,84.0,87.0,97.0,96.0,0.086,0.338,0.012,0.04,-1.45,0.28,-3.46,-5.52,91.3,81.0,79.9,70.1,0.318,0.591,0.135,,,,0.409,0.773,0.279,0.5,2.0,0.545,0.227,0.344,0.344,71.0,104.0,92.0,0.346,-1.43,91.5,0.333,0.54,0.09,77.0,106.0,99.0,0.179,-0.37,85.2,0.29,0.439,0.225,,,,,,,,,,,,,,,,0.001,4.69,63.2,,,
