date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff
2024-03-30,746168,Groundout,field_out,True,543063,808967,Brandon Crawford,Yoshinobu Yamamoto,0,da321b4f-36e1-4367-b9a2-f5dbd2e87855,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,86.0,95.0,89.0,122.0,111.0,119.0,0.033,0.407,0.053,0.248,0.033,0.226,1.22,2.17,-0.01,-0.61,0.93,0.52,95.5,91.3,90.1,94.9,86.5,77.9,0.248,0.396,0.194,0.188,0.3,0.348,0.23,0.41,0.319,0.133,0.133,0.333,0.231,0.308,0.242,0.3,0.5,0.143,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746168,Lineout,field_out,True,543063,808967,Brandon Crawford,Yoshinobu Yamamoto,0,1c612c2f-e4cd-4ea7-a13d-87916e2281b9,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,106.0,105.0,113.0,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,86.0,95.0,89.0,122.0,111.0,119.0,0.033,0.407,0.053,0.248,0.033,0.226,1.22,2.17,-0.01,-0.61,0.93,0.52,95.5,91.3,90.1,94.9,86.5,77.9,0.248,0.396,0.194,0.188,0.3,0.348,0.23,0.41,0.319,0.133,0.133,0.333,0.231,0.308,0.242,0.3,0.5,0.143,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746168,Single,single,False,543063,523260,Brandon Crawford,Joe Kelly,1,69b0ef1f-5b6a-4c64-ac48-ceef3fe30e7f,523260.0,joekelly,"Kelly, J",Right,Joe Kelly,LAD,4.73,3.77,13.1,94.0,102.0,99.0,0.798,9.45,3.38,8.78,0.0,2.71,0.222,0.361,0.222,0.194,0.469,,,,94.0,105.0,99.0,77.0,83.0,76.0,135.0,115.0,144.0,,,,,,,0.317,0.246,,,0.268,,-0.69,,,0.36,1.81,,98.6,,,98.0,90.4,,0.364,0.455,0.241,,,,0.333,0.333,0.417,0.211,0.263,0.25,,,,0.214,0.214,0.097,91.0,79.0,64.0,0.027,-9.26,89.2,,,,115.0,76.0,89.0,0.143,-3.02,88.1,,,,,,
2024-03-30,746168,Strikeout,strikeout,True,543063,669165,Brandon Crawford,Kyle Hurt,0,8e258354-57d2-4cc1-aceb-2c235f9d96f2,669165.0,kylehurt,Hurt,Right,Kyle Hurt,LAD,1.35,5.83,6.2,97.0,87.0,92.0,0.759,4.05,1.35,10.8,0.0,1.33,0.217,0.435,0.087,0.304,0.494,80.0,80.0,70.0,60.0,103.0,91.0,53.0,105.0,79.0,67.0,75.0,27.0,,,,,,,0.046,0.379,,,0.011,0.023,3.12,,,-3.96,5.82,-28.56,94.8,,,96.5,87.7,80.9,0.143,0.143,0.222,,,,,,,,,,,,,0.333,0.333,0.0,109.0,94.0,96.0,0.54,0.0,85.8,0.333,0.467,0.313,,,,,,,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,543063,605397,Brandon Crawford,Joe Musgrove,0,21740cbd-ca05-4dca-9b90-2c004de7172c,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,,,,0.051,0.242,0.189,,0.221,0.211,-3.58,-0.26,,1.06,0.31,-0.49,92.4,89.9,,92.1,81.6,81.2,0.349,0.698,0.208,,,,0.237,0.421,0.342,0.211,0.579,0.333,0.405,0.541,0.247,0.364,0.364,0.136,129.0,97.0,107.0,0.086,-3.04,86.8,0.35,0.65,0.389,,,,,,,,,,,,
2024-04-03,745440,Walk,walk,False,543063,605397,Brandon Crawford,Joe Musgrove,1,5c9eaec9-1bca-4108-8c74-f7e237854ff4,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,,,,0.051,0.242,0.189,,0.221,0.211,-3.58,-0.26,,1.06,0.31,-0.49,92.4,89.9,,92.1,81.6,81.2,0.349,0.698,0.208,,,,0.237,0.421,0.342,0.211,0.579,0.333,0.405,0.541,0.247,0.364,0.364,0.136,129.0,97.0,107.0,0.086,-3.04,86.8,0.35,0.65,0.389,,,,,,,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,543063,676680,Brandon Crawford,Tom Cosgrove,0,70f49a31-971d-4cd5-b6e3-f5f41d516f06,676680.0,tomcosgrove,Cosgrove,Left,Tom Cosgrove,SDP,11.66,4.79,14.2,98.0,106.0,95.0,0.831,9.2,3.68,14.11,1.84,1.06,0.26,0.4,0.16,0.28,0.443,,,,90.0,110.0,99.0,90.0,93.0,78.0,121.0,94.0,100.0,,,,,,,0.257,0.232,,,0.511,,-5.3,,,-3.0,-0.15,,90.3,,,89.9,76.8,,0.444,0.667,0.222,,,,,,,0.208,0.333,0.226,,,,0.435,0.609,0.111,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745440,Walk,walk,False,543063,663158,Brandon Crawford,Robert Suarez,1,3801a05e-185b-4b94-95de-81dcd23c3a7f,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,1.67,3.08,37.2,103.0,136.0,109.0,0.786,8.36,1.91,6.21,0.96,0.71,0.337,0.327,0.188,0.297,0.463,,,,141.0,105.0,112.0,128.0,105.0,100.0,,,,,,,,,,0.116,0.768,0.002,,,,2.18,3.88,,2.13,,,98.8,93.3,,98.1,,,0.194,0.291,0.218,,,,,,,,,,,,,0.158,0.211,0.128,117.0,94.0,103.0,0.114,-3.36,90.8,0.214,0.643,0.385,,,,,,,,,,,,
2024-04-10,745196,Strikeout,strikeout,True,543063,605400,Brandon Crawford,Aaron Nola,0,d4df455e-ff84-41a2-b607-8c52745f47fa,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,,,,90.0,105.0,100.0,100.0,109.0,106.0,,,,68.0,100.0,93.0,,,,0.212,0.259,0.102,,,,1.43,-2.53,,-0.12,,,92.3,87.4,,91.4,,,0.117,0.252,0.226,,,,0.194,0.306,0.35,,,,0.389,0.75,0.143,0.29,0.47,0.137,80.0,103.0,90.0,0.103,-2.18,85.4,0.289,0.5,0.154,133.0,109.0,116.0,0.324,2.0,79.2,,,,,,
2024-04-10,745196,Groundout,field_out,True,543063,605400,Brandon Crawford,Aaron Nola,0,0348221b-b5f1-45f1-abc3-4f9a42cc5fc5,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,,,,90.0,105.0,100.0,100.0,109.0,106.0,,,,68.0,100.0,93.0,,,,0.212,0.259,0.102,,,,1.43,-2.53,,-0.12,,,92.3,87.4,,91.4,,,0.117,0.252,0.226,,,,0.194,0.306,0.35,,,,0.389,0.75,0.143,0.29,0.47,0.137,80.0,103.0,90.0,0.103,-2.18,85.4,0.289,0.5,0.154,133.0,109.0,116.0,0.324,2.0,79.2,,,,,,
