date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-08-21,745375,Single,single,False,669200,663485,Mason McCoy,Cole Sands,0,b5b9a751-5692-40ab-82a0-00e9ea0153a3,663485.0,colesands,Sands,Right,Cole Sands,MIN,3.02,3.44,59.2,105.0,92.0,101.0,0.766,10.11,1.21,7.39,0.75,0.87,0.264,0.356,0.196,0.325,0.438,,78.0,105.0,99.0,74.0,94.0,92.0,,,,96.0,106.0,99.0,0.116,0.268,0.297,,,1.82,2.05,1.53,,,95.5,90.7,94.6,,,,,0.197,0.318,0.321,,,,0.259,0.37,0.04,0.208,0.321,0.272,,,,102.0,103.0,107.0,0.155,,-1.94,,,82.4,,,,,,,0.303,0.424,0.286,110.0,111.0,104.0,0.164,0.41,87.7,0.174,0.217,0.213,,,,,,,,,
2024-08-21,745375,Strikeout,strikeout,True,669200,678692,Mason McCoy,Ronny Henriquez,0,a56079c4-ccd8-4513-acb9-9409394636b2,678692.0,ronnyhenriquez,Henriquez,Right,Ronny Henriquez,MIN,2.7,4.2,10.0,103.0,98.0,107.0,0.702,9.0,2.7,9.0,0.9,1.2,0.167,0.267,0.133,0.433,0.451,,126.0,111.0,124.0,149.0,99.0,101.0,101.0,96.0,98.0,,,,0.018,0.329,,0.341,,-0.7,,9.15,-2.33,,95.5,,94.3,88.5,,,,0.267,0.6,0.139,,,,,,,,,,65.0,103.0,102.0,,,,,0.311,,3.22,90.4,,0.444,0.556,0.429,0.133,0.133,0.462,,,,,,,,,,,,,,,,,,,,,
2024-08-22,745379,Strikeout,strikeout,True,669200,622663,Mason McCoy,Luis Severino,0,60ccb1f2-575b-4846-92bf-f38d29f8636d,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.96,4.03,152.1,100.0,106.0,100.0,0.82,7.74,3.07,8.27,1.12,1.35,0.259,0.379,0.21,0.281,0.439,,100.0,103.0,100.0,90.0,97.0,93.0,142.0,100.0,112.0,92.0,93.0,90.0,0.253,0.351,0.084,0.229,,0.31,0.95,0.88,0.04,,96.1,92.7,95.6,85.7,,,,0.231,0.382,0.222,0.156,0.24,0.357,0.289,0.434,0.123,0.186,0.279,0.239,86.0,92.0,92.0,,,,,0.082,,-2.98,86.1,,0.263,0.342,0.282,0.333,0.622,0.182,,,,,,,,,,,,,,,,,,,,,
2024-08-22,745379,Walk,walk,False,669200,622663,Mason McCoy,Luis Severino,0,c88812b0-796a-4909-bc25-ccbb70003121,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.96,4.03,152.1,100.0,106.0,100.0,0.82,7.74,3.07,8.27,1.12,1.35,0.259,0.379,0.21,0.281,0.439,,100.0,103.0,100.0,90.0,97.0,93.0,142.0,100.0,112.0,92.0,93.0,90.0,0.253,0.351,0.084,0.229,,0.31,0.95,0.88,0.04,,96.1,92.7,95.6,85.7,,,,0.231,0.382,0.222,0.156,0.24,0.357,0.289,0.434,0.123,0.186,0.279,0.239,86.0,92.0,92.0,,,,,0.082,,-2.98,86.1,,0.263,0.342,0.282,0.333,0.622,0.182,,,,,,,,,,,,,,,,,,,,,
2024-08-22,745379,Walk,walk,False,669200,657585,Mason McCoy,Reed Garrett,0,041010c3-2aa8-4392-8a41-8d98cf61163d,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.83,3.39,47.0,92.0,117.0,96.0,0.649,13.21,5.17,8.23,1.15,1.21,0.241,0.444,0.241,0.278,0.343,,127.0,85.0,89.0,92.0,85.0,79.0,121.0,96.0,104.0,108.0,100.0,94.0,0.127,0.162,0.236,0.201,,-4.43,0.55,-2.08,0.81,,96.5,91.4,96.2,84.8,,,,0.414,0.759,0.288,0.192,0.231,0.339,0.375,0.688,0.239,0.297,0.514,0.347,,,,,,,,,,,,,,,,,,,,,,120.0,92.0,99.0,0.274,1.85,88.0,0.132,0.147,0.522,,,,,,,,,
2024-08-22,745379,Single,single,False,669200,623211,Mason McCoy,Huascar Brazobán,1,e96f7261-93eb-474c-be7c-70ebe0bbed60,623211.0,huascarbrazoban,Brazoban,Right,Huascar Brazobán,- - -,3.67,3.15,41.2,97.0,99.0,96.0,0.716,9.5,4.1,6.26,0.43,1.64,0.183,0.431,0.266,0.165,0.384,,89.0,99.0,94.0,97.0,88.0,88.0,,,,88.0,98.0,93.0,0.212,0.22,0.272,,,1.58,2.14,-0.6,,,96.4,88.8,95.9,,,,,0.167,0.2,0.128,,,,0.438,0.563,0.255,0.13,0.239,0.364,124.0,100.0,108.0,,,,,0.297,,0.98,90.1,,,,,0.18,0.246,0.402,,,,,,,,,,,,,,,,,,,,,
2024-08-23,745378,Single,single,False,669200,621112,Mason McCoy,Paul Blackburn,0,949f1a7c-d016-4981-aabb-6b7cfbd58568,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.56,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,,-2.26,-0.17,-4.01,1.38,,91.9,89.1,91.2,81.3,,,,0.286,0.694,0.125,,,,0.478,0.674,0.095,0.299,0.493,0.244,83.0,110.0,106.0,90.0,107.0,106.0,0.101,0.181,2.08,1.58,85.7,79.4,0.163,0.245,0.284,0.164,0.236,0.339,0.125,0.208,0.25,,,,,,,,,,,,,,,,,,
2024-08-23,745378,Strikeout,strikeout,True,669200,592773,Mason McCoy,Ryne Stanek,0,5754c009-5863-495c-889c-4e531ccd575f,592773.0,rynestanek,Stanek,Right,Ryne Stanek,- - -,5.1,3.62,47.2,96.0,127.0,104.0,0.71,10.2,4.34,7.93,1.32,0.73,0.267,0.389,0.13,0.328,0.424,,131.0,96.0,103.0,94.0,96.0,96.0,150.0,96.0,109.0,,,,0.024,0.597,,0.166,,0.22,,5.19,-0.2,,97.8,,95.2,87.9,,,,0.248,0.41,0.256,,,,0.0,0.0,0.111,,,,,,,,,,,,,,,,0.261,0.565,0.463,,,,,,,114.0,100.0,111.0,0.213,-1.54,89.2,0.189,0.302,0.43,,,,,,,,,
2024-08-23,745378,Strikeout,strikeout,True,669200,664849,Mason McCoy,Danny Young,0,310b1832-4d45-4d41-bd6c-375cb40cba1e,664849.0,dannyyoung,"Young, D",Left,Danny Young,NYM,3.0,4.03,30.0,92.0,103.0,91.0,0.689,12.0,4.5,6.3,0.6,2.0,0.286,0.329,0.186,0.229,0.368,,,,,68.0,100.0,92.0,136.0,85.0,90.0,97.0,74.0,84.0,0.474,,0.007,0.518,,,-39.04,1.45,0.4,,,87.1,91.3,80.4,,,,,,,0.114,0.205,0.505,0.234,0.297,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,745378,Groundout,field_out,True,669200,493603,Mason McCoy,Adam Ottavino,0,2826146b-8deb-41c5-b608-0dc9ed19ae43,493603.0,adamottavino,Ottavino,Right,Adam Ottavino,NYM,4.47,3.18,48.1,101.0,103.0,101.0,0.765,10.99,3.35,8.38,0.93,1.02,0.349,0.357,0.225,0.302,0.443,,72.0,111.0,101.0,100.0,103.0,101.0,116.0,107.0,112.0,84.0,92.0,94.0,0.341,0.082,0.121,0.4,,2.64,-2.76,0.25,0.14,,93.1,87.9,92.1,79.2,,,,0.095,0.095,0.364,0.222,0.349,0.263,0.243,0.284,0.15,0.455,1.182,0.373,74.0,88.0,89.0,,,,,0.057,,-1.73,87.2,,0.333,0.833,0.25,0.333,0.5,0.214,,,,,,,,,,,,,,,,,,,,,
