date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,wFA/C,wFS/C,vFA,vFS,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-06-26,746695,Flyout,field_out,True,670869,682847,Livan Soto,Luis L. Ortiz,0,2a4fa922-810f-4abb-86c9-e33ea885093e,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.343,0.187,0.21,0.346,0.293,0.25,0.353,0.134,,,,0.219,0.297,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746695,Strikeout,strikeout,True,670869,682847,Livan Soto,Luis L. Ortiz,0,0dd0c928-a815-4eeb-8858-3ffe0d59483a,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.343,0.187,0.21,0.346,0.293,0.25,0.353,0.134,,,,0.219,0.297,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,746695,Flyout,field_out,True,670869,693312,Livan Soto,Kyle Nicolas,0,6d5d9e4c-739e-486b-a51a-80fba729515f,693312.0,kylenicolas,Nicolas,Right,Kyle Nicolas,PIT,3.82,2.92,30.2,92.0,128.0,94.0,0.739,10.86,4.99,6.46,0.29,1.38,0.307,0.333,0.12,0.293,0.37,,,,,,,138.0,107.0,110.0,,,,0.005,,0.244,,,-6.82,0.68,,,,94.8,91.1,,,,0.189,0.243,0.369,,,,,,,0.193,0.246,0.222,124.0,88.0,88.0,,,,0.571,,1.21,,97.7,,128.0,87.0,92.0,0.179,-0.99,85.3,0.25,0.313,0.485,,,,,,,,,,,,
2024-09-09,746909,Strikeout,strikeout,True,670869,678394,Livan Soto,Brayan Bello,0,f7672ae1-c628-4b46-b044-ba26fc533f2a,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,,0.289,0.272,,-0.63,-0.37,0.06,,87.6,95.7,86.9,,,,0.253,0.39,0.346,0.33,0.478,0.112,0.181,0.368,0.381,0.091,0.136,0.208,74.0,113.0,107.0,,,,0.042,,0.9,,95.7,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,746909,Walk,walk,False,670869,678394,Livan Soto,Brayan Bello,1,63802c6b-71cc-4839-88c9-d54e1047c1bb,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,,0.289,0.272,,-0.63,-0.37,0.06,,87.6,95.7,86.9,,,,0.253,0.39,0.346,0.33,0.478,0.112,0.181,0.368,0.381,0.091,0.136,0.208,74.0,113.0,107.0,,,,0.042,,0.9,,95.7,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,746422,Strikeout,strikeout,True,670869,680744,Livan Soto,Ty Madden,0,8a70a737-cf19-45a8-81ea-fa2f168c70c0,680744.0,tymadden,Madden,Right,Ty Madden,DET,2.55,3.79,17.2,100.0,97.0,101.0,0.806,6.11,2.55,8.15,0.0,1.04,0.339,0.375,0.143,0.375,0.454,,,,79.0,92.0,89.0,107.0,88.0,92.0,101.0,106.0,96.0,0.044,0.146,0.19,,-1.74,6.03,-1.28,,87.8,,91.9,83.9,0.417,0.583,0.226,0.333,0.444,0.333,0.0,0.0,0.0,,,,0.185,0.185,0.109,96.0,105.0,108.0,90.0,103.0,103.0,0.42,0.153,2.25,2.6,94.2,84.9,,,,,,,0.333,0.333,0.0,0.167,0.167,0.444,,,,95.0,93.0,97.0,0.047,-2.79,79.5
2024-09-14,746422,Flyout,field_out,True,670869,680744,Livan Soto,Ty Madden,0,b33d3aa1-55eb-489c-934d-c00b75b38df2,680744.0,tymadden,Madden,Right,Ty Madden,DET,2.55,3.79,17.2,100.0,97.0,101.0,0.806,6.11,2.55,8.15,0.0,1.04,0.339,0.375,0.143,0.375,0.454,,,,79.0,92.0,89.0,107.0,88.0,92.0,101.0,106.0,96.0,0.044,0.146,0.19,,-1.74,6.03,-1.28,,87.8,,91.9,83.9,0.417,0.583,0.226,0.333,0.444,0.333,0.0,0.0,0.0,,,,0.185,0.185,0.109,96.0,105.0,108.0,90.0,103.0,103.0,0.42,0.153,2.25,2.6,94.2,84.9,,,,,,,0.333,0.333,0.0,0.167,0.167,0.444,,,,95.0,93.0,97.0,0.047,-2.79,79.5
2024-09-14,746422,Double,double,False,670869,628317,Livan Soto,Kenta Maeda,1,8d61b94f-37e4-4fda-912d-75e64163c610,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.07,4.57,105.1,100.0,92.0,99.0,0.782,7.35,2.56,10.17,1.79,0.85,0.185,0.473,0.179,0.274,0.389,,,,60.0,104.0,94.0,99.0,95.0,97.0,65.0,94.0,79.0,0.071,0.017,0.351,,1.07,0.24,-0.52,,84.8,,90.5,81.5,0.333,0.333,0.391,0.313,0.574,0.261,0.273,0.303,0.121,,,,0.389,0.722,0.129,67.0,98.0,90.0,110.0,105.0,110.0,0.23,0.315,-2.95,-0.1,90.8,83.9,80.0,75.0,78.0,0.016,-5.08,76.5,0.667,1.0,0.0,0.213,0.404,0.292,0.245,0.408,0.2,,,,,,
2024-09-14,746422,Single,single,False,670869,571946,Livan Soto,Shelby Miller,0,5c661b43-c0c2-4ffd-b0e8-2099364b4219,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,4.67,3.74,54.0,98.0,106.0,100.0,0.774,8.17,1.83,6.67,1.5,0.87,0.268,0.399,0.118,0.333,0.461,,,,,,,97.0,102.0,99.0,71.0,57.0,62.0,,0.002,0.201,,-2.78,,-0.03,,88.4,,,88.3,,,,0.217,0.457,0.233,,,,,,,0.181,0.333,0.241,110.0,100.0,102.0,97.0,96.0,102.0,0.605,0.191,1.37,-1.16,93.5,86.8,,,,,,,,,,0.239,0.457,0.277,,,,,,,,,
2024-09-15,746419,Single,single,False,670869,672456,Livan Soto,Keider Montero,0,9b99d2f6-8728-4c30-a682-a5b73dd74a2c,672456.0,keidermontero,Montero,Right,Keider Montero,DET,4.6,4.79,88.0,100.0,95.0,100.0,0.813,6.75,2.76,8.69,1.43,1.17,0.234,0.453,0.125,0.351,0.471,83.0,93.0,92.0,86.0,104.0,100.0,110.0,99.0,104.0,,,,0.07,,0.291,0.103,,3.11,1.07,-3.67,,85.8,94.2,83.5,,,,0.208,0.327,0.272,0.211,0.211,0.0,0.355,0.581,0.266,0.267,0.459,0.177,91.0,101.0,96.0,,,,0.426,,0.38,,94.7,,,,,,,,0.289,0.622,0.207,,,,,,,92.0,101.0,110.0,0.11,-2.81,78.7
2024-09-15,746419,Groundout,field_out,True,670869,672456,Livan Soto,Keider Montero,0,5349e544-01ef-4a96-ac4f-6b0a7bc17b53,672456.0,keidermontero,Montero,Right,Keider Montero,DET,4.6,4.79,88.0,100.0,95.0,100.0,0.813,6.75,2.76,8.69,1.43,1.17,0.234,0.453,0.125,0.351,0.471,83.0,93.0,92.0,86.0,104.0,100.0,110.0,99.0,104.0,,,,0.07,,0.291,0.103,,3.11,1.07,-3.67,,85.8,94.2,83.5,,,,0.208,0.327,0.272,0.211,0.211,0.0,0.355,0.581,0.266,0.267,0.459,0.177,91.0,101.0,96.0,,,,0.426,,0.38,,94.7,,,,,,,,0.289,0.622,0.207,,,,,,,92.0,101.0,110.0,0.11,-2.81,78.7
2024-09-17,746987,Groundout,field_out,True,670869,605483,Livan Soto,Blake Snell,0,6785feab-0130-408a-b01d-bf4f25cca13e,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,,,,106.0,87.0,91.0,,,,,,0.101,0.176,,,0.12,0.95,,85.5,,88.7,,,,0.167,0.267,0.446,,,,0.236,0.319,0.47,0.2,0.303,0.241,116.0,96.0,100.0,,,,0.464,,1.16,,95.9,,148.0,99.0,109.0,0.26,2.25,81.1,0.111,0.183,0.493,,,,,,,,,,,,
2024-09-17,746987,Walk,walk,False,670869,605483,Livan Soto,Blake Snell,0,f597b1c6-989e-42e8-abaa-e2a7db517baf,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.54,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,,,,106.0,87.0,91.0,,,,,,0.101,0.176,,,0.12,0.95,,85.5,,88.7,,,,0.167,0.267,0.446,,,,0.236,0.319,0.47,0.2,0.303,0.241,116.0,96.0,100.0,,,,0.464,,1.16,,95.9,,148.0,99.0,109.0,0.26,2.25,81.1,0.111,0.183,0.493,,,,,,,,,,,,
2024-09-17,746987,Flyout,field_out,True,670869,643511,Livan Soto,Tyler Rogers,0,ebeed110-446c-4f2e-9365-f435021d6f6c,643511.0,tylerrogers,"Rogers, Ty",Right,Tyler Rogers,SFG,2.86,2.9,69.1,106.0,125.0,105.0,0.843,6.49,0.65,8.57,0.91,1.85,0.306,0.356,0.248,0.23,0.525,,,,115.0,112.0,107.0,140.0,96.0,102.0,,,,0.637,,0.355,,,1.52,-1.14,,,,82.4,73.6,,,,0.244,0.456,0.261,0.243,0.333,0.147,,,,,,,120.0,89.0,76.0,,,,0.008,,-4.77,,82.7,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,746988,Groundout,field_out,True,670869,643511,Livan Soto,Tyler Rogers,0,4d0f9dc0-3bfb-412b-be78-7027422db88d,643511.0,tylerrogers,"Rogers, Ty",Right,Tyler Rogers,SFG,2.86,2.9,69.1,106.0,125.0,105.0,0.843,6.49,0.65,8.57,0.91,1.85,0.306,0.356,0.248,0.23,0.525,,,,115.0,112.0,107.0,140.0,96.0,102.0,,,,0.637,,0.355,,,1.52,-1.14,,,,82.4,73.6,,,,0.244,0.456,0.261,0.243,0.333,0.147,,,,,,,120.0,89.0,76.0,,,,0.008,,-4.77,,82.7,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,746983,Walk,walk,False,670869,689225,Livan Soto,Beau Brieske,0,aa4f34d4-4718-4a0f-a292-5c5ce89bbeaf,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,3.65,3.65,61.2,101.0,110.0,102.0,0.777,9.49,4.38,7.74,0.44,1.0,0.194,0.358,0.152,0.327,0.395,104.0,107.0,110.0,84.0,106.0,96.0,122.0,93.0,100.0,,,,0.162,,0.177,0.268,,1.83,-1.84,0.85,,88.3,95.6,86.1,,,,0.25,0.571,0.262,0.25,0.313,0.128,0.208,0.338,0.329,0.247,0.301,0.201,119.0,98.0,99.0,,,,0.393,,0.57,,95.9,,,,,,,,,,,,,,,,,,,,,,
