date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff
2024-08-07,746602,Double,double,False,680728,471911,Adrian Del Castillo,Carlos Carrasco,1,f85089b2-701a-44dc-bccc-510a34908847,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.65,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.319,0.392,101.0,108.0,105.0,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,90.0,96.0,104.0,108.0,0.165,0.26,0.278,0.067,0.23,-0.81,-1.93,-0.94,1.52,-1.06,91.6,86.8,91.1,83.5,80.4,0.241,0.472,0.285,0.284,0.52,0.286,0.337,0.554,0.145,0.304,0.609,0.122,0.053,0.158,0.217,0.25,0.313,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,746602,Strikeout,strikeout,True,680728,471911,Adrian Del Castillo,Carlos Carrasco,0,38be1975-f29e-4e95-8e39-cf9e8771b5fd,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.65,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.319,0.392,101.0,108.0,105.0,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,90.0,96.0,104.0,108.0,0.165,0.26,0.278,0.067,0.23,-0.81,-1.93,-0.94,1.52,-1.06,91.6,86.8,91.1,83.5,80.4,0.241,0.472,0.285,0.284,0.52,0.286,0.337,0.554,0.145,0.304,0.609,0.122,0.053,0.158,0.217,0.25,0.313,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,746602,Walk,walk,False,680728,680704,Adrian Del Castillo,Nick Sandlin,0,48167c99-41cd-4c27-add1-6e5ad3181b26,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.72,4.2,48.1,94.0,93.0,94.0,0.669,10.43,4.1,6.33,1.68,0.76,0.178,0.449,0.161,0.373,0.375,,,,,,,88.0,97.0,93.0,90.0,86.0,84.0,114.0,91.0,100.0,0.088,0.291,0.358,,,-0.77,-3.19,-0.54,,,92.6,,92.4,79.3,,,,,0.236,0.455,0.408,0.268,0.512,0.187,0.286,0.619,0.063,,,,,,,,,,,,,,,,73.0,98.0,88.0,0.263,3.98,84.5,0.078,0.196,0.487,,,,,,,,,,,,,,,
2024-08-07,746602,Strikeout,strikeout,True,680728,605130,Adrian Del Castillo,Scott Barlow,0,c1a76bf7-9603-4753-a073-dd171cbd5b0d,605130.0,scottbarlow,"Barlow, S",Right,Scott Barlow,CLE,4.3,4.17,52.1,91.0,112.0,92.0,0.68,11.35,5.33,7.39,0.86,1.49,0.198,0.489,0.198,0.252,0.353,,,,143.0,100.0,106.0,80.0,92.0,84.0,84.0,97.0,94.0,122.0,86.0,90.0,0.13,0.206,0.452,0.212,,-0.02,1.22,0.42,-1.46,,91.5,,91.1,81.0,77.3,,,,0.181,0.265,0.405,0.333,0.444,0.183,0.296,0.37,0.2,0.163,0.429,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,747168,Single,single,False,680728,554430,Adrian Del Castillo,Zack Wheeler,1,df7c72ee-79e6-401d-b9e4-71b44fe75853,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.74,3.04,160.2,104.0,105.0,108.0,0.753,9.86,2.52,6.44,0.95,1.06,0.263,0.339,0.21,0.29,0.428,,,,111.0,100.0,106.0,100.0,107.0,110.0,110.0,104.0,108.0,126.0,107.0,115.0,0.187,0.408,0.116,0.106,,0.76,2.63,1.84,-1.22,,95.2,,94.5,84.6,81.7,,,,,,,0.214,0.408,0.286,0.189,0.259,0.153,0.22,0.458,0.38,0.133,0.227,0.302,92.0,97.0,95.0,0.106,-0.08,91.0,0.25,0.393,0.182,95.0,106.0,106.0,0.078,0.68,86.0,0.167,0.238,0.41,,,,,,,,,,,,,,,
2024-08-09,747168,Strikeout,strikeout,True,680728,554430,Adrian Del Castillo,Zack Wheeler,0,46bb078e-ac06-45ca-be11-a9a8f11aaa97,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.74,3.04,160.2,104.0,105.0,108.0,0.753,9.86,2.52,6.44,0.95,1.06,0.263,0.339,0.21,0.29,0.428,,,,111.0,100.0,106.0,100.0,107.0,110.0,110.0,104.0,108.0,126.0,107.0,115.0,0.187,0.408,0.116,0.106,,0.76,2.63,1.84,-1.22,,95.2,,94.5,84.6,81.7,,,,,,,0.214,0.408,0.286,0.189,0.259,0.153,0.22,0.458,0.38,0.133,0.227,0.302,92.0,97.0,95.0,0.106,-0.08,91.0,0.25,0.393,0.182,95.0,106.0,106.0,0.078,0.68,86.0,0.167,0.238,0.41,,,,,,,,,,,,,,,
2024-08-09,747168,Single,single,False,680728,554430,Adrian Del Castillo,Zack Wheeler,0,97b9c816-5439-472e-a11b-e8a0cbb9fba7,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.74,3.04,160.2,104.0,105.0,108.0,0.753,9.86,2.52,6.44,0.95,1.06,0.263,0.339,0.21,0.29,0.428,,,,111.0,100.0,106.0,100.0,107.0,110.0,110.0,104.0,108.0,126.0,107.0,115.0,0.187,0.408,0.116,0.106,,0.76,2.63,1.84,-1.22,,95.2,,94.5,84.6,81.7,,,,,,,0.214,0.408,0.286,0.189,0.259,0.153,0.22,0.458,0.38,0.133,0.227,0.302,92.0,97.0,95.0,0.106,-0.08,91.0,0.25,0.393,0.182,95.0,106.0,106.0,0.078,0.68,86.0,0.167,0.238,0.41,,,,,,,,,,,,,,,
2024-08-09,747168,Home Run,home_run,False,680728,656546,Adrian Del Castillo,Jeff Hoffman,0,0546563c-8429-4483-8c45-0f8e0f931245,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.92,2.71,56.1,100.0,115.0,105.0,0.682,11.82,2.4,6.39,0.8,0.96,0.209,0.463,0.172,0.284,0.445,,,,,,,120.0,104.0,104.0,112.0,103.0,110.0,112.0,97.0,104.0,0.078,0.398,0.399,,,1.06,3.81,1.31,,,96.7,,96.7,86.6,,,,,0.2,0.329,0.431,0.202,0.369,0.295,0.125,0.125,0.133,,,,,,,,,,,,,,,,109.0,103.0,108.0,0.125,-0.21,90.5,0.194,0.278,0.323,,,,,,,,,,,,,,,
2024-08-11,747166,Double,double,False,680728,650911,Adrian Del Castillo,Cristopher Sánchez,0,fbb961cd-35f0-4544-87fa-7aac3773f959,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,91.0,106.0,115.0,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,0.471,,0.169,,0.359,,-0.63,0.34,,1.68,,85.1,94.3,84.3,,0.18,0.216,0.343,0.228,0.38,0.303,,,,0.362,0.49,0.122,,,,,,,86.0,52.0,74.0,0.001,2.6,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,747166,Single,single,False,680728,650911,Adrian Del Castillo,Cristopher Sánchez,1,1f557b03-ebc3-4d0f-a0f8-b7169660325a,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,91.0,106.0,115.0,,,,,,,93.0,100.0,98.0,99.0,100.0,103.0,0.471,,0.169,,0.359,,-0.63,0.34,,1.68,,85.1,94.3,84.3,,0.18,0.216,0.343,0.228,0.38,0.303,,,,0.362,0.49,0.122,,,,,,,86.0,52.0,74.0,0.001,2.6,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
