date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-04-28,747045,Single,single,False,663630,613534,Ryan McKenna,Austin Adams,1,4d62b6f6-d61a-4d50-9150-486c0ca7470b,613534.0,austinadams,Adams,Right,Austin Adams,OAK,4.64,4.24,33.0,90.0,102.0,98.0,0.697,11.45,5.73,8.73,0.82,1.07,0.325,0.373,0.265,0.229,0.382,,,,,,,101.0,91.0,83.0,,,,0.259,,,,-1.12,,,,93.5,,,,0.235,0.647,0.226,,,,,,,,,,,,,103.0,89.0,103.0,,0.741,,-1.16,,87.8,0.267,0.381,0.382,,,,,,,,,,,,,,,,,,
2024-05-02,747044,Lineout,field_out,True,663630,607074,Ryan McKenna,Carlos Rodón,0,f68b7572-2592-4567-94d9-37701cd98231,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,100.0,83.0,83.0,0.496,0.056,0.07,0.114,0.17,-3.1,-1.37,1.54,95.5,91.8,85.3,81.0,0.261,0.531,0.202,0.171,0.195,0.49,0.353,0.647,0.255,0.333,0.4,0.35,,,,143.0,103.0,112.0,,0.265,,-1.56,,86.8,0.237,0.43,0.388,,,,,,,,,,,,,,,,,,
2024-05-02,747044,Home Run,home_run,False,663630,607074,Ryan McKenna,Carlos Rodón,0,00b06db9-adc2-4079-b4f9-c417a05baaa8,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,100.0,83.0,83.0,0.496,0.056,0.07,0.114,0.17,-3.1,-1.37,1.54,95.5,91.8,85.3,81.0,0.261,0.531,0.202,0.171,0.195,0.49,0.353,0.647,0.255,0.333,0.4,0.35,,,,143.0,103.0,112.0,,0.265,,-1.56,,86.8,0.237,0.43,0.388,,,,,,,,,,,,,,,,,,
2024-05-04,746720,Flyout,field_out,True,663630,671096,Ryan McKenna,Andrew Abbott,0,55c494f6-056e-4a9a-891c-06b2d5669a94,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,92.0,97.0,99.0,98.0,100.0,77.0,96.0,89.0,,,,0.546,,0.121,0.167,0.21,,-1.54,0.81,92.9,,84.7,80.7,0.233,0.406,0.193,0.167,0.379,0.285,,,,0.324,0.676,0.147,,,,124.0,104.0,111.0,,0.165,,0.44,,82.8,0.188,0.302,0.253,,,,,,,,,,,,,,,,,,
2024-05-04,746720,Strikeout,strikeout,True,663630,671096,Ryan McKenna,Andrew Abbott,1,96fb72ff-70c9-4071-826e-8e1715f71f69,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,92.0,97.0,99.0,98.0,100.0,77.0,96.0,89.0,,,,0.546,,0.121,0.167,0.21,,-1.54,0.81,92.9,,84.7,80.7,0.233,0.406,0.193,0.167,0.379,0.285,,,,0.324,0.676,0.147,,,,124.0,104.0,111.0,,0.165,,0.44,,82.8,0.188,0.302,0.253,,,,,,,,,,,,,,,,,,
2024-05-05,746719,Groundout,field_out,True,663630,666157,Ryan McKenna,Nick Lodolo,0,e80378e6-5335-431f-8ce3-8bb486b2bf83,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,,,,0.45,,0.278,0.165,0.57,,0.16,0.65,94.1,,87.9,81.5,0.221,0.372,0.22,0.2,0.333,0.288,,,,0.198,0.25,0.455,108.0,95.0,92.0,,,,0.107,,-1.02,,94.1,,,,,0.289,0.632,0.182,,,,,,,,,,,,,,,
2024-05-05,746719,Pop Out,field_out,True,663630,666157,Ryan McKenna,Nick Lodolo,0,8951cecc-23ce-4ae6-8266-ee068fe3bb3e,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,88.0,93.0,101.0,117.0,103.0,98.0,,,,0.45,,0.278,0.165,0.57,,0.16,0.65,94.1,,87.9,81.5,0.221,0.372,0.22,0.2,0.333,0.288,,,,0.198,0.25,0.455,108.0,95.0,92.0,,,,0.107,,-1.02,,94.1,,,,,0.289,0.632,0.182,,,,,,,,,,,,,,,
2024-05-05,746719,Home Run,home_run,False,663630,608718,Ryan McKenna,Brent Suter,0,a70a7dd3-44ad-4311-a695-6d22fa63f8c7,608718.0,brentsuter,Suter,Left,Brent Suter,CIN,3.68,4.04,51.1,99.0,102.0,103.0,0.799,7.19,1.75,8.94,1.4,1.15,0.28,0.373,0.193,0.248,0.406,109.0,101.0,114.0,,,,116.0,99.0,108.0,,,,0.418,,,0.196,0.28,,,-0.48,85.9,,75.8,,0.277,0.446,0.198,0.227,0.364,0.28,,,,,,,82.0,90.0,79.0,89.0,106.0,109.0,0.215,0.171,0.2,-0.29,87.4,78.7,0.243,0.459,0.225,0.25,0.472,0.2,,,,,,,,,,,,,,,
2024-05-05,746719,Walk,walk,False,663630,664747,Ryan McKenna,Alexis Díaz,0,faee76be-daf1-4b15-a6d4-91101aff375a,664747.0,alexisdiaz,"Díaz, A",Right,Alexis Díaz,CIN,4.33,3.91,35.1,97.0,117.0,103.0,0.785,8.92,5.6,7.64,0.51,0.83,0.24,0.427,0.167,0.229,0.442,,,,,,,116.0,94.0,98.0,,,,0.56,,,,0.12,,,,93.9,,,,0.208,0.264,0.231,,,,,,,,,,,,,117.0,100.0,108.0,,0.44,,-0.08,,87.2,0.244,0.372,0.262,,,,,,,,,,,,,,,,,,
2024-05-21,745503,Strikeout,strikeout,True,663630,527048,Ryan McKenna,Martín Pérez,0,1a44f640-e178-47fe-8f30-de6d3fc051b5,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,65.0,105.0,94.0,0.055,0.254,0.101,0.215,-5.77,-0.81,0.23,-3.51,91.4,88.4,83.4,78.3,0.375,0.625,0.036,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,75.0,103.0,96.0,,,,0.375,,-0.23,,90.9,,,,,0.3,0.423,0.1,,,,,,,,,,,,,,,
