date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2024-03-28,746418,Walk,walk,False,547989,641482,José Abreu,Nestor Cortes,1,d2ceac87-72b9-4b7a-b4c8-a75b19ff3216,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,,,,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,0.009,0.455,0.163,,0.075,-0.19,2.16,0.14,,-2.51,91.9,83.2,89.9,78.1,,0.143,0.143,0.286,,,,0.255,0.489,0.338,0.3,0.4,0.182,0.247,0.489,0.219,109.0,100.0,103.0,0.298,1.48,87.2,0.236,0.333,0.264,,,,,,,,,,,,,,,,,,,,,
2024-03-28,746418,Flyout,field_out,True,547989,641482,José Abreu,Nestor Cortes,0,9dab77c1-181f-471b-98cd-afcd3295d5a0,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,,,,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,0.009,0.455,0.163,,0.075,-0.19,2.16,0.14,,-2.51,91.9,83.2,89.9,78.1,,0.143,0.143,0.286,,,,0.255,0.489,0.338,0.3,0.4,0.182,0.247,0.489,0.219,109.0,100.0,103.0,0.298,1.48,87.2,0.236,0.333,0.264,,,,,,,,,,,,,,,,,,,,,
2024-03-28,746418,Groundout,field_out,True,547989,642528,José Abreu,Jonathan Loáisiga,0,7796bcf8-482a-448f-b2a8-f787366c1a1f,642528.0,jonathanloaisiga,Loáisiga,Right,Jonathan Loáisiga,NYY,0.0,4.22,4.0,106.0,104.0,110.0,0.844,6.75,2.25,15.75,0.0,4.5,0.438,0.125,0.375,0.313,0.41,67.0,108.0,102.0,158.0,75.0,93.0,86.0,52.0,52.0,101.0,113.0,117.0,,,,0.672,0.016,,0.148,0.164,-2.0,-3.43,,0.35,6.58,98.4,89.8,97.9,,87.8,0.438,0.438,0.05,,,,0.0,0.0,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,746418,Strikeout,strikeout,True,547989,642528,José Abreu,Jonathan Loáisiga,0,96a39667-dce6-44c1-9ef1-603a144bd39d,642528.0,jonathanloaisiga,Loáisiga,Right,Jonathan Loáisiga,NYY,0.0,4.22,4.0,106.0,104.0,110.0,0.844,6.75,2.25,15.75,0.0,4.5,0.438,0.125,0.375,0.313,0.41,67.0,108.0,102.0,158.0,75.0,93.0,86.0,52.0,52.0,101.0,113.0,117.0,,,,0.672,0.016,,0.148,0.164,-2.0,-3.43,,0.35,6.58,98.4,89.8,97.9,,87.8,0.438,0.438,0.05,,,,0.0,0.0,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746412,Flyout,field_out,True,547989,607074,José Abreu,Carlos Rodón,0,c77f5b44-9859-4edd-9aaa-17e0de870046,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,,,,143.0,103.0,112.0,,0.496,0.265,0.07,0.114,0.17,,-1.56,-1.37,1.54,95.5,85.3,,86.8,81.0,,,,0.333,0.4,0.35,0.171,0.195,0.49,0.237,0.43,0.388,0.261,0.531,0.202,100.0,83.0,83.0,0.056,-3.1,91.8,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746412,Strikeout,strikeout,True,547989,607074,José Abreu,Carlos Rodón,1,6e361cba-e208-45ae-ad81-1e92d0a530cd,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,,,,143.0,103.0,112.0,,0.496,0.265,0.07,0.114,0.17,,-1.56,-1.37,1.54,95.5,85.3,,86.8,81.0,,,,0.333,0.4,0.35,0.171,0.195,0.49,0.237,0.43,0.388,0.261,0.531,0.202,100.0,83.0,83.0,0.056,-3.1,91.8,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746412,Flyout,field_out,True,547989,595897,José Abreu,Nick Burdi,0,e8b3677e-5e6b-414d-99f4-05a4e02a8002,595897.0,nickburdi,Burdi,Right,Nick Burdi,NYY,1.86,3.51,9.2,87.0,121.0,94.0,0.756,11.17,8.38,4.66,0.93,0.5,0.273,0.182,0.318,0.227,0.386,156.0,116.0,116.0,,,,109.0,85.0,87.0,70.0,85.0,95.0,138.0,88.0,103.0,0.005,0.595,0.39,,0.01,0.47,-2.43,1.11,,-29.11,97.5,91.8,99.1,88.3,,,,,,,,,,,0.111,0.111,0.258,0.125,0.25,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746412,Flyout,field_out,True,547989,657571,José Abreu,Caleb Ferguson,0,f2556339-ee76-4d1b-b5f5-c69d09484e14,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,NYY,5.1,4.33,30.0,105.0,87.0,99.0,0.755,11.1,3.9,9.3,1.2,1.31,0.306,0.365,0.153,0.318,0.436,,,,67.0,96.0,95.0,89.0,106.0,100.0,81.0,93.0,84.0,129.0,42.0,60.0,0.056,0.548,0.004,0.113,,-0.82,-6.72,-2.71,-1.56,,93.7,,93.6,79.1,80.9,1.0,1.0,0.429,,,,,,,,,,0.284,0.554,0.217,89.0,108.0,102.0,0.28,2.27,88.7,0.067,0.067,0.424,,,,,,,0.357,0.429,0.296,,,,,,,,,,,,
2024-03-30,746410,Hit By Pitch,hit_by_pitch,False,547989,573186,José Abreu,Marcus Stroman,1,ba2718a2-45ec-4f68-83f2-2cca67abf6ee,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,92.0,80.0,90.0,49.0,95.0,83.0,94.0,92.0,88.0,91.0,100.0,99.0,0.363,0.034,0.177,0.128,,-4.6,-0.02,-0.84,-0.91,,89.9,,89.9,85.5,81.8,0.285,0.469,0.14,0.0,0.0,0.429,,,,0.204,0.296,0.292,0.5,0.7,0.333,107.0,98.0,97.0,0.192,0.65,88.0,0.222,0.472,0.192,,,,,,,0.27,0.514,0.306,82.0,99.0,94.0,0.105,1.17,83.1,0.108,0.216,0.271,,,
2024-03-30,746410,Lineout,field_out,True,547989,573186,José Abreu,Marcus Stroman,0,faf6252c-07a3-4cb7-8f8a-ff1234ebe934,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,92.0,80.0,90.0,49.0,95.0,83.0,94.0,92.0,88.0,91.0,100.0,99.0,0.363,0.034,0.177,0.128,,-4.6,-0.02,-0.84,-0.91,,89.9,,89.9,85.5,81.8,0.285,0.469,0.14,0.0,0.0,0.429,,,,0.204,0.296,0.292,0.5,0.7,0.333,107.0,98.0,97.0,0.192,0.65,88.0,0.222,0.472,0.192,,,,,,,0.27,0.514,0.306,82.0,99.0,94.0,0.105,1.17,83.1,0.108,0.216,0.271,,,
