date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU%,wCU/C,vCU,Stf+ CU,Loc+ CU,Pit+ CU,EP%,wEP/C,vEP,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-03-30,745436,Walk,walk,False,596103,676680,Austin Slater,Tom Cosgrove,1,313a4bc3-f33f-434b-880c-666d87380078,676680.0,tomcosgrove,Cosgrove,Left,Tom Cosgrove,SDP,11.66,4.79,14.2,98.0,106.0,95.0,0.831,9.2,3.68,14.11,1.84,1.06,0.26,0.4,0.16,0.28,0.443,,,,90.0,110.0,99.0,121.0,94.0,100.0,,,,,,,0.232,,0.511,,,-5.3,,-0.15,,,90.3,,,76.8,,0.208,0.333,0.226,0.444,0.667,0.222,,,,,,,,,,90.0,93.0,78.0,,,,0.257,,,-3.0,,89.9,0.435,0.609,0.111,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Strikeout,strikeout,True,596103,663568,Austin Slater,Stephen Kolek,0,c7093ba1-26c1-4e57-b897-d3114f1ab2c2,663568.0,stephenkolek,Kolek,Right,Stephen Kolek,SDP,5.52,4.36,44.0,108.0,107.0,108.0,0.807,7.57,2.05,11.45,0.82,2.79,0.327,0.313,0.129,0.252,0.448,113.0,111.0,119.0,102.0,114.0,108.0,123.0,102.0,110.0,,,,95.0,107.0,100.0,0.131,0.189,0.202,,0.068,2.23,-1.23,-3.35,,0.72,95.8,92.2,88.8,85.8,,0.286,0.429,0.242,0.111,0.111,0.254,,,,0.359,0.487,0.185,0.214,0.214,0.182,106.0,108.0,109.0,,,,0.409,,,0.15,,95.2,0.329,0.371,0.187,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745438,Grounded Into DP,grounded_into_double_play,True,596103,593974,Austin Slater,Wandy Peralta,1,795e7209-c6cd-4c32-a3b0-f05f48ef968c,593974.0,wandyperalta,"Peralta, Wa",Left,Wandy Peralta,SDP,4.5,5.26,34.0,97.0,98.0,95.0,0.826,5.29,3.18,8.47,1.59,1.76,0.225,0.459,0.126,0.351,0.371,127.0,102.0,101.0,117.0,98.0,94.0,78.0,95.0,104.0,,,,,,,0.094,,0.102,,0.419,-7.01,,-2.55,,0.44,95.4,,88.7,88.9,,0.333,0.667,0.3,0.417,1.0,0.16,,,,,,,0.185,0.352,0.221,66.0,93.0,86.0,,,,0.385,,,2.2,,95.2,0.25,0.269,0.13,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,746170,Flyout,field_out,True,596103,572020,Austin Slater,James Paxton,0,4784a9b2-49a4-447b-b702-552dc8596da7,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,79.0,96.0,96.0,82.0,95.0,84.0,0.577,0.037,,0.284,0.07,0.34,-3.42,,-0.23,-1.66,93.2,84.0,82.6,,80.8,,,,0.243,0.381,0.138,0.224,0.355,0.358,0.308,0.769,0.13,0.217,0.348,0.31,65.0,98.0,92.0,,,,0.032,,,-4.92,,92.6,0.462,0.692,0.095,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,746170,Walk,walk,False,596103,572020,Austin Slater,James Paxton,0,abb06991-0d9f-43f2-9118-26881b096f0b,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,79.0,96.0,96.0,82.0,95.0,84.0,0.577,0.037,,0.284,0.07,0.34,-3.42,,-0.23,-1.66,93.2,84.0,82.6,,80.8,,,,0.243,0.381,0.138,0.224,0.355,0.358,0.308,0.769,0.13,0.217,0.348,0.31,65.0,98.0,92.0,,,,0.032,,,-4.92,,92.6,0.462,0.692,0.095,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,746170,Grounded Into DP,grounded_into_double_play,True,596103,572020,Austin Slater,James Paxton,1,9c1b378b-d7be-4416-811d-90bcc12763c2,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,79.0,96.0,96.0,82.0,95.0,84.0,0.577,0.037,,0.284,0.07,0.34,-3.42,,-0.23,-1.66,93.2,84.0,82.6,,80.8,,,,0.243,0.381,0.138,0.224,0.355,0.358,0.308,0.769,0.13,0.217,0.348,0.31,65.0,98.0,92.0,,,,0.032,,,-4.92,,92.6,0.462,0.692,0.095,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,746169,Flyout,field_out,True,596103,681911,Austin Slater,Alex Vesia,0,fd4cbaec-d884-407b-a6ab-c893d5c5a325,681911.0,alexvesia,Vesia,Left,Alex Vesia,LAD,1.25,2.56,43.1,102.0,122.0,106.0,0.71,11.84,3.74,4.15,0.83,0.33,0.326,0.303,0.225,0.247,0.421,80.0,101.0,94.0,130.0,101.0,106.0,112.0,106.0,107.0,,,,,,,0.649,,0.309,,0.043,2.08,,0.75,,1.68,93.6,,86.2,85.5,,0.171,0.22,0.43,0.128,0.287,0.293,,,,,,,0.125,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,745361,Groundout,field_out,True,596103,673513,Austin Slater,Yuki Matsui,0,1e46f3a6-2b8b-4e55-b7ee-59571c14c5e9,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,108.0,95.0,98.0,,,,,,,0.394,,0.306,,,0.49,,0.54,,,92.1,,,84.6,,0.167,0.167,0.2,0.236,0.345,0.145,,,,,,,,,,,,,120.0,93.0,91.0,,0.288,0.51,,86.4,,,,,0.182,0.25,0.426,0.013,0.65,74.8,66.0,73.0,79.0,,,,,,,,,,,,,,,
2024-04-07,745362,Lineout,field_out,True,596103,673513,Austin Slater,Yuki Matsui,0,c1791a44-12d3-4d46-8364-047f4afa45d1,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,108.0,95.0,98.0,,,,,,,0.394,,0.306,,,0.49,,0.54,,,92.1,,,84.6,,0.167,0.167,0.2,0.236,0.345,0.145,,,,,,,,,,,,,120.0,93.0,91.0,,0.288,0.51,,86.4,,,,,0.182,0.25,0.426,0.013,0.65,74.8,66.0,73.0,79.0,,,,,,,,,,,,,,,
2024-04-10,745355,Lineout,field_out,True,596103,571578,Austin Slater,Patrick Corbin,0,e486d223-1948-4bbf-96b2-a5f0867881c3,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,85.0,96.0,96.0,,,,79.0,106.0,99.0,0.103,0.179,0.316,,0.05,-1.09,0.23,0.02,,-4.62,91.3,84.5,81.2,79.7,,0.25,0.384,0.352,0.324,0.541,0.117,,,,0.253,0.38,0.236,0.4,0.65,0.275,71.0,102.0,92.0,,,,0.352,,,-1.8,,91.4,0.326,0.578,0.089,,,,,,,,,,,,,,,,,,,,,,,,
