date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff
2024-08-17,746515,Strikeout,strikeout,True,691011,656302,Drew Romo,Dylan Cease,0,b716be6b-a209-4283-b24d-34eaf7b925b6,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,746515,Forceout,force_out,True,691011,656302,Drew Romo,Dylan Cease,1,a51cbb44-57df-4304-bcdc-658bb0683515,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,746515,Groundout,field_out,True,691011,592094,Drew Romo,Jason Adam,0,b4de3a30-1548-42bb-a13e-068773675712,592094.0,jasonadam,Adam,Right,Jason Adam,- - -,2.1,3.15,60.0,98.0,130.0,106.0,0.634,10.65,2.55,5.1,0.75,1.09,0.212,0.372,0.175,0.343,0.394,143.0,103.0,117.0,122.0,100.0,103.0,,,,129.0,91.0,98.0,,,,,0.384,0.36,,0.257,1.11,,1.23,,2.78,95.5,89.7,,82.2,,,,,,,,0.174,0.319,0.264,0.091,0.182,0.545,0.16,0.2,0.414,,,,,,,0.241,0.483,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,746515,Groundout,field_out,True,691011,669093,Drew Romo,Jeremiah Estrada,0,83f771aa-7013-45b3-b977-1d9a499827e8,669093.0,jeremiahestrada,Estrada,Right,Jeremiah Estrada,SDP,3.28,2.73,49.1,99.0,141.0,106.0,0.633,14.78,3.1,7.11,0.73,0.72,0.259,0.343,0.194,0.315,0.443,,,,158.0,100.0,109.0,,,,115.0,98.0,101.0,,,,,0.563,0.225,,,1.28,,0.48,,,97.1,,,89.9,,,,,,,,0.204,0.337,0.344,0.289,0.316,0.363,,,,,,,,,,,,,,,,,,,,,,121.0,99.0,106.0,0.212,0.47,83.6,0.163,0.265,0.524,,,,,,,,,
2024-08-20,744814,Strikeout,strikeout,True,691011,687792,Drew Romo,DJ Herz,0,4934bdb3-461c-478a-bd63-ba2f2d334c99,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,,,,106.0,93.0,98.0,98.0,66.0,79.0,,0.543,0.177,0.035,0.244,0.36,,-2.29,0.97,0.85,93.5,83.5,,86.2,81.0,,,,0.25,0.25,0.615,0.254,0.377,0.322,0.26,0.54,0.268,0.181,0.347,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20,744814,Strikeout,strikeout,True,691011,687792,Drew Romo,DJ Herz,0,87e1e158-502c-46d1-89b5-e8a7315d038a,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,,,,106.0,93.0,98.0,98.0,66.0,79.0,,0.543,0.177,0.035,0.244,0.36,,-2.29,0.97,0.85,93.5,83.5,,86.2,81.0,,,,0.25,0.25,0.615,0.254,0.377,0.322,0.26,0.54,0.268,0.181,0.347,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20,744814,Strikeout,strikeout,True,691011,674285,Drew Romo,Eduardo Salazar,0,9b7a8198-5bec-4316-bcb1-e71b4da6eef8,674285.0,eduardosalazar,Salazar,Right,Eduardo Salazar,- - -,1.29,4.09,21.0,94.0,104.0,95.0,0.762,9.0,4.29,8.57,0.43,2.62,0.197,0.443,0.164,0.279,0.401,,,,80.0,104.0,96.0,93.0,93.0,88.0,119.0,93.0,101.0,,,,0.466,0.06,0.466,,0.006,0.85,0.71,0.73,,-26.48,95.7,90.7,94.4,87.9,,0.324,0.378,0.066,,,,0.25,0.25,0.25,0.15,0.25,0.408,,,,,,,,,,,,,,,,,,,0.003,-3.49,81.6,,,,,,,,,,,,,,,,,,
2024-08-20,744814,Single,single,False,691011,676395,Drew Romo,Robert Garcia,0,cc22a470-c94a-4bb8-ad5f-4084c161acba,676395.0,robertgarcia,"Garcia, Ro",Left,Robert Garcia,WSN,4.72,2.73,47.2,104.0,107.0,103.0,0.74,11.71,3.02,9.06,0.76,1.51,0.279,0.349,0.217,0.287,0.442,88.0,102.0,94.0,117.0,103.0,104.0,,,,109.0,111.0,114.0,,,,,0.539,0.154,,0.307,0.26,,-1.04,,2.01,94.4,87.7,,85.2,,,,,,,,0.276,0.418,0.245,0.281,0.438,0.271,0.203,0.203,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,744812,Strikeout,strikeout,True,691011,680730,Drew Romo,Mitchell Parker,0,08c1fa61-e4c4-4298-bf25-3628d980f6fa,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.26,4.41,126.2,101.0,88.0,98.0,0.808,7.74,2.42,8.95,1.21,0.89,0.246,0.454,0.133,0.328,0.448,,,,79.0,103.0,98.0,,,,106.0,106.0,108.0,,,,,0.492,0.103,,,0.19,,-0.44,,,92.5,,,84.3,,,,,0.271,0.396,0.258,0.276,0.445,0.115,0.218,0.4,0.325,,,,,,,,,,,,,,,,99.0,97.0,97.0,0.223,0.39,80.4,88.0,96.0,96.0,0.182,-0.23,85.7,0.2,0.367,0.376,,,,,,,,,
2024-08-21,744812,Strikeout,strikeout,True,691011,680730,Drew Romo,Mitchell Parker,0,752b8da8-e118-48e6-9d48-4f02ce9687e8,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.26,4.41,126.2,101.0,88.0,98.0,0.808,7.74,2.42,8.95,1.21,0.89,0.246,0.454,0.133,0.328,0.448,,,,79.0,103.0,98.0,,,,106.0,106.0,108.0,,,,,0.492,0.103,,,0.19,,-0.44,,,92.5,,,84.3,,,,,0.271,0.396,0.258,0.276,0.445,0.115,0.218,0.4,0.325,,,,,,,,,,,,,,,,99.0,97.0,97.0,0.223,0.39,80.4,88.0,96.0,96.0,0.182,-0.23,85.7,0.2,0.367,0.376,,,,,,,,,
