date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-05-08,746717,Flyout,field_out,True,645801,656464,Mike Ford,Kevin Ginkel,0,8d32aac8-3733-494a-978c-3a300ef873fb,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,88.0,103.0,101.0,134.0,103.0,115.0,,,,0.108,,0.369,,,1.28,-0.37,,,,94.5,87.6,,,,0.246,0.41,0.392,0.286,0.286,0.116,,,,,,,89.0,105.0,99.0,0.523,,0.98,,96.0,,,,,0.235,0.346,0.184,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,746715,Groundout,field_out,True,645801,677944,Mike Ford,Slade Cecconi,0,8582a631-b285-4770-b035-afac3d0d3eda,677944.0,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.14,4.16,66.0,105.0,99.0,104.0,0.82,7.23,1.91,9.95,1.64,0.7,0.302,0.349,0.175,0.33,0.486,101.0,99.0,101.0,,,,114.0,103.0,105.0,,,,,,0.221,0.145,,,-0.57,-0.62,,81.9,,84.8,,,,0.258,0.435,0.193,,,,0.227,0.432,0.26,103.0,101.0,108.0,92.0,108.0,104.0,0.546,0.087,-1.16,-0.78,94.1,74.7,0.188,0.438,0.289,0.317,0.54,0.155,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,746715,Flyout,field_out,True,645801,677944,Mike Ford,Slade Cecconi,0,079dd2d7-77a4-4e7d-b75a-eb0265b421f1,677944.0,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.14,4.16,66.0,105.0,99.0,104.0,0.82,7.23,1.91,9.95,1.64,0.7,0.302,0.349,0.175,0.33,0.486,101.0,99.0,101.0,,,,114.0,103.0,105.0,,,,,,0.221,0.145,,,-0.57,-0.62,,81.9,,84.8,,,,0.258,0.435,0.193,,,,0.227,0.432,0.26,103.0,101.0,108.0,92.0,108.0,104.0,0.546,0.087,-1.16,-0.78,94.1,74.7,0.188,0.438,0.289,0.317,0.54,0.155,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,746715,Pop Out,field_out,True,645801,663531,Mike Ford,Logan Allen,0,7fe667cb-3475-483e-8681-9c006ada90f3,663531.0,loganallen,"Allen, L.S.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.15,0.183,0.183,0.37,,-2.18,-1.11,85.4,81.6,,78.6,0.263,0.316,0.235,0.231,0.308,0.273,0.348,0.652,0.053,,,,,,,61.0,98.0,88.0,0.483,,-1.5,,91.2,,,,,0.563,0.875,0.132,,,,,,,0.138,0.138,0.25,,,,,,,,,,,,,,,
2024-05-09,746715,Single,single,False,645801,656464,Mike Ford,Kevin Ginkel,0,467750ed-2690-4ff2-a886-ab400d83322b,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,88.0,103.0,101.0,134.0,103.0,115.0,,,,0.108,,0.369,,,1.28,-0.37,,,,94.5,87.6,,,,0.246,0.41,0.392,0.286,0.286,0.116,,,,,,,89.0,105.0,99.0,0.523,,0.98,,96.0,,,,,0.235,0.346,0.184,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Groundout,field_out,True,645801,657277,Mike Ford,Logan Webb,1,2b14ad97-44fb-4121-8ca4-6fc3b0631e48,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.011,0.223,0.329,5.55,1.02,0.18,0.28,90.3,87.4,92.2,83.5,,,,0.247,0.323,0.227,0.276,0.346,0.15,0.283,0.405,0.197,,,,56.0,109.0,91.0,0.048,,1.24,,92.3,,,,,0.1,0.15,0.39,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Walk,walk,False,645801,657277,Mike Ford,Logan Webb,1,25aff1ab-436d-4e6d-bbb1-95a9118feef1,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.011,0.223,0.329,5.55,1.02,0.18,0.28,90.3,87.4,92.2,83.5,,,,0.247,0.323,0.227,0.276,0.346,0.15,0.283,0.405,0.197,,,,56.0,109.0,91.0,0.048,,1.24,,92.3,,,,,0.1,0.15,0.39,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Groundout,field_out,True,645801,657277,Mike Ford,Logan Webb,0,15ea1fef-e708-4aa2-bbf4-1f63ccdae5db,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.011,0.223,0.329,5.55,1.02,0.18,0.28,90.3,87.4,92.2,83.5,,,,0.247,0.323,0.227,0.276,0.346,0.15,0.283,0.405,0.197,,,,56.0,109.0,91.0,0.048,,1.24,,92.3,,,,,0.1,0.15,0.39,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Groundout,field_out,True,645801,669062,Mike Ford,Erik Miller,0,512f1fa7-7deb-4135-9b63-3ae58b5e06b3,669062.0,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.35,3.05,43.0,97.0,109.0,99.0,0.715,10.05,4.6,6.28,1.26,1.59,0.163,0.519,0.202,0.317,0.393,116.0,98.0,105.0,,,,130.0,99.0,109.0,,,,,,0.175,0.35,,,-1.79,1.88,,85.1,,82.6,,,,0.25,0.5,0.341,,,,0.159,0.238,0.31,,,,96.0,96.0,92.0,0.474,0.001,0.26,3.88,96.8,81.1,,,,0.219,0.406,0.293,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745344,Pop Out,field_out,True,645801,696131,Mike Ford,Mason Black,0,4eac9cc8-4f86-4210-b89e-260425049658,696131.0,masonblack,Black,Right,Mason Black,SFG,8.79,9.14,14.1,98.0,94.0,94.0,0.883,6.28,4.4,13.19,2.51,0.6,0.25,0.385,0.173,0.346,0.441,97.0,102.0,82.0,88.0,93.0,87.0,113.0,93.0,97.0,,,,0.27,,0.395,0.034,,-3.32,-1.39,-15.36,,87.3,91.9,80.8,,,,0.0,0.0,0.25,0.333,0.667,0.091,0.75,0.75,0.0,,,,78.0,100.0,90.0,0.3,,-4.21,,91.9,,,,,0.375,0.75,0.2,,,,,,,,,,,,,,,,,,,,,,,,
