date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
2024-03-29,745276,Strikeout,strikeout,True,666915,669923,Bobby Dalbec,George Kirby,0,465fc059-9d05-447b-9166-f73bbe3de72b,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745276,Flyout,field_out,True,666915,669923,Bobby Dalbec,George Kirby,0,db252276-8dab-4718-802e-a230a8a6e65d,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745276,Strikeout,strikeout,True,666915,642100,Bobby Dalbec,Gabe Speier,0,18842d46-79f8-4652-bb07-c3672e30cd9d,642100.0,gabespeier,Speier,Left,Gabe Speier,SEA,6.06,3.31,16.1,99.0,92.0,94.0,0.714,12.12,5.51,7.71,0.55,0.82,0.195,0.512,0.244,0.244,0.443,91.0,105.0,102.0,88.0,96.0,91.0,100.0,96.0,90.0,,,,,,,,,,0.351,0.338,,,0.297,,2.5,,,-2.55,0.26,,93.5,,,93.2,82.0,,0.111,0.167,0.286,0.471,0.647,0.178,0.174,0.217,0.462,,,,,,,,,,,,,,,,92.0,71.0,73.0,0.014,3.54,88.1,,,,,,
2024-04-01,745675,Strikeout,strikeout,True,666915,666205,Bobby Dalbec,Kyle Muller,0,aba6f811-2ae7-4403-9819-a50f12a7c76a,666205.0,kylemuller,Muller,Left,Kyle Muller,OAK,3.44,3.82,36.2,104.0,88.0,105.0,0.794,7.12,1.72,8.59,1.47,1.17,0.223,0.402,0.098,0.313,0.509,80.0,112.0,106.0,,,,92.0,101.0,112.0,,,,,,,,,,,0.546,,,0.262,,0.32,,,,0.04,,92.7,,,,85.4,,0.25,0.393,0.201,,,,0.256,0.442,0.217,,,,0.333,1.111,0.136,116.0,90.0,102.0,0.132,-3.81,79.8,,,,80.0,82.0,80.0,0.059,3.54,87.8,0.0,0.0,0.538,,,
2024-04-02,745680,Strikeout,strikeout,True,666915,622072,Bobby Dalbec,Alex Wood,0,1b2c8b7c-9dfc-4f01-aabd-00f402539e0b,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,,,,83.0,100.0,94.0,74.0,94.0,91.0,,,,,,,,,,0.462,,,,0.315,,,,,-1.94,-0.4,,,,,90.5,81.4,,,,,0.351,0.635,0.199,0.205,0.25,0.288,,,,,,,,,,,,,,,,42.0,103.0,97.0,0.224,-2.72,84.5,0.4,0.6,0.149,,,
2024-04-02,745680,Strikeout,strikeout,True,666915,622072,Bobby Dalbec,Alex Wood,0,dce54640-aa38-43d5-8fb2-5817ebc0663c,622072.0,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.58,39.1,99.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,,,,83.0,100.0,94.0,74.0,94.0,91.0,,,,,,,,,,0.462,,,,0.315,,,,,-1.94,-0.4,,,,,90.5,81.4,,,,,0.351,0.635,0.199,0.205,0.25,0.288,,,,,,,,,,,,,,,,42.0,103.0,97.0,0.224,-2.72,84.5,0.4,0.6,0.149,,,
2024-04-06,746248,Strikeout,strikeout,True,666915,672282,Bobby Dalbec,Reid Detmers,0,0646b772-37b9-4867-8eca-8133ce51446e,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,0.247,0.383,0.343,,,,0.344,0.719,0.192,90.0,102.0,104.0,0.149,-2.14,75.4,,,,93.0,97.0,97.0,0.158,1.15,84.6,0.289,0.356,0.33,,,
2024-04-06,746248,Groundout,field_out,True,666915,672282,Bobby Dalbec,Reid Detmers,1,dc4309ee-f6df-4de9-8213-f92edae0ebe4,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,0.247,0.383,0.343,,,,0.344,0.719,0.192,90.0,102.0,104.0,0.149,-2.14,75.4,,,,93.0,97.0,97.0,0.158,1.15,84.6,0.289,0.356,0.33,,,
2024-04-07,746251,Flyout,field_out,True,666915,660761,Bobby Dalbec,José Suarez,0,295896ea-4d22-4644-885b-d30e8a1c841d,660761.0,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.15,5.29,35.1,92.0,99.0,93.0,0.736,9.42,5.6,11.21,1.27,1.15,0.202,0.45,0.211,0.358,0.371,105.0,93.0,95.0,73.0,101.0,88.0,102.0,93.0,90.0,,,,111.0,93.0,94.0,,,,0.122,0.36,0.02,,0.256,,-1.96,-8.06,,-7.21,0.41,,92.9,88.7,,91.8,81.3,,0.36,0.76,0.311,0.5,1.045,0.136,0.286,0.5,0.212,,,,,,,77.0,124.0,123.0,0.001,-2.43,74.1,0.5,1.0,0.143,94.0,88.0,93.0,0.242,-0.87,82.7,0.255,0.431,0.329,,,
2024-04-12,746978,Grounded Into DP,grounded_into_double_play,True,666915,672282,Bobby Dalbec,Reid Detmers,1,0dd7acc6-5c82-4c31-8f04-17756098b284,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,0.247,0.383,0.343,,,,0.344,0.719,0.192,90.0,102.0,104.0,0.149,-2.14,75.4,,,,93.0,97.0,97.0,0.158,1.15,84.6,0.289,0.356,0.33,,,
2024-04-12,746978,Groundout,field_out,True,666915,672282,Bobby Dalbec,Reid Detmers,0,6273213a-4552-43e5-92a7-749ce656bc22,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,0.247,0.383,0.343,,,,0.344,0.719,0.192,90.0,102.0,104.0,0.149,-2.14,75.4,,,,93.0,97.0,97.0,0.158,1.15,84.6,0.289,0.356,0.33,,,
2024-04-12,746978,Strikeout,strikeout,True,666915,472610,Bobby Dalbec,Luis García,0,c792fe3a-6eac-4a0e-8eca-ab0bf5af8d26,472610.0,luisgarcia,"García, L",Right,Luis García,LAA,4.08,3.99,39.2,98.0,104.0,102.0,0.762,8.39,3.18,7.94,0.91,2.07,0.184,0.5,0.105,0.351,0.408,99.0,91.0,88.0,95.0,100.0,101.0,121.0,93.0,100.0,,,,90.0,70.0,85.0,112.0,101.0,115.0,0.504,0.077,0.019,0.188,0.212,,-1.93,0.39,0.98,0.93,-0.04,,95.8,88.0,86.7,96.4,81.3,,0.364,0.545,0.217,0.231,0.385,0.122,0.2,0.5,0.538,0.206,0.206,0.362,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,746979,Strikeout,strikeout,True,666915,656288,Bobby Dalbec,Griffin Canning,0,6c52eb43-f822-4b18-b28a-ef49c100fa93,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.2,4.92,105.2,98.0,86.0,97.0,0.795,6.22,3.24,9.54,1.62,1.06,0.236,0.421,0.127,0.349,0.401,72.0,93.0,86.0,77.0,92.0,80.0,103.0,101.0,111.0,,,,,,,,,,0.024,0.354,,,0.228,,-0.83,,,-8.35,-1.29,,93.6,,,93.0,88.0,,0.243,0.521,0.158,0.5,1.1,0.0,0.303,0.449,0.292,,,,0.297,0.432,0.21,73.0,96.0,95.0,0.123,-1.15,80.7,,,,98.0,102.0,103.0,0.271,0.71,88.7,0.254,0.377,0.253,,,
2024-04-13,746979,Strikeout,strikeout,True,666915,656288,Bobby Dalbec,Griffin Canning,0,13bc5a27-7252-47b0-9bfc-c755eab61a6b,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.2,4.92,105.2,98.0,86.0,97.0,0.795,6.22,3.24,9.54,1.62,1.06,0.236,0.421,0.127,0.349,0.401,72.0,93.0,86.0,77.0,92.0,80.0,103.0,101.0,111.0,,,,,,,,,,0.024,0.354,,,0.228,,-0.83,,,-8.35,-1.29,,93.6,,,93.0,88.0,,0.243,0.521,0.158,0.5,1.1,0.0,0.303,0.449,0.292,,,,0.297,0.432,0.21,73.0,96.0,95.0,0.123,-1.15,80.7,,,,98.0,102.0,103.0,0.271,0.71,88.7,0.254,0.377,0.253,,,
2024-04-13,746979,Groundout,field_out,True,666915,608334,Bobby Dalbec,Carson Fulmer,0,ace105c0-ad50-41f2-b8f4-6a3e7ad549f2,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,3.45,4.16,47.0,101.0,96.0,98.0,0.754,9.38,4.4,6.51,0.96,1.06,0.24,0.4,0.136,0.368,0.389,95.0,108.0,108.0,91.0,98.0,95.0,116.0,95.0,99.0,,,,,,,,,,0.277,0.15,,,0.231,,0.88,,,0.43,1.88,,93.8,,,92.9,87.5,,0.194,0.29,0.231,0.278,0.389,0.108,0.133,0.333,0.286,,,,0.429,1.286,0.455,108.0,104.0,99.0,0.039,-9.4,82.7,,,,89.0,104.0,103.0,0.302,0.25,88.0,0.164,0.269,0.378,,,
2024-04-13,746979,Strikeout,strikeout,True,666915,608334,Bobby Dalbec,Carson Fulmer,0,94093652-55d5-4d42-b675-c6dd26ac704f,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,3.45,4.16,47.0,101.0,96.0,98.0,0.754,9.38,4.4,6.51,0.96,1.06,0.24,0.4,0.136,0.368,0.389,95.0,108.0,108.0,91.0,98.0,95.0,116.0,95.0,99.0,,,,,,,,,,0.277,0.15,,,0.231,,0.88,,,0.43,1.88,,93.8,,,92.9,87.5,,0.194,0.29,0.231,0.278,0.389,0.108,0.133,0.333,0.286,,,,0.429,1.286,0.455,108.0,104.0,99.0,0.039,-9.4,82.7,,,,89.0,104.0,103.0,0.302,0.25,88.0,0.164,0.269,0.378,,,
2024-04-14,746975,Walk,walk,False,666915,542881,Bobby Dalbec,Tyler Anderson,0,92014bd9-a672-44d2-9f3a-790d9105a20a,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,,,,100.0,102.0,98.0,,,,0.038,0.403,0.19,,0.003,,-0.19,-0.14,,-2.78,-4.61,,89.2,83.8,,88.1,77.9,,0.239,0.472,0.163,0.222,0.611,0.067,,,,,,,,,,,,,,,,0.221,0.39,0.244,104.0,101.0,106.0,0.366,1.6,78.7,0.18,0.238,0.374,,,
2024-04-14,746975,Strikeout,strikeout,True,666915,542881,Bobby Dalbec,Tyler Anderson,0,de663fce-9cf1-4e7e-8b14-a756c6cd760e,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,,,,100.0,102.0,98.0,,,,0.038,0.403,0.19,,0.003,,-0.19,-0.14,,-2.78,-4.61,,89.2,83.8,,88.1,77.9,,0.239,0.472,0.163,0.222,0.611,0.067,,,,,,,,,,,,,,,,0.221,0.39,0.244,104.0,101.0,106.0,0.366,1.6,78.7,0.18,0.238,0.374,,,
2024-04-16,746976,Flyout,field_out,True,666915,669212,Bobby Dalbec,Eli Morgan,0,259d9f89-df44-4915-8b63-1acdc276cdb5,669212.0,elimorgan,Morgan,Right,Eli Morgan,CLE,1.98,2.52,13.2,99.0,83.0,97.0,0.779,6.59,3.29,7.24,0.0,0.45,0.366,0.293,0.195,0.195,0.387,75.0,99.0,90.0,,,,91.0,97.0,101.0,,,,,,,,,,,0.505,,,0.321,,1.75,,,,-0.04,,91.9,,,,86.5,,0.217,0.261,0.189,,,,0.188,0.375,0.406,,,,,,,,,,,,,,,,97.0,110.0,113.0,0.175,0.09,78.5,0.273,0.364,0.263,,,
