date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024-07-21,744909,Groundout,field_out,True,676632,592332,Bligh Madris,Kevin Gausman,0,3b254368-33b5-4469-b5bb-19a70ddc2bc2,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.18,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,100.0,106.0,107.0,93.0,99.0,90.0,93.0,88.0,94.0,93.0,109.0,110.0,0.048,0.543,0.327,0.082,-0.11,-0.61,-1.31,-2.38,93.9,85.7,93.5,83.1,0.298,0.521,0.198,0.207,0.343,0.33,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,744909,Strikeout,strikeout,True,676632,592332,Bligh Madris,Kevin Gausman,0,d252daad-9cb1-4715-9266-d150a7f96bfe,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.18,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,100.0,106.0,107.0,93.0,99.0,90.0,93.0,88.0,94.0,93.0,109.0,110.0,0.048,0.543,0.327,0.082,-0.11,-0.61,-1.31,-2.38,93.9,85.7,93.5,83.1,0.298,0.521,0.198,0.207,0.343,0.33,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,744909,Strikeout,strikeout,True,676632,592332,Bligh Madris,Kevin Gausman,0,63bf1912-4919-4dd4-91cc-5d5cd3273536,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.18,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,100.0,106.0,107.0,93.0,99.0,90.0,93.0,88.0,94.0,93.0,109.0,110.0,0.048,0.543,0.327,0.082,-0.11,-0.61,-1.31,-2.38,93.9,85.7,93.5,83.1,0.298,0.521,0.198,0.207,0.343,0.33,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,744909,Pop Out,field_out,True,676632,643338,Bligh Madris,Chad Green,0,e0beaabb-135b-4621-b7db-5406648fe168,643338.0,chadgreen,Green,Right,Chad Green,TOR,2.0,4.39,27.0,102.0,114.0,104.0,0.77,8.0,3.0,6.33,1.67,0.69,0.296,0.394,0.085,0.423,0.431,116.0,106.0,107.0,,,,115.0,98.0,102.0,,,,,0.644,,0.342,2.18,,,-1.52,95.2,,,87.2,0.161,0.323,0.201,,,,0.281,0.531,0.327,,,,,,,,,,,,,,,,,,,,,,,,,74.0,54.0,61.0,0.014,,-0.87,,91.5,,,,,,,,,,,,,
2024-07-23,746614,Strikeout,strikeout,True,676632,680704,Bligh Madris,Nick Sandlin,0,cc4e53e7-5cce-4b87-9680-c998dd626d72,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.72,3.59,36.1,92.0,89.0,92.0,0.649,10.4,3.96,5.7,1.24,0.68,0.216,0.398,0.159,0.352,0.371,88.0,96.0,93.0,86.0,83.0,79.0,111.0,89.0,98.0,55.0,98.0,84.0,0.105,0.29,0.221,0.384,0.63,5.23,-4.63,-0.44,92.4,84.4,92.3,79.1,0.194,0.333,0.215,0.032,0.032,0.514,0.214,0.429,0.442,0.333,0.722,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-23,746614,Strikeout,strikeout,True,676632,605130,Bligh Madris,Scott Barlow,1,d7939bf3-63fd-4f21-9234-16d5b9a5e5ef,605130.0,scottbarlow,"Barlow, S",Right,Scott Barlow,CLE,3.24,3.49,41.2,91.0,116.0,93.0,0.647,12.31,4.97,6.91,0.86,1.61,0.196,0.515,0.186,0.247,0.337,79.0,90.0,84.0,98.0,95.0,95.0,125.0,86.0,90.0,,,,0.098,0.206,,0.487,-0.41,,-0.77,1.43,91.7,,91.7,81.1,0.37,0.519,0.233,,,,0.134,0.194,0.419,0.4,0.533,0.268,,,,,,,,,,,,,0.163,0.395,0.464,,,,149.0,103.0,109.0,,,,,0.209,,-1.06,,77.4,,,,,,,,,,,,
2024-07-25,746609,Single,single,False,676632,668909,Bligh Madris,Gavin Williams,0,c3d5a94a-c0f1-4ee6-9fd2-e0f25a521343,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.5,5.3,18.0,97.0,95.0,96.0,0.826,7.0,4.0,10.0,0.0,1.1,0.305,0.339,0.186,0.356,0.411,97.0,95.0,95.0,,,,105.0,19.0,66.0,,,,,0.56,,0.006,-0.23,,,-37.66,96.5,,,85.6,0.297,0.351,0.196,,,,,,,,,,97.0,94.0,110.0,,,,,0.065,,-5.48,87.9,,0.143,0.19,0.278,0.667,1.333,0.0,117.0,106.0,108.0,63.0,96.0,83.0,0.141,0.229,-1.2,1.43,89.3,80.2,0.273,0.455,0.15,,,,,,,,,
2024-07-25,746609,Single,single,False,676632,668909,Bligh Madris,Gavin Williams,0,6d6b8f45-42e2-4664-8b52-f3ff05f42570,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.5,5.3,18.0,97.0,95.0,96.0,0.826,7.0,4.0,10.0,0.0,1.1,0.305,0.339,0.186,0.356,0.411,97.0,95.0,95.0,,,,105.0,19.0,66.0,,,,,0.56,,0.006,-0.23,,,-37.66,96.5,,,85.6,0.297,0.351,0.196,,,,,,,,,,97.0,94.0,110.0,,,,,0.065,,-5.48,87.9,,0.143,0.19,0.278,0.667,1.333,0.0,117.0,106.0,108.0,63.0,96.0,83.0,0.141,0.229,-1.2,1.43,89.3,80.2,0.273,0.455,0.15,,,,,,,,,
2024-07-25,746609,Flyout,field_out,True,676632,668909,Bligh Madris,Gavin Williams,0,0a88db40-9dd1-4ab7-95c6-c5595e4fb233,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.5,5.3,18.0,97.0,95.0,96.0,0.826,7.0,4.0,10.0,0.0,1.1,0.305,0.339,0.186,0.356,0.411,97.0,95.0,95.0,,,,105.0,19.0,66.0,,,,,0.56,,0.006,-0.23,,,-37.66,96.5,,,85.6,0.297,0.351,0.196,,,,,,,,,,97.0,94.0,110.0,,,,,0.065,,-5.48,87.9,,0.143,0.19,0.278,0.667,1.333,0.0,117.0,106.0,108.0,63.0,96.0,83.0,0.141,0.229,-1.2,1.43,89.3,80.2,0.273,0.455,0.15,,,,,,,,,
2024-07-25,746609,Double,double,False,676632,657265,Bligh Madris,Peter Strzelecki,0,d3803105-d5ab-4464-b0bc-429f5a4965e4,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,1.23,4.8,7.1,96.0,90.0,93.0,0.889,6.14,1.23,8.59,1.23,1.67,0.182,0.364,0.227,0.227,0.402,85.0,102.0,92.0,75.0,82.0,52.0,145.0,88.0,106.0,,,,0.034,0.504,,0.171,0.62,,8.37,0.64,92.0,,91.2,81.6,0.333,0.417,0.172,,,,0.167,0.667,0.125,0.0,0.0,0.0,82.0,95.0,104.0,,,,,0.154,,-3.68,82.2,,,,,0.4,0.4,0.0,,,,45.0,100.0,93.0,0.137,,4.4,,87.7,,,,,,,,,,,,,
2024-07-26,746448,Strikeout,strikeout,True,676632,641154,Bligh Madris,Pablo López,0,ec2d0bc7-f402-4900-9ac5-b9fe953d02ee,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.73,3.42,118.0,104.0,97.0,105.0,0.742,10.3,1.91,8.39,1.45,1.04,0.236,0.429,0.134,0.298,0.439,97.0,105.0,102.0,95.0,108.0,107.0,108.0,105.0,111.0,,,,0.078,0.396,,0.226,2.11,,-2.65,-0.42,94.6,,94.2,84.1,0.185,0.333,0.283,,,,,,,0.432,0.622,0.107,92.0,102.0,102.0,,,,,0.194,,-0.67,88.4,,0.245,0.551,0.314,0.306,0.4,0.258,83.0,102.0,107.0,,,,,0.107,,-2.23,,81.9,,,,0.221,0.434,0.327,,,,,,
2024-07-26,746448,Flyout,field_out,True,676632,641154,Bligh Madris,Pablo López,0,20ea1f54-a059-4591-a916-122501d33528,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.73,3.42,118.0,104.0,97.0,105.0,0.742,10.3,1.91,8.39,1.45,1.04,0.236,0.429,0.134,0.298,0.439,97.0,105.0,102.0,95.0,108.0,107.0,108.0,105.0,111.0,,,,0.078,0.396,,0.226,2.11,,-2.65,-0.42,94.6,,94.2,84.1,0.185,0.333,0.283,,,,,,,0.432,0.622,0.107,92.0,102.0,102.0,,,,,0.194,,-0.67,88.4,,0.245,0.551,0.314,0.306,0.4,0.258,83.0,102.0,107.0,,,,,0.107,,-2.23,,81.9,,,,0.221,0.434,0.327,,,,,,
2024-07-26,746448,Single,single,False,676632,641154,Bligh Madris,Pablo López,1,108c7d78-45d7-48bc-b2b1-313b253e3f9a,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.73,3.42,118.0,104.0,97.0,105.0,0.742,10.3,1.91,8.39,1.45,1.04,0.236,0.429,0.134,0.298,0.439,97.0,105.0,102.0,95.0,108.0,107.0,108.0,105.0,111.0,,,,0.078,0.396,,0.226,2.11,,-2.65,-0.42,94.6,,94.2,84.1,0.185,0.333,0.283,,,,,,,0.432,0.622,0.107,92.0,102.0,102.0,,,,,0.194,,-0.67,88.4,,0.245,0.551,0.314,0.306,0.4,0.258,83.0,102.0,107.0,,,,,0.107,,-2.23,,81.9,,,,0.221,0.434,0.327,,,,,,
2024-07-26,746448,Single,single,False,676632,622251,Bligh Madris,Josh Staumont,1,ac418b21-0758-4f9e-a94b-fbb2c6ea47f7,622251.0,joshstaumont,Staumont,Right,Josh Staumont,MIN,1.96,4.0,23.0,94.0,114.0,99.0,0.741,6.65,3.91,5.48,0.0,1.22,0.254,0.333,0.159,0.238,0.42,91.0,98.0,97.0,91.0,96.0,92.0,129.0,92.0,102.0,,,,0.277,0.104,,0.602,1.67,,0.82,2.98,94.2,,95.0,86.5,0.0,0.0,0.5,,,,0.135,0.135,0.267,0.25,0.3,0.244,,,,,,,,,,,,,,,,,,,70.0,108.0,107.0,,,,,0.016,,-16.55,,79.2,,,,,,,,,,,,
2024-07-27,746446,Pop Out,field_out,True,676632,657746,Bligh Madris,Joe Ryan,0,4e97e1ba-bd82-4591-9dd9-d1babc6da0b1,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.9,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.284,0.481,94.0,110.0,105.0,110.0,108.0,105.0,108.0,104.0,112.0,101.0,103.0,94.0,0.06,0.485,0.221,0.234,1.39,0.22,-0.77,-0.07,94.0,88.6,92.9,83.1,0.194,0.379,0.275,0.202,0.387,0.258,0.343,0.6,0.216,0.345,0.483,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.37,0.337,,,,,,
2024-07-27,746446,Flyout,field_out,True,676632,657746,Bligh Madris,Joe Ryan,0,d8fff9af-6b82-4dfa-8919-1c4c0cd42e2e,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.9,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.284,0.481,94.0,110.0,105.0,110.0,108.0,105.0,108.0,104.0,112.0,101.0,103.0,94.0,0.06,0.485,0.221,0.234,1.39,0.22,-0.77,-0.07,94.0,88.6,92.9,83.1,0.194,0.379,0.275,0.202,0.387,0.258,0.343,0.6,0.216,0.345,0.483,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.37,0.337,,,,,,
2024-07-27,746446,Single,single,False,676632,592779,Bligh Madris,Brock Stewart,0,57554655-bf8c-40e9-8658-60bb76914011,592779.0,brockstewart,Stewart,Right,Brock Stewart,MIN,5.17,3.94,15.2,98.0,118.0,101.0,0.726,11.49,4.6,8.62,1.15,1.0,0.154,0.385,0.205,0.359,0.429,119.0,98.0,99.0,86.0,116.0,114.0,141.0,93.0,107.0,,,,0.108,0.451,,0.25,-0.42,,4.17,0.03,97.0,,96.4,84.1,0.269,0.423,0.297,,,,,,,0.0,0.0,0.167,111.0,181.0,170.0,,,,,0.011,,-18.79,89.2,,,,,,,,,,,98.0,95.0,89.0,0.179,,-0.48,,93.3,,0.333,0.417,0.222,0.176,0.412,0.483,,,,,,
2024-07-27,746446,Walk,walk,False,676632,622251,Bligh Madris,Josh Staumont,0,8b18b71a-5ef5-49da-a4de-60befdf79724,622251.0,joshstaumont,Staumont,Right,Josh Staumont,MIN,3.7,4.4,24.1,92.0,112.0,97.0,0.76,6.66,5.18,6.29,0.0,1.33,0.246,0.319,0.159,0.246,0.407,95.0,96.0,94.0,93.0,96.0,93.0,125.0,90.0,99.0,,,,0.271,0.1,,0.614,1.81,,0.9,1.83,94.3,,95.1,86.7,0.0,0.0,0.5,,,,0.175,0.175,0.246,0.238,0.286,0.244,,,,,,,,,,,,,,,,,,,70.0,108.0,107.0,,,,,0.014,,-16.51,,79.2,,,,,,,,,,,,
2024-07-28,746445,Flyout,field_out,True,676632,641927,Bligh Madris,Bailey Ober,0,087433d8-6c6e-489c-b19f-7b4834f29d18,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,81.0,104.0,96.0,,,,72.0,102.0,102.0,,,,,0.394,,0.115,-0.07,,,1.52,91.9,,,80.5,0.265,0.508,0.217,,,,0.105,0.193,0.309,,,,117.0,111.0,111.0,,,,,0.269,,2.0,83.4,,,,,0.157,0.296,0.403,94.0,97.0,101.0,84.0,105.0,102.0,0.213,0.008,-0.39,4.29,86.3,76.0,0.261,0.47,0.225,,,,,,,,,
