date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C,vSC (sc),SC%,wSC/C
2024-03-31,746090,Triple,triple,False,675961,669432,Alika Williams,Trevor Rogers,1,cf387dbe-77a0-4fa3-a2d1-369c1826c35c,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Flyout,field_out,True,675961,669432,Alika Williams,Trevor Rogers,0,66518d90-f330-47f0-9b7e-c062639d1bb4,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Lineout,field_out,True,675961,669432,Alika Williams,Trevor Rogers,0,0e258cbe-d277-4971-a987-a9e0458e9fc4,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Strikeout,strikeout,True,675961,661269,Alika Williams,Vladimir Gutierrez,0,f35da8a0-0155-4c4b-914c-ba1a8475bd3c,661269.0,vladimirgutierrez,Gutierrez,Right,Vladimir Gutierrez,MIA,6.75,3.19,4.0,94.0,111.0,97.0,0.737,9.0,4.5,6.75,2.25,0.33,0.273,0.273,0.182,0.182,0.288,146.0,98.0,94.0,82.0,88.0,94.0,,,,117.0,100.0,107.0,,0.338,0.288,0.263,0.04,,-1.4,0.11,92.7,83.7,,82.8,0.167,0.667,0.188,,,,,,,0.333,0.333,0.545,101.0,89.0,92.0,,,,,0.113,,4.1,,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Sac Bunt,sac_bunt,False,675961,656945,Alika Williams,Tanner Scott,1,d247a929-ff5e-45a1-9a2a-bf8b7839eb82,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,MIA,1.3,3.1,41.2,97.0,144.0,107.0,0.692,9.94,5.4,3.89,0.43,1.42,0.333,0.313,0.25,0.229,0.441,,,,151.0,95.0,105.0,,,,134.0,98.0,109.0,,0.596,0.403,0.001,2.0,,1.59,-2.0,96.8,92.0,,88.2,0.093,0.107,0.269,,,,,,,0.175,0.286,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Single,single,False,675961,669022,Alika Williams,MacKenzie Gore,1,d531f538-467b-4e0c-aa24-a042f25f4989,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,130.0,99.0,105.0,,,,93.0,87.0,91.0,,0.549,0.161,0.092,0.21,,-0.7,-1.82,96.4,85.9,,91.0,0.284,0.408,0.239,,,,0.321,0.607,0.512,0.429,0.714,0.25,107.0,104.0,105.0,,,,,0.198,,0.66,,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Strikeout,strikeout,True,675961,669022,Alika Williams,MacKenzie Gore,0,8d068db8-9172-4109-9273-e7c7eccd48cd,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,130.0,99.0,105.0,,,,93.0,87.0,91.0,,0.549,0.161,0.092,0.21,,-0.7,-1.82,96.4,85.9,,91.0,0.284,0.408,0.239,,,,0.321,0.607,0.512,0.429,0.714,0.25,107.0,104.0,105.0,,,,,0.198,,0.66,,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Forceout,force_out,True,675961,571882,Alika Williams,Derek Law,1,99e85463-43bb-4340-8747-d9d368d0ad7b,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,85.0,106.0,104.0,80.0,103.0,95.0,85.0,97.0,89.0,112.0,113.0,107.0,0.092,0.133,0.287,0.043,-1.25,-2.66,2.56,1.29,95.1,88.4,94.4,87.2,0.292,0.5,0.186,0.455,0.545,0.109,0.222,0.222,0.238,0.171,0.256,0.405,100.0,94.0,99.0,,,,,0.046,,-7.81,,77.8,0.75,2.25,0.0,,,,0.293,0.387,0.252,81.0,100.0,94.0,0.399,0.36,91.5,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Sac Bunt,sac_bunt,True,675961,676395,Alika Williams,Robert Garcia,1,02b96b02-c98e-4ce2-84d8-43f209e57da5,676395.0,robertgarcia,"Garcia, Ro",Left,Robert Garcia,WSN,4.68,2.52,32.2,105.0,105.0,104.0,0.755,12.95,3.03,8.82,0.83,1.7,0.301,0.422,0.229,0.265,0.439,85.0,105.0,97.0,114.0,103.0,104.0,,,,107.0,114.0,118.0,,0.562,0.175,0.264,0.35,,-0.82,1.41,94.4,87.4,,84.8,0.25,0.397,0.238,,,,0.235,0.235,0.366,0.269,0.462,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,744875,Single,single,False,675961,663432,Alika Williams,Tanner Rainey,1,c5826537-8a7b-4790-b18f-4486b19d3703,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,6.58,6.42,26.0,93.0,107.0,96.0,0.732,7.62,6.23,9.69,1.73,0.61,0.181,0.361,0.12,0.313,0.38,87.0,76.0,73.0,109.0,97.0,100.0,,,,102.0,85.0,89.0,,0.68,0.295,0.025,-0.62,,-2.34,-6.91,93.7,85.6,,86.4,0.253,0.518,0.22,,,,,,,0.286,0.286,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
