date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-09-07,744963,Strikeout,strikeout,True,669326,683004,Bryce Teodosio,Jack Leiter,0,121a6aea-f430-4684-94e4-350aa93a941e,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,744963,Lineout,field_out,True,669326,683004,Bryce Teodosio,Jack Leiter,0,d0ebc858-c7e5-471a-8e04-f8388702160f,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,10.41,6.08,23.1,98.0,120.0,103.0,0.76,7.33,3.86,12.73,1.54,0.97,0.202,0.429,0.131,0.321,0.419,115.0,77.0,88.0,85.0,99.0,102.0,133.0,99.0,106.0,116.0,102.0,107.0,59.0,65.0,57.0,0.522,0.026,0.271,0.124,0.057,-2.97,-13.16,-1.72,3.14,0.31,96.3,91.1,89.0,86.3,81.2,0.35,0.617,0.291,0.391,0.565,0.154,0.077,0.077,0.333,0.2,0.2,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,744963,Strikeout,strikeout,True,669326,670036,Bryce Teodosio,Matt Festa,0,237b2409-30f6-4c77-ac74-90c37e45eb8d,670036.0,mattfesta,"Festa, M",Right,Matt Festa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.381,0.226,,,,,,,,,,,,,,,,0.25,0.333,0.25,,,,0.273,0.364,0.294,,,,,,,,,,,,,,,
2024-09-08,744965,Strikeout,strikeout,True,669326,571760,Bryce Teodosio,Andrew Heaney,0,4ea87afb-601f-4775-8065-8e6e3b62093c,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.84,4.14,145.1,101.0,81.0,98.0,0.752,9.23,2.42,8.36,1.18,0.76,0.257,0.401,0.142,0.292,0.424,84.0,102.0,95.0,124.0,106.0,103.0,78.0,101.0,98.0,81.0,99.0,101.0,20.0,51.0,51.0,0.509,0.001,0.277,0.033,0.165,0.49,-19.13,-0.2,-3.64,0.9,91.5,86.6,83.7,82.4,75.4,0.215,0.383,0.213,0.254,0.379,0.387,0.5,1.25,0.222,0.221,0.352,0.253,34.0,83.0,74.0,0.015,-4.51,92.2,,,,0.455,0.455,0.125,,,,,,,,,,,,,,,,,,
2024-09-08,744965,Groundout,field_out,True,669326,571760,Bryce Teodosio,Andrew Heaney,0,4d8e997e-16cc-4f81-9251-d7ccb0b9b8f8,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.84,4.14,145.1,101.0,81.0,98.0,0.752,9.23,2.42,8.36,1.18,0.76,0.257,0.401,0.142,0.292,0.424,84.0,102.0,95.0,124.0,106.0,103.0,78.0,101.0,98.0,81.0,99.0,101.0,20.0,51.0,51.0,0.509,0.001,0.277,0.033,0.165,0.49,-19.13,-0.2,-3.64,0.9,91.5,86.6,83.7,82.4,75.4,0.215,0.383,0.213,0.254,0.379,0.387,0.5,1.25,0.222,0.221,0.352,0.253,34.0,83.0,74.0,0.015,-4.51,92.2,,,,0.455,0.455,0.125,,,,,,,,,,,,,,,,,,
2024-09-09,745860,Groundout,field_out,True,669326,701581,Bryce Teodosio,David Festa,0,908e51f2-5216-41f1-9d99-97ff01959a3f,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,5.08,3.94,51.1,101.0,102.0,103.0,0.735,10.87,2.81,8.42,1.58,0.86,0.246,0.457,0.167,0.348,0.403,74.0,105.0,106.0,,,,106.0,97.0,99.0,121.0,104.0,105.0,,,,0.404,,0.316,,0.281,-1.1,,1.89,,-1.18,94.8,,88.4,86.2,,0.319,0.58,0.19,0.181,0.292,0.273,,,,0.22,0.508,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,745860,Strikeout,strikeout,True,669326,701581,Bryce Teodosio,David Festa,0,999f5d56-5305-4652-b9ce-fe7608dfca8b,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,5.08,3.94,51.1,101.0,102.0,103.0,0.735,10.87,2.81,8.42,1.58,0.86,0.246,0.457,0.167,0.348,0.403,74.0,105.0,106.0,,,,106.0,97.0,99.0,121.0,104.0,105.0,,,,0.404,,0.316,,0.281,-1.1,,1.89,,-1.18,94.8,,88.4,86.2,,0.319,0.58,0.19,0.181,0.292,0.273,,,,0.22,0.508,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,745860,Forceout,force_out,True,669326,678692,Bryce Teodosio,Ronny Henriquez,1,f8958d7f-14d7-45e6-b301-1a08f6a74a53,678692.0,ronnyhenriquez,Henriquez,Right,Ronny Henriquez,MIN,2.81,5.45,16.0,103.0,107.0,105.0,0.746,6.75,1.69,7.88,1.13,1.79,0.184,0.347,0.143,0.469,0.454,86.0,105.0,99.0,,,,125.0,107.0,117.0,111.0,96.0,100.0,,,,0.303,,0.345,,0.324,-0.53,,-1.48,,3.11,95.5,,90.6,88.4,,0.25,0.5,0.119,0.313,0.563,0.378,,,,0.174,0.174,0.341,124.0,113.0,106.0,0.029,5.97,95.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,745860,Flyout,field_out,True,669326,656240,Bryce Teodosio,Scott Blewett,0,f4724bca-6cba-424b-93c4-e00a005fb9b1,656240.0,scottblewett,Blewett,Right,Scott Blewett,MIN,0.77,3.99,11.2,102.0,99.0,100.0,0.76,8.49,2.31,7.71,0.77,1.08,0.303,0.273,0.121,0.303,0.459,,,,,,,92.0,96.0,89.0,86.0,105.0,104.0,,,,0.388,,0.372,,,-1.03,,1.92,,,93.9,,,85.3,,0.353,0.471,0.139,0.2,0.267,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,108.0,112.0,0.24,1.88,85.8,0.083,0.333,0.276
2024-09-10,745856,Strikeout,strikeout,True,669326,641154,Bryce Teodosio,Pablo López,0,8c6aa933-9654-4db2-8754-91b1eb3f14d7,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,3.84,3.55,175.2,104.0,98.0,105.0,0.745,9.58,1.9,8.45,1.18,1.2,0.241,0.44,0.135,0.297,0.437,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,106.0,102.0,109.0,,,,0.409,,0.222,0.103,0.194,2.12,,-0.55,-1.54,-0.37,95.0,,88.5,84.4,82.4,0.19,0.32,0.268,,,,0.243,0.471,0.336,0.296,0.38,0.234,97.0,108.0,107.0,0.073,-2.83,94.6,,,,0.414,0.638,0.15,0.229,0.412,0.343,,,,,,,,,,,,,,,
