date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,wFA/C,wSI/C,wSL/C,wCU/C,vFA,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-05-04,746155,Strikeout,strikeout,True,663897,656420,Luke Williams,J.P. Feyereisen,0,67b2dc6c-c0ea-4c5d-8ecf-6c651bc0a927,656420.0,jpfeyereisen,Feyereisen,Right,J.P. Feyereisen,LAD,8.18,7.89,11.0,99.0,93.0,96.0,0.809,7.36,4.09,9.0,2.45,0.69,0.152,0.455,0.091,0.485,0.397,,,,76.0,97.0,95.0,,,,108.0,98.0,98.0,,0.475,0.24,,-2.12,,0.9,,91.7,,84.3,,0.316,0.579,0.17,0.25,0.375,0.368,,,,,,,108.0,102.0,98.0,0.285,-1.17,87.5,0.214,0.643,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15,747123,Hit By Pitch,hit_by_pitch,False,663897,681432,Luke Williams,Luke Little,1,706c5061-eeef-4b45-a64f-82c2f0cffa5c,681432.0,lukelittle,Little,Left,Luke Little,CHC,3.46,3.54,26.0,86.0,87.0,82.0,0.752,9.69,6.23,5.19,0.35,3.23,0.22,0.39,0.186,0.271,0.438,,,,79.0,92.0,82.0,,,,112.0,72.0,82.0,,0.724,0.263,,1.33,,0.07,,95.8,,81.8,,0.219,0.313,0.19,0.048,0.095,0.543,,,,,,,,,,,,,,,,,,,,,,,,,86.0,100.0,86.0,0.014,2.07,90.3,,,,,,,,,,,,,,,
2024-05-23,746874,Flyout,field_out,True,663897,676962,Luke Williams,Ben Brown,0,2eb805d2-907c-4b42-9d18-dc9fb1588747,676962.0,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.16,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,,,,98.0,98.0,96.0,,,,,,,,0.627,,,0.78,,,,96.4,,,,0.25,0.352,0.185,,,,0.141,0.294,0.51,,,,112.0,95.0,87.0,0.016,-3.6,90.6,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,130.0,92.0,108.0,0.357,1.4,86.5,,,,,,
2024-05-23,746874,Strikeout,strikeout,True,663897,669713,Luke Williams,Hayden Wesneski,0,7b1e3fb6-561e-438f-b243-27d87e31f383,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,0.121,0.368,0.399,,-0.5,-0.74,0.19,,94.5,93.5,82.2,,0.25,0.444,0.132,0.185,0.383,0.428,,,,0.273,0.545,0.123,94.0,101.0,101.0,0.027,1.36,86.9,0.143,0.143,0.214,76.0,97.0,98.0,0.085,2.33,88.1,0.182,0.182,0.209,,,,,,,,,,,,,,,,,,,,,
2024-06-26,745158,Flyout,field_out,True,663897,669461,Luke Williams,Matthew Liberatore,0,b7fcf71c-89b8-4298-9f3c-e12502878b9c,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,128.0,97.0,102.0,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,0.196,0.26,0.302,0.073,0.24,-2.85,3.84,0.19,94.4,95.2,87.5,77.8,0.212,0.485,0.14,0.132,0.162,0.431,0.154,0.154,0.238,0.362,0.596,0.116,46.0,89.0,90.0,0.063,-0.49,87.7,0.143,0.571,0.227,101.0,111.0,110.0,0.106,-1.7,91.9,0.474,0.684,0.228,,,,,,,,,,,,,,,,,,,,,
2024-06-26,745158,Strikeout,strikeout,True,663897,669461,Luke Williams,Matthew Liberatore,0,445f96ba-7514-4d38-aba9-1a27a2b1ef25,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,128.0,97.0,102.0,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,0.196,0.26,0.302,0.073,0.24,-2.85,3.84,0.19,94.4,95.2,87.5,77.8,0.212,0.485,0.14,0.132,0.162,0.431,0.154,0.154,0.238,0.362,0.596,0.116,46.0,89.0,90.0,0.063,-0.49,87.7,0.143,0.571,0.227,101.0,111.0,110.0,0.106,-1.7,91.9,0.474,0.684,0.228,,,,,,,,,,,,,,,,,,,,,
2024-06-28,747105,Single,single,False,663897,527048,Luke Williams,Martín Pérez,0,40cc97b2-1fcc-4242-851d-43e836757c26,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,,,,0.375,0.055,,0.101,-5.77,-0.23,,0.23,91.4,90.9,,78.3,0.375,0.625,0.036,,,,0.364,0.409,0.306,0.3,0.423,0.1,77.0,106.0,97.0,0.215,-3.51,83.4,0.338,0.588,0.275,65.0,105.0,94.0,0.254,-0.81,88.4,0.304,0.609,0.196,,,,,,,,,,,,,,,,,,,,,
2024-06-28,747105,Pop Out,field_out,True,663897,527048,Luke Williams,Martín Pérez,0,ab189aa8-f275-4873-aa38-f5a93f659f9f,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,,,,0.375,0.055,,0.101,-5.77,-0.23,,0.23,91.4,90.9,,78.3,0.375,0.625,0.036,,,,0.364,0.409,0.306,0.3,0.423,0.1,77.0,106.0,97.0,0.215,-3.51,83.4,0.338,0.588,0.275,65.0,105.0,94.0,0.254,-0.81,88.4,0.304,0.609,0.196,,,,,,,,,,,,,,,,,,,,,
2024-06-28,747105,Flyout,field_out,True,663897,641726,Luke Williams,Daulton Jefferies,0,fe1366d1-ad0c-4a0c-95a6-d73fc8fc4f29,641726.0,daultonjefferies,Jefferies,Right,Daulton Jefferies,- - -,9.82,4.27,14.2,104.0,84.0,98.0,0.827,7.36,2.45,14.73,2.45,0.88,0.196,0.518,0.179,0.321,0.431,,,,104.0,117.0,105.0,82.0,101.0,96.0,112.0,103.0,105.0,0.374,0.085,0.246,,6.59,-1.87,-2.66,,93.3,93.0,82.2,,0.0,0.0,0.0,0.316,0.526,0.417,,,,0.333,0.583,0.125,59.0,97.0,92.0,0.149,-6.56,87.5,0.333,0.75,0.056,65.0,111.0,94.0,0.146,-10.27,90.5,0.75,1.75,0.24,,,,,,,,,,,,,,,,,,,,,
2024-06-28,747105,Walk,walk,False,663897,670059,Luke Williams,Colin Holderman,0,f28baa07-5ff5-4686-9a73-31bc10842848,670059.0,colinholderman,Holderman,Right,Colin Holderman,PIT,1.72,3.44,36.2,96.0,113.0,100.0,0.722,11.05,4.17,6.63,0.49,0.95,0.293,0.359,0.228,0.304,0.393,,,,,,,92.0,93.0,90.0,131.0,101.0,113.0,0.268,,0.471,,,0.35,1.38,,,97.0,84.9,,,,,0.154,0.169,0.409,,,,0.205,0.385,0.111,,,,,,,,,,103.0,90.0,89.0,0.261,-0.13,92.4,0.29,0.387,0.253,,,,,,,,,,,,,,,,,,,,,
