date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,FA%,KC%,wFA/C,wKC/C,vFA,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-07-07,746691,Strikeout,strikeout,True,621458,676684,Edwin Ríos,Will Vest,0,917b7aab-9943-4e13-9e6f-b7a6ecdf2eee,676684.0,willvest,Vest,Right,Will Vest,DET,3.24,3.72,41.2,102.0,96.0,101.0,0.767,7.78,2.38,8.64,0.43,1.82,0.407,0.285,0.146,0.358,0.477,83.0,89.0,91.0,94.0,98.0,95.0,102.0,98.0,99.0,,,,0.137,,0.255,0.077,,0.47,-1.7,3.23,,88.4,94.4,86.6,,,,0.347,0.51,0.337,0.318,0.455,0.216,0.0,0.0,0.35,96.0,107.0,105.0,,,,0.532,,1.94,,95.8,,0.219,0.26,0.233,,,,,,,,,,,,,,,,,,
2024-07-08,746692,Groundout,field_out,True,621458,663372,Edwin Ríos,Ryan Feltner,0,9c7600a2-68b7-4d89-bd30-3cbffb4d4660,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,91.0,91.0,87.0,110.0,99.0,104.0,,,,0.14,,0.291,0.147,,0.41,-1.06,-1.33,,85.4,94.4,88.1,,,,0.182,0.545,0.235,0.286,0.375,0.164,0.321,0.5,0.422,83.0,102.0,97.0,,,,0.34,,-0.09,,94.9,,0.257,0.405,0.182,0.2,0.333,0.299,104.0,110.0,116.0,0.083,-0.09,79.2,,,,,,,,,
2024-07-08,746692,Strikeout,strikeout,True,621458,663372,Edwin Ríos,Ryan Feltner,1,aeaa92ca-b489-4dc6-bf38-8c827b28cb13,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,91.0,91.0,87.0,110.0,99.0,104.0,,,,0.14,,0.291,0.147,,0.41,-1.06,-1.33,,85.4,94.4,88.1,,,,0.182,0.545,0.235,0.286,0.375,0.164,0.321,0.5,0.422,83.0,102.0,97.0,,,,0.34,,-0.09,,94.9,,0.257,0.405,0.182,0.2,0.333,0.299,104.0,110.0,116.0,0.083,-0.09,79.2,,,,,,,,,
2024-07-08,746692,Groundout,field_out,True,621458,663372,Edwin Ríos,Ryan Feltner,0,9ed082f4-7203-4e77-9cc5-819c6687668e,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,91.0,91.0,87.0,110.0,99.0,104.0,,,,0.14,,0.291,0.147,,0.41,-1.06,-1.33,,85.4,94.4,88.1,,,,0.182,0.545,0.235,0.286,0.375,0.164,0.321,0.5,0.422,83.0,102.0,97.0,,,,0.34,,-0.09,,94.9,,0.257,0.405,0.182,0.2,0.333,0.299,104.0,110.0,116.0,0.083,-0.09,79.2,,,,,,,,,
2024-07-09,746690,Walk,walk,False,621458,615698,Edwin Ríos,Cal Quantrill,0,f5b6afca-5149-4e99-a0bb-13e2e425c6dc,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,79.0,97.0,90.0,,,,80.0,99.0,95.0,0.397,0.134,,0.025,-1.43,-1.66,,1.78,87.7,84.9,93.8,,0.347,0.571,0.173,,,,0.322,0.573,0.2,0.222,0.222,0.167,,,,,,,,,,,,,,,,0.242,0.424,0.267,96.0,101.0,104.0,0.107,0.34,79.9,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253
2024-07-09,746690,Groundout,field_out,True,621458,663567,Edwin Ríos,Peter Lambert,0,8527e1e5-0570-41af-8414-5dcc63eb3855,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,87.0,95.0,89.0,120.0,94.0,101.0,,,,0.032,,0.306,0.228,,-1.55,0.45,0.42,,86.9,93.8,85.8,,,,0.182,0.182,0.316,0.333,0.333,0.0,0.237,0.263,0.42,87.0,91.0,88.0,,,,0.382,,-0.75,,94.5,,0.276,0.534,0.11,0.25,0.875,0.2,80.0,96.0,95.0,0.052,-5.77,78.0,,,,,,,,,
2024-07-09,746690,Strikeout,strikeout,True,621458,663567,Edwin Ríos,Peter Lambert,0,8fd5745a-c37d-470a-83ed-d6d76c39f45f,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,87.0,95.0,89.0,120.0,94.0,101.0,,,,0.032,,0.306,0.228,,-1.55,0.45,0.42,,86.9,93.8,85.8,,,,0.182,0.182,0.316,0.333,0.333,0.0,0.237,0.263,0.42,87.0,91.0,88.0,,,,0.382,,-0.75,,94.5,,0.276,0.534,0.11,0.25,0.875,0.2,80.0,96.0,95.0,0.052,-5.77,78.0,,,,,,,,,
2024-07-09,746690,Flyout,field_out,True,621458,664875,Edwin Ríos,Justin Lawrence,0,989782af-59cf-43dd-af22-f6c6f6080d2f,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,5.86,5.22,35.1,96.0,109.0,104.0,0.788,7.39,5.09,10.44,1.02,2.11,0.245,0.409,0.118,0.309,0.403,,,,75.0,96.0,96.0,156.0,95.0,116.0,,,,0.579,,0.421,,,-1.67,0.0,,,,94.9,84.0,,,,0.204,0.296,0.303,0.375,0.563,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-09,746690,Single,single,False,621458,683232,Edwin Ríos,Nick Mears,1,42d2fc41-96b5-4aca-9b2c-a85572ef18af,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,,,,,,,111.0,99.0,103.0,,,,,,0.19,,,,-0.05,,,,,86.4,,,,0.257,0.343,0.522,,,,,,,138.0,98.0,105.0,,,,0.603,,1.1,,96.7,,0.242,0.319,0.192,0.372,0.535,0.288,127.0,100.0,110.0,0.207,-3.59,81.4,,,,,,,,,
2024-07-14,746686,Strikeout,strikeout,True,621458,656945,Edwin Ríos,Tanner Scott,0,617b3048-1e56-4cba-bc27-0dcd53060dc0,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,MIA,1.3,3.1,41.2,97.0,144.0,107.0,0.692,9.94,5.4,3.89,0.43,1.42,0.333,0.313,0.25,0.229,0.441,,,,,,,134.0,98.0,109.0,,,,,,0.403,0.001,,,1.59,-2.0,,92.0,,88.2,,,,0.175,0.286,0.425,,,,,,,151.0,95.0,105.0,,,,0.596,,2.0,,96.8,,0.093,0.107,0.269,,,,,,,,,,,,,,,,,,
