date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff
2024-06-24,745397,Bunt Groundout,field_out,True,669369,571578,Bryce Johnson,Patrick Corbin,1,0323e3de-ffde-4954-8fff-5dc24c48b596,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,,-1.09,0.23,-1.8,0.02,,91.3,84.5,91.4,79.7,,,,0.324,0.541,0.117,0.25,0.384,0.352,0.326,0.578,0.089,0.253,0.38,0.236,88.0,95.0,96.0,0.05,-4.62,81.2,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,745397,Strikeout,strikeout,True,669369,571578,Bryce Johnson,Patrick Corbin,0,99893e95-b776-4dca-a008-1913aae282bc,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,79.0,106.0,99.0,0.352,0.103,0.179,0.316,,-1.09,0.23,-1.8,0.02,,91.3,84.5,91.4,79.7,,,,0.324,0.541,0.117,0.25,0.384,0.352,0.326,0.578,0.089,0.253,0.38,0.236,88.0,95.0,96.0,0.05,-4.62,81.2,0.4,0.65,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,745397,Groundout,field_out,True,669369,571882,Bryce Johnson,Derek Law,0,fec1e83c-d291-4037-b97d-ee10142a2ab9,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,,80.0,103.0,95.0,85.0,97.0,89.0,112.0,113.0,107.0,81.0,100.0,94.0,0.092,0.133,0.399,0.287,,-1.25,0.36,-2.66,2.56,,95.1,91.5,94.4,87.2,,,,0.292,0.5,0.186,0.171,0.256,0.405,0.455,0.545,0.109,0.293,0.387,0.252,85.0,106.0,104.0,0.043,1.29,88.4,0.222,0.222,0.238,,,,,,,,,,100.0,94.0,99.0,0.046,-7.81,77.8,0.75,2.25,0.0,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745399,Groundout,field_out,True,669369,669022,Bryce Johnson,MacKenzie Gore,0,8bcae002-052c-4f45-bc38-028ebab2ece8,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,,130.0,99.0,105.0,,,,93.0,87.0,91.0,,,,,0.549,,0.161,,0.21,,,-0.7,,96.4,,,91.0,,,,0.284,0.408,0.239,0.429,0.714,0.25,,,,,,,94.0,89.0,93.0,0.092,-1.82,85.9,0.321,0.607,0.512,,,,,,,,,,107.0,104.0,105.0,0.198,0.66,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745399,Groundout,field_out,True,669369,669022,Bryce Johnson,MacKenzie Gore,0,d3be5d79-29c5-4cc4-a9a1-ace3a5dc2aff,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,,130.0,99.0,105.0,,,,93.0,87.0,91.0,,,,,0.549,,0.161,,0.21,,,-0.7,,96.4,,,91.0,,,,0.284,0.408,0.239,0.429,0.714,0.25,,,,,,,94.0,89.0,93.0,0.092,-1.82,85.9,0.321,0.607,0.512,,,,,,,,,,107.0,104.0,105.0,0.198,0.66,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745399,Single,single,False,669369,571670,Bryce Johnson,Dylan Floro,1,b3eea907-0af2-4c25-97f0-196659cfeb91,571670.0,dylanfloro,Floro,Right,Dylan Floro,WSN,2.11,3.1,47.0,106.0,75.0,96.0,0.809,7.28,2.3,7.09,0.0,1.66,0.293,0.338,0.18,0.331,0.455,,83.0,111.0,102.0,79.0,107.0,96.0,68.0,98.0,89.0,,,,0.473,0.166,,0.28,,2.92,,2.15,2.14,,90.0,,90.2,83.6,,,,0.182,0.182,0.226,0.167,0.19,0.351,0.247,0.296,0.067,,,,68.0,115.0,101.0,0.08,-0.67,84.1,0.308,0.308,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745399,Strikeout,strikeout,True,669369,663432,Bryce Johnson,Tanner Rainey,0,60a07094-6081-4d57-a4d7-3b356a1747bd,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,6.58,6.42,26.0,93.0,107.0,96.0,0.732,7.62,6.23,9.69,1.73,0.61,0.181,0.361,0.12,0.313,0.38,,109.0,97.0,100.0,,,,102.0,85.0,89.0,,,,,0.68,,0.295,,-0.62,,,-2.34,,93.7,,,86.4,,,,0.253,0.518,0.22,0.286,0.286,0.5,,,,,,,87.0,76.0,73.0,0.025,-6.91,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,745400,Walk,walk,False,669369,687792,Bryce Johnson,DJ Herz,0,0019e0a3-9fdb-41ad-9130-f9a3cae27784,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,,92.0,101.0,100.0,,,,87.0,97.0,100.0,,,,,0.534,,0.148,,-0.31,,,-2.22,,93.3,,,86.3,,,,0.308,0.446,0.323,0.238,0.571,0.237,,,,,,,106.0,97.0,97.0,0.263,-0.53,82.9,0.231,0.436,0.288,,,,,,,,,,,,,,,,0.25,0.25,0.5,112.0,43.0,60.0,0.055,0.94,80.9,,,,,,,,,,,,,,,
2024-06-26,745400,Sac Bunt,sac_bunt,True,669369,687792,Bryce Johnson,DJ Herz,1,8e2b76ad-a0b6-4602-87f7-6300dea3a2da,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,,92.0,101.0,100.0,,,,87.0,97.0,100.0,,,,,0.534,,0.148,,-0.31,,,-2.22,,93.3,,,86.3,,,,0.308,0.446,0.323,0.238,0.571,0.237,,,,,,,106.0,97.0,97.0,0.263,-0.53,82.9,0.231,0.436,0.288,,,,,,,,,,,,,,,,0.25,0.25,0.5,112.0,43.0,60.0,0.055,0.94,80.9,,,,,,,,,,,,,,,
2024-06-26,745400,Pop Out,field_out,True,669369,607179,Bryce Johnson,Jordan Weems,0,a8c92076-f006-4eb7-9e70-993ac72e9adf,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,,100.0,94.0,90.0,,,,122.0,99.0,103.0,,,,,0.605,,0.358,,0.22,,,-0.74,,96.1,,,87.7,,,,0.247,0.371,0.173,0.241,0.466,0.289,,,,,,,104.0,82.0,96.0,0.028,-14.18,87.4,0.8,1.0,0.333,,,,,,,,,,144.0,94.0,115.0,0.009,-8.86,79.7,,,,,,,,,,,,,,,,,,,,,,,,
