date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-04-15,745268,Flyout,field_out,True,682729,593423,Jonatan Clase,Frankie Montas,0,2ab85fef-bcbd-4fde-8447-894c6aefb156,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,,,,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,,-0.34,-2.54,-0.21,1.59,-0.61,,95.3,90.2,85.7,94.3,84.9,,0.231,0.433,0.19,0.221,0.338,0.121,0.217,0.435,0.294,0.214,0.329,0.426,,,,0.378,0.711,0.209,,,,,,,,,,,,,,,,,,,,,
2024-04-15,745268,Flyout,field_out,True,682729,607259,Jonatan Clase,Nick Martinez,0,3981a699-794b-4743-8bfa-b886a546ecc1,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,,,,101.0,108.0,104.0,,,,0.152,0.219,0.199,,0.083,,0.96,0.21,,1.08,0.29,,92.6,88.5,,91.9,84.7,,0.206,0.317,0.188,0.24,0.34,0.053,0.235,0.294,0.432,,,,0.381,0.714,0.37,0.345,0.5,0.145,118.0,115.0,119.0,109.0,102.0,103.0,0.131,0.217,-2.24,0.75,80.0,81.1,0.211,0.38,0.384,,,,,,
2024-04-15,745268,Single,single,False,682729,607259,Jonatan Clase,Nick Martinez,1,a5645487-b132-430d-8c7c-51dc34281d88,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,,,,101.0,108.0,104.0,,,,0.152,0.219,0.199,,0.083,,0.96,0.21,,1.08,0.29,,92.6,88.5,,91.9,84.7,,0.206,0.317,0.188,0.24,0.34,0.053,0.235,0.294,0.432,,,,0.381,0.714,0.37,0.345,0.5,0.145,118.0,115.0,119.0,109.0,102.0,103.0,0.131,0.217,-2.24,0.75,80.0,81.1,0.211,0.38,0.384,,,,,,
2024-04-15,745268,Strikeout,strikeout,True,682729,571656,Jonatan Clase,Buck Farmer,0,fad0050f-f306-4a08-b7cb-7197e8fb6714,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.8,4.36,45.0,97.0,90.0,98.0,0.777,7.8,3.6,7.2,0.8,0.81,0.24,0.388,0.178,0.279,0.387,53.0,94.0,81.0,70.0,90.0,89.0,117.0,100.0,111.0,,,,,,,,,,0.21,0.244,,,0.33,,0.58,,,0.81,1.87,,92.7,,,92.3,82.1,,0.2,0.4,0.153,0.282,0.436,0.182,0.125,0.271,0.374,,,,,,,,,,110.0,102.0,106.0,,,,,0.216,,-0.98,86.6,,0.297,0.351,0.259,,,,,,
2024-04-16,745270,Strikeout,strikeout,True,682729,668881,Jonatan Clase,Hunter Greene,0,ccbdbb66-2915-4367-a765-c7964de348e7,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,124.0,100.0,103.0,,,,127.0,95.0,103.0,,,,,,,118.0,91.0,104.0,,0.556,,0.083,0.34,,1.2,,-0.91,,0.09,,97.7,,86.8,,86.6,,0.196,0.293,0.256,,,,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,117.0,97.0,101.0,0.021,,-1.96,,,80.6,,,,,,,,,
2024-04-16,745270,Double,double,False,682729,668881,Jonatan Clase,Hunter Greene,1,091b1758-e904-40e5-9a5e-266166906283,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,124.0,100.0,103.0,,,,127.0,95.0,103.0,,,,,,,118.0,91.0,104.0,,0.556,,0.083,0.34,,1.2,,-0.91,,0.09,,97.7,,86.8,,86.6,,0.196,0.293,0.256,,,,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,117.0,97.0,101.0,0.021,,-1.96,,,80.6,,,,,,,,,
2024-04-16,745270,Flyout,field_out,True,682729,458677,Jonatan Clase,Justin Wilson,0,9f2d60c7-a5dd-42a4-b5ba-d4a059d2cb94,458677.0,justinwilson,Wilson,Left,Justin Wilson,CIN,4.38,2.44,24.2,102.0,104.0,102.0,0.769,10.95,2.19,10.22,1.09,0.97,0.423,0.31,0.211,0.31,0.455,102.0,101.0,102.0,,,,130.0,100.0,101.0,,,,90.0,107.0,106.0,42.0,61.0,88.0,,0.499,0.254,0.018,0.229,,-1.47,2.12,2.17,,-0.34,,95.3,92.1,86.4,,88.2,,0.304,0.478,0.32,,,,0.231,0.269,0.348,,,,,,,0.296,0.444,0.149,,,,,,,,,,,,,,,,,,,,,
2024-04-16,745270,Strikeout,strikeout,True,682729,608718,Jonatan Clase,Brent Suter,0,7543528c-06f9-41e9-95bd-f63fd48bc1bb,608718.0,brentsuter,Suter,Left,Brent Suter,CIN,3.68,4.04,51.1,99.0,102.0,103.0,0.799,7.19,1.75,8.94,1.4,1.15,0.28,0.373,0.193,0.248,0.406,116.0,99.0,108.0,82.0,90.0,79.0,89.0,106.0,109.0,,,,,,,,,,0.215,0.418,,,0.171,,0.28,,,0.2,-0.29,,85.9,,,87.4,78.7,,0.277,0.446,0.198,0.25,0.472,0.2,0.243,0.459,0.225,,,,,,,,,,109.0,101.0,114.0,,,,,0.196,,-0.48,75.8,,0.227,0.364,0.28,,,,,,
2024-04-17,745267,Strikeout,strikeout,True,682729,671096,Jonatan Clase,Andrew Abbott,0,9fd00c59-75d6-4ccc-bb8f-0871dfd0bdf7,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,,,,,,,0.546,,,0.165,,0.21,,,,0.44,,92.9,,,,82.8,,0.233,0.406,0.193,,,,0.188,0.302,0.253,,,,0.324,0.676,0.147,,,,99.0,92.0,97.0,99.0,98.0,100.0,0.121,0.167,-1.54,0.81,84.7,80.7,0.167,0.379,0.285,,,,,,
2024-04-17,745267,Flyout,field_out,True,682729,671096,Jonatan Clase,Andrew Abbott,0,3f4a53a7-1240-4877-adae-51a04786ad7c,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,,,,,,,0.546,,,0.165,,0.21,,,,0.44,,92.9,,,,82.8,,0.233,0.406,0.193,,,,0.188,0.302,0.253,,,,0.324,0.676,0.147,,,,99.0,92.0,97.0,99.0,98.0,100.0,0.121,0.167,-1.54,0.81,84.7,80.7,0.167,0.379,0.285,,,,,,
