date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP
2024-07-20,745720,Single,single,False,665966,687330,Carlos Narvaez,Kevin Kelly,0,6b417ed4-13c5-41f8-b395-67ee282413b7,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,103.0,117.0,121.0,117.0,107.0,103.0,121.0,95.0,100.0,91.0,102.0,102.0,0.621,0.003,0.098,0.278,,-70.48,1.24,0.02,0.41,,90.7,87.7,,90.7,77.3,,,,0.154,0.154,0.185,0.158,0.316,0.347,,,,0.293,0.455,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-23,745715,Strikeout,strikeout,True,665966,500779,Carlos Narvaez,Jose Quintana,0,50f036a0-3d56-415d-909e-0f992bfedd6b,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.02,5.19,107.1,98.0,83.0,93.0,0.804,7.13,3.27,8.22,1.51,1.35,0.218,0.426,0.15,0.368,0.348,70.0,100.0,97.0,70.0,91.0,84.0,76.0,97.0,91.0,,,,,,,0.311,0.208,,,0.199,-1.47,,-0.3,,0.64,90.5,,85.8,90.7,,0.271,0.559,0.155,,,,,,,0.188,0.263,0.331,0.274,0.526,0.134,108.0,103.0,101.0,,,,,0.282,,1.02,,77.7,,,,0.25,0.394,0.269,0.143,0.25,0.308,,,,,,,,,,,,
2024-07-23,745715,Strikeout,strikeout,True,665966,500779,Carlos Narvaez,Jose Quintana,0,ac67b4d9-a1ec-4c23-8015-d8127783eee4,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.02,5.19,107.1,98.0,83.0,93.0,0.804,7.13,3.27,8.22,1.51,1.35,0.218,0.426,0.15,0.368,0.348,70.0,100.0,97.0,70.0,91.0,84.0,76.0,97.0,91.0,,,,,,,0.311,0.208,,,0.199,-1.47,,-0.3,,0.64,90.5,,85.8,90.7,,0.271,0.559,0.155,,,,,,,0.188,0.263,0.331,0.274,0.526,0.134,108.0,103.0,101.0,,,,,0.282,,1.02,,77.7,,,,0.25,0.394,0.269,0.143,0.25,0.308,,,,,,,,,,,,
2024-07-29,745547,Flyout,field_out,True,665966,596117,Carlos Narvaez,Garrett Stubbs,0,7e3b1e0d-1519-4395-821d-1bbdca2f4a28,596117.0,garrettstubbs,Stubbs,Right,Garrett Stubbs,PHI,21.0,5.6,3.0,,,,0.923,0.0,6.0,15.0,6.0,0.63,0.214,0.429,0.071,0.286,0.246,,,,,,,,,,,,,,,,,0.105,,,,4.86,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.895,-6.29,56.3
2024-07-31,745543,Groundout,field_out,True,665966,650911,Carlos Narvaez,Cristopher Sánchez,0,c2040f3e-dbdd-4349-b98c-a0d1c83e22ed,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,91.0,106.0,115.0,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,0.471,,0.001,0.169,0.359,,2.6,-0.63,0.34,1.68,,86.5,85.1,94.3,84.3,,,,,,,0.228,0.38,0.303,0.18,0.216,0.343,0.362,0.49,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,745543,Single,single,False,665966,650911,Carlos Narvaez,Cristopher Sánchez,0,96e6b8b3-1a9d-4c27-b0ac-08776a868901,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.49,3.62,152.0,102.0,93.0,105.0,0.785,7.34,2.13,9.36,0.47,3.03,0.197,0.41,0.19,0.294,0.421,91.0,106.0,115.0,,,,93.0,100.0,98.0,99.0,100.0,103.0,86.0,52.0,74.0,0.471,,0.001,0.169,0.359,,2.6,-0.63,0.34,1.68,,86.5,85.1,94.3,84.3,,,,,,,0.228,0.38,0.303,0.18,0.216,0.343,0.362,0.49,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,745543,Groundout,field_out,True,665966,614179,Carlos Narvaez,José Ruiz,0,64966ff6-f343-4142-9801-281b9d49015d,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,3.95,4.2,41.0,102.0,104.0,102.0,0.741,9.44,2.41,9.0,1.54,1.51,0.229,0.441,0.102,0.356,0.42,97.0,90.0,97.0,104.0,101.0,103.0,75.0,101.0,96.0,134.0,67.0,73.0,,,,0.235,0.264,,0.05,0.033,-0.66,,1.8,-0.99,-1.3,96.4,,90.1,95.9,92.3,0.289,0.553,0.33,,,,0.333,0.333,0.4,0.2,0.4,0.333,0.205,0.308,0.108,119.0,105.0,107.0,,,,,0.417,,-0.56,,86.3,,,,0.274,0.425,0.354,,,,,,,,,,,,,,,
2024-07-31,745543,Strikeout,strikeout,True,665966,608032,Carlos Narvaez,Carlos Estévez,0,f9bda1f0-f94a-40de-866d-59ce83a0e925,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,- - -,2.36,2.95,45.2,104.0,110.0,105.0,0.754,8.28,1.58,5.72,0.79,0.55,0.275,0.317,0.142,0.333,0.505,85.0,96.0,91.0,105.0,106.0,105.0,,,,130.0,102.0,110.0,,,,,0.619,,0.272,0.104,2.14,,,2.22,1.81,96.6,,89.3,,89.4,0.191,0.291,0.245,,,,0.147,0.324,0.279,0.176,0.235,0.343,,,,132.0,81.0,97.0,,,,,0.005,,2.17,,83.2,,,,,,,,,,,,,,,,,,,,,
2024-08-07,745713,Walk,walk,False,665966,608334,Carlos Narvaez,Carson Fulmer,0,5353f25c-3a17-4aa6-ad32-24ce1ad6206b,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.65,80.1,102.0,95.0,99.0,0.769,8.85,4.15,7.62,1.23,0.98,0.212,0.451,0.124,0.381,0.39,91.0,104.0,103.0,86.0,106.0,105.0,89.0,99.0,94.0,116.0,96.0,99.0,,,,0.24,0.228,,0.205,0.269,0.03,,0.85,1.35,-0.18,93.1,,87.8,92.6,87.0,0.222,0.458,0.201,,,,0.13,0.283,0.255,0.187,0.297,0.38,0.271,0.371,0.123,110.0,104.0,105.0,,,,,0.058,,-8.1,,82.3,,,,0.471,1.118,0.407,,,,,,,,,,0.286,0.714,0.458,,,
2024-08-07,745713,Single,single,False,665966,608334,Carlos Narvaez,Carson Fulmer,1,a6f75587-bb53-467a-b15d-1944bf13400c,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.65,80.1,102.0,95.0,99.0,0.769,8.85,4.15,7.62,1.23,0.98,0.212,0.451,0.124,0.381,0.39,91.0,104.0,103.0,86.0,106.0,105.0,89.0,99.0,94.0,116.0,96.0,99.0,,,,0.24,0.228,,0.205,0.269,0.03,,0.85,1.35,-0.18,93.1,,87.8,92.6,87.0,0.222,0.458,0.201,,,,0.13,0.283,0.255,0.187,0.297,0.38,0.271,0.371,0.123,110.0,104.0,105.0,,,,,0.058,,-8.1,,82.3,,,,0.471,1.118,0.407,,,,,,,,,,0.286,0.714,0.458,,,
