date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-05-28,745337,Strikeout,strikeout,True,670092,554430,Trenton Brooks,Zack Wheeler,0,79d82e29-a0e5-4115-80e7-63756c784eb2,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,101.0,107.0,109.0,128.0,107.0,114.0,0.416,0.116,0.099,,0.69,1.61,-0.34,,95.1,,84.4,81.5,0.219,0.391,0.294,,,,0.14,0.2,0.327,114.0,99.0,107.0,109.0,103.0,108.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.104,0.078,-0.15,0.85,2.48,90.9,86.1,94.4,0.173,0.24,0.149,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
2024-05-28,745337,Lineout,field_out,True,670092,554430,Trenton Brooks,Zack Wheeler,0,95af4537-ca9e-4651-8faa-1ca993e38b6d,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,101.0,107.0,109.0,128.0,107.0,114.0,0.416,0.116,0.099,,0.69,1.61,-0.34,,95.1,,84.4,81.5,0.219,0.391,0.294,,,,0.14,0.2,0.327,114.0,99.0,107.0,109.0,103.0,108.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.104,0.078,-0.15,0.85,2.48,90.9,86.1,94.4,0.173,0.24,0.149,0.179,0.333,0.357,0.244,0.439,0.184,0.171,0.257,0.385,,,,,,,,,
2024-05-29,745333,Groundout,field_out,True,670092,605513,Trenton Brooks,Spencer Turnbull,0,a2b3e64a-5b95-4602-8afe-affb3950e0ec,605513.0,spencerturnbull,Turnbull,Right,Spencer Turnbull,PHI,2.65,3.96,54.1,99.0,112.0,100.0,0.76,9.61,3.31,6.13,0.99,1.32,0.194,0.41,0.137,0.309,0.383,125.0,107.0,103.0,92.0,95.0,94.0,127.0,97.0,102.0,0.348,0.385,0.09,0.053,-0.45,1.97,2.03,1.38,92.0,87.7,83.9,78.8,0.28,0.453,0.162,0.0,0.0,0.167,0.071,0.071,0.406,103.0,100.0,102.0,88.0,99.0,94.0,,,,,,,0.123,,,,,-1.62,,,93.2,0.238,0.667,0.089,0.067,0.067,0.594,,,,,,,,,,,,,,,
2024-05-31,745331,Single,single,False,670092,573186,Trenton Brooks,Marcus Stroman,0,dab7311f-0d18-40c7-bf58-fb46e50db591,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,49.0,95.0,83.0,91.0,100.0,99.0,0.034,0.177,0.128,,-4.6,-0.84,-0.91,,89.9,,85.5,81.8,0.5,0.7,0.333,,,,0.204,0.296,0.292,92.0,80.0,90.0,94.0,92.0,88.0,107.0,98.0,97.0,82.0,99.0,94.0,0.363,0.192,0.105,0.65,1.17,-0.02,88.0,83.1,89.9,0.285,0.469,0.14,0.0,0.0,0.429,0.222,0.472,0.192,0.108,0.216,0.271,,,,,,,0.27,0.514,0.306
2024-05-31,745331,Walk,walk,False,670092,573186,Trenton Brooks,Marcus Stroman,0,34016ef0-b5a2-423b-810e-52516c142e94,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,49.0,95.0,83.0,91.0,100.0,99.0,0.034,0.177,0.128,,-4.6,-0.84,-0.91,,89.9,,85.5,81.8,0.5,0.7,0.333,,,,0.204,0.296,0.292,92.0,80.0,90.0,94.0,92.0,88.0,107.0,98.0,97.0,82.0,99.0,94.0,0.363,0.192,0.105,0.65,1.17,-0.02,88.0,83.1,89.9,0.285,0.469,0.14,0.0,0.0,0.429,0.222,0.472,0.192,0.108,0.216,0.271,,,,,,,0.27,0.514,0.306
2024-05-31,745331,Strikeout,strikeout,True,670092,596133,Trenton Brooks,Luke Weaver,0,56862b5a-8449-424c-a1a2-a4664f991ef9,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,107.0,103.0,104.0,137.0,99.0,106.0,,,,0.444,,,0.264,1.14,,,1.5,95.4,88.4,,,0.171,0.3,0.28,0.138,0.241,0.44,,,,,,,,,,108.0,98.0,103.0,,,,,0.28,,1.38,,,91.2,,,,,,,,,0.18,0.443,0.194,,,,119.0,75.0,96.0,0.012,2.43,83.3,,,
2024-06-01,745332,Walk,walk,False,670092,547001,Trenton Brooks,Cody Poteet,0,fb5bb99f-7d6d-42e3-b690-47092e7823c0,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,77.0,96.0,92.0,133.0,94.0,102.0,0.291,0.165,0.098,0.205,0.74,0.66,-2.58,2.39,93.3,86.9,80.7,78.1,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,104.0,106.0,101.0,79.0,105.0,95.0,,,,,,,0.242,,,,,3.05,,,92.6,0.16,0.36,0.05,0.375,0.75,0.167,,,,,,,,,,,,,,,
2024-06-01,745332,Strikeout,strikeout,True,670092,547001,Trenton Brooks,Cody Poteet,0,998ffb4d-f227-4adb-b4ab-2706e7a85cbc,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,77.0,96.0,92.0,133.0,94.0,102.0,0.291,0.165,0.098,0.205,0.74,0.66,-2.58,2.39,93.3,86.9,80.7,78.1,0.143,0.143,0.176,0.2,0.2,0.206,0.25,0.25,0.19,104.0,106.0,101.0,79.0,105.0,95.0,,,,,,,0.242,,,,,3.05,,,92.6,0.16,0.36,0.05,0.375,0.75,0.167,,,,,,,,,,,,,,,
2024-06-03,747194,Flyout,field_out,True,670092,669194,Trenton Brooks,Ryne Nelson,0,7ff0b14b-be8a-4d0b-a7c5-863e08334468,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,0.531,0.107,0.064,0.094,0.45,-1.78,2.02,-4.16,95.0,83.4,84.5,77.5,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,91.0,98.0,96.0,,,,76.0,103.0,92.0,,,,,0.203,,-1.15,,,91.4,,,,,,0.16,0.24,0.116,0.341,0.518,0.124,,,,,,,,,,,,
2024-06-03,747194,Flyout,field_out,True,670092,669194,Trenton Brooks,Ryne Nelson,0,cec6de60-1f99-4328-b309-0761badafb2f,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,0.531,0.107,0.064,0.094,0.45,-1.78,2.02,-4.16,95.0,83.4,84.5,77.5,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,91.0,98.0,96.0,,,,76.0,103.0,92.0,,,,,0.203,,-1.15,,,91.4,,,,,,0.16,0.24,0.116,0.341,0.518,0.124,,,,,,,,,,,,
