date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-05-12,746476,Triple,triple,False,668731,661527,Akil Baddoo,Seth Martinez,0,eb5b516b-6b85-4a92-8a3d-15acb50a36fb,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,,,,0.212,0.306,0.327,,0.155,1.96,2.47,0.1,,-0.57,90.9,84.9,89.8,79.2,,0.213,0.298,0.191,0.191,0.426,0.337,,,,0.259,0.37,0.292,0.179,0.256,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,746468,Sac Fly,sac_fly,True,668731,694973,Akil Baddoo,Paul Skenes,1,6191ab1c-3ab7-41df-a039-a4dd93b7d1ff,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,,,,0.313,0.379,0.164,,0.035,0.0,4.1,0.33,,-2.49,99.1,87.6,94.1,85.1,,0.239,0.402,0.303,0.135,0.378,0.263,0.316,0.316,0.25,0.286,0.429,0.222,0.157,0.193,0.302,112.0,98.0,103.0,0.109,0.6,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,746468,Strikeout,strikeout,True,668731,694973,Akil Baddoo,Paul Skenes,0,3f21c23d-a8cb-45c7-9b46-6eb3cf8ce5cb,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,,,,0.313,0.379,0.164,,0.035,0.0,4.1,0.33,,-2.49,99.1,87.6,94.1,85.1,,0.239,0.402,0.303,0.135,0.378,0.263,0.316,0.316,0.25,0.286,0.429,0.222,0.157,0.193,0.302,112.0,98.0,103.0,0.109,0.6,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,746467,Flyout,field_out,True,668731,693312,Akil Baddoo,Kyle Nicolas,0,89eda507-0a8a-4d3b-a447-dee4c80f7c56,693312.0,kylenicolas,Nicolas,Right,Kyle Nicolas,PIT,3.82,2.92,30.2,92.0,128.0,94.0,0.739,10.86,4.99,6.46,0.29,1.38,0.307,0.333,0.12,0.293,0.37,,,,124.0,88.0,88.0,,,,138.0,107.0,110.0,,,,0.005,0.571,0.244,,,1.21,-6.82,0.68,,,97.7,,94.8,91.1,,0.193,0.246,0.222,0.189,0.243,0.369,0.25,0.313,0.485,,,,,,,128.0,87.0,92.0,0.179,-0.99,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-30,746954,Strikeout,strikeout,True,668731,601713,Akil Baddoo,Nick Pivetta,0,bd758760-3f19-46a9-9887-12b79fa02511,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,,,,129.0,107.0,111.0,,,,152.0,102.0,107.0,,,,,0.485,0.281,,,1.51,,0.51,,,94.3,,,83.0,,0.204,0.354,0.213,0.333,0.583,0.345,0.172,0.31,0.229,,,,,,,111.0,106.0,107.0,0.155,0.97,80.1,111.0,100.0,87.0,0.078,-6.7,88.4,0.414,0.966,0.19,,,,,,,,,,,,,,,,,,
2024-05-30,746954,Home Run,home_run,False,668731,601713,Akil Baddoo,Nick Pivetta,0,504a7621-94b9-4383-968d-932a1a83ec15,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,,,,129.0,107.0,111.0,,,,152.0,102.0,107.0,,,,,0.485,0.281,,,1.51,,0.51,,,94.3,,,83.0,,0.204,0.354,0.213,0.333,0.583,0.345,0.172,0.31,0.229,,,,,,,111.0,106.0,107.0,0.155,0.97,80.1,111.0,100.0,87.0,0.078,-6.7,88.4,0.414,0.966,0.19,,,,,,,,,,,,,,,,,,
2024-05-30,746954,Strikeout,strikeout,True,668731,592155,Akil Baddoo,Cam Booser,0,8370b68c-c287-463c-a0c6-72abbc6571fd,592155.0,cambooser,Booser,Left,Cam Booser,BOS,2.9,2.88,31.0,102.0,96.0,101.0,0.742,9.87,2.03,8.13,0.87,0.51,0.163,0.5,0.128,0.326,0.466,,,,96.0,108.0,108.0,,,,94.0,103.0,105.0,,,,,0.42,0.227,,,1.68,,1.16,,,95.5,,,82.5,,0.217,0.317,0.287,0.2,0.314,0.293,,,,,,,,,,,,,,,,97.0,93.0,91.0,0.353,0.3,88.3,0.333,0.5,0.286,,,,,,,,,,,,,,,,,,
2024-05-30,746954,Strikeout,strikeout,True,668731,455119,Akil Baddoo,Chris Martin,0,c8d43e0f-1b84-43df-bc6c-25b8a3462036,455119.0,chrismartin,Martin,Right,Chris Martin,BOS,3.42,3.51,26.1,111.0,103.0,107.0,0.772,9.91,0.68,8.54,1.37,1.21,0.3,0.286,0.157,0.314,0.49,,,,89.0,112.0,107.0,84.0,107.0,96.0,104.0,136.0,160.0,,,,0.078,0.333,0.016,,,1.41,-3.06,-16.5,,,95.0,,94.2,85.0,,0.194,0.323,0.217,0.667,0.667,0.0,,,,,,,0.25,1.0,0.25,,,,,,,106.0,111.0,104.0,0.432,1.25,92.1,0.256,0.436,0.309,139.0,112.0,117.0,0.141,0.08,88.2,0.286,0.286,0.31,,,,,,,,,
2024-05-31,746955,Groundout,field_out,True,668731,656557,Akil Baddoo,Tanner Houck,0,55a09555-e456-4f36-bd65-db95e77f5c27,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,96.0,103.0,97.0,115.0,102.0,113.0,,,,0.299,,0.423,,,,0.49,1.85,,,,,93.4,83.1,,,,,0.191,0.275,0.294,,,,,,,0.275,0.344,0.129,,,,,,,95.0,93.0,93.0,0.022,-0.99,87.1,0.2,0.4,0.235,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,,,,
2024-05-31,746955,Pop Out,field_out,True,668731,656557,Akil Baddoo,Tanner Houck,0,c37e6693-be50-432e-969d-066d374d691a,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,96.0,103.0,97.0,115.0,102.0,113.0,,,,0.299,,0.423,,,,0.49,1.85,,,,,93.4,83.1,,,,,0.191,0.275,0.294,,,,,,,0.275,0.344,0.129,,,,,,,95.0,93.0,93.0,0.022,-0.99,87.1,0.2,0.4,0.235,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,,,,
