date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-09-01,744806,Single,single,False,671117,681799,Darren Baker,Ethan Roberts,0,52cc20cd-be90-4395-893c-c8d582f886ed,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.45,4.19,18.1,99.0,115.0,104.0,0.75,8.84,3.44,10.31,0.49,0.67,0.304,0.393,0.125,0.375,0.43,,,,41.0,96.0,88.0,137.0,104.0,113.0,,,,0.079,,0.6,,4.7,,0.61,,91.6,,81.4,,0.0,0.0,0.455,,,,,,,,,,,,,,,,89.0,92.0,92.0,,0.321,,-1.2,,,89.6,,,,,,,,,0.4,0.4,0.125,0.25,0.386,0.315,,,,,,,,,
2024-09-04,746019,Strikeout,strikeout,True,671117,669111,Darren Baker,John McMillon,0,ced90f01-6683-4362-ade6-a99d2a1bca8e,669111.0,johnmcmillon,McMillon,Right,John McMillon,MIA,1.5,1.79,12.0,91.0,108.0,95.0,0.633,9.75,3.75,4.5,0.75,1.08,0.143,0.571,0.214,0.179,0.371,,,,106.0,86.0,84.0,109.0,94.0,101.0,,,,0.382,,0.612,,-3.01,,5.46,,95.4,,85.3,,0.3,0.6,0.19,,,,,,,0.1,0.1,0.448,,,,,,,,,,,0.006,,-9.79,,,95.0,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,744807,Strikeout,strikeout,True,671117,605154,Darren Baker,John Brebbia,0,f687ca6e-1f6a-45ac-9ee6-933313a1fb41,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,- - -,6.0,5.02,54.0,103.0,101.0,104.0,0.783,10.67,3.17,9.17,1.83,0.65,0.252,0.364,0.139,0.371,0.421,,,,101.0,106.0,106.0,102.0,100.0,102.0,,,,0.472,,0.525,,1.33,,-2.21,,93.9,,83.1,,0.177,0.302,0.258,,,,,,,0.319,0.588,0.257,78.0,77.0,71.0,,,,,,,,,0.003,,,2.85,,91.6,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,744807,Groundout,field_out,True,671117,592426,Darren Baker,Luke Jackson,1,ccd8fdde-d1ca-45ff-bb03-46af62c05751,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.12,4.3,51.0,94.0,128.0,106.0,0.722,9.53,4.41,8.65,1.24,1.67,0.181,0.41,0.125,0.333,0.389,136.0,107.0,119.0,98.0,96.0,96.0,144.0,91.0,110.0,,,,0.32,,0.526,0.145,-0.46,,-0.1,0.45,94.7,,87.3,84.5,0.245,0.367,0.243,0.25,0.344,0.246,,,,0.254,0.439,0.312,,,,,,,92.0,87.0,73.0,,0.009,,-3.28,,,90.6,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745771,Double,double,False,671117,664208,Darren Baker,Phil Maton,0,9f3084e8-7760-4ab1-a719-1dc376e6d846,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,3.54,4.44,61.0,94.0,95.0,101.0,0.756,8.11,3.54,6.49,1.03,1.29,0.194,0.473,0.194,0.321,0.398,95.0,95.0,109.0,,,,142.0,92.0,101.0,,,,,,0.268,0.288,,,-0.71,-0.07,,,81.6,74.7,,,,0.156,0.273,0.333,,,,0.333,1.333,0.111,,,,53.0,101.0,95.0,75.0,93.0,94.0,0.089,0.354,,1.35,2.99,,88.7,,87.4,,,,0.176,0.176,0.158,0.172,0.219,0.264,0.291,0.564,0.22,,,,,,,,,
2024-09-19,746823,Single,single,False,671117,665871,Darren Baker,Javier Assad,0,087018c5-75ba-4d25-b1d2-8871f6c4e98c,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.34,4.69,142.2,99.0,86.0,94.0,0.844,7.63,3.79,8.52,1.07,1.1,0.267,0.363,0.148,0.293,0.422,99.0,102.0,98.0,68.0,102.0,92.0,115.0,94.0,100.0,,,,0.162,,0.106,0.115,-1.0,,-1.52,-0.07,91.5,,80.1,76.8,0.329,0.486,0.199,0.169,0.31,0.31,,,,0.364,0.636,0.368,71.0,92.0,89.0,76.0,101.0,92.0,96.0,97.0,92.0,0.353,0.217,0.046,-0.44,0.84,-1.53,87.9,83.8,91.5,0.296,0.296,0.125,0.226,0.341,0.107,0.308,0.548,0.147,0.171,0.366,0.333,,,,,,,,,
2024-09-19,746823,Single,single,False,671117,665871,Darren Baker,Javier Assad,0,fed2fc83-5fd2-40f7-b9f5-4df97f14c28d,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.34,4.69,142.2,99.0,86.0,94.0,0.844,7.63,3.79,8.52,1.07,1.1,0.267,0.363,0.148,0.293,0.422,99.0,102.0,98.0,68.0,102.0,92.0,115.0,94.0,100.0,,,,0.162,,0.106,0.115,-1.0,,-1.52,-0.07,91.5,,80.1,76.8,0.329,0.486,0.199,0.169,0.31,0.31,,,,0.364,0.636,0.368,71.0,92.0,89.0,76.0,101.0,92.0,96.0,97.0,92.0,0.353,0.217,0.046,-0.44,0.84,-1.53,87.9,83.8,91.5,0.296,0.296,0.125,0.226,0.341,0.107,0.308,0.548,0.147,0.171,0.366,0.333,,,,,,,,,
2024-09-19,746823,Double,double,False,671117,542888,Darren Baker,Shawn Armstrong,1,e2777048-3624-4363-856f-c60d59a64a5a,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.86,5.11,66.2,105.0,95.0,102.0,0.819,8.91,3.38,10.4,0.81,0.91,0.312,0.307,0.183,0.332,0.462,,,,86.0,110.0,104.0,126.0,114.0,118.0,,,,0.332,,0.082,,0.73,,-0.19,,93.3,,84.5,,0.198,0.341,0.333,,,,,,,0.167,0.333,0.273,,,,95.0,100.0,97.0,99.0,103.0,101.0,0.271,0.315,,-1.22,-1.36,,90.5,,93.6,,,,0.388,0.459,0.107,0.314,0.557,0.205,0.214,0.357,0.25,,,,,,,,,
2024-09-19,746823,Strikeout,strikeout,True,671117,605347,Darren Baker,Jorge López,0,06558074-3160-4960-b8f4-e98d4c94057b,605347.0,jorgelopez,"López, Jo",Right,Jorge López,- - -,2.89,3.6,53.0,101.0,108.0,102.0,0.779,8.49,3.23,7.81,1.02,1.4,0.295,0.356,0.185,0.315,0.454,,,,75.0,102.0,91.0,139.0,101.0,111.0,,,,0.2,,0.185,,1.55,,2.73,,95.6,,86.6,,0.217,0.435,0.167,0.333,0.583,0.176,,,,0.091,0.121,0.359,105.0,108.0,108.0,109.0,99.0,99.0,,,,0.364,,0.118,,-0.41,3.55,,87.5,95.5,0.1,0.1,0.34,0.349,0.508,0.17,,,,,,,116.0,100.0,107.0,0.133,-3.1,83.0,,,
2024-09-20,746824,Single,single,False,671117,592791,Darren Baker,Jameson Taillon,0,e516978f-d1ad-438b-b59d-c49feeec3a9d,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.41,3.89,158.1,107.0,86.0,102.0,0.819,6.99,1.76,8.53,1.19,0.98,0.225,0.441,0.14,0.332,0.466,103.0,111.0,113.0,66.0,106.0,95.0,106.0,116.0,120.0,,,,0.294,,0.156,0.15,-0.39,,0.74,-1.07,92.3,,80.5,79.6,0.289,0.503,0.154,0.235,0.429,0.233,,,,,,,77.0,101.0,96.0,74.0,103.0,92.0,92.0,104.0,99.0,0.109,0.248,0.043,2.01,1.42,-2.79,86.5,86.0,92.6,0.281,0.594,0.151,0.21,0.29,0.089,0.262,0.324,0.19,0.184,0.298,0.321,,,,,,,,,
