date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-08-30,745862,Groundout,field_out,True,664770,641154,Nathan Lukes,Pablo López,0,0b8991df-bed5-4ec7-93fe-e59e065c0434,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,745862,Groundout,field_out,True,664770,641154,Nathan Lukes,Pablo López,0,0aad0425-bfe3-4697-b2ab-c47fe212f089,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,745862,Single,single,False,664770,641154,Nathan Lukes,Pablo López,0,f2df73bb-aa99-4c96-92fb-9fbd5276dd4f,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,745859,Double,double,False,664770,805673,Nathan Lukes,Zebby Matthews,1,5da4dcd9-3a67-4c15-a980-c7b35fd0b05b,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,7.36,5.63,22.0,100.0,100.0,100.0,0.791,9.0,1.23,13.09,2.45,0.94,0.26,0.416,0.169,0.377,0.416,88.0,84.0,94.0,108.0,119.0,118.0,95.0,98.0,97.0,,,,113.0,105.0,107.0,,0.455,0.247,0.056,0.048,0.11,,-4.02,-4.96,-9.35,94.8,85.6,,86.4,80.8,0.265,0.529,0.136,,,,0.333,0.667,0.2,0.25,0.625,0.154,,,,,,,,,,,,,0.406,0.563,0.393,97.0,99.0,93.0,0.194,-1.41,90.6,0.318,0.591,0.175,,,,,,,,,
2024-08-31,745859,Strikeout,strikeout,True,664770,805673,Nathan Lukes,Zebby Matthews,0,80474c59-6df9-4242-bb84-babd0c4f3fd4,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,7.36,5.63,22.0,100.0,100.0,100.0,0.791,9.0,1.23,13.09,2.45,0.94,0.26,0.416,0.169,0.377,0.416,88.0,84.0,94.0,108.0,119.0,118.0,95.0,98.0,97.0,,,,113.0,105.0,107.0,,0.455,0.247,0.056,0.048,0.11,,-4.02,-4.96,-9.35,94.8,85.6,,86.4,80.8,0.265,0.529,0.136,,,,0.333,0.667,0.2,0.25,0.625,0.154,,,,,,,,,,,,,0.406,0.563,0.393,97.0,99.0,93.0,0.194,-1.41,90.6,0.318,0.591,0.175,,,,,,,,,
2024-08-31,745859,Single,single,False,664770,656240,Nathan Lukes,Scott Blewett,0,69ca75f1-846b-4256-856f-09f83a637043,656240.0,scottblewett,Blewett,Right,Scott Blewett,MIN,0.77,3.99,11.2,102.0,99.0,100.0,0.76,8.49,2.31,7.71,0.77,1.08,0.303,0.273,0.121,0.303,0.459,,,,,,,92.0,96.0,89.0,,,,86.0,105.0,104.0,,0.388,0.372,,,-1.03,,1.92,,,93.9,,,85.3,,0.353,0.471,0.139,,,,,,,,,,,,,133.0,108.0,112.0,0.24,1.88,85.8,0.083,0.333,0.276,0.2,0.267,0.387,,,,,,,,,,,,,,,,,,
2024-08-31,745859,Single,single,False,664770,656240,Nathan Lukes,Scott Blewett,0,6a30e276-95b2-42b6-9fe4-4e8d9a3d430d,656240.0,scottblewett,Blewett,Right,Scott Blewett,MIN,0.77,3.99,11.2,102.0,99.0,100.0,0.76,8.49,2.31,7.71,0.77,1.08,0.303,0.273,0.121,0.303,0.459,,,,,,,92.0,96.0,89.0,,,,86.0,105.0,104.0,,0.388,0.372,,,-1.03,,1.92,,,93.9,,,85.3,,0.353,0.471,0.139,,,,,,,,,,,,,133.0,108.0,112.0,0.24,1.88,85.8,0.083,0.333,0.276,0.2,0.267,0.387,,,,,,,,,,,,,,,,,,
2024-08-31,745859,Triple,triple,False,664770,571657,Nathan Lukes,Kyle Farmer,1,fb7bbd57-e887-4f0a-bfd7-8b05c9277544,571657.0,kylefarmer,"Farmer, K",Right,Kyle Farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,745859,Lineout,field_out,True,664770,571657,Nathan Lukes,Kyle Farmer,0,a5379c72-6dfd-4ec8-a810-2b5daa1233d8,571657.0,kylefarmer,"Farmer, K",Right,Kyle Farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,745861,Pop Out,field_out,True,664770,641927,Nathan Lukes,Bailey Ober,0,ce49a1ef-6c06-4601-acfd-2773c2fd69cd,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,,,,74.0,102.0,102.0,,0.395,0.113,0.011,0.274,0.07,,1.61,1.77,2.38,91.8,83.4,,80.4,75.8,0.252,0.49,0.221,,,,0.143,0.269,0.387,0.0,0.0,0.333,,,,,,,,,,,,,0.1,0.183,0.307,83.0,104.0,100.0,0.208,-0.21,86.3,0.25,0.45,0.231,,,,,,,,,
2024-09-01,745861,Walk,walk,False,664770,641927,Nathan Lukes,Bailey Ober,0,536ef9b1-08dd-49ee-bd6c-c18096577007,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,,,,74.0,102.0,102.0,,0.395,0.113,0.011,0.274,0.07,,1.61,1.77,2.38,91.8,83.4,,80.4,75.8,0.252,0.49,0.221,,,,0.143,0.269,0.387,0.0,0.0,0.333,,,,,,,,,,,,,0.1,0.183,0.307,83.0,104.0,100.0,0.208,-0.21,86.3,0.25,0.45,0.231,,,,,,,,,
2024-09-01,745861,Walk,walk,False,664770,641927,Nathan Lukes,Bailey Ober,0,901aa331-fd35-42aa-b2fd-24aba595e4b6,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,,,,74.0,102.0,102.0,,0.395,0.113,0.011,0.274,0.07,,1.61,1.77,2.38,91.8,83.4,,80.4,75.8,0.252,0.49,0.221,,,,0.143,0.269,0.387,0.0,0.0,0.333,,,,,,,,,,,,,0.1,0.183,0.307,83.0,104.0,100.0,0.208,-0.21,86.3,0.25,0.45,0.231,,,,,,,,,
