date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-05-08,745659,Single,single,False,691016,683004,Tyler Soderstrom,Jack Leiter,0,355385b5-75be-4332-821d-943bab983772,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,119.0,88.0,97.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,59.0,65.0,57.0,,0.502,0.057,0.239,0.081,-6.23,-13.35,,-2.18,1.27,95.6,91.1,88.6,,85.6,0.444,0.444,0.0,0.393,0.893,0.281,,,,,,,0.2,0.2,0.333,81.0,102.0,103.0,0.12,0.86,80.0,0.25,0.25,0.222,,,,,,,,,,,,,,,,,,,,,
2024-05-08,745659,Home Run,home_run,False,691016,683004,Tyler Soderstrom,Jack Leiter,1,21552431-ea01-461b-a8e4-980aeb10fa76,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,119.0,88.0,97.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,59.0,65.0,57.0,,0.502,0.057,0.239,0.081,-6.23,-13.35,,-2.18,1.27,95.6,91.1,88.6,,85.6,0.444,0.444,0.0,0.393,0.893,0.281,,,,,,,0.2,0.2,0.333,81.0,102.0,103.0,0.12,0.86,80.0,0.25,0.25,0.222,,,,,,,,,,,,,,,,,,,,,
2024-05-08,745659,Flyout,field_out,True,691016,656641,Tyler Soderstrom,Jacob Latz,0,af9cc4ca-856e-40bf-b71d-be33257cb4af,656641.0,jacoblatz,Latz,Left,Jacob Latz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.143,0.281,0.243,0.4,0.244,,,,,,,0.209,0.302,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08,745659,Strikeout,strikeout,True,691016,502085,Tyler Soderstrom,David Robertson,0,4f0b04b3-5e44-4d40-b336-b3899064c2a5,502085.0,davidrobertson,Robertson,Right,David Robertson,TEX,2.88,2.83,40.2,99.0,120.0,104.0,0.715,13.5,2.66,5.75,0.66,1.57,0.221,0.267,0.186,0.349,0.438,105.0,89.0,65.0,,,,107.0,112.0,111.0,110.0,92.0,97.0,121.0,100.0,106.0,0.026,0.003,0.595,0.053,0.026,-2.5,2.57,1.88,-4.14,6.62,94.1,93.6,88.2,94.7,83.6,0.333,0.833,0.071,,,,0.0,0.0,0.25,0.137,0.205,0.346,0.0,0.0,0.2,,,,0.003,-4.1,80.9,0.233,0.283,0.267,121.0,95.0,103.0,0.295,0.22,84.7,,,,,,,,,,,,,,,
2024-05-08,745659,Strikeout,strikeout,True,691016,489446,Tyler Soderstrom,Kirby Yates,1,9d3949cb-cd4c-4aa1-8388-245fe95fb394,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,,,,93.0,96.0,103.0,,,,,0.597,,0.011,,2.73,,,0.4,,93.1,,,,85.8,,,,0.137,0.178,0.341,,,,,,,,,,,,,,,,,,,,,,,,,108.0,100.0,104.0,0.393,1.29,86.4,0.122,0.171,0.34,,,,,,
2024-05-10,745264,Groundout,field_out,True,691016,693433,Tyler Soderstrom,Bryan Woo,0,9d2ebbdf-bd33-461b-972b-4e20883bf4eb,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.56,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,,,,0.268,0.521,,0.14,0.072,0.7,,3.01,1.72,3.51,94.7,,89.5,94.5,84.1,0.2,0.2,0.313,0.253,0.373,0.21,0.188,0.25,0.132,,,,0.1,0.2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745264,Pop Out,field_out,True,691016,693433,Tyler Soderstrom,Bryan Woo,0,939ed012-68b4-4886-a5d3-582d0d66546a,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.56,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,,,,0.268,0.521,,0.14,0.072,0.7,,3.01,1.72,3.51,94.7,,89.5,94.5,84.1,0.2,0.2,0.313,0.253,0.373,0.21,0.188,0.25,0.132,,,,0.1,0.2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745264,Strikeout,strikeout,True,691016,669912,Tyler Soderstrom,Kirby Snead,0,5fcad2fe-3b09-4e41-8cfc-dd70c15b96a1,669912.0,kirbysnead,Snead,Left,Kirby Snead,SEA,4.35,4.51,10.1,93.0,83.0,90.0,0.772,6.1,6.1,10.45,0.0,1.7,0.324,0.265,0.265,0.206,0.403,96.0,90.0,84.0,71.0,70.0,72.0,80.0,104.0,94.0,89.0,84.0,89.0,,,,0.388,0.219,,0.214,0.179,-1.07,,-0.16,1.02,-6.43,92.6,,87.0,92.5,82.2,0.125,0.125,0.5,0.4,0.4,0.353,0.286,0.476,0.139,,,,0.429,0.714,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745264,Single,single,False,691016,608723,Tyler Soderstrom,Austin Voth,1,252ba8a5-c1c5-4ae5-89f1-fcb58386e924,608723.0,austinvoth,Voth,Right,Austin Voth,SEA,3.69,3.19,39.0,100.0,101.0,99.0,0.736,8.31,2.31,6.0,1.62,0.84,0.2,0.495,0.162,0.257,0.394,,,,89.0,102.0,99.0,,,,113.0,97.0,102.0,101.0,102.0,95.0,,0.243,0.324,0.28,,2.04,0.62,,-0.04,,93.6,89.1,,,81.2,0.171,0.488,0.256,0.156,0.25,0.227,,,,0.256,0.465,0.307,,,,95.0,98.0,99.0,0.153,2.5,75.4,0.125,0.125,0.405,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745262,Strikeout,strikeout,True,691016,682243,Tyler Soderstrom,Bryce Miller,0,5261d139-aedb-4dfe-816d-86fa77b4419f,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,SEA,3.63,4.16,109.0,102.0,110.0,104.0,0.787,8.09,2.39,7.18,1.24,0.89,0.259,0.41,0.148,0.305,0.455,,,,122.0,103.0,106.0,99.0,100.0,98.0,120.0,95.0,99.0,92.0,78.0,84.0,0.189,0.439,0.015,0.169,,1.42,-3.96,1.27,-1.33,,95.1,92.3,,94.6,83.8,0.333,0.593,0.118,0.197,0.349,0.276,0.245,0.362,0.094,0.5,0.75,0.1,,,,,,,,,,0.0,0.0,0.25,66.0,82.0,91.0,0.014,4.17,85.5,88.0,107.0,108.0,0.174,0.84,83.8,0.181,0.266,0.256,,,,,,
