date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2024-03-28,746335,Strikeout,strikeout,True,676369,641154,Nelson Velázquez,Pablo López,0,7582f58f-2624-4932-ba77-aded82d327d4,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,97.0,104.0,101.0,107.0,104.0,110.0,,,,,,,0.394,,0.227,,0.194,1.98,,-0.94,,-0.41,94.6,,88.4,84.1,,0.183,0.34,0.303,0.293,0.387,0.25,0.247,0.464,0.318,,,,0.255,0.574,0.338,83.0,102.0,107.0,97.0,108.0,106.0,0.076,0.11,-3.1,-2.56,94.2,81.9,0.452,0.677,0.095,,,,,,,,,,,,,,,
2024-03-28,746335,Grounded Into DP,grounded_into_double_play,True,676369,641154,Nelson Velázquez,Pablo López,1,891148b5-bdec-46ad-b4fc-7b58c8da3879,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,97.0,104.0,101.0,107.0,104.0,110.0,,,,,,,0.394,,0.227,,0.194,1.98,,-0.94,,-0.41,94.6,,88.4,84.1,,0.183,0.34,0.303,0.293,0.387,0.25,0.247,0.464,0.318,,,,0.255,0.574,0.338,83.0,102.0,107.0,97.0,108.0,106.0,0.076,0.11,-3.1,-2.56,94.2,81.9,0.452,0.677,0.095,,,,,,,,,,,,,,,
2024-03-28,746335,Flyout,field_out,True,676369,592779,Nelson Velázquez,Brock Stewart,0,590df11b-7f72-4a8a-893f-554e6c22bdc0,592779.0,brockstewart,Stewart,Right,Brock Stewart,MIN,0.68,3.17,13.1,100.0,120.0,102.0,0.713,11.48,4.05,5.4,0.68,1.2,0.138,0.345,0.241,0.345,0.431,109.0,179.0,189.0,124.0,98.0,99.0,139.0,96.0,108.0,,,,98.0,94.0,89.0,0.464,0.172,0.258,,0.01,1.87,0.42,1.36,,0.0,97.4,94.3,89.8,84.5,,0.158,0.158,0.346,,,,0.143,0.357,0.5,0.3,0.4,0.143,,,,,,,81.0,120.0,121.0,0.096,,4.74,,97.1,,0.0,0.0,0.111,,,,,,,,,,,,,,,
2024-03-31,746332,Single,single,False,676369,641927,Nelson Velázquez,Bailey Ober,1,55642237-da10-4ecc-a9dd-54a5d76d759b,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,82.0,105.0,97.0,74.0,103.0,101.0,,,,85.0,107.0,103.0,0.389,0.22,0.128,,0.251,-1.08,0.2,1.95,,1.52,91.9,86.5,83.4,80.5,,0.307,0.606,0.247,0.173,0.337,0.37,0.098,0.196,0.319,0.256,0.43,0.224,,,,102.0,97.0,101.0,,,,,0.012,,4.25,,76.0,,,,,,,,,,,,,,,,,,
2024-03-31,746332,Walk,walk,False,676369,681892,Nelson Velázquez,Kody Funderburk,0,e9492773-18ed-4c1e-83e1-52f6a7a813a8,681892.0,kodyfunderburk,Funderburk,Left,Kody Funderburk,MIN,5.61,5.19,33.2,95.0,102.0,95.0,0.756,8.29,4.01,9.62,1.07,2.29,0.284,0.343,0.167,0.343,0.428,76.0,96.0,95.0,,,,122.0,88.0,95.0,,,,93.0,102.0,98.0,,0.442,0.326,,0.029,,-0.69,-2.42,,1.2,,92.2,88.6,82.7,,,,,0.333,0.667,0.0,0.25,0.462,0.337,0.302,0.491,0.254,,,,,,,98.0,95.0,94.0,0.203,,-0.34,,93.3,,0.286,0.381,0.091,,,,,,,,,,,,,,,
2024-03-31,746332,Groundout,field_out,True,676369,650960,Nelson Velázquez,Daniel Duarte,0,f0ae6264-5878-438f-b1e3-02eae38ed281,650960.0,danielduarte,Duarte,Right,Daniel Duarte,MIN,2.25,3.05,4.0,105.0,105.0,106.0,0.774,6.75,2.25,4.5,2.25,1.5,0.091,0.455,0.091,0.364,0.393,70.0,114.0,117.0,86.0,93.0,81.0,137.0,109.0,119.0,,,,96.0,111.0,110.0,0.25,0.196,0.357,,0.143,7.8,3.8,-1.5,,-9.96,96.1,92.0,89.5,83.8,,0.0,0.0,0.286,,,,0.167,0.667,0.357,,,,,,,,,,101.0,93.0,93.0,0.054,,-1.44,,94.7,,,,,,,,,,,,,,,,,,,
2024-03-31,746332,Home Run,home_run,False,676369,663485,Nelson Velázquez,Cole Sands,0,668e0d8b-0e81-48f9-92ac-c0e6aef02310,663485.0,colesands,Sands,Right,Cole Sands,MIN,3.56,3.69,43.0,104.0,91.0,100.0,0.765,10.67,1.47,7.33,0.84,0.89,0.23,0.345,0.212,0.327,0.428,,,,77.0,102.0,96.0,,,,,,,93.0,103.0,96.0,0.247,0.27,,,,3.29,1.52,,,,95.5,90.8,,,,0.125,0.2,0.315,,,,,,,0.212,0.394,0.3,0.313,0.438,0.293,101.0,104.0,108.0,74.0,95.0,93.0,0.127,0.19,1.32,-2.43,94.6,82.6,0.273,0.409,0.049,108.0,110.0,106.0,0.166,0.18,87.7,0.212,0.242,0.218,,,,,,
2024-04-01,747058,Strikeout,strikeout,True,676369,665152,Nelson Velázquez,Dean Kremer,0,886454fe-1380-4145-b287-fc77a4fbc1fa,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,92.0,101.0,101.0,,,,,,,99.0,104.0,100.0,0.339,0.273,,,,-0.75,0.88,,,,93.4,86.9,,,,0.247,0.644,0.242,,,,,,,0.23,0.338,0.245,0.211,0.263,0.243,83.0,101.0,98.0,81.0,103.0,97.0,0.123,0.112,0.94,-0.21,92.0,77.4,0.211,0.342,0.061,73.0,92.0,91.0,0.153,0.0,83.9,0.114,0.229,0.364,,,,,,
2024-04-01,747058,Strikeout,strikeout,True,676369,665152,Nelson Velázquez,Dean Kremer,0,ef9e8875-8758-4411-91f2-87973016bd54,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,92.0,101.0,101.0,,,,,,,99.0,104.0,100.0,0.339,0.273,,,,-0.75,0.88,,,,93.4,86.9,,,,0.247,0.644,0.242,,,,,,,0.23,0.338,0.245,0.211,0.263,0.243,83.0,101.0,98.0,81.0,103.0,97.0,0.123,0.112,0.94,-0.21,92.0,77.4,0.211,0.342,0.061,73.0,92.0,91.0,0.153,0.0,83.9,0.114,0.229,0.364,,,,,,
2024-04-01,747058,Double,double,False,676369,669211,Nelson Velázquez,Keegan Akin,0,e3411025-70ed-4721-a1e6-3057837d8e64,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,106.0,98.0,99.0,110.0,101.0,104.0,115.0,105.0,110.0,,,,,,,0.572,,0.331,,0.097,0.72,,0.67,,1.7,93.8,,85.1,85.2,,0.216,0.414,0.308,0.174,0.174,0.314,0.163,0.306,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
