date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024-04-16,747214,Lineout,field_out,True,672744,674072,Alexander Canario,Tommy Henry,0,aaf7aa92-101c-4b62-a468-b6ff198461e2,674072.0,tommyhenry,Henry,Left,Tommy Henry,ARI,7.04,6.46,38.1,101.0,81.0,95.0,0.848,7.04,4.23,11.5,2.11,1.17,0.231,0.431,0.131,0.377,0.429,76.0,95.0,91.0,103.0,107.0,105.0,66.0,100.0,92.0,68.0,97.0,87.0,112.0,101.0,97.0,0.19,0.323,0.072,0.238,0.177,-1.54,-2.27,-5.16,-1.9,-1.65,89.8,83.7,90.3,82.8,78.1,0.261,0.63,0.135,0.268,0.561,0.123,0.375,0.625,0.072,0.321,0.464,0.313,0.5,0.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,747214,Double,double,False,672744,674072,Alexander Canario,Tommy Henry,1,377bcc92-65be-493a-a1d8-507840c60bd5,674072.0,tommyhenry,Henry,Left,Tommy Henry,ARI,7.04,6.46,38.1,101.0,81.0,95.0,0.848,7.04,4.23,11.5,2.11,1.17,0.231,0.431,0.131,0.377,0.429,76.0,95.0,91.0,103.0,107.0,105.0,66.0,100.0,92.0,68.0,97.0,87.0,112.0,101.0,97.0,0.19,0.323,0.072,0.238,0.177,-1.54,-2.27,-5.16,-1.9,-1.65,89.8,83.7,90.3,82.8,78.1,0.261,0.63,0.135,0.268,0.561,0.123,0.375,0.625,0.072,0.321,0.464,0.313,0.5,0.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746891,Groundout,field_out,True,672744,682610,Alexander Canario,Roddery Muñoz,0,89693a6a-7879-4a74-b9f3-545b3ae9a758,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,,,,96.0,99.0,92.0,91.0,95.0,93.0,108.0,99.0,104.0,0.229,0.257,0.173,,0.094,-2.9,-1.48,-0.77,,-4.22,95.7,89.5,95.1,85.8,,0.286,0.738,0.173,,,,0.273,0.614,0.141,0.318,0.727,0.356,0.222,0.361,0.328,,,,,,,,,,,,,91.0,96.0,90.0,0.247,1.93,89.8,0.14,0.28,0.262,,,
2024-04-20,746891,Home Run,home_run,False,672744,682610,Alexander Canario,Roddery Muñoz,0,eb6f49e3-3231-453b-a809-0ecdc3855a3a,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,,,,96.0,99.0,92.0,91.0,95.0,93.0,108.0,99.0,104.0,0.229,0.257,0.173,,0.094,-2.9,-1.48,-0.77,,-4.22,95.7,89.5,95.1,85.8,,0.286,0.738,0.173,,,,0.273,0.614,0.141,0.318,0.727,0.356,0.222,0.361,0.328,,,,,,,,,,,,,91.0,96.0,90.0,0.247,1.93,89.8,0.14,0.28,0.262,,,
2024-04-20,746891,Walk,walk,False,672744,663773,Alexander Canario,Bryan Hoeing,0,b71f085a-2aef-4805-aefe-84062499d997,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,,,,,,,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,0.523,0.068,0.291,,,3.27,-1.04,0.09,,,94.3,,93.8,83.0,,0.1,0.2,0.2,,,,0.339,0.475,0.107,,,,0.19,0.238,0.333,114.0,98.0,108.0,0.117,,2.04,,87.0,,0.1,0.2,0.333,,,,,,,,,,,,
2024-04-19,746892,Strikeout,strikeout,True,672744,572143,Alexander Canario,Burch Smith,0,c1f376a0-bcd7-4f7e-ae15-016fe551b611,572143.0,burchsmith,"Smith, B",Right,Burch Smith,- - -,3.94,4.48,32.0,99.0,102.0,99.0,0.828,7.31,2.53,10.97,0.28,1.43,0.245,0.425,0.132,0.368,0.479,124.0,69.0,80.0,99.0,92.0,100.0,104.0,101.0,100.0,97.0,54.0,53.0,,,,0.004,0.519,0.017,0.239,0.013,1.25,14.67,-8.01,0.52,1.34,94.4,85.3,92.8,81.1,79.8,0.239,0.328,0.242,0.25,0.286,0.111,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,98.0,99.0,93.0,0.208,-3.25,87.4,0.519,0.593,0.211,,,
2024-04-20,746893,Single,single,False,672744,666200,Alexander Canario,Jesús Luzardo,0,d6f423d7-a726-44f9-b1e8-a63d7053a6a5,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,97.0,98.0,108.0,0.083,0.394,0.292,0.002,0.229,-0.65,-0.81,0.13,-3.42,1.56,95.2,86.3,94.6,83.5,81.6,0.28,0.484,0.111,,,,0.381,0.571,0.125,0.207,0.328,0.407,0.2,0.347,0.474,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746893,Strikeout,strikeout,True,672744,666200,Alexander Canario,Jesús Luzardo,0,b7f7da2b-4630-44db-b299-0b583892cd7a,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,97.0,98.0,108.0,0.083,0.394,0.292,0.002,0.229,-0.65,-0.81,0.13,-3.42,1.56,95.2,86.3,94.6,83.5,81.6,0.28,0.484,0.111,,,,0.381,0.571,0.125,0.207,0.328,0.407,0.2,0.347,0.474,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746893,Strikeout,strikeout,True,672744,676534,Alexander Canario,Calvin Faucher,0,7b4f1fe6-94ce-4005-87d6-6827667fab32,676534.0,calvinfaucher,Faucher,Right,Calvin Faucher,MIA,3.38,3.96,34.2,97.0,148.0,99.0,0.763,9.35,4.67,8.57,0.0,1.5,0.255,0.296,0.102,0.286,0.395,,,,119.0,104.0,104.0,,,,108.0,88.0,86.0,121.0,79.0,89.0,0.318,,0.054,0.254,,,-0.8,3.71,-2.44,,,,95.9,88.2,85.5,,,,0.371,0.457,0.241,0.185,0.333,0.3,,,,0.0,0.0,0.421,,,,,,,,,,,,,195.0,100.0,106.0,0.375,2.23,91.4,0.25,0.35,0.236,,,
2024-04-20,746893,Strikeout,strikeout,True,672744,656945,Alexander Canario,Tanner Scott,0,f18b7ce7-1643-4dd4-98fc-cf823da42298,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,MIA,1.3,3.1,41.2,97.0,144.0,107.0,0.692,9.94,5.4,3.89,0.43,1.42,0.333,0.313,0.25,0.229,0.441,,,,,,,151.0,95.0,105.0,,,,134.0,98.0,109.0,,0.596,0.403,,0.001,2.0,,1.59,,-2.0,96.8,92.0,,88.2,,0.093,0.107,0.269,,,,,,,,,,0.175,0.286,0.425,,,,,,,,,,,,,,,,,,,,,,,,
