date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,EP%,wEP/C,vEP,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-05-04,745583,Single,single,False,666165,624133,Blake Sabol,Ranger Suárez,1,f31207cb-9788-4ead-be2f-b95ef3b3e7cf,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.241,0.354,0.109,0.208,0.299,0.184,0.171,0.289,0.335,0.181,0.25,0.393,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04,745583,Flyout,field_out,True,666165,624133,Blake Sabol,Ranger Suárez,0,22e3ad0b-d773-4114-9c4a-39f1c03f6fe9,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.241,0.354,0.109,0.208,0.299,0.184,0.171,0.289,0.335,0.181,0.25,0.393,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04,745583,Single,single,False,666165,614179,Blake Sabol,José Ruiz,1,47d6b13e-a80e-4cd9-9232-878f9cae7476,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,5.08,4.3,28.1,101.0,104.0,101.0,0.742,7.94,2.22,10.8,1.91,1.77,0.233,0.467,0.078,0.367,0.424,94.0,86.0,93.0,119.0,105.0,104.0,104.0,98.0,101.0,75.0,100.0,96.0,131.0,79.0,84.0,,,,0.242,0.248,,0.047,0.426,0.038,-0.88,,1.67,-1.48,-2.08,-2.94,96.3,,90.4,95.8,91.9,86.3,0.25,0.357,0.143,0.273,0.545,0.323,0.339,0.536,0.343,0.25,0.5,0.167,,,,,,,,,,,,,0.333,0.333,0.375,,,,,,,,,,,,
2024-05-05,745587,Strikeout,strikeout,True,666165,592836,Blake Sabol,Taijuan Walker,0,c007c373-bde9-4b9a-8856-d4349d6c157b,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,5.6,6.38,53.0,97.0,89.0,94.0,0.848,7.3,3.57,9.85,2.04,0.81,0.189,0.415,0.134,0.421,0.455,,,,90.0,90.0,92.0,61.0,95.0,84.0,76.0,98.0,93.0,30.0,112.0,104.0,97.0,91.0,86.0,0.279,0.136,0.114,0.193,0.104,,0.24,-5.12,-1.25,2.76,1.79,,91.3,87.2,,90.9,84.8,74.5,0.31,0.534,0.074,0.176,0.176,0.194,0.133,0.333,0.189,,,,0.4,1.0,0.093,121.0,102.0,109.0,0.174,-5.91,86.2,0.426,0.704,0.141,0.1,0.175,0.313,,,,,,,,,,,,
2024-05-05,745587,Strikeout,strikeout,True,666165,592836,Blake Sabol,Taijuan Walker,0,bf6d7ec3-ab5f-48e2-b2d2-d909c2940ee5,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,5.6,6.38,53.0,97.0,89.0,94.0,0.848,7.3,3.57,9.85,2.04,0.81,0.189,0.415,0.134,0.421,0.455,,,,90.0,90.0,92.0,61.0,95.0,84.0,76.0,98.0,93.0,30.0,112.0,104.0,97.0,91.0,86.0,0.279,0.136,0.114,0.193,0.104,,0.24,-5.12,-1.25,2.76,1.79,,91.3,87.2,,90.9,84.8,74.5,0.31,0.534,0.074,0.176,0.176,0.194,0.133,0.333,0.189,,,,0.4,1.0,0.093,121.0,102.0,109.0,0.174,-5.91,86.2,0.426,0.704,0.141,0.1,0.175,0.313,,,,,,,,,,,,
2024-05-07,746559,Walk,walk,False,666165,641712,Blake Sabol,Dakota Hudson,0,d4b0b514-8f31-40e0-b57d-6a9c4d8b3bcb,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,0.166,0.103,-1.93,,-0.53,-0.32,0.89,-4.92,89.9,,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,,0.289,0.361,0.313,,,,,,,,,,,,
2024-05-07,746559,Single,single,False,666165,641712,Blake Sabol,Dakota Hudson,1,86ad8fdb-b125-4ccf-a1d3-e448d0e42ed9,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,0.166,0.103,-1.93,,-0.53,-0.32,0.89,-4.92,89.9,,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,,0.289,0.361,0.313,,,,,,,,,,,,
2024-05-07,746559,Flyout,field_out,True,666165,621389,Blake Sabol,Ty Blach,0,180c39a0-2528-48ea-93fe-7c1ac664e137,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,,,,77.0,106.0,90.0,,,,79.0,107.0,89.0,0.51,,0.121,,0.122,0.247,,0.63,-1.47,,-0.42,-2.76,,83.2,80.0,89.1,,79.2,0.376,0.576,0.092,,,,0.174,0.348,0.191,0.367,0.517,0.217,0.211,0.5,0.203,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746559,Strikeout,strikeout,True,666165,683232,Blake Sabol,Nick Mears,0,b8c196fc-f792-49bf-ab41-84f0628ade1d,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,,,,127.0,100.0,110.0,138.0,98.0,105.0,,,,111.0,99.0,103.0,,,,,0.603,,0.19,0.207,,1.1,,,-0.05,-3.59,,96.7,,,,86.4,81.4,,,,0.242,0.319,0.192,0.372,0.535,0.288,,,,,,,,,,,,,,,,0.257,0.343,0.522,,,,,,,,,,,,
2024-05-08,746562,Strikeout,strikeout,True,666165,663567,Blake Sabol,Peter Lambert,0,969463a7-33eb-4127-80e1-df6106cc915e,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,80.0,96.0,95.0,87.0,91.0,88.0,87.0,95.0,89.0,120.0,94.0,101.0,,,,0.032,0.382,,0.306,0.052,0.228,-0.75,,-1.55,0.45,-5.77,0.42,94.5,,86.9,93.8,85.8,78.0,0.333,0.333,0.0,0.276,0.534,0.11,0.25,0.875,0.2,0.237,0.263,0.42,,,,,,,,,,,,,0.182,0.182,0.316,,,,,,,,,,,,
