date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-04-01,745842,Strikeout,strikeout,True,621563,681857,Joey Wendle,Reese Olson,0,b5bd9daf-a96b-4446-8d1d-1f64537141cc,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.3,3.46,101.0,97.0,91.0,98.0,0.734,8.2,2.58,8.02,0.53,1.67,0.207,0.469,0.129,0.313,0.369,102.0,97.0,104.0,71.0,94.0,87.0,76.0,104.0,97.0,112.0,97.0,103.0,,,,0.2,0.239,,0.278,0.225,-0.34,,1.57,1.72,0.11,94.1,,86.4,94.2,84.8,0.271,0.375,0.086,0.153,0.212,0.429,0.221,0.349,0.436,0.287,0.415,0.101,,,,92.0,92.0,91.0,0.059,-2.03,79.1,0.263,0.526,0.282,,,,,,,,,,,,,,,,,,
2024-04-01,745842,Strikeout,strikeout,True,621563,681857,Joey Wendle,Reese Olson,0,62deeb8d-e097-4afa-99a0-b479ca81d654,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.3,3.46,101.0,97.0,91.0,98.0,0.734,8.2,2.58,8.02,0.53,1.67,0.207,0.469,0.129,0.313,0.369,102.0,97.0,104.0,71.0,94.0,87.0,76.0,104.0,97.0,112.0,97.0,103.0,,,,0.2,0.239,,0.278,0.225,-0.34,,1.57,1.72,0.11,94.1,,86.4,94.2,84.8,0.271,0.375,0.086,0.153,0.212,0.429,0.221,0.349,0.436,0.287,0.415,0.101,,,,92.0,92.0,91.0,0.059,-2.03,79.1,0.263,0.526,0.282,,,,,,,,,,,,,,,,,,
2024-04-01,745842,Flyout,field_out,True,621563,656412,Joey Wendle,Alex Faedo,0,36588dbe-bc05-43ce-8290-f06b2192572d,656412.0,alexfaedo,Faedo,Right,Alex Faedo,DET,3.5,4.24,43.2,101.0,104.0,103.0,0.704,7.83,3.92,7.42,1.24,1.36,0.248,0.456,0.128,0.336,0.359,108.0,103.0,110.0,92.0,94.0,89.0,81.0,89.0,88.0,111.0,107.0,112.0,,,,0.051,0.318,,0.424,0.207,1.28,,-7.0,0.64,-1.0,94.0,,89.0,93.5,83.1,0.625,0.875,0.0,0.193,0.368,0.407,0.294,0.412,0.274,0.167,0.317,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745842,Flyout,field_out,True,621563,571946,Joey Wendle,Shelby Miller,0,8d7e11f0-8525-4311-87e9-586a3a3b8846,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,,0.607,,0.177,,1.32,,,-1.7,,93.2,,,,88.3,,,,0.25,0.583,0.238,,,,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,100.0,99.0,107.0,0.216,-0.28,86.6,0.233,0.4,0.236,,,
2024-04-04,745843,Groundout,field_out,True,621563,666159,Joey Wendle,Matt Manning,0,e6dae3be-b4e1-4676-87dc-ea2a5883fd88,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,,,,95.0,100.0,100.0,,,,100.0,96.0,97.0,,,,,0.482,,0.379,,-1.36,,,1.26,,93.8,,,,84.4,,,,0.375,0.375,0.0,,,,0.327,0.519,0.213,,,,108.0,96.0,99.0,0.098,-3.39,81.6,0.385,0.538,0.273,,,,,,,82.0,98.0,88.0,0.041,-0.33,87.8,0.25,0.25,0.2,,,
2024-04-04,745843,Flyout,field_out,True,621563,666159,Joey Wendle,Matt Manning,0,7263c975-9d82-4943-bc91-d212128c3d56,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,,,,95.0,100.0,100.0,,,,100.0,96.0,97.0,,,,,0.482,,0.379,,-1.36,,,1.26,,93.8,,,,84.4,,,,0.375,0.375,0.0,,,,0.327,0.519,0.213,,,,108.0,96.0,99.0,0.098,-3.39,81.6,0.385,0.538,0.273,,,,,,,82.0,98.0,88.0,0.041,-0.33,87.8,0.25,0.25,0.2,,,
2024-04-08,747142,Forceout,force_out,True,621563,450203,Joey Wendle,Charlie Morton,1,9e4a4f58-e5d8-4f1a-9389-975104065ebb,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.07,4.39,97.1,98.0,94.0,97.0,0.753,8.97,3.51,7.49,1.02,1.37,0.23,0.436,0.167,0.319,0.409,89.0,95.0,93.0,70.0,100.0,88.0,82.0,101.0,93.0,,,,75.0,92.0,87.0,0.094,0.277,0.095,,0.123,-2.02,-1.28,0.73,,0.94,93.8,88.6,85.0,93.4,,0.303,0.455,0.094,,,,0.186,0.302,0.347,0.292,0.563,0.182,0.304,0.739,0.159,119.0,99.0,107.0,0.412,1.39,81.4,0.179,0.256,0.336,,,,,,,,,,,,,,,,,,
2024-04-08,747142,Walk,walk,False,621563,450203,Joey Wendle,Charlie Morton,1,9f9b4d20-4c38-4f09-9539-22e35a3d81f4,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.07,4.39,97.1,98.0,94.0,97.0,0.753,8.97,3.51,7.49,1.02,1.37,0.23,0.436,0.167,0.319,0.409,89.0,95.0,93.0,70.0,100.0,88.0,82.0,101.0,93.0,,,,75.0,92.0,87.0,0.094,0.277,0.095,,0.123,-2.02,-1.28,0.73,,0.94,93.8,88.6,85.0,93.4,,0.303,0.455,0.094,,,,0.186,0.302,0.347,0.292,0.563,0.182,0.304,0.739,0.159,119.0,99.0,107.0,0.412,1.39,81.4,0.179,0.256,0.336,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Flyout,field_out,True,621563,679525,Joey Wendle,Alec Marsh,0,93c6c40a-51d8-4e0b-9aa5-ff4f62ebe745,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,,0.221,0.108,0.97,,-2.75,0.02,1.03,94.2,,86.5,93.5,86.4,0.35,0.617,0.096,0.118,0.118,0.355,0.189,0.216,0.163,0.191,0.327,0.231,,,,98.0,106.0,104.0,0.156,-1.25,82.9,0.268,0.482,0.275,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Single,single,False,621563,679525,Joey Wendle,Alec Marsh,0,e361807c-5e5a-4aa5-91b4-76a5dbc4292a,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,,0.221,0.108,0.97,,-2.75,0.02,1.03,94.2,,86.5,93.5,86.4,0.35,0.617,0.096,0.118,0.118,0.355,0.189,0.216,0.163,0.191,0.327,0.231,,,,98.0,106.0,104.0,0.156,-1.25,82.9,0.268,0.482,0.275,,,,,,,,,,,,,,,,,,
