date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-04-19,745352,Forceout,force_out,True,656976,678906,Pavin Smith,Kai-Wei Teng,1,c3841356-1480-4541-81da-bb53d53ae7f4,678906.0,kaiweiteng,Teng,Right,Kai-Wei Teng,SFG,9.82,7.23,11.0,91.0,105.0,91.0,0.798,5.73,6.55,12.27,1.64,1.13,0.308,0.256,0.231,0.385,0.392,55.0,79.0,89.0,121.0,76.0,87.0,71.0,118.0,101.0,124.0,94.0,105.0,0.059,0.279,0.186,0.034,-2.79,-2.9,-3.11,-2.59,93.6,88.1,85.1,82.1,0.333,0.667,0.125,0.333,0.333,0.417,,,,0.333,0.333,0.375,98.0,95.0,85.0,0.441,-0.87,92.7,0.333,0.524,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-19,745352,Pop Out,field_out,True,656976,666149,Pavin Smith,Tyler Fitzgerald,0,e9596991-9456-4260-8489-17995effba01,666149.0,tylerfitzgerald,Fitzgerald,Right,Tyler Fitzgerald,SFG,9.0,4.48,3.0,92.0,-88.0,94.0,1.0,0.0,0.0,18.0,0.0,0.43,0.214,0.286,0.143,0.286,0.528,,,,,,,,,,,,,0.917,,,,0.71,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,-27.68,49.6,,,,,,,,,,,,,,,,,,,,,
2024-04-20,745354,Strikeout,strikeout,True,656976,666808,Pavin Smith,Camilo Doval,0,57d307c0-d388-47df-900a-ce3f6324d1f9,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,140.0,94.0,106.0,,0.487,,,,0.2,,,,,88.7,,,,,,,,,,,0.216,0.311,0.468,71.0,91.0,80.0,0.14,-1.95,98.0,0.333,0.476,0.175,,,,,,,,,,,,,,,,94.0,102.0,95.0,0.373,-0.42,99.6,0.26,0.5,0.241,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-21,745353,Forceout,force_out,True,656976,663855,Pavin Smith,Jordan Hicks,1,42845bc9-c7da-4973-adca-519e2af7a0c3,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,123.0,98.0,104.0,0.052,0.23,,,-3.81,0.18,,,95.5,,81.0,,0.263,0.421,0.194,,,,,,,0.145,0.319,0.377,95.0,97.0,95.0,0.507,0.19,94.4,0.337,0.484,0.122,121.0,92.0,106.0,0.21,,-0.21,,84.2,,0.165,0.271,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-21,745353,Lineout,field_out,True,656976,663855,Pavin Smith,Jordan Hicks,0,b0c17066-91cd-4e06-93aa-700bf90129c4,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,123.0,98.0,104.0,0.052,0.23,,,-3.81,0.18,,,95.5,,81.0,,0.263,0.421,0.194,,,,,,,0.145,0.319,0.377,95.0,97.0,95.0,0.507,0.19,94.4,0.337,0.484,0.122,121.0,92.0,106.0,0.21,,-0.21,,84.2,,0.165,0.271,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,745193,Forceout,force_out,True,656976,571927,Pavin Smith,Steven Matz,1,e9f2354f-708c-4342-9a58-be774c12db1f,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,82.0,87.0,88.0,,0.082,0.068,0.259,,-4.58,-4.17,-3.92,,83.3,88.3,77.8,,,,0.5,0.5,0.0,0.357,0.595,0.26,0.5,0.6,0.238,77.0,103.0,97.0,0.591,1.05,93.9,0.245,0.358,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,745193,Flyout,field_out,True,656976,571927,Pavin Smith,Steven Matz,0,9fdd98a4-ffa8-4145-a3e4-503a8a96c242,571927.0,stevenmatz,Matz,Left,Steven Matz,STL,6.18,6.14,27.2,101.0,85.0,98.0,0.843,5.53,3.58,12.04,0.98,0.94,0.289,0.32,0.186,0.206,0.463,100.0,105.0,100.0,105.0,106.0,112.0,,,,82.0,87.0,88.0,,0.082,0.068,0.259,,-4.58,-4.17,-3.92,,83.3,88.3,77.8,,,,0.5,0.5,0.0,0.357,0.595,0.26,0.5,0.6,0.238,77.0,103.0,97.0,0.591,1.05,93.9,0.245,0.358,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,745193,Double,double,False,656976,668868,Pavin Smith,Zack Thompson,1,8c1b6bf9-8170-4e6c-8e90-d8915a95703b,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,,,,59.0,102.0,101.0,15.0,94.0,72.0,64.0,102.0,96.0,0.36,0.278,0.142,,-2.98,-3.08,-6.64,,90.7,,82.9,73.5,0.346,0.654,0.212,0.455,0.818,0.188,,,,0.333,0.81,0.191,,,,,,,,,,,,,,,,,,,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8,,,,,,,,,,,,,,,
2024-04-23,745193,Home Run,home_run,False,656976,668868,Pavin Smith,Zack Thompson,1,171b28e7-0bf8-4994-aeaf-f87192b1c058,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,,,,59.0,102.0,101.0,15.0,94.0,72.0,64.0,102.0,96.0,0.36,0.278,0.142,,-2.98,-3.08,-6.64,,90.7,,82.9,73.5,0.346,0.654,0.212,0.455,0.818,0.188,,,,0.333,0.81,0.191,,,,,,,,,,,,,,,,,,,0.188,0.188,0.371,,,,,,,,,,,,,,,,,,,0.221,1.68,83.8,,,,,,,,,,,,,,,
2024-04-23,745193,Groundout,field_out,True,656976,687798,Pavin Smith,Nick Robertson,0,ec142385-44c5-4013-900c-e702922c0ad6,687798.0,nickrobertson,Robertson,Right,Nick Robertson,STL,4.38,4.76,12.1,100.0,88.0,99.0,0.771,10.22,1.46,10.95,2.19,0.71,0.25,0.444,0.111,0.306,0.444,96.0,95.0,94.0,,,,69.0,103.0,97.0,108.0,108.0,112.0,0.434,0.317,,0.234,-2.53,1.13,,-0.93,94.4,87.9,85.1,,0.391,0.739,0.2,,,,0.3,0.3,0.346,0.143,0.143,0.357,,,,,,,,,,,,,,,,,,,,,,,,,68.0,115.0,107.0,0.015,0.99,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
