date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FS%,wFS/C,vFS,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-08-21,745138,Home Run,home_run,False,663609,663542,Luken Baker,Bryan Hudson,1,a1445af2-de33-49c5-b302-7ab1fbf2cacd,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.84,2.97,58.2,104.0,82.0,103.0,0.798,9.2,2.15,4.3,1.07,1.02,0.295,0.309,0.209,0.245,0.479,,,,,,,84.0,106.0,103.0,,,,108.0,105.0,107.0,50.0,97.0,99.0,,0.522,0.24,0.238,,,2.59,-0.28,,2.36,,,91.5,86.2,,,81.6,,0.053,0.105,0.352,,,,0.231,0.564,0.172,0.157,0.294,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-22,745137,Strikeout,strikeout,True,663609,657649,Luken Baker,Jared Koenig,0,9c080e4c-b661-4c90-9ca0-1e4de2e2d246,657649.0,jaredkoenig,Koenig,Left,Jared Koenig,MIL,2.34,3.27,50.0,103.0,90.0,100.0,0.778,9.72,3.06,7.92,0.54,1.24,0.223,0.403,0.223,0.266,0.486,67.0,105.0,102.0,98.0,110.0,106.0,81.0,117.0,116.0,90.0,99.0,96.0,,,,86.0,105.0,101.0,0.587,0.004,0.252,,0.134,0.024,4.6,0.3,1.14,,0.33,0.82,96.5,90.2,85.1,94.8,,80.9,,,,0.23,0.31,0.189,0.245,0.388,0.207,,,,0.25,0.25,0.5,0.2,0.2,0.487,,,,,,,,,,,,,,,,,,,,,
2024-08-22,745137,Pop Out,field_out,True,663609,669060,Luken Baker,Bryse Wilson,0,95e9a58d-75fd-44e9-a7cf-e6518b74d2c8,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.19,5.31,101.0,105.0,93.0,98.0,0.817,7.13,2.76,8.91,1.78,0.86,0.255,0.369,0.159,0.376,0.453,53.0,96.0,85.0,107.0,107.0,106.0,85.0,113.0,105.0,92.0,106.0,96.0,,,,98.0,100.0,95.0,0.32,0.15,0.345,,0.143,0.043,-3.19,1.08,1.21,,-3.27,-0.82,93.5,88.8,88.0,93.1,,80.4,,,,0.239,0.377,0.138,0.233,0.371,0.261,0.292,0.5,0.228,0.182,0.273,0.174,0.309,0.709,0.229,,,,,,,,,,,,,,,,,,,,,
2024-08-23,745870,Walk,walk,False,663609,573204,Luken Baker,Caleb Thielbar,0,49a4571c-f57c-4f7d-b85a-02bddaedcb44,573204.0,calebthielbar,Thielbar,Left,Caleb Thielbar,MIN,5.87,4.47,38.1,104.0,111.0,104.0,0.766,10.33,4.23,9.63,1.17,0.89,0.188,0.438,0.161,0.25,0.446,,,,117.0,105.0,109.0,85.0,104.0,96.0,,,,138.0,105.0,110.0,,,,,0.426,,0.325,0.249,,-1.43,,,-0.45,1.2,,93.3,,,,81.5,74.1,0.268,0.415,0.283,,,,,,,0.325,0.494,0.164,,,,0.103,0.207,0.419,,,,,,,,,,,,,,,,,,,,,
2024-08-23,745870,Walk,walk,False,663609,660896,Luken Baker,Jorge Alcala,1,200642fe-2428-42b6-8b88-7ca2942f8a67,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.33,3.11,48.2,97.0,125.0,101.0,0.762,8.14,3.33,6.47,1.11,0.67,0.194,0.44,0.224,0.313,0.421,118.0,88.0,84.0,,,,115.0,92.0,95.0,119.0,104.0,106.0,140.0,103.0,110.0,,,,0.065,0.435,,0.409,,0.09,-1.01,,4.7,0.42,,4.32,98.0,,90.8,97.2,89.7,,,,,0.077,0.077,0.179,,,,0.226,0.532,0.261,0.091,0.136,0.061,,,,0.225,0.325,0.318,,,,,,,,,,,,,,,,,,
2024-08-23,745870,Walk,walk,False,663609,670950,Luken Baker,Trevor Richards,1,8737000c-301d-4f8c-bd90-2d4dd163a8a8,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,- - -,4.55,3.6,65.1,94.0,98.0,97.0,0.79,8.54,4.82,6.06,0.96,0.72,0.277,0.384,0.175,0.339,0.406,108.0,93.0,103.0,,,,86.0,95.0,91.0,,,,,,,,,,,0.464,,,,0.533,0.09,,,,,0.56,92.3,,79.2,,,,,,,,,,,,,0.234,0.342,0.148,0.146,0.276,0.317,,,,,,,,,,,,,0.003,2.46,85.9,,,,,,,,,
2024-08-24,745868,Strikeout,strikeout,True,663609,661395,Luken Baker,Jhoan Duran,1,b0506202-f36f-4d26-bc00-56648fea5576,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,3.77,2.66,43.0,97.0,131.0,98.0,0.72,10.26,2.72,7.74,0.84,2.62,0.287,0.409,0.278,0.209,0.436,,,,130.0,99.0,105.0,122.0,99.0,93.0,,,,,,,,,,,0.408,,,0.281,,0.05,,,,-0.65,,100.4,,,,,86.1,,,,,,,,,,0.278,0.389,0.359,,,,0.175,0.375,0.425,,,,,,,,,,0.31,1.83,97.0,144.0,94.0,97.0,0.224,0.358,0.194,,,
2024-08-26,745133,Flyout,field_out,True,663609,670970,Luken Baker,Adrian Morejon,0,e937befb-ab83-4d48-8093-de235d4acb88,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.96,3.04,54.2,106.0,120.0,111.0,0.745,10.21,2.8,9.05,0.66,1.68,0.307,0.392,0.216,0.307,0.479,,,,,,,125.0,103.0,109.0,124.0,103.0,109.0,120.0,110.0,116.0,,,,0.334,0.254,,0.346,,,-1.73,,0.49,0.44,,,96.9,,,97.5,85.6,,0.286,0.571,0.1,0.324,0.437,0.149,,,,0.333,0.529,0.266,,,,,,,0.171,0.314,0.399,,,,,,,0.067,2.72,86.3,90.0,92.0,95.0,0.077,0.077,0.481,,,
2024-08-26,745133,Flyout,field_out,True,663609,663158,Luken Baker,Robert Suarez,0,c41eabe7-2547-4979-99ea-ec09864fba36,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,2.04,2.66,53.0,104.0,138.0,111.0,0.773,8.49,1.7,6.79,0.68,1.03,0.327,0.347,0.177,0.32,0.46,111.0,96.0,101.0,,,,144.0,106.0,115.0,133.0,102.0,99.0,,,,,,,0.141,0.742,0.003,,,0.114,2.25,0.75,2.56,,,-2.9,99.0,93.2,91.1,98.6,,,,,,0.188,0.219,0.083,,,,0.204,0.279,0.249,0.25,0.625,0.455,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,745132,Sac Fly,sac_fly,True,663609,656302,Luken Baker,Dylan Cease,1,4ec57922-29af-41a9-a007-2d65315dd216,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,,,,124.0,96.0,103.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.434,0.007,0.47,,0.01,0.09,-5.13,,1.78,,-4.15,96.9,91.8,69.7,,87.3,,0.154,0.231,0.405,,,,0.25,1.0,0.0,0.237,0.417,0.208,0.25,1.0,0.2,0.273,0.455,0.292,0.17,0.27,0.444,109.0,96.0,103.0,0.08,-1.16,82.5,,,,,,,,,,,,
