date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-08-16,746438,Walk,walk,False,690291,543037,Jace Jung,Gerrit Cole,0,6b9a0fb4-c3cf-4af3-bdef-3d7d4a217f7c,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746438,Walk,walk,False,690291,543037,Jace Jung,Gerrit Cole,0,c5a017b2-3415-4a60-9234-2094f4c667a6,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746438,Strikeout,strikeout,True,690291,543037,Jace Jung,Gerrit Cole,0,0ce7c90f-4a26-4cea-b6ff-481227606a01,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746438,Strikeout,strikeout,True,690291,605280,Jace Jung,Clay Holmes,0,d556385a-af77-461a-b545-8d06d53446cc,605280.0,clayholmes,"Holmes, C",Right,Clay Holmes,NYY,2.72,2.77,53.0,99.0,135.0,108.0,0.726,10.19,2.72,8.66,0.34,3.5,0.204,0.408,0.204,0.272,0.43,,,,,,,100.0,95.0,101.0,183.0,103.0,115.0,0.543,,0.457,,,-0.98,2.37,,,,96.6,85.6,,,,,,,0.342,0.462,0.194,0.098,0.122,0.426,,,,,,,,,,,,,,,,,,,0.149,0.17,0.375,,,,,,,,,,,,,,,,,,
2024-08-17,746434,Groundout,field_out,True,690291,607074,Jace Jung,Carlos Rodón,0,6984775c-2b2d-4c1a-b0ef-4fe6d98d3bf2,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,115.0,99.0,102.0,,,,145.0,104.0,113.0,,0.492,0.26,0.125,0.12,,-0.91,1.72,95.5,85.5,,86.9,0.264,0.524,0.211,0.172,0.188,0.479,,,,0.219,0.393,0.386,,,,100.0,83.0,83.0,0.041,,-3.06,,91.8,,0.269,0.423,0.297,0.353,0.647,0.255,,,,103.0,86.0,93.0,0.082,-0.76,81.0,,,,,,,,,,,,
2024-08-17,746434,Single,single,False,690291,607074,Jace Jung,Carlos Rodón,1,0cab4398-32d7-4504-8fd3-287ee712c985,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,115.0,99.0,102.0,,,,145.0,104.0,113.0,,0.492,0.26,0.125,0.12,,-0.91,1.72,95.5,85.5,,86.9,0.264,0.524,0.211,0.172,0.188,0.479,,,,0.219,0.393,0.386,,,,100.0,83.0,83.0,0.041,,-3.06,,91.8,,0.269,0.423,0.297,0.353,0.647,0.255,,,,103.0,86.0,93.0,0.082,-0.76,81.0,,,,,,,,,,,,
2024-08-17,746434,Groundout,field_out,True,690291,641835,Jace Jung,Tim Mayza,1,2388a630-e61f-4782-a444-ee22bf98641b,641835.0,timmayza,Mayza,Left,Tim Mayza,- - -,7.34,6.01,30.2,99.0,101.0,96.0,0.849,5.58,3.52,12.62,1.17,1.39,0.259,0.362,0.155,0.267,0.438,,,,29.0,90.0,120.0,87.0,99.0,94.0,139.0,97.0,100.0,0.703,0.005,0.292,,2.11,-1.53,-2.13,,91.5,,92.2,86.6,,,,,,,0.34,0.546,0.14,0.286,0.457,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,746434,Single,single,False,690291,657612,Jace Jung,Tim Hill,1,db7e0059-e48d-4bde-9344-fab62899e392,657612.0,timhill,"Hill, T",Left,Tim Hill,- - -,3.79,3.49,54.2,104.0,108.0,99.0,0.893,3.62,2.63,11.69,0.33,4.34,0.279,0.365,0.192,0.288,0.499,,,,105.0,106.0,101.0,105.0,105.0,100.0,157.0,89.0,89.0,0.661,0.277,0.059,0.002,-1.46,0.59,-4.82,0.75,90.7,89.3,88.7,82.2,0.288,0.407,0.183,,,,0.307,0.325,0.071,0.571,1.0,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,746431,Flyout,field_out,True,690291,573186,Jace Jung,Marcus Stroman,0,fab73912-8976-4761-8a96-e898ef8e232c,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.88,4.88,132.1,96.0,92.0,94.0,0.816,6.6,3.88,8.64,1.22,1.46,0.208,0.402,0.154,0.321,0.359,,,,49.0,88.0,80.0,92.0,93.0,89.0,93.0,101.0,101.0,0.348,0.032,0.173,,-4.53,-0.22,-2.06,,89.9,,89.9,85.4,0.5,0.7,0.24,,,,0.294,0.481,0.126,0.242,0.375,0.279,,,,105.0,100.0,98.0,0.187,,0.02,,88.1,,0.0,0.0,0.2,0.269,0.527,0.192,,,,89.0,86.0,92.0,0.148,0.46,81.5,84.0,98.0,92.0,0.112,0.75,83.2,0.167,0.241,0.246,0.25,0.458,0.323
2024-08-18,746431,Walk,walk,False,690291,573186,Jace Jung,Marcus Stroman,0,af6c748b-0c50-4456-a832-e0126b41216b,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.88,4.88,132.1,96.0,92.0,94.0,0.816,6.6,3.88,8.64,1.22,1.46,0.208,0.402,0.154,0.321,0.359,,,,49.0,88.0,80.0,92.0,93.0,89.0,93.0,101.0,101.0,0.348,0.032,0.173,,-4.53,-0.22,-2.06,,89.9,,89.9,85.4,0.5,0.7,0.24,,,,0.294,0.481,0.126,0.242,0.375,0.279,,,,105.0,100.0,98.0,0.187,,0.02,,88.1,,0.0,0.0,0.2,0.269,0.527,0.192,,,,89.0,86.0,92.0,0.148,0.46,81.5,84.0,98.0,92.0,0.112,0.75,83.2,0.167,0.241,0.246,0.25,0.458,0.323
