date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-03-31,745438,Groundout,field_out,True,682641,650633,Luis Matos,Michael King,0,c552f50f-55b6-41fb-a155-15c5c83a82d8,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,89.0,103.0,98.0,83.0,105.0,102.0,87.0,105.0,98.0,114.0,98.0,102.0,0.257,0.254,0.243,0.245,-1.2,1.03,-0.06,1.28,93.5,86.6,92.8,82.8,0.198,0.267,0.355,0.269,0.452,0.201,0.2,0.42,0.188,0.381,0.714,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745438,Flyout,field_out,True,682641,650633,Luis Matos,Michael King,0,851143a6-5885-445f-a505-0b48571ca215,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,89.0,103.0,98.0,83.0,105.0,102.0,87.0,105.0,98.0,114.0,98.0,102.0,0.257,0.254,0.243,0.245,-1.2,1.03,-0.06,1.28,93.5,86.6,92.8,82.8,0.198,0.267,0.355,0.269,0.452,0.201,0.2,0.42,0.188,0.381,0.714,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745438,Groundout,field_out,True,682641,658648,Luis Matos,Pedro Avila,0,f0a87715-cf24-45e1-8ae9-5a6078619ee9,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,73.0,93.0,86.0,89.0,98.0,87.0,98.0,83.0,88.0,0.156,0.368,0.056,0.221,0.23,-0.39,-1.63,0.41,93.7,83.4,93.4,79.1,0.2,0.383,0.336,0.222,0.397,0.246,0.304,0.478,0.043,0.333,0.333,0.444,,,,,,,,,,81.0,98.0,94.0,0.2,0.27,77.7,0.179,0.25,0.349,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745438,Groundout,field_out,True,682641,658648,Luis Matos,Pedro Avila,1,b1a6d8fa-02a5-4a97-a1a0-2d5fe27ec5d4,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,73.0,93.0,86.0,89.0,98.0,87.0,98.0,83.0,88.0,0.156,0.368,0.056,0.221,0.23,-0.39,-1.63,0.41,93.7,83.4,93.4,79.1,0.2,0.383,0.336,0.222,0.397,0.246,0.304,0.478,0.043,0.333,0.333,0.444,,,,,,,,,,81.0,98.0,94.0,0.2,0.27,77.7,0.179,0.25,0.349,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,745343,Home Run,home_run,False,682641,808967,Luis Matos,Yoshinobu Yamamoto,1,f9e65c26-fa1c-4a06-926c-799f45fcdeab,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,,1.22,-0.61,0.93,,95.5,,94.9,86.5,,,,0.248,0.396,0.194,0.3,0.5,0.143,0.133,0.133,0.333,86.0,95.0,89.0,0.053,2.17,91.3,0.231,0.308,0.242,106.0,105.0,113.0,0.226,0.52,77.9,0.23,0.41,0.319,122.0,111.0,119.0,0.248,-0.01,90.1,0.188,0.3,0.348,,,,,,,,,,,,,,,
2024-05-13,745343,Flyout,field_out,True,682641,808967,Luis Matos,Yoshinobu Yamamoto,0,cf35fb25-e18e-4e7c-b67d-fc7ea4dd8420,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,,,,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,0.033,0.407,0.033,,1.22,-0.61,0.93,,95.5,,94.9,86.5,,,,0.248,0.396,0.194,0.3,0.5,0.143,0.133,0.133,0.333,86.0,95.0,89.0,0.053,2.17,91.3,0.231,0.308,0.242,106.0,105.0,113.0,0.226,0.52,77.9,0.23,0.41,0.319,122.0,111.0,119.0,0.248,-0.01,90.1,0.188,0.3,0.348,,,,,,,,,,,,,,,
2024-05-13,745343,Flyout,field_out,True,682641,675627,Luis Matos,Michael Grove,0,381d5a53-d454-4eef-ab16-9ba160af4b24,675627.0,michaelgrove,Grove,Right,Michael Grove,LAD,5.06,3.1,37.1,102.0,103.0,108.0,0.735,10.85,2.89,7.71,0.72,1.55,0.147,0.547,0.211,0.211,0.402,,,,58.0,109.0,103.0,77.0,104.0,99.0,112.0,105.0,117.0,0.21,0.013,0.533,,-3.67,-0.65,1.59,,94.0,,95.9,86.7,,,,,,,0.286,0.393,0.222,0.184,0.287,0.339,107.0,98.0,97.0,0.181,-1.58,92.8,0.316,0.474,0.16,,,,,,,0.5,0.5,0.385,,,,,,,,,,,,,109.0,95.0,103.0,0.064,-1.75,79.8,,,,,,
2024-05-13,745343,Flyout,field_out,True,682641,595014,Luis Matos,Blake Treinen,1,c0275af6-8733-4229-9aaa-ea23d3b0d882,595014.0,blaketreinen,Treinen,Right,Blake Treinen,LAD,2.28,2.52,23.2,101.0,90.0,103.0,0.746,11.03,2.66,6.85,0.76,1.0,0.241,0.397,0.121,0.293,0.42,,,,66.0,108.0,99.0,76.0,101.0,105.0,137.0,100.0,107.0,0.351,0.088,0.351,,2.11,0.43,1.1,,94.3,,94.6,84.0,,,,0.143,0.143,0.143,0.207,0.241,0.19,0.158,0.263,0.541,43.0,100.0,99.0,0.21,-0.93,90.8,0.385,0.769,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14,745342,Single,single,False,682641,694813,Luis Matos,Gavin Stone,0,7d507407-cd65-4d48-8670-a0f0a6a68da7,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,0.234,0.247,0.162,0.262,0.31,-0.5,1.06,0.85,94.7,87.2,95.2,88.9,0.184,0.34,0.338,0.247,0.36,0.148,0.333,0.495,0.146,0.247,0.315,0.346,80.0,100.0,95.0,0.061,2.5,92.3,0.286,0.286,0.173,95.0,100.0,100.0,0.033,3.38,83.3,0.111,0.111,0.188,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14,745342,Flyout,field_out,True,682641,694813,Luis Matos,Gavin Stone,0,cc0760f3-5552-4c9e-bf6c-7f970adae6fb,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,0.234,0.247,0.162,0.262,0.31,-0.5,1.06,0.85,94.7,87.2,95.2,88.9,0.184,0.34,0.338,0.247,0.36,0.148,0.333,0.495,0.146,0.247,0.315,0.346,80.0,100.0,95.0,0.061,2.5,92.3,0.286,0.286,0.173,95.0,100.0,100.0,0.033,3.38,83.3,0.111,0.111,0.188,,,,,,,,,,,,,,,,,,,,,,,,
