date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,KC%,wKC/C,vKC
2024-03-31,746090,Walk,walk,False,641511,669432,Jason Delay,Trevor Rogers,0,c877b7f5-51d4-4288-bcd7-de1629d710a1,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Lineout,field_out,True,641511,669432,Jason Delay,Trevor Rogers,0,de2a6130-3fee-4a7e-82a4-2cf0675fdd18,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Pop Out,field_out,True,641511,661269,Jason Delay,Vladimir Gutierrez,0,b29fe3fa-d36e-4df9-a38a-dbcb88745013,661269.0,vladimirgutierrez,Gutierrez,Right,Vladimir Gutierrez,MIA,6.75,3.19,4.0,94.0,111.0,97.0,0.737,9.0,4.5,6.75,2.25,0.33,0.273,0.273,0.182,0.182,0.288,146.0,98.0,94.0,82.0,88.0,94.0,,,,117.0,100.0,107.0,,0.338,0.288,0.263,0.04,,-1.4,0.11,92.7,83.7,,82.8,0.167,0.667,0.188,,,,,,,0.333,0.333,0.545,101.0,89.0,92.0,,,,,0.113,,4.1,,77.3,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Flyout,field_out,True,641511,661269,Jason Delay,Vladimir Gutierrez,0,d3502094-c1b8-43bc-97b4-321621e0a823,661269.0,vladimirgutierrez,Gutierrez,Right,Vladimir Gutierrez,MIA,6.75,3.19,4.0,94.0,111.0,97.0,0.737,9.0,4.5,6.75,2.25,0.33,0.273,0.273,0.182,0.182,0.288,146.0,98.0,94.0,82.0,88.0,94.0,,,,117.0,100.0,107.0,,0.338,0.288,0.263,0.04,,-1.4,0.11,92.7,83.7,,82.8,0.167,0.667,0.188,,,,,,,0.333,0.333,0.545,101.0,89.0,92.0,,,,,0.113,,4.1,,77.3,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Sac Bunt,sac_bunt,False,641511,656945,Jason Delay,Tanner Scott,1,a69dca7f-0a3f-4d6c-bd29-ad1e1bbd7352,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,MIA,1.3,3.1,41.2,97.0,144.0,107.0,0.692,9.94,5.4,3.89,0.43,1.42,0.333,0.313,0.25,0.229,0.441,,,,151.0,95.0,105.0,,,,134.0,98.0,109.0,,0.596,0.403,0.001,2.0,,1.59,-2.0,96.8,92.0,,88.2,0.093,0.107,0.269,,,,,,,0.175,0.286,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,746547,Groundout,field_out,True,641511,683627,Jason Delay,Anthony Molina,0,036aeb38-846b-46c1-8846-1fd644a025a1,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,94.0,91.0,92.0,76.0,98.0,92.0,,,,91.0,107.0,107.0,,0.49,0.249,0.235,-1.66,,-1.65,0.35,94.6,84.9,,88.5,0.373,0.537,0.136,,,,0.179,0.286,0.254,0.349,0.488,0.115,121.0,110.0,112.0,,,,,0.024,,-1.97,,82.4,0.333,0.333,0.0,,,,,,,,,,,,,0.002,3.88,76.8
2024-06-16,746546,Pop Out,field_out,True,641511,641712,Jason Delay,Dakota Hudson,0,23e6eee2-0f14-41d1-ae95-e55474d78fd0,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.103,-1.93,-0.53,-0.32,-4.92,89.9,83.4,90.3,84.1,0.296,0.5,0.079,0.315,0.465,0.07,0.379,0.69,0.146,0.289,0.361,0.313,102.0,98.0,99.0,,,,,0.166,,0.89,,80.2,0.114,0.205,0.333,,,,,,,,,,,,,,,
2024-06-16,746546,Groundout,field_out,True,641511,641712,Jason Delay,Dakota Hudson,0,88e1ad5a-fed8-4a35-80d0-6aaea4bf1f00,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.103,-1.93,-0.53,-0.32,-4.92,89.9,83.4,90.3,84.1,0.296,0.5,0.079,0.315,0.465,0.07,0.379,0.69,0.146,0.289,0.361,0.313,102.0,98.0,99.0,,,,,0.166,,0.89,,80.2,0.114,0.205,0.333,,,,,,,,,,,,,,,
2024-06-16,746546,Double,double,False,641511,680767,Jason Delay,Victor Vodnik,1,53bae088-0f07-4dd2-acf6-25c81e43df27,680767.0,victorvodnik,Vodnik,Right,Victor Vodnik,COL,4.03,4.36,51.1,99.0,122.0,102.0,0.797,8.24,4.03,8.94,0.88,1.93,0.25,0.342,0.171,0.408,0.422,114.0,99.0,100.0,124.0,98.0,100.0,,,,120.0,105.0,107.0,,0.643,0.2,0.157,-0.34,,-0.07,1.35,97.7,89.9,,84.1,0.271,0.426,0.196,,,,0.172,0.172,0.254,0.268,0.341,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16,746546,Walk,walk,False,641511,641755,Jason Delay,Tyler Kinley,0,c8f94d6c-368b-4f29-854b-e6fc503aa741,641755.0,tylerkinley,Kinley,Right,Tyler Kinley,COL,7.52,5.22,40.2,98.0,85.0,94.0,0.695,9.74,5.31,10.84,1.99,0.9,0.152,0.496,0.208,0.312,0.393,65.0,86.0,79.0,74.0,88.0,84.0,16.0,56.0,52.0,92.0,104.0,101.0,0.003,0.366,0.589,0.043,-3.61,-2.92,-0.4,0.7,95.8,87.2,93.9,89.6,0.431,0.621,0.106,,,,0.0,0.0,0.636,0.226,0.5,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
