date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff
2024-04-28,746077,Triple,triple,False,667472,571578,Dane Myers,Patrick Corbin,0,8010c0c3-87f0-4509-8457-4c6a7693f24f,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,0.352,0.103,0.316,0.05,-1.09,-1.8,0.02,-4.62,91.3,81.2,91.4,79.7,0.324,0.541,0.117,0.4,0.65,0.275,0.25,0.384,0.352,0.326,0.578,0.089,79.0,106.0,99.0,0.179,0.23,84.5,0.253,0.38,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-28,746077,Groundout,field_out,True,667472,571578,Dane Myers,Patrick Corbin,0,5c7ffcbc-7ebc-43e4-bdee-c1559b85dc35,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,88.0,95.0,96.0,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,0.352,0.103,0.316,0.05,-1.09,-1.8,0.02,-4.62,91.3,81.2,91.4,79.7,0.324,0.541,0.117,0.4,0.65,0.275,0.25,0.384,0.352,0.326,0.578,0.089,79.0,106.0,99.0,0.179,0.23,84.5,0.253,0.38,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-28,746077,Strikeout,strikeout,True,667472,571882,Dane Myers,Derek Law,0,84b7018a-c44c-4bab-a107-d7a25d9ace95,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,85.0,106.0,104.0,80.0,103.0,95.0,85.0,97.0,89.0,112.0,113.0,107.0,0.092,0.133,0.287,0.043,-1.25,-2.66,2.56,1.29,95.1,88.4,94.4,87.2,0.292,0.5,0.186,0.222,0.222,0.238,0.171,0.256,0.405,0.455,0.545,0.109,81.0,100.0,94.0,0.399,0.36,91.5,0.293,0.387,0.252,100.0,94.0,99.0,0.046,-7.81,77.8,0.75,2.25,0.0,,,,,,,,,,,,,,,,,,,,,
2024-04-29,746074,Groundout,field_out,True,667472,663623,Dane Myers,Jake Irvin,0,5ab07b53-160c-4e83-8d49-82b44b33fdf6,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.49,3.88,116.0,105.0,96.0,102.0,0.796,7.68,2.25,7.76,1.09,1.13,0.244,0.414,0.173,0.327,0.473,104.0,91.0,95.0,84.0,106.0,99.0,97.0,104.0,106.0,136.0,80.0,109.0,0.178,0.355,0.004,0.022,0.64,-0.13,2.31,-1.04,94.1,88.0,93.4,86.3,0.208,0.364,0.231,,,,,,,0.311,0.456,0.119,77.0,103.0,94.0,0.09,-0.24,89.9,0.275,0.525,0.216,111.0,106.0,106.0,0.35,0.76,81.0,0.199,0.363,0.263,,,,,,,,,,,,,,,,,,,,,
2024-04-29,746074,Groundout,field_out,True,667472,571670,Dane Myers,Dylan Floro,0,dc41da11-0537-4707-be1d-765877fb8a6e,571670.0,dylanfloro,Floro,Right,Dylan Floro,WSN,2.11,3.1,47.0,106.0,75.0,96.0,0.809,7.28,2.3,7.09,0.0,1.66,0.293,0.338,0.18,0.331,0.455,68.0,115.0,101.0,83.0,111.0,102.0,79.0,107.0,96.0,68.0,98.0,89.0,0.473,0.166,0.28,0.08,2.92,2.15,2.14,-0.67,90.0,84.1,90.2,83.6,0.182,0.182,0.226,0.308,0.308,0.296,0.167,0.19,0.351,0.247,0.296,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,746073,Single,single,False,667472,664875,Dane Myers,Justin Lawrence,1,ccbf9e7b-2012-4625-a973-0da719f69287,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,5.86,5.22,35.1,96.0,109.0,104.0,0.788,7.39,5.09,10.44,1.02,2.11,0.245,0.409,0.118,0.309,0.403,,,,,,,75.0,96.0,96.0,156.0,95.0,116.0,0.579,,0.421,,,-1.67,0.0,,,,94.9,84.0,,,,,,,0.204,0.296,0.303,0.375,0.563,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,746073,Single,single,False,667472,656222,Dane Myers,Jalen Beeks,1,1bda12ce-9580-4751-86ac-091324816be3,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,82.0,90.0,90.0,75.0,94.0,89.0,,,,,,,0.002,0.57,,0.255,0.42,-0.45,,-0.52,94.5,89.0,89.3,,0.286,0.403,0.143,0.211,0.289,0.407,,,,,,,89.0,97.0,92.0,0.159,0.58,85.2,0.167,0.389,0.255,92.0,124.0,129.0,0.014,1.3,74.5,0.2,0.2,0.167,,,,,,,,,,,,,,,,,,,,,
2024-05-01,746072,Single,single,False,667472,683232,Dane Myers,Nick Mears,1,85f10fd8-dc8e-4c26-8f10-d0a2f3b5df74,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,,,,138.0,98.0,105.0,,,,111.0,99.0,103.0,,0.603,0.19,,1.1,,-0.05,,96.7,,,86.4,0.242,0.319,0.192,,,,0.257,0.343,0.522,,,,,,,,,,,,,127.0,100.0,110.0,0.207,-3.59,81.4,0.372,0.535,0.288,,,,,,,,,,,,,,,,,,,,,
2024-05-02,746070,Strikeout,strikeout,True,667472,663567,Dane Myers,Peter Lambert,0,9ae10e52-1100-4356-a831-32f1808414cc,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,87.0,91.0,88.0,87.0,95.0,89.0,120.0,94.0,101.0,0.032,0.382,0.306,0.228,-0.75,-1.55,0.45,0.42,94.5,86.9,93.8,85.8,0.276,0.534,0.11,0.237,0.263,0.42,0.182,0.182,0.316,0.333,0.333,0.0,,,,,,,,,,80.0,96.0,95.0,0.052,-5.77,78.0,0.25,0.875,0.2,,,,,,,,,,,,,,,,,,,,,
2024-05-02,746070,Walk,walk,False,667472,663567,Dane Myers,Peter Lambert,0,29313a41-4a52-4a2c-bd32-512c68b91630,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,87.0,91.0,88.0,87.0,95.0,89.0,120.0,94.0,101.0,0.032,0.382,0.306,0.228,-0.75,-1.55,0.45,0.42,94.5,86.9,93.8,85.8,0.276,0.534,0.11,0.237,0.263,0.42,0.182,0.182,0.316,0.333,0.333,0.0,,,,,,,,,,80.0,96.0,95.0,0.052,-5.77,78.0,0.25,0.875,0.2,,,,,,,,,,,,,,,,,,,,,
