date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff
2024-07-30,747167,Groundout,field_out,True,663905,679885,Travis Blankenhorn,Justin Martinez,0,ba54dd1d-dba5-4edb-ac0f-9ed9b9c715db,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,2.1,3.04,60.0,100.0,112.0,103.0,0.692,11.25,4.5,6.6,0.3,3.44,0.287,0.343,0.196,0.252,0.418,,,,,,,79.0,93.0,93.0,124.0,100.0,109.0,,,,0.094,,0.217,,,-0.69,,2.82,,,100.2,,,89.4,,0.222,0.389,0.286,,,,,,,0.125,0.219,0.489,,,,,,,114.0,97.0,99.0,0.46,,0.35,,100.1,,0.316,0.367,0.201,113.0,105.0,108.0,0.229,2.61,89.7,0.075,0.09,0.536,,,,,,
2024-07-31,747170,Strikeout,strikeout,True,663905,668678,Travis Blankenhorn,Zac Gallen,0,f5eb9007-7934-4c31-a5c9-e78a450a21f7,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,,,,100.0,94.0,95.0,106.0,100.0,100.0,88.0,88.0,83.0,0.462,0.034,0.087,,0.141,-1.04,-1.72,0.24,,0.77,93.5,90.3,86.6,86.8,,0.317,0.494,0.131,0.333,0.833,0.318,0.269,0.372,0.252,0.258,0.387,0.299,0.148,0.228,0.374,,,,132.0,80.0,80.0,0.002,0.274,-1.01,2.72,94.7,80.7,,,,,,,,,,,,,105.0,109.0,112.0,,,
2024-07-31,747170,Groundout,field_out,True,663905,668678,Travis Blankenhorn,Zac Gallen,1,400f8640-ac60-458f-b6bb-ba81b96b9272,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,,,,100.0,94.0,95.0,106.0,100.0,100.0,88.0,88.0,83.0,0.462,0.034,0.087,,0.141,-1.04,-1.72,0.24,,0.77,93.5,90.3,86.6,86.8,,0.317,0.494,0.131,0.333,0.833,0.318,0.269,0.372,0.252,0.258,0.387,0.299,0.148,0.228,0.374,,,,132.0,80.0,80.0,0.002,0.274,-1.01,2.72,94.7,80.7,,,,,,,,,,,,,105.0,109.0,112.0,,,
2024-08-02,744825,Strikeout,strikeout,True,663905,593423,Travis Blankenhorn,Frankie Montas,0,c9400b80-7e30-4d63-a3e6-c510207d627c,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.64,4.53,120.1,101.0,99.0,99.0,0.786,7.93,3.81,8.6,1.2,1.14,0.225,0.39,0.154,0.297,0.426,,,,,,,84.0,105.0,99.0,119.0,101.0,103.0,107.0,96.0,94.0,0.355,0.18,0.099,,,0.12,-1.28,-1.51,,,95.5,90.4,,85.0,,0.209,0.356,0.223,0.338,0.606,0.223,,,,0.29,0.548,0.279,,,,,,,84.0,100.0,98.0,0.176,,1.23,,94.6,,0.247,0.36,0.109,121.0,98.0,106.0,0.191,-0.61,85.9,0.241,0.337,0.407,,,,,,
2024-08-02,744825,Groundout,field_out,True,663905,593423,Travis Blankenhorn,Frankie Montas,1,8cb0a790-a723-44bf-af16-cec95b74b6d0,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.64,4.53,120.1,101.0,99.0,99.0,0.786,7.93,3.81,8.6,1.2,1.14,0.225,0.39,0.154,0.297,0.426,,,,,,,84.0,105.0,99.0,119.0,101.0,103.0,107.0,96.0,94.0,0.355,0.18,0.099,,,0.12,-1.28,-1.51,,,95.5,90.4,,85.0,,0.209,0.356,0.223,0.338,0.606,0.223,,,,0.29,0.548,0.279,,,,,,,84.0,100.0,98.0,0.176,,1.23,,94.6,,0.247,0.36,0.109,121.0,98.0,106.0,0.191,-0.61,85.9,0.241,0.337,0.407,,,,,,
2024-08-02,744825,Strikeout,strikeout,True,663905,606303,Travis Blankenhorn,Joel Payamps,0,f8987ec4-d3a3-4f31-bbb7-3a95196d8cfc,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,3.62,4.5,49.2,102.0,104.0,102.0,0.772,8.34,2.72,6.52,1.27,0.89,0.196,0.478,0.167,0.319,0.447,103.0,92.0,92.0,,,,98.0,101.0,96.0,113.0,106.0,111.0,,,,0.325,,0.395,,0.086,0.0,,0.29,,-0.35,94.7,,89.5,83.7,,0.192,0.462,0.344,,,,0.294,0.353,0.212,0.197,0.342,0.273,,,,,,,95.0,100.0,98.0,0.195,,2.44,,94.7,,0.162,0.324,0.117,,,,,,,,,,,,,,,
2024-08-03,744823,Double,double,False,663905,650644,Travis Blankenhorn,Aaron Civale,1,9d811817-2c3a-489e-a48a-ee4098ef6b83,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.59,4.09,135.1,99.0,96.0,100.0,0.799,8.45,3.06,9.04,1.6,0.84,0.253,0.405,0.143,0.31,0.394,,,,105.0,102.0,109.0,66.0,99.0,93.0,151.0,102.0,114.0,93.0,98.0,100.0,0.093,0.311,0.172,0.155,,-2.99,0.79,-0.87,-1.21,,91.9,88.0,,80.5,77.1,0.361,0.611,0.092,0.249,0.408,0.225,,,,0.25,0.375,0.455,0.247,0.444,0.288,0.262,0.467,0.276,69.0,94.0,84.0,0.248,,0.61,,92.6,,0.224,0.405,0.169,63.0,94.0,102.0,0.021,-2.53,85.6,0.357,0.429,0.25,,,,,,
2024-08-03,744823,Strikeout,strikeout,True,663905,650644,Travis Blankenhorn,Aaron Civale,0,6af00438-0206-4727-8c66-44fc774f9293,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.59,4.09,135.1,99.0,96.0,100.0,0.799,8.45,3.06,9.04,1.6,0.84,0.253,0.405,0.143,0.31,0.394,,,,105.0,102.0,109.0,66.0,99.0,93.0,151.0,102.0,114.0,93.0,98.0,100.0,0.093,0.311,0.172,0.155,,-2.99,0.79,-0.87,-1.21,,91.9,88.0,,80.5,77.1,0.361,0.611,0.092,0.249,0.408,0.225,,,,0.25,0.375,0.455,0.247,0.444,0.288,0.262,0.467,0.276,69.0,94.0,84.0,0.248,,0.61,,92.6,,0.224,0.405,0.169,63.0,94.0,102.0,0.021,-2.53,85.6,0.357,0.429,0.25,,,,,,
2024-08-03,744823,Pop Out,field_out,True,663905,669060,Travis Blankenhorn,Bryse Wilson,1,eec249c9-6971-475b-beab-47e5fa7703ef,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.19,5.31,101.0,105.0,93.0,98.0,0.817,7.13,2.76,8.91,1.78,0.86,0.255,0.369,0.159,0.376,0.453,53.0,96.0,85.0,107.0,107.0,106.0,85.0,113.0,105.0,,,,98.0,100.0,95.0,0.15,0.345,,0.143,0.043,-3.19,1.08,,-3.27,-0.82,93.5,88.8,88.0,,80.4,0.292,0.5,0.228,0.233,0.371,0.261,0.182,0.273,0.174,,,,0.309,0.709,0.229,,,,92.0,106.0,96.0,0.32,,1.21,,93.1,,0.239,0.377,0.138,,,,,,,,,,,,,,,
2024-08-03,744823,Groundout,field_out,True,663905,683232,Travis Blankenhorn,Nick Mears,0,f9b8932e-ba45-419a-bfce-8db29da37cff,683232.0,nickmears,Mears,Right,Nick Mears,- - -,5.79,3.27,56.0,100.0,131.0,108.0,0.74,11.73,3.7,9.64,0.96,1.05,0.248,0.366,0.163,0.366,0.441,,,,125.0,99.0,108.0,141.0,100.0,109.0,111.0,100.0,105.0,,,,0.603,,0.222,0.176,,0.81,,0.0,-3.49,,96.7,,,86.5,81.5,0.24,0.38,0.204,,,,,,,0.255,0.382,0.486,0.37,0.522,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
