date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff
2024-09-08,745940,Single,single,False,686555,607536,Isaac Collins,Kyle Freeland,0,eec006d3-95e3-4967-b377-a316d7270ec2,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,4.97,4.49,96.0,103.0,82.0,98.0,0.836,7.13,2.25,10.31,1.31,1.09,0.215,0.436,0.157,0.33,0.432,60.0,99.0,87.0,,,,70.0,102.0,93.0,64.0,104.0,100.0,0.21,0.222,,0.12,-0.19,-1.23,,-0.89,91.7,86.2,87.0,,0.272,0.395,0.071,0.324,0.608,0.17,0.333,0.5,0.155,0.183,0.22,0.464,85.0,106.0,99.0,127.0,102.0,107.0,0.261,0.187,-1.74,0.69,91.5,83.7,0.33,0.58,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,745940,Flyout,field_out,True,686555,607536,Isaac Collins,Kyle Freeland,0,3d8b15f4-0437-49d5-8fd4-44669bcf6142,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,4.97,4.49,96.0,103.0,82.0,98.0,0.836,7.13,2.25,10.31,1.31,1.09,0.215,0.436,0.157,0.33,0.432,60.0,99.0,87.0,,,,70.0,102.0,93.0,64.0,104.0,100.0,0.21,0.222,,0.12,-0.19,-1.23,,-0.89,91.7,86.2,87.0,,0.272,0.395,0.071,0.324,0.608,0.17,0.333,0.5,0.155,0.183,0.22,0.464,85.0,106.0,99.0,127.0,102.0,107.0,0.261,0.187,-1.74,0.69,91.5,83.7,0.33,0.58,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745285,Strikeout,strikeout,True,686555,605483,Isaac Collins,Blake Snell,0,2e3730e6-f403-4080-acbf-d126eabdf37c,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.52,2.76,92.0,97.0,122.0,103.0,0.645,12.13,4.01,6.07,0.59,1.05,0.262,0.424,0.171,0.252,0.351,109.0,106.0,114.0,150.0,99.0,109.0,113.0,95.0,98.0,107.0,88.0,92.0,0.462,0.093,0.271,0.174,0.89,0.09,1.96,0.45,95.8,85.4,88.6,81.1,0.213,0.331,0.251,0.179,0.286,0.406,0.262,0.361,0.453,0.119,0.195,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745285,Flyout,field_out,True,686555,681810,Isaac Collins,Austin Warren,0,6287789a-1316-416d-a1a4-54280c4b55bc,681810.0,austinwarren,"Warren, A",Right,Austin Warren,SFG,2.7,3.76,6.2,105.0,102.0,106.0,0.818,5.4,4.05,6.75,1.35,1.13,0.211,0.421,0.158,0.316,0.408,,,,,,,107.0,93.0,94.0,119.0,109.0,118.0,0.224,0.337,,,-1.16,0.52,,,93.8,,82.7,,,,,0.231,0.308,0.211,,,,,,,103.0,102.0,103.0,,,,0.327,,-0.1,,93.6,,0.25,0.625,0.143,,,,,,,,,,,,,38.0,122.0,103.0,0.112,4.93,88.5,,,,,,,,,
2024-09-11,745285,Groundout,field_out,True,686555,663546,Isaac Collins,Sean Hjelle,0,6b04f2e3-62b4-4020-ac09-14af3fe8d6cd,663546.0,seanhjelle,Hjelle,Right,Sean Hjelle,SFG,3.94,3.48,75.1,103.0,102.0,104.0,0.816,8.24,1.55,9.08,1.19,2.73,0.288,0.363,0.173,0.274,0.431,,,,,,,,,,,,,0.002,,,,4.7,,,,92.9,,,,,,,,,,,,,0.185,0.343,0.37,100.0,106.0,103.0,112.0,101.0,111.0,0.546,0.352,0.43,0.59,94.7,85.8,0.315,0.426,0.097,,,,,,,,,,,,,75.0,91.0,81.0,0.1,-0.76,92.4,0.238,0.524,0.085,,,,,,
2024-09-13,747153,Walk,walk,False,686555,573009,Isaac Collins,Joe Mantiply,0,3157ce2d-02ff-43ed-bcc5-d6642c049940,573009.0,joemantiply,Mantiply,Left,Joe Mantiply,ARI,3.5,3.33,54.0,104.0,78.0,98.0,0.757,7.83,2.83,7.67,0.17,1.49,0.231,0.449,0.16,0.333,0.4,60.0,105.0,103.0,82.0,100.0,99.0,99.0,94.0,86.0,,,,0.043,,0.26,0.265,1.49,,-0.26,0.05,89.3,81.0,,79.2,0.0,0.0,0.231,,,,0.255,0.345,0.303,0.24,0.42,0.381,85.0,106.0,96.0,,,,0.432,,3.0,,89.0,,0.213,0.319,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,747148,Strikeout,strikeout,True,686555,700270,Isaac Collins,Yilber Diaz,0,8df83ffd-765f-4262-992f-16f68e527262,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.13,4.85,24.0,94.0,75.0,92.0,0.807,6.0,3.38,8.25,1.13,0.96,0.307,0.307,0.12,0.373,0.453,28.0,69.0,59.0,,,,74.0,96.0,88.0,87.0,104.0,108.0,0.575,0.286,,0.005,-1.54,1.73,,0.84,96.0,86.0,83.5,,0.295,0.557,0.107,0.143,0.19,0.378,,,,0.143,0.286,0.357,,,,58.0,67.0,77.0,,0.133,,0.29,,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,747148,Pop Out,field_out,True,686555,700270,Isaac Collins,Yilber Diaz,0,46dd483e-43c8-46a2-bd5f-2ff41e79887d,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.13,4.85,24.0,94.0,75.0,92.0,0.807,6.0,3.38,8.25,1.13,0.96,0.307,0.307,0.12,0.373,0.453,28.0,69.0,59.0,,,,74.0,96.0,88.0,87.0,104.0,108.0,0.575,0.286,,0.005,-1.54,1.73,,0.84,96.0,86.0,83.5,,0.295,0.557,0.107,0.143,0.19,0.378,,,,0.143,0.286,0.357,,,,58.0,67.0,77.0,,0.133,,0.29,,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,745935,Strikeout,strikeout,True,686555,621381,Isaac Collins,Matt Strahm,0,0c12dbc6-c10e-4da1-8d23-dd6033052ce1,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.93,2.44,60.2,106.0,104.0,109.0,0.76,11.27,1.63,5.19,0.59,0.63,0.255,0.401,0.168,0.292,0.491,,,,,,,105.0,110.0,115.0,116.0,103.0,108.0,0.55,0.192,,,2.4,0.43,,,93.4,,81.5,,0.16,0.288,0.268,0.121,0.273,0.333,,,,,,,97.0,104.0,102.0,,,,0.14,,1.26,,93.4,,0.258,0.29,0.176,,,,,,,,,,,,,90.0,98.0,94.0,0.118,2.26,88.4,0.15,0.25,0.294,,,,,,
2024-09-19,745937,Strikeout,strikeout,True,686555,640462,Isaac Collins,A.J. Puk,0,cc00c92a-7b2d-408a-ae64-41b9649782b3,640462.0,ajpuk,Puk,Left,A.J. Puk,- - -,2.87,2.48,69.0,103.0,115.0,106.0,0.701,11.22,3.52,6.13,0.39,0.94,0.234,0.377,0.216,0.269,0.459,118.0,111.0,110.0,,,,124.0,105.0,108.0,102.0,103.0,110.0,0.429,0.374,,0.015,2.55,0.77,,-1.94,95.5,90.3,83.7,,0.14,0.193,0.32,0.13,0.167,0.508,0.4,0.4,0.4,,,,109.0,95.0,96.0,,,,0.156,,-0.16,,94.7,,0.286,0.457,0.13,0.235,0.559,0.265,115.0,103.0,113.0,0.027,-4.03,84.4,0.444,0.667,0.111,,,,,,,,,,,,,,,
