date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff
2024-04-17,746076,Strikeout,strikeout,True,640902,676775,Jhonny Pereda,Keaton Winn,0,bce71d9e-680b-48ec-ace5-3e80075c37ef,676775.0,keatonwinn,"Winn, K",Right,Keaton Winn,SFG,7.16,5.54,55.1,98.0,112.0,103.0,0.772,7.81,3.25,9.11,1.46,1.67,0.176,0.485,0.085,0.442,0.455,,,,89.0,101.0,95.0,91.0,97.0,93.0,127.0,99.0,106.0,0.192,0.263,0.139,,-0.95,-2.96,-1.41,,95.7,,94.8,87.9,0.214,0.5,0.272,0.41,0.692,0.066,,,,0.321,0.607,0.356,131.0,97.0,113.0,0.405,0.21,88.9,0.215,0.355,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-17,746076,Groundout,field_out,True,640902,676775,Jhonny Pereda,Keaton Winn,0,5a4a5e92-c7f2-4ef5-8812-10a1ac351c63,676775.0,keatonwinn,"Winn, K",Right,Keaton Winn,SFG,7.16,5.54,55.1,98.0,112.0,103.0,0.772,7.81,3.25,9.11,1.46,1.67,0.176,0.485,0.085,0.442,0.455,,,,89.0,101.0,95.0,91.0,97.0,93.0,127.0,99.0,106.0,0.192,0.263,0.139,,-0.95,-2.96,-1.41,,95.7,,94.8,87.9,0.214,0.5,0.272,0.41,0.692,0.066,,,,0.321,0.607,0.356,131.0,97.0,113.0,0.405,0.21,88.9,0.215,0.355,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746891,Flyout,field_out,True,640902,684007,Jhonny Pereda,Shota Imanaga,0,e4db8c41-8d79-4ceb-afcb-e0621b224643,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,0.002,0.547,0.067,0.001,1.17,-1.44,-1.0,-3.42,91.8,87.6,89.4,81.9,0.213,0.376,0.191,,,,,,,0.333,0.375,0.321,80.0,102.0,96.0,0.33,0.11,83.1,0.252,0.357,0.406,0.044,-0.86,72.9,51.0,108.0,96.0,0.009,-8.77,89.8,0.5,1.25,0.125,71.0,97.0,98.0,0.429,0.429,0.0,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746891,Flyout,field_out,True,640902,684007,Jhonny Pereda,Shota Imanaga,0,1699cb5a-b9e1-40b5-9f3d-92a9a9f6600e,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,0.002,0.547,0.067,0.001,1.17,-1.44,-1.0,-3.42,91.8,87.6,89.4,81.9,0.213,0.376,0.191,,,,,,,0.333,0.375,0.321,80.0,102.0,96.0,0.33,0.11,83.1,0.252,0.357,0.406,0.044,-0.86,72.9,51.0,108.0,96.0,0.009,-8.77,89.8,0.5,1.25,0.125,71.0,97.0,98.0,0.429,0.429,0.0,,,,,,,,,,,,,,,,,,,,,
2024-04-20,746893,Groundout,field_out,True,640902,640470,Jhonny Pereda,Adbert Alzolay,0,71241aed-2cfb-44a7-99c3-08f5a0a05859,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,CHC,4.67,6.79,17.1,98.0,112.0,98.0,0.792,6.75,3.12,9.87,3.12,1.0,0.236,0.545,0.073,0.291,0.392,77.0,77.0,74.0,93.0,106.0,99.0,94.0,84.0,78.0,126.0,109.0,116.0,0.237,0.204,0.477,0.006,0.4,-1.82,-2.17,1.69,94.7,87.1,94.3,87.2,0.273,0.364,0.214,0.313,0.688,0.098,,,,0.273,0.545,0.275,,,,,,,,,,,,,101.0,96.0,93.0,0.076,-1.03,90.7,0.143,0.571,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,746030,Single,single,False,640902,668881,Jhonny Pereda,Hunter Greene,0,da88384f-91e0-47af-9332-366f04c24660,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,,,,124.0,102.0,105.0,,,,125.0,96.0,103.0,,0.553,0.346,,1.63,,0.49,,97.6,,,86.8,0.186,0.268,0.246,,,,,,,0.168,0.312,0.386,122.0,90.0,104.0,0.084,-0.93,87.0,0.257,0.429,0.287,0.017,-1.98,80.6,,,,,,,,,,117.0,97.0,100.0,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,
2024-08-08,746030,Single,single,True,640902,668881,Jhonny Pereda,Hunter Greene,1,5dc54543-4571-42c9-be18-6a99578106c6,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,,,,124.0,102.0,105.0,,,,125.0,96.0,103.0,,0.553,0.346,,1.63,,0.49,,97.6,,,86.8,0.186,0.268,0.246,,,,,,,0.168,0.312,0.386,122.0,90.0,104.0,0.084,-0.93,87.0,0.257,0.429,0.287,0.017,-1.98,80.6,,,,,,,,,,117.0,97.0,100.0,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,
2024-08-08,746030,Strikeout,strikeout,True,640902,668881,Jhonny Pereda,Hunter Greene,0,44df09fc-7257-457b-8c8e-e6610927fc86,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.83,2.97,143.1,99.0,124.0,104.0,0.745,10.17,3.33,5.84,0.69,0.72,0.281,0.395,0.198,0.269,0.43,,,,124.0,102.0,105.0,,,,125.0,96.0,103.0,,0.553,0.346,,1.63,,0.49,,97.6,,,86.8,0.186,0.268,0.246,,,,,,,0.168,0.312,0.386,122.0,90.0,104.0,0.084,-0.93,87.0,0.257,0.429,0.287,0.017,-1.98,80.6,,,,,,,,,,117.0,97.0,100.0,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,
2024-08-08,746030,Strikeout,strikeout,True,640902,571656,Jhonny Pereda,Buck Farmer,0,17d1b9ee-e7cf-410c-9cce-d082028b55ea,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.52,3.97,60.2,98.0,92.0,99.0,0.769,8.46,3.71,6.53,0.89,0.84,0.224,0.442,0.194,0.279,0.391,108.0,104.0,109.0,53.0,93.0,80.0,74.0,94.0,91.0,119.0,101.0,111.0,0.234,0.214,0.336,0.216,0.75,1.97,1.47,-1.02,92.7,86.7,92.5,82.2,0.182,0.364,0.155,0.228,0.351,0.176,0.275,0.392,0.319,0.136,0.318,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,746032,Groundout,field_out,True,640902,656945,Jhonny Pereda,Tanner Scott,0,da97ad68-a0ab-4318-a495-ce3b5a3ec922,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,- - -,1.54,2.81,58.1,98.0,145.0,108.0,0.69,10.03,4.63,4.78,0.46,1.56,0.326,0.355,0.232,0.225,0.441,,,,151.0,97.0,106.0,,,,136.0,100.0,110.0,,0.59,0.409,0.001,1.99,,1.31,-2.01,97.0,92.0,,88.5,0.11,0.147,0.274,,,,,,,0.211,0.311,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
