date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff
2024-03-31,745035,Field Error,field_error,False,668800,696136,Andrew Knizner,Jordan Wicks,1,471576f7-7fc2-439c-9e0b-41e325253499,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Strikeout,strikeout,True,668800,696136,Andrew Knizner,Jordan Wicks,0,5d080cf5-ea12-4151-9101-0beb094e20cb,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Strikeout,strikeout,True,668800,643410,Andrew Knizner,Mark Leiter Jr.,1,54024fcd-66f9-4e5a-8b75-03360204e7b7,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,CHC,4.78,2.9,32.0,97.0,92.0,96.0,0.653,12.66,3.66,7.59,0.56,1.86,0.275,0.488,0.2,0.238,0.384,,,,82.0,102.0,103.0,,,,99.0,101.0,102.0,0.006,0.111,0.109,,2.42,-3.28,-0.79,,95.8,,79.7,73.6,,,,0.444,0.778,0.4,,,,0.429,0.714,0.542,74.0,96.0,86.0,79.0,99.0,94.0,0.343,0.107,-2.34,1.5,88.5,91.3,0.273,0.273,0.094,116.0,95.0,105.0,0.324,2.95,84.3,0.061,0.061,0.618,0.313,0.563,0.179,,,,,,,,,,,,
2024-03-31,745035,Lineout,field_out,True,668800,657240,Andrew Knizner,Julian Merryweather,0,5b7d9b7a-5ec5-485d-ad03-1bad7f4a650d,657240.0,julianmerryweather,Merryweather,Right,Julian Merryweather,CHC,1.93,8.49,4.2,93.0,107.0,99.0,0.676,11.57,3.86,7.71,0.0,0.6,0.083,0.417,0.0,0.583,0.39,124.0,93.0,91.0,,,,111.0,97.0,98.0,101.0,88.0,101.0,0.455,0.481,,0.065,-2.52,-0.28,,9.03,96.3,81.5,85.5,,0.286,0.714,0.25,0.222,0.333,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Pop Out,field_out,True,668800,668874,Andrew Knizner,Blair Henley,0,a5e8bb4f-510e-40d4-90ce-6a13d44b7b4c,668874.0,blairhenley,Henley,Right,Blair Henley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Flyout,field_out,True,668800,661527,Andrew Knizner,Seth Martinez,0,85fee5a0-690a-4ccc-bed4-b6673bd68203,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,,,,73.0,100.0,94.0,135.0,100.0,108.0,0.306,0.327,,0.155,1.96,0.1,,-0.57,90.9,84.9,79.2,,0.213,0.298,0.191,0.191,0.426,0.337,0.259,0.37,0.292,,,,103.0,103.0,93.0,,,,0.212,,,2.47,,89.8,0.179,0.256,0.13,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Flyout,field_out,True,668800,605463,Andrew Knizner,Tayler Scott,0,e406cf97-c080-4e32-9657-6b84e4af23ee,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,,,,121.0,98.0,97.0,89.0,97.0,106.0,0.433,0.262,,0.232,2.65,0.86,,0.69,92.7,85.5,84.0,,0.089,0.107,0.287,0.212,0.288,0.276,0.143,0.214,0.329,,,,105.0,93.0,86.0,,,,0.073,,,-0.27,,92.6,0.375,0.375,0.211,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Groundout,field_out,True,668800,656232,Andrew Knizner,Brandon Bielak,0,5a4ae04c-44a5-46bf-9bc6-3b4d271bf7b0,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,- - -,5.09,5.99,23.0,94.0,80.0,90.0,0.878,4.7,3.13,12.13,1.57,0.89,0.195,0.448,0.092,0.287,0.387,107.0,98.0,101.0,67.0,86.0,86.0,75.0,84.0,74.0,68.0,94.0,101.0,0.18,0.132,0.122,0.316,-0.56,0.85,-4.11,-0.86,92.3,87.4,83.1,80.8,0.333,0.444,0.069,0.111,0.222,0.313,0.294,0.471,0.2,0.429,0.857,0.118,67.0,98.0,86.0,,,,0.251,,,-2.84,,92.3,0.355,0.645,0.151,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,745029,Strikeout,strikeout,True,668800,676664,Andrew Knizner,JP Sears,0,a2009416-f429-44ce-a246-1062f2900a32,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,,,,81.0,100.0,95.0,119.0,101.0,107.0,0.321,0.382,,0.182,-1.73,0.08,,0.69,92.2,84.3,78.9,,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,,,,95.0,99.0,85.0,,,,0.116,,,0.67,,90.1,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,745029,Grounded Into DP,grounded_into_double_play,True,668800,676664,Andrew Knizner,JP Sears,1,793afddd-8531-4c29-a84f-61d796208486,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,,,,81.0,100.0,95.0,119.0,101.0,107.0,0.321,0.382,,0.182,-1.73,0.08,,0.69,92.2,84.3,78.9,,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,,,,95.0,99.0,85.0,,,,0.116,,,0.67,,90.1,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,,,,
