date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU%,wCU/C,vCU,Stf+ CU,Loc+ CU,Pit+ CU,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-03-30,745436,Strikeout,strikeout,True,543309,663855,Kyle Higashioka,Jordan Hicks,0,401ae263-eca6-4952-96a9-197c2cb9a6f1,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,123.0,98.0,104.0,,,,,,,0.052,,0.23,,,-3.81,,0.18,,,95.5,,,81.0,,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,95.0,97.0,95.0,121.0,92.0,106.0,0.507,0.21,-0.21,0.19,84.2,94.4,0.337,0.484,0.122,0.165,0.271,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Strikeout,strikeout,True,543309,663855,Kyle Higashioka,Jordan Hicks,0,4e00183f-c4e9-4173-b33f-5e743b76912b,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,123.0,98.0,104.0,,,,,,,0.052,,0.23,,,-3.81,,0.18,,,95.5,,,81.0,,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,95.0,97.0,95.0,121.0,92.0,106.0,0.507,0.21,-0.21,0.19,84.2,94.4,0.337,0.484,0.122,0.165,0.271,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Strikeout,strikeout,True,543309,573124,Kyle Higashioka,Taylor Rogers,0,7891c10c-4153-420a-b9da-b70ffb2c7dd9,573124.0,taylorrogers,"Rogers, Ta",Left,Taylor Rogers,SFG,2.15,3.15,37.2,96.0,94.0,96.0,0.763,9.8,3.11,7.88,0.96,1.05,0.19,0.39,0.25,0.28,0.453,,,,,,,109.0,95.0,101.0,,,,,,,,,0.505,,,,,-1.03,,,,,,79.5,,0.306,0.569,0.333,,,,,,,,,,,,,79.0,96.0,90.0,,,,0.495,,,1.7,,93.3,0.159,0.232,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Strikeout,strikeout,True,543309,669062,Kyle Higashioka,Erik Miller,0,5a44d5f2-bc79-4c98-a984-7efbae62d352,669062.0,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.35,3.05,43.0,97.0,109.0,99.0,0.715,10.05,4.6,6.28,1.26,1.59,0.163,0.519,0.202,0.317,0.393,116.0,98.0,105.0,96.0,96.0,92.0,130.0,99.0,109.0,,,,,,,0.474,,0.175,,0.35,0.26,,-1.79,,1.88,96.8,,85.1,82.6,,0.25,0.5,0.341,0.219,0.406,0.293,,,,,,,0.159,0.238,0.31,,,,,,,,,,,,,,,,,,,0.001,3.88,81.1,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745440,Flyout,field_out,True,543309,668868,Kyle Higashioka,Zack Thompson,0,5550a968-d203-4157-8bfc-f2dc551f4177,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,,,,15.0,94.0,72.0,64.0,102.0,96.0,,,,,,,0.36,,0.278,,,-2.98,,-3.08,,,90.7,,,82.9,,0.333,0.81,0.191,0.346,0.654,0.212,0.455,0.818,0.188,,,,,,,,,,,,,,,,,,,,,,0.188,0.188,0.371,0.142,-6.64,73.5,59.0,102.0,101.0,0.221,1.68,83.8,,,,,,,,,,,,,,,,,,
2024-04-03,745440,Home Run,home_run,False,543309,668868,Kyle Higashioka,Zack Thompson,0,d745d9d3-818a-4ad0-8cb5-312c79d098ee,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,9.53,4.86,17.0,99.0,53.0,89.0,0.807,10.59,4.24,12.71,3.18,1.0,0.278,0.407,0.241,0.333,0.407,,,,15.0,94.0,72.0,64.0,102.0,96.0,,,,,,,0.36,,0.278,,,-2.98,,-3.08,,,90.7,,,82.9,,0.333,0.81,0.191,0.346,0.654,0.212,0.455,0.818,0.188,,,,,,,,,,,,,,,,,,,,,,0.188,0.188,0.371,0.142,-6.64,73.5,59.0,102.0,101.0,0.221,1.68,83.8,,,,,,,,,,,,,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,543309,669461,Kyle Higashioka,Matthew Liberatore,0,ac8edcdf-23e1-4585-b70b-8b8b2b65115e,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,46.0,89.0,90.0,66.0,96.0,87.0,130.0,102.0,107.0,,,,101.0,111.0,110.0,0.26,0.106,0.302,,0.063,0.24,-1.7,3.84,,-0.49,94.4,91.9,87.7,87.5,,0.132,0.162,0.431,0.212,0.485,0.14,0.154,0.154,0.238,0.474,0.684,0.228,0.143,0.571,0.227,78.0,103.0,99.0,,,,0.196,,,-2.85,,95.2,0.362,0.596,0.116,,,,0.073,0.19,77.8,128.0,97.0,102.0,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745440,Strikeout,strikeout,True,543309,681676,Kyle Higashioka,Ryan Fernandez,0,56df3b53-3fb0-4a12-8d56-b13ec3073a64,681676.0,ryanfernandez,Fernandez,Right,Ryan Fernandez,STL,2.08,3.27,43.1,99.0,99.0,99.0,0.711,8.93,3.53,6.85,0.42,1.6,0.191,0.452,0.087,0.261,0.394,,,,109.0,91.0,86.0,109.0,105.0,107.0,,,,96.0,99.0,95.0,0.025,0.165,0.462,,,-2.54,-0.43,2.1,,,95.4,89.9,,86.9,,0.153,0.222,0.408,0.5,0.5,0.286,,,,0.28,0.44,0.188,,,,88.0,94.0,92.0,,,,0.348,,,1.31,,95.2,0.241,0.259,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,745362,Grounded Into DP,grounded_into_double_play,True,543309,657277,Kyle Higashioka,Logan Webb,1,b5fc3508-e9af-4009-9dc1-44e36ffc0557,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,119.0,102.0,112.0,,,,59.0,115.0,105.0,0.048,0.011,0.223,,0.329,1.24,5.55,0.18,,0.28,92.3,90.3,87.4,83.5,,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197,98.0,103.0,101.0,,,,0.388,,,1.02,,92.2,0.276,0.346,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,745362,Groundout,field_out,True,543309,657277,Kyle Higashioka,Logan Webb,1,6059475b-8e3b-4a08-a2c2-6f66485e4979,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,56.0,109.0,91.0,119.0,102.0,112.0,,,,59.0,115.0,105.0,0.048,0.011,0.223,,0.329,1.24,5.55,0.18,,0.28,92.3,90.3,87.4,83.5,,0.247,0.323,0.227,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197,98.0,103.0,101.0,,,,0.388,,,1.02,,92.2,0.276,0.346,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
